seq,ax,ay,az,wroll,wpitch,wyaw
1,1.294573,-9.604241,-1.100507,-6.012146,2.006592,-0.289926
2,1.255666,-9.561753,-1.137007,-4.287850,1.091037,-0.053407
3,1.375978,-9.533018,-1.106458,-3.723258,1.571703,-0.602741
4,1.335276,-9.483321,-0.926905,-3.128147,1.983703,-1.174963
5,1.361013,-9.736512,-1.111909,-4.852443,0.358593,-1.457259
6,1.397527,-9.514467,-1.128592,-3.379925,1.419111,-1.442000
7,1.392739,-9.366618,-0.971147,-3.563036,2.830592,-1.907407
8,1.420273,-9.524035,-1.066350,-5.256813,2.418592,-2.243110
9,1.364007,-9.600651,-1.122639,-5.096591,1.747185,-1.976074
10,1.478932,-9.694612,-1.086144,-4.013184,2.861110,-2.212592
11,1.358020,-9.688007,-0.906617,-2.739036,4.829554,-2.731407
12,1.078486,-9.661013,-0.370414,-6.149480,1.792962,-5.043184
13,0.717551,-9.246268,-0.478665,-7.362590,-9.407331,-4.921110
14,1.079087,-9.175619,-0.311015,-13.481550,-21.301920,-3.357036
15,0.301543,-10.083664,-1.185192,-9.926146,-28.084658,-1.472518
16,-0.045625,-9.452830,-1.040218,-2.433851,-45.381023,-4.760888
17,1.384355,-10.184178,-1.011500,2.655110,-58.381908,-7.705924
18,1.954202,-8.511944,-0.920525,17.792292,-72.038940,-12.443922
19,0.880379,-7.927492,-3.141460,-5.592517,-75.350197,-9.796441
20,1.787790,-10.604990,-1.574737,-16.289255,-64.401688,-13.473922
21,0.924053,-10.009949,-0.441166,-13.153477,-69.002350,-18.822290
22,1.428048,-10.168526,-0.277754,-14.053774,-83.887756,-22.270882
23,2.097261,-8.884920,-1.818935,-20.432142,-93.989380,-27.665030
24,1.893152,-8.063739,-1.496730,-23.850216,-93.592636,-24.704733
25,1.806955,-8.676620,-1.622015,-26.276436,-92.623672,-19.524216
26,1.816533,-9.087281,-2.342709,-27.214880,-93.661308,-15.182959
27,1.898533,-9.513969,-2.003491,-22.644733,-95.988342,-9.399701
28,1.699207,-9.955060,-1.925856,-16.319773,-99.223305,-0.595111
29,1.457986,-10.194591,-2.978091,-10.299997,-96.797081,6.332591
30,0.886961,-8.603871,-3.732965,-20.424513,-78.730125,4.142888
31,0.527809,-9.491253,-2.071320,-20.500809,-71.085236,2.716147
32,0.675657,-9.724763,-2.870339,-19.508957,-74.121826,-4.684591
33,-0.384407,-9.435155,-3.302511,-9.514145,-77.028717,-8.545182
34,-0.474192,-9.196325,-3.073832,-3.685110,-72.832420,-8.896146
35,0.092654,-8.892819,-2.608036,0.427259,-64.905243,-11.398664
36,0.245885,-9.270473,-2.593168,-0.526444,-59.518723,-13.702810
37,-0.001324,-9.154957,-2.527935,4.013184,-50.569172,-13.359477
38,0.503275,-8.569063,-2.910105,3.967407,-38.529617,-13.695181
39,1.167092,-8.547611,-3.755049,-1.617481,-28.115177,-11.101108
40,1.291593,-8.421224,-2.917719,-7.530442,-20.958586,-9.842219
41,0.481716,-10.160993,-2.208586,-11.337626,-19.188513,-7.415998
42,-0.726205,-12.117057,-3.393764,-17.410810,-17.578661,0.747703
43,-0.553815,-12.712139,-4.814110,-22.766808,-18.356884,12.192144
44,-0.465216,-10.679029,-4.825437,-27.886288,-24.422438,19.112217
45,-0.385591,-7.351249,-3.947624,-61.693169,-34.737694,16.319773
46,-1.734166,-6.819786,-3.864476,-92.799156,-45.113987,15.694143
47,-3.386214,-5.728094,-3.498719,-90.800194,-72.038940,9.689627
48,2.324140,-6.090111,-3.445297,-75.693535,-81.537827,15.701773
49,2.237341,-6.254522,-1.990461,-59.198280,-55.635242,3.227333
50,0.874993,-7.782082,-3.355072,-32.807396,-27.237770,1.182592
51,-0.027649,-8.000644,-4.146465,14.839626,-4.493851,6.538590
52,-2.375235,-8.120564,-5.707092,16.846218,5.195776,-0.785852
53,-2.396788,-8.888407,-5.420662,10.422071,9.887997,-8.995331
54,-1.003924,-9.587326,-4.494222,3.570666,22.713400,-2.876369
55,-1.248144,-11.266905,-5.950877,-2.998444,38.361767,-2.044740
56,-0.918922,-9.895170,-6.251436,7.438886,47.494431,-8.888515
57,-0.543615,-7.669041,-3.828051,18.456068,49.439987,-9.651479
58,-1.215210,-7.399086,-3.513868,10.849331,47.639393,-11.535996
59,-1.586325,-8.563337,-4.829740,0.030519,43.900875,-17.067476
60,-0.976383,-8.372356,-4.402275,3.669851,40.536209,-22.759178
61,-0.185073,-8.274194,-4.417086,7.248146,37.041840,-24.956511
62,0.308145,-8.587744,-3.928152,0.160222,32.021545,-27.794733
63,1.495106,-9.999753,-5.237279,-4.196295,34.432507,-30.793177
64,1.586693,-9.136746,-5.515292,-3.975036,36.515396,-29.076509
65,1.450222,-7.479882,-3.762455,5.439924,29.648731,-24.101994
