seq,ax,ay,az,wroll,wpitch,wyaw
6057,0.455374,-9.659198,-0.146079,-5.073702,3.265481,-1.434370
6058,0.482310,-9.665182,-0.150266,-5.088962,3.204443,-1.480148
6059,0.482310,-9.664584,-0.161039,-5.096591,3.250221,-1.556444
6060,0.288974,-9.589245,-0.718826,-5.287332,3.128147,-1.731925
6061,0.245877,-9.649686,-0.659602,-6.088443,4.379406,-0.618000
6062,0.256052,-9.616762,-0.607523,-5.012665,3.997925,-0.953703
6063,0.228518,-9.682601,-0.642259,-4.402295,2.929777,-1.648000
6064,0.254855,-9.653883,-0.714064,-4.669332,2.861110,-1.358074
6065,0.233905,-9.672438,-0.730231,-5.668813,3.837703,-0.228889
6066,0.243482,-9.604791,-0.590165,-5.394146,3.936888,-1.579333
6067,0.238694,-9.648492,-0.674565,-4.974517,3.318888,-2.159184
6068,0.280594,-9.632336,-0.710462,-5.508591,3.425703,-1.045259
6069,0.251265,-9.509649,-0.750527,-4.615924,3.135777,-1.915036
6070,0.247673,-9.589837,-0.673348,-4.966887,3.753777,-1.991333
6071,0.278798,-9.668244,-0.703292,-5.493332,4.097110,-0.953703
6072,0.220138,-9.652083,-0.678758,-5.394146,3.891110,-0.885037
6073,0.249468,-9.671834,-0.685343,-6.614887,3.624073,-0.869778
6074,0.282989,-9.577277,-0.739770,-5.951109,3.563036,-1.525926
6075,0.271615,-9.634719,-0.615905,-6.645405,3.845332,-1.724296
6076,0.268622,-9.735879,-0.737428,-5.813776,3.898740,-1.403851
6077,0.250666,-9.626957,-0.768517,-4.577776,2.502518,-1.976074
6078,0.314713,-9.599420,-0.733788,-4.867702,2.128666,-3.868221
6079,0.240490,-9.571290,-0.726010,-4.547258,3.769036,-2.586444
6080,0.248271,-9.625746,-0.654208,-4.753258,3.837703,-1.167333
6081,0.279396,-9.672432,-0.684142,-4.341258,2.632221,-1.319926
6082,0.221335,-9.709547,-0.744608,-4.814295,3.334147,-0.801111
6083,0.260243,-9.604203,-0.687714,-4.493851,3.044221,-1.808222
6084,0.298551,-9.628745,-0.712852,-4.516739,2.250740,-2.441481
6085,0.326085,-9.627538,-0.630856,-5.035554,3.189184,-1.197852
6086,0.304537,-9.575479,-0.721812,-4.715110,3.402814,-1.068148
6087,0.246476,-9.512636,-0.715218,-4.882961,2.967925,-2.082888
6088,0.239891,-9.594627,-0.690707,-4.547258,3.601184,-0.732444
6089,0.288974,-9.683207,-0.697909,-3.135777,3.387555,-0.755333
6090,0.330873,-9.810679,-0.635101,-4.020813,3.021333,-1.625111
6091,0.268622,-9.762800,-0.630308,-4.844813,3.898740,-2.113407
6092,0.250067,-9.599412,-0.662579,-5.111850,3.700369,-2.952666
6093,0.271018,-9.410280,-0.620623,-5.485702,4.028443,-2.853481
6094,0.274609,-9.541360,-0.688890,-6.538590,4.097110,-1.503037
6095,0.271615,-9.584442,-0.604518,-6.691183,3.868221,-0.495926
6096,0.269221,-9.697568,-0.682356,-5.371258,3.845332,-0.564592
6097,0.304536,-9.697573,-0.717661,-5.424665,3.196814,-1.121555
6098,0.252461,-9.645509,-0.772114,-6.965850,4.371777,-0.885037
6099,0.247673,-9.506642,-0.641603,-5.798517,4.188665,-0.946074
6100,0.283587,-9.660464,-0.692516,-5.287332,3.402814,-0.015259
6101,0.239891,-9.686193,-0.645251,-5.439924,3.135777,-0.930815
6102,0.221934,-9.720318,-0.724263,-5.920591,2.655110,-2.098148
6103,0.260243,-9.600623,-0.771500,-5.920591,2.212592,-1.846370
6104,0.297354,-9.571291,-0.741562,-6.225776,2.105777,-1.884518
6105,0.264433,-9.601208,-0.663175,-6.035035,3.250221,-1.030000
6106,0.245877,-9.614376,-0.664978,-5.020295,3.120517,-1.518296
6107,0.287178,-9.679026,-0.757157,-5.882442,3.372295,-1.632740
6108,0.235103,-9.635930,-0.730818,-5.851924,4.158147,-0.076296
6109,0.275207,-9.525205,-0.721801,-4.356517,2.899258,-2.182073
6110,0.257250,-9.623959,-0.717047,-4.211555,2.533036,-3.402814
6111,0.265031,-9.655087,-0.780494,-5.485702,3.738518,-1.525926
6112,0.256651,-9.664054,-0.693120,-6.248665,3.395184,-0.930815
6113,0.260841,-9.654477,-0.680548,-6.187628,2.693259,-1.976074
6114,0.290770,-9.659276,-0.781089,-6.012146,3.364666,-2.090518
6115,0.262637,-9.512038,-0.723594,-5.539109,3.669851,-1.976074
6116,0.277601,-9.561714,-0.721812,-5.119480,3.265481,-1.861629
6117,0.297354,-9.655679,-0.724232,-5.272072,3.257851,-0.671407
6118,0.272813,-9.655087,-0.790068,-5.211035,3.509629,-1.251259
6119,0.239293,-9.583856,-0.704469,-4.799036,3.875851,-1.213111
6120,0.287777,-9.583854,-0.687105,-3.624073,3.685110,-0.816370
6121,0.262637,-9.638916,-0.688922,-4.165777,3.608814,-0.999481
6122,0.233905,-9.525784,-0.545256,-4.501480,2.548295,-1.678518
6123,0.268024,-9.691587,-0.709286,-3.295999,1.121555,-2.647481
6124,0.310522,-9.586837,-0.621869,-1.998962,1.701407,-4.097110
6125,0.329676,-9.700562,-0.690128,-4.043703,3.089999,-2.410962
6126,0.308128,-9.580860,-0.680518,-4.875332,4.707480,-1.983703
6127,0.260243,-9.571277,-0.623069,-4.325999,4.196295,-2.670370
6128,0.288974,-9.615574,-0.690706,-3.173925,3.631703,-3.875851
6129,0.328479,-9.652670,-0.607523,-2.990814,5.348369,-2.471999
6130,0.381752,-9.737674,-0.729631,-5.005035,8.201849,0.267037
6131,0.245278,-9.689787,-0.660812,-8.140812,11.734366,0.793481
6132,0.301544,-9.580852,-0.613490,-11.879330,9.590442,0.495926
6133,0.233307,-9.695183,-0.738019,-11.444441,7.087924,0.465407
6134,0.325487,-9.655684,-0.763129,-8.514664,4.394665,-0.038148
6135,0.275805,-9.661074,-0.790668,-7.988220,2.601703,-0.785852
6136,0.329078,-9.567100,-0.717616,-8.110294,3.456221,-1.342814
