seq,ax,ay,az,wroll,wpitch,wyaw
220,-6.734496593475342,-0.06584255397319794,-6.812310695648193,-5.211035251617432,3.089999198913574,-1.5717031955718994
221,-6.718335151672363,-0.07781393080949783,-6.815901756286621,-5.180517196655273,3.097628593444824,-1.5869624614715576
222,-6.715940952301025,-0.07063110917806625,-6.85660457611084,-5.22629451751709,3.1357767581939697,-1.5564439296722412
223,-6.71653938293457,-0.10235524922609329,-6.8284711837768555,-5.2720723152160645,3.166295289993286,-1.5793328285217285
224,-6.722525119781494,-0.10415095090866089,-6.8105149269104,-5.233924388885498,3.1357767581939697,-1.5945920944213867
225,-6.681822299957275,-0.05865973234176636,-6.808120250701904,-5.2720723152160645,3.074739933013916,-1.609851360321045
227,-6.69319486618042,-0.08320105075836182,-6.786571502685547,-5.195776462554932,3.1205174922943115,-1.609851360321045
228,-6.690800666809082,-0.06943396478891373,-6.842837333679199,-5.249183654785156,3.1205174922943115,-1.6022217273712158
229,-6.70815896987915,-0.07721535861492157,-6.785374641418457,-5.21866512298584,3.151036024093628,-1.5259255170822144
230,-6.698582172393799,-0.06763826310634613,-6.8326616287231445,-5.21866512298584,3.1205174922943115,-1.5411847829818726
231,-6.719532012939453,-0.0867924615740776,-6.866181373596191,-5.21866512298584,3.1205174922943115,-1.5793328285217285
232,-6.710553169250488,-0.08918673545122147,-6.797346115112305,-5.195776462554932,3.089999198913574,-1.5717031955718994
234,-6.694392681121826,-0.06524398922920227,-6.79674768447876,-5.249183654785156,3.089999198913574,-1.5564439296722412
235,-6.705166339874268,-0.06225114315748215,-6.847626209259033,-5.211035251617432,3.082369565963745,-1.5793328285217285
236,-6.699181079864502,-0.07482108473777771,-6.8015360832214355,-5.211035251617432,3.151036024093628,-1.503036618232727
237,-6.736292362213135,-0.08439818769693375,-6.814704895019531,-5.195776462554932,3.1128878593444824,-1.5717031955718994
238,-6.714145183563232,-0.0682368278503418,-6.8033318519592285,-5.279702186584473,3.1052582263946533,-1.5106662511825562
239,-6.731503009796143,-0.06763826310634613,-6.826675891876221,-5.195776462554932,3.082369565963745,-1.5335551500320435
241,-6.718933582305908,-0.08200391381978989,-6.8105149269104,-5.203405857086182,3.143406391143799,-1.5564439296722412
242,-6.703969478607178,-0.07362394779920578,-6.825478553771973,-5.249183654785156,3.2120730876922607,-1.5869624614715576
243,-6.717137813568115,-0.08260247856378555,-6.8105149269104,-5.21866512298584,3.1357767581939697,-1.5411847829818726
244,-6.699779510498047,-0.0682368278503418,-6.815303325653076,-5.211035251617432,3.082369565963745,-1.5869624614715576
