seq,ax,ay,az,wroll,wpitch,wyaw
1,1.871787,-4.294497,-8.440972,1.619494,-1.562041,0.338211
2,1.793608,-4.284822,-8.538705,1.726309,-0.791449,0.551841
3,1.701467,-4.301009,-8.522779,1.367716,-0.852486,0.788359
4,1.823631,-4.299743,-8.473504,1.047272,-0.280264,1.124063
5,1.771911,-4.367652,-8.487854,0.291939,0.040180,1.085915
6,1.773125,-4.254407,-8.456836,0.215643,0.139366,1.001989
7,1.666521,-4.441672,-8.612167,0.185124,0.131736,0.887544
8,1.784114,-4.319902,-8.539098,2.626606,-0.013227,-0.073789
9,1.717695,-4.544079,-8.692645,2.153569,-0.539671,0.841767
10,1.696019,-4.314771,-8.490518,3.862604,-1.577301,0.177989
11,1.620208,-4.543396,-8.705130,1.817864,-1.913004,0.498433
12,1.748362,-4.607589,-8.553089,3.664234,-2.843819,1.032507
13,1.625983,-4.520597,-8.410585,10.469862,-3.713596,0.666285
14,1.365221,-4.403471,-8.367226,13.109714,-5.155596,-0.485789
15,0.930438,-3.581448,-7.917259,12.812158,-8.978039,-2.187196
16,1.345613,-2.579030,-7.895885,-2.637837,-12.243520,-1.096159
17,1.126068,-2.143637,-7.726862,-27.228127,-13.418482,1.734433
18,1.355768,-2.226105,-7.315430,-48.850491,-9.008558,4.153025
19,1.105885,-1.606248,-8.120918,-65.597519,-11.770482,5.137247
20,1.416605,-1.014271,-8.255339,-85.564255,-11.114334,5.198284
21,2.081775,-1.306966,-8.007576,-119.210915,-5.773595,14.552207
22,0.738971,-2.029072,-7.863490,-143.961426,-4.186633,26.317093
23,1.617043,-1.476656,-8.840392,-143.930908,-13.754186,27.583611
24,2.103863,-0.738593,-10.138729,-138.582550,-8.466852,26.820648
25,0.976364,0.179550,-9.928493,-153.559494,-12.251149,33.427906
26,1.349803,0.252389,-11.522982,-129.793213,-15.348778,29.132425
27,0.689194,1.566730,-10.952188,-98.778770,-15.501370,21.525686
28,0.813767,0.971172,-11.393768,-93.758476,-33.110550,20.747463
29,1.220805,1.771000,-11.600009,-67.726189,-45.150101,12.400652
30,1.025389,1.460934,-11.277134,-50.445084,-50.979141,5.671321
31,-0.465870,2.461273,-10.893976,-25.458054,-53.145950,2.367692
32,-0.874896,2.681988,-11.108347,7.868159,-60.706909,1.459766
33,0.154836,3.182088,-11.121486,23.692005,-59.432762,-5.750232
34,-0.944240,2.965969,-10.485369,18.580158,-49.987289,-3.255343
