seq,ax,ay,az,wroll,wpitch,wyaw
1,1.282582,-2.106520,-9.258500,6.635701,-4.515214,4.251352
2,1.255235,-2.204146,-9.216224,5.750664,-2.470474,4.571796
3,1.052069,-2.173670,-9.348686,6.010072,-2.401808,4.197945
4,1.275127,-2.052148,-9.177958,7.215552,-2.623067,3.000093
5,1.213340,-2.198728,-9.075949,6.650960,-3.920104,2.656760
6,1.249785,-2.139096,-9.357014,6.498368,-4.118474,2.328686
7,1.186113,-2.127840,-9.090633,5.193701,-1.501512,2.069279
8,0.978014,-2.198478,-9.217199,4.491776,-3.294474,2.221871
9,1.131337,-2.170834,-9.136688,3.957702,-3.813289,1.016390
10,0.929632,-2.027103,-9.023549,1.829036,-3.447067,0.016909
11,1.174953,-1.313827,-8.962171,0.516740,-5.339214,0.589131
12,0.756198,-1.070136,-8.336011,-6.761924,-7.513658,3.351056
13,-0.628580,-0.703381,-8.427196,-17.504440,-17.996765,4.175056
14,-0.072476,-1.179872,-8.517092,-26.537918,-31.218910,4.609945
15,0.607881,-0.916058,-8.621700,-37.745842,-47.332684,6.639425
16,1.222156,-1.091642,-8.298091,-44.055546,-57.602161,7.623647
17,-0.567507,-1.284695,-8.852455,-50.807766,-57.586903,15.344831
18,-0.237266,-0.588409,-9.676256,-40.675621,-57.716606,14.909943
19,-0.974251,-0.631107,-10.542227,-44.581989,-64.323860,18.251719
20,-0.544435,0.023127,-10.145470,-38.478287,-74.188972,17.725275
21,-0.976417,-0.949599,-10.785917,-29.803402,-71.221046,18.732386
22,-1.327711,-0.985453,-11.092773,-25.858883,-75.066376,22.234385
23,-0.073046,-0.860949,-10.377159,-21.891476,-62.103642,25.217569
24,-1.753853,-0.146463,-10.180735,-13.262367,-46.378979,26.774014
25,-2.915998,-0.065151,-10.933158,2.279184,-39.268169,28.475420
26,-2.127424,0.287452,-10.180335,11.648367,-32.737206,25.942383
27,-1.490780,0.739626,-10.696066,12.624958,-20.300913,25.400681
28,-3.032026,-0.035762,-10.793877,21.002289,-7.734918,19.564014
29,-3.398061,0.509729,-9.327407,27.426435,-3.927733,10.026980
30,-0.263923,0.340611,-9.983237,27.449324,-8.864102,10.149055
31,0.757356,1.247681,-9.462297,38.893764,11.407818,2.282908
32,-1.633367,-0.092367,-7.426803,55.968872,37.775810,-16.005308
33,-4.894707,-0.714521,-10.078267,54.885464,21.463667,-18.866419
34,-1.205537,-0.672329,-9.288358,46.843838,-18.225655,-13.235752
35,-3.226397,-1.013736,-7.215602,33.972656,-2.546771,-3.744497
36,-1.520059,-2.035698,-7.274582,36.597248,-1.944030,-3.042572
37,-2.795764,-1.150771,-7.032032,39.420208,13.757742,3.740167
38,-2.565102,-0.171577,-7.393880,32.713768,16.908779,8.226388
39,-2.157348,-0.386685,-7.919104,18.583696,29.291664,14.909943
40,-0.739242,0.581939,-7.206130,6.956145,56.323433,21.250162
41,-0.673202,-0.835240,-4.495344,-0.719260,81.638535,22.501421
42,-0.711858,0.666496,-6.013361,-12.705406,86.490982,16.886015
43,-3.122849,1.659669,-9.751423,-40.393322,59.825432,6.998018
44,-0.902222,2.656191,-13.124195,-71.621384,26.697590,-14.227604
45,1.250655,0.339689,-12.938308,-92.671524,0.527969,-33.286419
46,0.524171,-0.511643,-12.388196,-107.274628,2.206487,-48.698265
47,-1.774954,1.193675,-11.737457,-107.312775,-15.540027,-54.016113
