seq,ax,ay,az,wroll,wpitch,wyaw
1,1.282582,-2.106520,-9.258500,6.635701,-4.515214,4.251352
2,1.255235,-2.204146,-9.216224,5.562135,-2.389482,4.421915
3,1.052069,-2.173670,-9.348686,5.630690,-2.244731,3.915352
4,1.275127,-2.052148,-9.177958,6.612054,-2.385145,2.628410
5,1.213340,-2.198728,-9.075949,5.849203,-3.561465,2.210163
6,1.249785,-2.139096,-9.357014,5.509853,-3.636574,1.820387
7,1.186113,-2.127840,-9.090633,4.067324,-0.986184,1.509805
8,0.978014,-2.198478,-9.217199,3.255067,-2.688036,1.607898
9,1.131337,-2.170834,-9.136688,2.631789,-3.101717,0.389224
10,0.929632,-2.027103,-9.023549,0.486629,-2.645815,-0.590251
11,1.174953,-1.313827,-8.962171,-0.798599,-4.389190,-0.017438
12,0.756198,-1.070136,-8.336011,-8.077263,-6.563634,2.744487
13,-0.628580,-0.703381,-8.427196,-18.819778,-17.046741,3.568487
14,-0.072476,-1.179872,-8.517092,-27.853256,-30.268887,4.003376
15,0.607881,-0.916058,-8.621700,-39.061180,-46.382660,6.032856
16,1.222156,-1.091642,-8.298091,-45.370884,-56.652138,7.017078
17,-0.567507,-1.284695,-8.852455,-52.123104,-56.636879,14.738262
18,-0.237266,-0.588409,-9.676256,-41.990959,-56.766582,14.303373
19,-0.974251,-0.631107,-10.542227,-45.897327,-63.373840,17.645149
20,-0.544435,0.023127,-10.145470,-39.793625,-73.238945,17.118706
21,-0.976417,-0.949599,-10.785917,-31.118740,-70.271019,18.125816
22,-1.327711,-0.985453,-11.092773,-27.174221,-74.116348,21.627815
23,-0.073046,-0.860949,-10.377159,-23.206814,-61.153618,24.611000
24,-1.753853,-0.146463,-10.180735,-14.577705,-45.428955,26.167444
25,-2.915998,-0.065151,-10.933158,0.963845,-38.318146,27.868851
26,-2.127424,0.287452,-10.180335,10.333028,-31.787184,25.335814
27,-1.490780,0.739626,-10.696066,11.309620,-19.350889,24.794111
28,-3.032026,-0.035762,-10.793877,19.686951,-6.784894,18.957445
29,-3.398061,0.509729,-9.327407,26.111097,-2.977710,9.420411
30,-0.263923,0.340611,-9.983237,26.133986,-7.914078,9.542485
31,0.757356,1.247681,-9.462297,37.578426,12.357841,1.676340
32,-1.633367,-0.092367,-7.426803,54.653534,38.725834,-16.611877
33,-4.894707,-0.714521,-10.078267,53.570126,22.413691,-19.472988
34,-1.205537,-0.672329,-9.288358,45.528500,-17.275631,-13.842321
35,-3.226397,-1.013736,-7.215602,32.657314,-1.596747,-4.351066
36,-1.520059,-2.035698,-7.274582,35.281906,-0.994006,-3.649141
37,-2.795764,-1.150771,-7.032032,38.104870,14.707766,3.133598
38,-2.565102,-0.171577,-7.393880,31.398428,17.858803,7.619819
39,-2.157348,-0.386685,-7.919104,17.268358,30.241688,14.303373
40,-0.739242,0.581939,-7.206130,5.640807,57.273457,20.643593
41,-0.673202,-0.835240,-4.495344,-2.034599,82.588562,21.894852
42,-0.711858,0.666496,-6.013361,-14.020744,87.441010,16.279448
43,-3.122849,1.659669,-9.751423,-41.708660,60.775455,6.391449
44,-0.902222,2.656191,-13.124195,-72.936729,27.647614,-14.834173
45,1.250655,0.339689,-12.938308,-93.986870,1.477993,-33.892986
46,0.524171,-0.511643,-12.388196,-108.589973,3.156511,-49.304832
47,-1.774954,1.193675,-11.737457,-108.628120,-14.590003,-54.622681
48,0.885906,1.304028,-10.728339,-111.267975,-25.569036,-47.923870
49,-0.140760,1.571759,-11.018997,-104.370789,-20.182520,-40.156910
50,-0.894048,1.785340,-9.559075,-100.433907,-27.819777,-35.037430
51,0.268306,2.478204,-9.092360,-91.308868,-24.813704,-20.068098
52,-1.098021,4.214296,-9.737744,-82.023613,-24.424593,-9.714694
53,-0.723923,5.165017,-10.123271,-81.672646,-22.746075,-9.111954
54,-0.444601,5.597665,-9.146973,-87.005760,-22.440889,-1.779882
55,-1.502401,4.415865,-8.035454,-69.549171,-20.747112,16.859297
56,-1.991863,5.409811,-7.456949,-42.669994,-24.905258,10.129967
57,-1.131179,5.683919,-8.614293,-19.910816,-29.879776,2.897080
58,-1.919604,6.054731,-8.269031,-2.469487,-25.920000,5.880264
59,-1.328496,5.911364,-7.744390,-8.397709,-36.876144,4.133080
60,-1.073927,5.196750,-7.588823,2.855993,-37.578072,4.407746
61,-1.543293,6.733027,-8.040506,13.270433,-34.343105,4.094931
62,-2.512338,5.993929,-9.046231,13.522211,-29.612740,3.423524
63,-1.896294,5.951175,-8.694149,7.108887,1.791134,-1.241863
64,-2.061470,3.838022,-8.761415,1.943629,44.761196,12.911097
65,-2.246567,3.011376,-7.156244,9.176516,34.087345,32.030941
66,-2.183804,4.252502,-8.850929,40.885246,26.328014,28.948572
67,-2.330837,4.827420,-10.263153,76.828423,32.065495,1.459025
68,-1.859040,5.991439,-10.938804,64.491310,29.219643,2.000729
69,-1.541524,6.712862,-9.372076,17.347845,10.153206,25.095612
70,-1.504313,5.455710,-8.610350,-21.204662,-1.153902,17.038725
71,-1.115204,6.071860,-8.334089,-16.283552,0.303356,13.643540
72,-0.767691,5.166631,-7.754977,-10.500293,2.737208,14.681170
73,-1.151076,7.569959,-7.775277,-10.614738,3.736689,3.267247
74,-0.952475,4.895338,-7.589916,-16.710812,-10.988491,4.411691
75,-0.824970,5.778064,-8.157758,-2.763851,-14.971157,0.375618
76,-0.886794,6.193773,-7.448904,2.149629,-9.508344,-1.806455
77,-0.682190,5.057377,-6.737362,9.802145,-5.846123,-0.829863
78,-1.060304,6.388234,-7.651361,16.531475,-4.343086,-1.966678
79,-1.327312,6.032167,-7.793764,15.234440,-3.778494,-1.638603
80,-0.948649,5.951459,-8.453542,13.731403,0.936616,-1.638603
81,-0.390212,5.757222,-9.407467,8.787405,9.832762,1.100433
82,-0.367175,4.331429,-9.090065,0.226963,21.628164,4.884728
83,-0.000714,4.230118,-8.733717,-5.190073,29.173866,2.809469
84,0.168895,3.280129,-9.183392,0.440592,35.208900,-0.211863
85,0.119378,4.062408,-8.722610,8.398293,21.574757,-3.980899
86,1.102227,4.224666,-9.072574,10.458293,9.756465,-5.018528
87,0.050448,3.866935,-9.088126,5.743183,3.835874,-5.636528
88,0.683179,3.594765,-8.066620,7.353034,-3.931087,-8.345045
89,0.584953,3.980473,-8.834960,5.155702,-12.247380,-9.581045
90,0.354103,3.670211,-7.878331,4.957332,-15.428935,-10.138008
91,0.674906,3.868418,-8.542830,12.869256,-19.129305,-8.451860
92,0.322379,4.866742,-8.519004,14.730885,-15.802787,-12.236156
93,-0.274917,5.134207,-9.283367,6.841849,-21.113008,-14.616600
94,-1.192761,5.589379,-10.167777,7.269109,-33.701893,-13.884155
95,-1.496697,5.024868,-9.005409,10.717701,-34.853966,-13.876526
96,-1.357943,4.490920,-9.298680,11.862144,-31.435894,-11.152748
97,-2.735990,4.275196,-8.860124,10.191257,-23.050934,-9.954897
98,-3.685599,4.266632,-9.101649,8.688220,-16.283453,-10.527119
99,-2.915159,4.792362,-8.679502,8.787405,-7.341530,-8.360305
100,-2.920058,4.507190,-8.301806,0.721328,-3.883385,-3.466656
101,-3.296492,4.437309,-8.035726,4.887105,3.318983,5.322675
102,-3.569599,4.752383,-7.695324,1.171476,10.216166,9.114599
103,-2.776141,3.841644,-8.680298,-2.147412,11.017277,12.700524
104,-2.892547,4.371182,-8.354886,3.704512,10.406907,15.683709
105,-2.805034,4.485518,-8.129470,8.320437,7.583946,15.515857
106,-2.000610,4.726122,-8.533847,7.130215,4.120095,15.195413
107,-1.611509,4.967161,-8.319496,1.354587,5.012761,15.180154
108,-1.218696,5.034276,-9.064826,-4.985634,7.080389,15.866820
110,-0.437013,5.200512,-8.686879,-11.898075,17.662683,21.299114
111,0.163780,4.543766,-8.350379,-20.283037,14.214090,22.519855
112,0.490429,4.143242,-8.822985,-7.541560,11.810759,24.076300
113,0.685555,5.488851,-8.385016,1.034143,10.025426,18.758450
114,1.057722,4.550402,-8.464401,0.576365,5.089057,14.142524
115,0.850830,5.150889,-8.514207,5.352512,3.502095,9.992006
116,0.255146,5.138640,-9.094205,0.377995,0.961429,6.444230
117,0.583498,5.118881,-8.292938,-5.130597,1.487873,2.873565
118,1.348948,3.884628,-8.451355,-4.466818,-0.953608,0.844084
119,1.027058,4.824320,-8.885691,-2.298396,-1.069935,-0.969427
120,0.734515,4.555169,-8.556973,-3.336025,-0.123861,-1.854464
121,0.716091,4.884812,-8.583308,0.135455,-4.152304,-4.753723
122,0.636057,4.910735,-8.942030,-1.077656,-5.991045,-5.539574
123,0.562029,4.988782,-8.409212,-1.153952,-7.600895,-7.515647
124,0.193749,4.855754,-8.279719,3.088121,-8.165488,-9.094980
125,-0.381977,4.632109,-8.251845,7.231009,-15.016894,-7.828462
126,-0.537520,5.286593,-8.140461,5.903453,-19.541262,-7.042611
127,-0.588775,5.126852,-8.665459,6.391749,-16.237635,-7.057869
128,-1.218313,5.457412,-8.417640,11.274711,-9.813488,-6.905277
129,-1.185211,5.508951,-8.358385,10.183674,-8.745340,-8.141277
130,-1.119336,5.979101,-8.640423,8.276267,-5.739267,-8.301499
131,-1.792927,5.634093,-8.302280,2.647423,-2.901871,-4.870919
132,-2.316582,4.984115,-7.960502,5.241497,-9.463350,-0.148179
133,-2.503838,5.307014,-8.273076,7.476977,-17.215052,1.957598
134,-1.671473,5.217180,-8.560920,7.255718,-12.446535,1.568487
135,-2.024560,5.241803,-7.923337,9.681940,-3.893723,4.963671
136,-1.376553,5.344512,-8.300618,5.460773,-0.223912,5.472477
137,-1.477859,5.061366,-8.516806,1.333145,4.857420,5.556403
138,-1.235931,4.921653,-8.276245,-1.238039,11.647788,5.350403
139,-0.974113,5.124215,-8.610029,-3.931298,9.381788,3.854996
140,-0.028845,5.499743,-9.020719,-9.165222,12.342084,5.243588
141,-0.418873,5.015641,-8.455909,-8.119965,12.113194,4.015218
142,0.192795,4.599004,-8.692586,-5.350409,8.176308,1.543219
143,0.594753,4.955172,-8.254694,0.256309,3.709321,-1.009024
144,0.206375,5.000788,-8.288679,2.240371,-2.515130,-2.031212
145,0.184201,5.042609,-8.272142,3.775654,-4.676041,-2.894438
146,0.413809,5.157555,-8.284506,3.194344,-3.607685,-2.179669
147,0.756795,5.387923,-8.098657,-0.238533,-0.884447,-1.901585
148,0.012326,5.835432,-7.898394,-10.637715,-1.403262,-3.023140
149,0.487942,5.832125,-8.694739,-14.139714,-3.257262,-5.151806
150,0.546733,6.009611,-8.702488,-6.410901,-6.202298,-1.352252
151,-0.264577,6.508352,-8.461359,-2.954680,-14.243925,1.257081
152,-1.537237,5.889224,-7.893520,-0.490310,-30.624737,3.187376
153,-2.200728,5.139241,-7.931165,3.431318,-35.522957,6.780931
154,-2.153271,5.366662,-8.230165,6.689169,-24.002220,5.949301
155,-2.132803,5.044122,-7.894946,6.841761,-13.526740,7.124264
156,-3.085365,5.755010,-8.285578,7.513168,-4.287261,6.811449
157,-2.203582,5.410098,-7.809632,6.826502,-3.516669,7.467597
158,-1.831830,5.692277,-7.358093,0.341319,-5.118891,7.116634
159,-3.280223,4.983225,-7.516249,-0.681051,-3.478521,11.274781
160,-2.498535,5.818340,-7.776339,2.271615,-3.776076,12.526040
161,-2.453152,5.958123,-8.632147,4.850429,-6.042076,11.770707
162,-1.907516,5.560063,-7.906398,12.258797,-5.004447,12.259004
163,-1.078385,5.964342,-8.174335,10.130131,3.555995,10.679670
164,-0.437833,5.791615,-8.760873,1.867244,21.989174,8.123745
165,-0.225297,5.441309,-8.523380,-5.831050,29.199173,8.451819
166,-0.303270,4.787863,-8.218843,3.957762,25.254654,13.876485
167,0.347835,5.410305,-8.455480,6.414502,12.581845,11.106930
168,0.445560,5.510378,-8.288977,-0.421644,2.945625,9.184263
169,0.864401,5.214037,-8.362933,-3.923643,-1.426151,9.375004
170,0.641284,5.267074,-8.244375,-2.847866,-6.179409,8.467078
171,0.673195,4.862978,-8.229098,-4.015198,-2.013632,8.001671
172,1.225999,5.114301,-8.470155,-1.101494,-1.563884,6.551246
173,0.718423,5.378284,-8.214370,3.672256,-1.379783,5.827285
174,0.601797,5.462423,-8.561777,1.721749,-2.537406,2.662306
175,0.729966,5.369975,-8.540507,-0.238607,-5.073942,-0.029937
176,0.791371,5.517169,-7.936933,0.588340,-6.715576,-2.501088
177,0.951947,5.484536,-8.514024,-7.315954,-7.776094,-5.018865
178,0.601204,4.596653,-8.409056,-8.513807,-8.478020,-7.429827
179,0.274916,5.712072,-8.458207,2.694117,-10.950019,-8.024939
180,0.055188,5.405359,-7.868465,7.271893,-10.171797,-7.467975
181,-0.884224,5.926152,-8.693465,6.646264,-14.680907,-5.758939
182,-1.382012,5.678522,-8.227025,14.283521,-9.851353,-5.575828
183,-1.297090,5.638432,-7.706423,16.038336,-5.227798,-9.093086
184,-1.873111,6.118737,-7.784377,15.664483,-6.662168,-12.137307
185,-1.852032,5.847652,-7.560415,8.645226,-2.481133,-11.633752
186,-1.961734,5.877408,-7.545213,5.852783,-2.244614,-11.214123
187,-2.339746,5.597521,-7.716797,6.844634,-0.085430,-8.047827
188,-2.063038,5.664518,-7.722019,8.515523,-1.809725,-8.124124
189,-1.502936,5.582139,-8.238625,8.370560,0.952200,-7.941012
190,-2.018365,5.251276,-8.502446,7.661004,6.781235,-5.621605
191,-1.096950,5.248801,-7.977315,7.874634,8.001975,-9.589012
192,-1.158094,5.212245,-8.404305,0.771451,9.062493,-10.275679
193,-0.611262,4.904572,-8.958466,-3.813956,7.162716,-8.520864
194,-0.212124,4.768160,-8.469415,-0.327216,-0.428763,-8.642938
195,-0.206655,5.247908,-8.719703,2.999302,-3.205947,-7.750271
196,-0.045194,4.886981,-8.905165,2.823820,-6.509575,-6.827086
197,-0.824578,5.869413,-8.404049,4.081693,-2.193165,-4.677219
198,-1.124226,6.034019,-7.897341,-6.363267,-0.552795,-0.664035
199,-1.287044,6.340056,-8.846010,-16.640375,-9.471829,-1.831368
200,-0.852455,5.569580,-8.408316,-4.234601,-3.322350,-1.274405
201,-1.178129,5.922897,-7.567851,3.682217,0.601770,0.811496
202,-1.770724,5.337065,-7.920177,1.008193,1.917731,2.696182
203,-1.800632,5.983796,-8.242605,1.875440,-2.668772,1.648456
204,-1.429312,5.664015,-7.925065,0.714410,-2.699352,1.734623
205,-1.039869,4.844594,-8.120451,-1.072711,-1.009505,3.832569
206,-1.126812,5.626231,-7.958706,4.069069,-2.872941,3.094424
