seq,ax,ay,az,wroll,wpitch,wyaw
1,0.415495,-9.957416,-0.208043,1.991464,-1.825870,-0.050245
2,0.366309,-9.948359,-0.323681,1.785965,-1.315862,0.039957
3,0.469479,-9.933336,-0.314248,2.708887,-1.582661,0.282170
4,0.379949,-9.853866,-0.261807,1.550052,-1.730022,0.058914
5,0.286747,-9.782573,-0.127329,1.919867,-2.433394,0.359542
6,0.271449,-9.902512,-0.521330,0.964007,-3.740963,0.318237
7,0.804141,-9.490535,-0.313228,-1.510210,-3.839705,0.787471
8,0.864021,-9.845498,-0.916570,-11.131171,-1.985705,0.871397
9,0.997475,-9.720448,-1.286720,-13.076726,1.005109,-0.494306
10,0.219736,-9.606941,-0.003545,-21.606649,3.065108,-3.050231
11,0.400950,-9.199008,0.387570,-38.101902,-5.647926,-4.377787
12,0.685382,-10.484475,0.401272,-56.565601,-12.423036,-4.034453
13,1.176206,-10.266048,-1.328430,-59.281750,-9.485629,-6.651415
14,1.408170,-9.141107,-1.567995,-55.146492,-5.495333,-5.690083
15,1.611708,-9.549110,-1.319805,-44.884640,-0.597113,-2.722157
16,1.820946,-9.624786,-1.399081,-32.951904,3.187182,2.481249
17,1.088420,-9.580867,-0.924579,-24.757685,5.567626,7.005618
18,0.733987,-9.718615,-1.259181,-25.749537,-2.458742,10.484728
19,-0.133348,-10.060927,-2.359822,-29.709312,-10.919999,14.917542
20,-0.735488,-10.255406,-3.629821,-25.696129,-21.311550,15.802578
21,-0.604949,-7.917944,-2.994006,-31.586201,-24.783031,17.954132
22,-1.456969,-8.697056,-3.449503,-45.395828,-34.823620,11.529986
23,-0.550710,-10.796766,-4.646722,-47.265087,-46.313839,-1.867639
24,0.803204,-9.487028,-3.467212,-36.293682,-31.184288,3.457841
25,-0.043132,-8.894662,-3.809840,-36.637016,-16.939774,14.001987
26,-1.522041,-8.658753,-4.066086,-39.437088,-14.925553,14.093541
27,-1.171131,-8.677258,-4.104061,-30.708794,-7.395112,9.416580
28,-0.647095,-8.692245,-4.386643,-23.910795,-0.459780,3.618063
29,-0.744021,-8.704014,-3.986316,-16.830502,5.247180,-4.133638
30,-0.976947,-9.496708,-3.899770,-6.850950,12.403771,-13.579117
31,0.089027,-10.033272,-5.047670,5.631121,23.924509,-24.230078
32,0.349128,-8.627501,-5.302597,5.798973,32.126358,-29.845484
33,0.805789,-6.738071,-4.353128,-8.895690,12.319845,-19.858301
34,0.631198,-9.387033,-4.556447,-15.106208,18.194660,-2.874750
35,-0.664514,-9.918799,-4.712549,-9.872283,19.728214,1.405471
36,0.884094,-7.858337,-4.603452,-5.561543,2.859108,-4.614305
37,0.986828,-7.737354,-4.373049,-10.681024,-2.130668,2.893249
38,1.113572,-8.284226,-5.105886,-2.067173,4.018812,13.391616
39,-0.100938,-9.270658,-5.564555,4.212009,4.667329,14.360578
40,-0.585120,-6.673732,-5.154088,-7.369765,-1.299039,7.730432
41,0.067292,-8.248832,-5.044075,-25.184944,1.333183,12.682060
42,0.174466,-8.532995,-5.148887,-27.382275,0.821998,8.699396
43,0.487757,-8.641949,-4.735398,-21.530352,1.989331,4.236063
44,0.450130,-8.639171,-4.869393,-19.645834,7.070662,6.669914
45,0.140573,-8.136870,-4.519727,-23.536943,11.457698,11.438432
46,-0.061359,-8.321809,-5.301489,-26.481981,11.106735,13.338208
47,-0.230325,-8.019503,-5.132226,-27.573017,8.566069,10.850950
48,-0.204374,-8.097007,-5.094536,-36.270794,5.064071,8.478136
49,0.269432,-8.667123,-5.343417,-38.124790,4.247700,8.501025
50,-0.137513,-8.471991,-5.702845,-36.865902,3.988293,7.707542
51,0.016548,-7.652538,-5.780607,-30.571461,0.722813,4.739619
52,0.072975,-7.823278,-5.956418,-32.005829,2.721775,4.686211
53,-0.083291,-7.129671,-5.830339,-32.158424,-2.062001,0.665397
54,-0.168918,-7.636530,-6.043211,-38.872494,-4.640816,0.634879
55,-0.038575,-7.351460,-6.543123,-39.459976,-5.678445,-0.868158
56,-0.405548,-7.716065,-6.851965,-33.508865,-4.099113,-2.996824
57,-0.579938,-7.579397,-7.736083,-21.454056,-2.741038,-3.851342
58,0.533169,-6.717400,-7.944780,-2.774251,-1.374524,-2.190145
59,-0.042955,-5.926557,-6.852699,4.351821,-1.435561,-1.511108
60,-0.381556,-6.221254,-7.191155,-2.041284,-3.358823,-1.741989
61,-0.517292,-6.781802,-7.304526,3.486467,-1.979434,-0.467262
62,-0.736907,-6.687388,-7.023655,6.213273,-1.980956,-1.263688
63,-0.308188,-6.530732,-7.304005,2.386244,-5.775490,-2.034005
64,0.034539,-6.742890,-7.252352,-4.621336,-3.084497,-3.059488
65,-0.179930,-6.981499,-6.860856,-0.160202,-3.071929,-1.394732
66,-0.317691,-6.932724,-6.394806,-1.852236,-0.742612,-3.422646
67,0.076938,-7.488502,-6.794848,-6.056160,3.102721,-3.094572
68,-0.145846,-7.066853,-7.024879,-6.048531,5.071166,-3.430276
69,-0.013104,-6.884109,-6.947952,-2.134532,6.825980,1.307723
70,-0.170771,-6.807360,-6.784486,0.348543,5.613345,3.375386
71,-0.064824,-6.634744,-6.348382,-3.420493,4.293419,1.773165
72,-0.308818,-6.873367,-6.709275,-11.057750,7.001936,3.169387
73,-0.128964,-6.937028,-7.030105,-10.485528,4.346827,2.238573
74,-0.005671,-6.856703,-7.022483,-10.409232,3.408382,0.369314
75,0.117709,-6.662039,-7.331622,-11.919898,3.141344,0.209092
76,-0.110802,-6.637820,-7.508983,-10.050639,2.530975,0.445610
77,-0.001627,-6.445370,-7.069462,-6.174788,1.928234,0.552425
78,-0.010050,-6.393989,-6.804045,-7.815159,-0.879469,0.109907
79,0.099617,-6.767782,-7.344042,-9.318194,-1.383023,0.987314
80,-0.034184,-6.740655,-7.603989,-1.611072,-1.603345,0.091544
81,-0.053865,-6.601611,-7.557606,3.533599,-0.702139,-0.664165
82,0.051207,-6.236078,-7.079786,3.580103,0.324491,-2.022358
83,0.149611,-6.293543,-7.186908,-2.625352,0.823040,-2.059370
84,0.227677,-6.864593,-7.298450,-1.926786,2.013674,-0.538095
85,0.202654,-6.838601,-7.198436,1.730198,4.043435,0.475779
86,-0.078852,-6.704979,-7.122105,3.260068,2.213591,0.024790
87,0.125723,-6.703496,-7.218875,4.525777,2.030329,0.119911
88,-0.007499,-6.962350,-7.125371,5.550745,2.672198,-0.149683
89,0.065678,-6.849550,-7.017096,3.516515,3.101159,-0.705618
90,-0.096366,-6.802879,-7.125256,1.334970,2.283679,-1.021941
91,-0.192026,-6.705959,-7.130661,2.066052,-1.207897,-0.981059
92,0.192316,-6.597824,-7.118242,3.998163,-4.156994,-1.391665
93,0.112731,-6.429322,-6.790399,5.180639,-5.622063,-2.106130
94,-0.079954,-6.871971,-6.913235,4.154775,-5.865760,-2.428195
95,-0.358852,-7.101383,-7.212595,5.915097,-6.854177,-4.562439
96,0.076123,-6.728900,-6.872831,7.042106,-6.622092,-5.726416
98,-0.084356,-7.485558,-6.787477,-4.058762,-3.379400,-3.354351
99,0.069506,-7.091953,-6.553319,-2.560492,-1.158073,-2.277667
100,0.234701,-7.471173,-6.404984,-2.661037,-0.448572,-0.151496
101,0.163737,-7.362132,-6.703864,-0.839616,1.735706,-0.242463
102,0.059753,-7.089343,-6.284682,-0.192212,5.811322,-0.160719
103,0.146928,-7.701535,-6.657625,-3.968878,8.069692,0.251281
104,0.239699,-7.558758,-6.718516,-1.565545,9.969469,0.586985
105,0.247480,-7.471618,-7.012831,4.293445,7.310709,1.785358
106,0.363810,-6.973695,-6.776035,7.146926,8.821376,5.356024
107,0.011761,-7.144411,-6.760638,5.547414,5.078571,6.316876
108,0.578684,-6.837750,-6.492385,5.970667,1.428953,6.279512
109,0.215965,-6.502421,-5.812645,0.637557,4.412137,8.347141
110,-0.029073,-7.518611,-6.321249,-10.257550,0.009842,11.925436
111,-0.104393,-7.644799,-6.503374,-9.532735,-0.341121,15.168028
112,0.067435,-8.292195,-6.327464,10.922295,6.632359,15.892842
113,-0.035584,-7.336225,-6.188207,42.577618,8.165914,14.702621
114,-0.911141,-7.355133,-6.640077,43.622879,8.089618,13.199584
115,-0.279810,-7.198660,-6.455679,24.312290,4.847026,11.551584
116,-0.162408,-7.924999,-6.451347,15.583999,4.763100,14.969658
117,-0.492731,-7.283854,-6.148424,15.904443,-4.636601,11.536325
118,-0.478094,-6.905113,-5.620049,10.807852,-6.215934,8.919363
119,-0.188629,-7.364738,-5.396050,1.446298,-6.391415,7.340030
120,-0.478067,-8.523061,-5.448888,5.059114,-6.772240,8.235838
121,-0.812761,-8.277766,-5.696719,6.354397,-10.299005,1.235733
122,-0.108694,-7.800739,-5.972264,10.750883,-4.559570,-1.527815
123,-0.465049,-7.217972,-5.327275,5.867920,8.441315,0.639000
124,-0.577287,-7.738704,-5.494590,-3.905632,11.378721,3.568777
125,0.186973,-8.094841,-5.513612,-2.448372,10.508945,3.927370
126,0.057142,-7.635826,-6.049370,-2.005854,13.240351,4.423295
127,-0.880651,-7.363878,-5.243436,0.817108,13.759166,7.375961
128,-0.361914,-7.382514,-5.324172,2.823700,5.587833,6.101814
129,-0.000117,-7.539423,-5.718858,4.841664,4.806904,4.971956
