seq,ax,ay,az,wroll,wpitch,wyaw
1,-0.030095,-9.963686,-0.077189,7.078219,-5.117955,1.291057
2,-0.077551,-9.952934,-0.192880,6.933256,-4.652548,1.382612
3,0.025319,-9.938303,-0.181819,7.947997,-4.972992,1.634390
4,-0.063796,-9.860583,-0.134206,6.841701,-5.178992,1.413131
5,-0.157705,-9.792197,-0.005284,7.276589,-5.964844,1.725946
6,-0.169115,-9.904564,-0.391752,6.353405,-7.399214,1.695427
7,0.363355,-9.501239,-0.186942,3.827998,-7.628102,2.191353
8,0.427196,-9.842514,-0.771884,-5.792963,-5.774103,2.275279
9,0.566223,-9.713404,-1.138922,-7.738517,-2.783289,0.909575
10,-0.224318,-9.620629,0.110506,-16.268442,-0.723289,-1.646350
11,-0.044585,-9.223917,0.489039,-32.763695,-9.436324,-2.973905
12,0.225821,-10.493689,0.546915,-51.227394,-16.211433,-2.630572
13,0.739423,-10.251644,-1.160141,-53.943542,-13.274027,-5.247534
14,0.985038,-9.137204,-1.425737,-49.808285,-9.283731,-4.286201
15,1.180641,-9.544043,-1.163784,-39.546432,-4.385510,-1.318276
16,1.389462,-9.617672,-1.235524,-27.613697,-0.601215,3.885130
17,0.653645,-9.581193,-0.782954,-19.419477,1.779227,8.409499
18,0.303243,-9.711869,-1.117301,-20.411329,-6.247140,11.888610
19,-0.550671,-10.032473,-2.214095,-24.371105,-14.708397,16.321423
20,-1.136581,-10.204635,-3.477214,-20.357922,-25.099949,17.206459
21,-0.991071,-7.906246,-2.915226,-26.247993,-28.571430,19.358015
22,-1.842376,-8.668129,-3.360542,-40.057621,-38.612019,12.933868
23,-0.944822,-10.723679,-4.463028,-41.926880,-50.102238,-0.463758
24,0.402844,-9.449228,-3.306783,-30.955475,-34.972687,4.861722
25,-0.430436,-8.858515,-3.681218,-31.298809,-20.728172,15.405869
26,-1.898959,-8.620777,-3.972942,-34.098881,-18.713951,15.497423
27,-1.548872,-8.638664,-4.002542,-25.370586,-11.183509,10.820462
28,-1.023043,-8.649409,-4.270542,-18.572588,-4.248178,5.021945
29,-1.124904,-8.667138,-3.876260,-11.492294,1.458783,-2.729757
30,-1.366174,-9.451127,-3.771945,-1.512741,8.615374,-12.175235
31,-0.294311,-9.963915,-4.868868,10.969330,20.136110,-22.826195
32,-0.017625,-8.571937,-5.157436,11.137181,28.337959,-28.441601
33,0.444437,-6.720992,-4.264960,-3.557481,8.531447,-18.454418
34,0.246342,-9.333619,-4.390796,-9.768000,14.406261,-1.470868
35,-1.048581,-9.855609,-4.556713,-4.534074,15.939816,2.809353
36,0.514420,-7.823449,-4.477518,-0.223334,-0.929289,-3.210423
37,0.615094,-7.707582,-4.251055,-5.342815,-5.919066,4.297130
38,0.745310,-8.236409,-4.956952,3.271035,0.230414,14.795498
39,-0.469373,-9.202770,-5.406881,9.550219,0.878932,15.764461
40,-0.931119,-6.644345,-5.088508,-2.031556,-5.087437,9.134314
41,-0.298059,-8.201820,-4.918962,-19.846737,-2.455215,14.085942
42,-0.192746,-8.480880,-5.011902,-22.044067,-2.966400,10.103277
43,0.113151,-8.595013,-4.593040,-16.192144,-1.799067,5.639944
44,0.077389,-8.590185,-4.726458,-14.307627,3.282265,8.073795
45,-0.230600,-8.099370,-4.402101,-18.198736,7.669300,12.842314
46,-0.423736,-8.269850,-5.174119,-21.143774,7.318337,14.742090
47,-0.591286,-7.973833,-5.019276,-22.234810,4.777671,12.254832
48,-0.566682,-8.050963,-4.979137,-30.932587,1.275673,9.882018
49,-0.096943,-8.610390,-5.198314,-32.786583,0.459302,9.904906
50,-0.496020,-8.411934,-5.568248,-31.527695,0.199895,9.111424
51,-0.333206,-7.601614,-5.666338,-25.233253,-3.065585,6.143500
52,-0.276428,-7.767545,-5.833957,-26.667622,-1.066623,6.090092
53,-0.426826,-7.084459,-5.733223,-26.820217,-5.850399,2.069279
54,-0.514555,-7.581659,-5.930482,-33.534286,-8.429214,2.038760
55,-0.375358,-7.292529,-6.430707,-34.121769,-9.466843,0.535724
56,-0.740874,-7.647617,-6.733075,-28.170658,-7.887509,-1.592943
57,-0.902009,-7.498951,-7.615344,-16.115849,-6.529436,-2.447461
58,0.218888,-6.645141,-7.823962,2.469924,-5.209511,-0.860498
59,-0.361415,-5.880667,-6.779485,9.595997,-5.270548,-0.181461
60,-0.697567,-6.166281,-7.112630,3.133702,-7.307658,-0.471387
61,-0.837060,-6.718001,-7.210928,8.779627,-5.995362,0.787501
62,-1.058619,-6.628968,-6.940561,11.717033,-6.064029,-0.051758
63,-0.626104,-6.470196,-7.213480,7.970886,-10.054324,-0.891017
64,-0.287271,-6.680689,-7.148827,0.806665,-7.467880,-2.020202
65,-0.508468,-6.922223,-6.759001,5.262368,-7.559436,-0.402720
66,-0.651266,-6.881154,-6.302377,3.507554,-5.255288,-2.546646
67,-0.258371,-7.424048,-6.673174,-0.696371,-1.409956,-2.218572
68,-0.473252,-7.004004,-6.917978,-0.688742,0.558488,-2.554276
69,-0.340079,-6.824803,-6.844531,3.225257,2.313302,2.183723
