seq,ax,ay,az,wroll,wpitch,wyaw
1,0.867660,-9.882708,-1.083835,-6.012146,2.006592,-0.289926
2,0.829826,-9.839329,-1.120353,-4.287850,1.091037,-0.053407
3,0.950226,-9.812516,-1.088560,-3.723258,1.571703,-0.602741
4,0.907739,-9.761333,-0.915151,-3.128147,1.983703,-1.174963
5,0.932428,-10.017060,-1.092728,-4.852443,0.358593,-1.457259
6,0.972360,-9.794290,-1.109792,-3.379925,1.419111,-1.442000
7,0.967515,-9.645027,-0.957870,-3.563036,2.830592,-1.907407
8,0.994136,-9.804183,-1.048790,-5.256813,2.418592,-2.243110
9,0.937505,-9.880405,-1.104046,-5.096591,1.747185,-1.976074
10,1.050686,-9.976966,-1.065723,-4.013184,2.861110,-2.212592
11,0.927311,-9.967698,-0.893572,-2.739036,4.829554,-2.731407
12,0.640588,-9.934180,-0.377891,-6.149480,1.792962,-5.043184
13,0.286743,-9.510488,-0.492895,-7.362590,-9.407331,-4.921110
14,0.647283,-9.445537,-0.323519,-13.481550,-21.301920,-3.357036
15,-0.131842,-10.347413,-1.181785,-9.926146,-28.084658,-1.472518
16,-0.472302,-9.705886,-1.051885,-2.433851,-45.381023,-4.760888
17,0.948043,-10.467786,-0.991567,2.655110,-58.381908,-7.705924
18,1.540905,-8.794918,-0.903884,17.792292,-72.038940,-12.443922
19,0.504946,-8.192559,-3.087288,-5.592517,-75.350197,-9.796441
20,1.353534,-10.899961,-1.528419,-16.289255,-64.401688,-13.473922
21,0.482033,-10.282728,-0.447187,-13.153477,-69.002350,-18.822290
22,0.981944,-10.451069,-0.277615,-14.053774,-83.887756,-22.270882
23,1.691079,-9.175034,-1.771843,-20.432142,-93.989380,-27.665030
24,1.494076,-8.344105,-1.468260,-23.850216,-93.592636,-24.704733
25,1.400803,-8.959661,-1.587424,-26.276436,-92.623672,-19.524216
26,1.414418,-9.374859,-2.284924,-27.214880,-93.661308,-15.182959
27,1.485766,-9.804964,-1.950658,-22.644733,-95.988342,-9.399701
28,1.278937,-10.245090,-1.875933,-16.319773,-99.223305,-0.595111
29,1.048525,-10.484304,-2.901684,-10.299997,-96.797081,6.332591
30,0.510011,-8.874820,-3.657421,-20.424513,-78.730125,4.142888
31,0.115177,-9.757417,-2.042931,-20.500809,-71.085236,2.716147
32,0.270767,-9.997019,-2.815157,-19.508957,-74.121826,-4.684591
33,-0.780120,-9.687369,-3.257507,-9.514145,-77.028717,-8.545182
34,-0.869712,-9.444830,-3.038600,-3.685110,-72.832420,-8.896146
35,-0.304465,-9.148535,-2.577113,0.427259,-64.905243,-11.398664
36,-0.156687,-9.531356,-2.557107,-0.526444,-59.518723,-13.702810
