seq,ax,ay,az,wroll,wpitch,wyaw
1,0.516501,-9.916638,-0.046920,-3.232948,-0.913523,0.712063
2,0.326991,-9.571983,0.022917,-1.119542,-1.562041,1.116433
3,0.377203,-9.995375,-0.236294,-2.332653,-1.516263,0.803618
4,0.493653,-9.675605,-0.132591,0.566607,-1.081375,0.445026
5,0.362656,-9.611767,-0.168100,-2.073245,-1.295004,0.727322
6,0.530451,-9.562445,-0.032910,-2.546283,-1.470486,0.651026
7,0.535591,-9.844690,-0.221902,-1.981689,-0.181079,0.651026
8,0.414287,-9.294790,-0.230271,-4.354504,1.428773,0.658656
9,0.444456,-9.997589,-0.717084,-11.961242,2.153587,1.101174
10,0.224222,-10.117695,-1.073992,-6.277170,3.023365,0.277174
11,0.428554,-9.221004,-0.401268,-2.614949,4.122031,-1.706529
12,0.542315,-9.746966,-0.385692,-11.640798,6.067586,-0.668900
13,0.460700,-10.160346,-0.464257,-12.426650,5.701365,0.597618
14,0.076437,-9.702702,-0.787916,-7.871762,1.184624,-0.203492
15,0.732544,-9.106935,-0.339068,-9.969909,3.336180,0.574730
16,0.867170,-9.776891,-0.166856,-20.391979,6.464327,2.482136
17,0.347239,-9.619714,-0.230419,-25.343609,4.472995,1.711544
18,0.569699,-9.345132,-0.042105,-29.913757,9.088919,3.245099
19,0.759891,-9.977345,0.052882,-32.973236,13.376770,5.556876
20,0.140030,-9.480683,-0.691230,-39.717827,9.966326,5.053321
21,-0.090214,-9.554263,-1.182998,-42.578938,3.816846,4.900728
22,0.329293,-9.594536,-1.611870,-41.587086,0.414032,4.084358
23,0.226817,-9.480313,-1.833658,-47.927307,-0.280264,4.359025
24,0.563267,-9.574613,-2.207349,-50.216194,-1.478115,3.100136
25,0.167660,-9.818317,-2.408216,-49.025974,-1.447597,2.070137
26,-0.005946,-9.456874,-2.599530,-50.536640,-0.631227,3.596062
27,-0.038499,-9.654812,-2.875716,-51.238564,-0.532042,1.597100
28,0.267853,-9.390394,-2.996125,-52.688194,-3.629670,1.566581
29,0.255312,-9.481977,-3.391994,-49.079380,-2.119004,2.436359
30,0.143265,-9.462293,-3.499879,-44.425308,0.703958,1.467396
31,0.101785,-9.382947,-4.046978,-40.747826,4.022846,2.016729
32,0.311871,-9.593524,-4.673823,-31.103977,3.488772,2.382951
33,0.439002,-9.558164,-5.197771,-18.888943,2.435883,3.245099
34,-0.376860,-9.042017,-5.321474,-1.974060,3.748179,1.696285
35,0.054791,-7.786114,-4.803387,6.014159,1.924699,2.627099
36,0.186998,-7.465719,-4.413488,5.129123,2.550328,2.573692
37,0.134043,-8.239658,-4.900591,-1.714653,2.412995,2.123544
38,0.184569,-7.962703,-4.414589,7.540085,0.864180,1.818359
39,-0.207562,-8.370563,-4.606577,6.479568,-0.074264,2.413470
40,0.303270,-8.613455,-4.921888,7.173863,0.719217,2.901766
41,0.168484,-8.611532,-4.454151,6.197270,1.337217,2.527914
42,0.039290,-8.856674,-4.171092,4.175419,-0.142930,1.391100
43,0.101667,-8.835183,-4.408526,0.238533,0.963365,0.673915
44,-0.050410,-8.788307,-4.113270,1.711051,1.306699,-0.035641
45,-0.022951,-8.825502,-3.803585,2.092531,-2.950634,-0.333196
46,0.145010,-8.879784,-4.085557,-0.036135,-1.905375,-1.210603
47,0.301010,-8.546528,-3.882795,3.992308,-1.104264,0.017767
48,0.373426,-9.027803,-3.693357,1.093050,1.436402,1.604729
49,-0.014662,-9.488197,-3.715973,4.266975,0.459810,2.718655
50,-0.036003,-9.487827,-3.391259,8.928678,-1.867226,1.940433
51,0.212921,-10.104398,-3.025205,16.863491,-4.423151,-1.080899
52,0.425200,-10.643296,-3.083111,20.472305,-7.551298,-0.295048
53,0.351164,-10.129665,-2.953648,26.751488,-9.565521,0.147470
54,0.513885,-10.005736,-2.806481,26.316597,-5.712558,-0.691788
55,-0.103943,-9.703243,-3.129570,27.415264,-5.041152,-0.729937
56,0.417116,-8.669111,-2.296227,20.792747,0.238551,1.558951
57,0.567458,-8.047167,-1.690720,2.657123,7.021290,7.410876
58,0.131639,-8.792779,-2.236100,-19.751091,4.747660,9.638726
59,-1.049639,-8.591806,-2.182601,-19.613758,9.462770,5.717098
60,-1.308237,-9.868688,-2.969445,-21.055759,11.637215,8.532431
61,-0.424220,-9.522263,-3.219311,-21.170204,13.208918,7.700802
62,-0.162458,-8.384620,-3.440296,-24.595905,1.764476,10.668726
63,-0.650084,-10.076005,-3.241801,-25.168129,-7.192706,9.608208
64,-0.719838,-8.525217,-3.705828,-19.094944,-11.701816,6.556358
65,-0.160094,-7.059139,-4.067414,-18.522720,-11.678926,3.420580
66,0.765668,-8.886706,-4.722293,-23.108128,-3.873818,0.795989
68,0.270676,-6.379200,-4.551328,-14.204352,-2.279226,-2.858603
69,0.201527,-7.611518,-4.404588,-21.521164,-0.020857,0.681544
70,0.641419,-9.180593,-5.394697,-18.896572,2.641884,9.081764
71,-0.456484,-7.789072,-5.009157,-12.464797,6.525364,5.900210
72,-0.244661,-7.830348,-5.243536,-11.892575,6.784771,2.375322
73,-0.726700,-9.246387,-5.327361,-3.286356,2.237513,0.269544
74,-0.274915,-7.764452,-6.091387,8.364084,-1.722263,-1.470011
75,-0.445874,-8.111290,-5.926392,8.440381,-1.890115,-2.629714
76,-0.484800,-8.152907,-6.354374,10.950529,-3.049819,-0.165344
77,-0.108416,-7.926910,-5.785204,13.247046,-3.950115,0.429767
78,-0.448366,-8.447730,-5.586521,10.164678,-2.637819,-2.637344
79,-0.467127,-7.942448,-5.135417,9.630604,-5.231892,-3.583417
80,0.001569,-8.317489,-5.914702,8.814234,-5.605744,-2.194825
81,0.061866,-8.256956,-4.984437,10.752157,-0.310782,-3.163788
82,0.138450,-8.451622,-5.049937,7.601122,2.008624,-1.431862
83,0.145009,-8.768848,-4.779809,6.906826,7.410400,0.254285
84,0.001740,-8.752943,-4.887101,7.532456,11.339660,1.093544
85,0.075909,-8.454450,-5.037084,6.487196,13.804028,0.010137
86,0.947749,-10.289410,-4.890937,2.161197,1.772106,1.146952
87,0.090948,-6.548745,-3.494440,10.591936,11.003955,1.444507
88,-0.967957,-9.444509,-4.058135,0.330087,7.677438,1.993840
89,-0.496603,-9.472239,-4.155702,7.784233,-0.570190,-3.819936
90,-0.078794,-8.983618,-4.299769,8.669271,6.685586,1.322433
91,0.016394,-8.589633,-4.183816,5.609789,4.038105,-1.492899
92,-0.348542,-8.851020,-3.857214,3.847345,0.818403,-0.043270
93,0.382775,-8.515821,-3.742664,4.457716,-2.622560,-1.477640
94,-0.368295,-8.578180,-3.831859,3.641346,-2.294486,-0.928307
95,-0.565942,-9.317790,-2.985902,1.230383,-1.684115,-2.866232
96,-0.044027,-8.292949,-4.352267,2.351938,-4.278189,-1.012233
97,0.012797,-9.207704,-4.014320,1.161717,-3.835670,-1.683640
98,0.028295,-9.126625,-4.052386,2.535049,-3.309226,-1.912529
99,0.266467,-8.938688,-3.707575,0.658162,-0.593079,-0.836751
100,0.558456,-9.042295,-4.338057,-0.173469,2.939439,-0.890159
101,-0.363498,-8.676223,-4.146467,0.513198,6.418550,1.009618
102,-0.668993,-8.605103,-3.739691,-0.303172,3.130180,2.527914
103,1.422429,-9.436217,-4.014956,-0.524431,-8.093002,4.542136
104,-1.087325,-8.644773,-4.200990,0.131717,1.436402,2.482136
105,-0.857982,-8.734415,-3.430952,-0.669394,-0.806708,-0.592603
106,-0.298827,-9.172190,-3.464333,0.162235,0.681069,-0.203492
107,-0.094217,-8.805563,-3.785881,3.282753,-1.737523,-1.012233
108,-0.641998,-9.082845,-3.895664,1.802605,-2.233448,0.391619
109,0.068910,-9.347079,-3.589893,3.740531,-0.783819,-0.424752
110,-0.588626,-9.281749,-3.678618,8.341196,-5.094559,-0.859640
111,0.129102,-9.195299,-3.707513,12.644306,-8.337150,-3.346899
112,-0.000811,-9.219933,-3.698690,13.079195,-6.139818,-2.904381
113,0.424087,-9.631359,-5.022692,9.706901,-4.011152,-3.438454
114,-0.258226,-9.230586,-4.877111,12.407787,-1.203449,-7.703415
115,0.130183,-9.216852,-4.573129,15.154454,0.337736,-9.351416
116,0.553573,-9.411097,-3.946914,16.359936,5.007068,-6.200380
117,0.124838,-9.891849,-4.678980,17.420452,13.872696,-2.278751
118,-0.101248,-8.144818,-4.007605,25.050079,23.768322,-0.447640
119,0.046543,-7.972748,-3.218003,16.741417,28.162987,0.826507
120,-1.015624,-6.887676,-3.389665,7.685048,20.632545,6.235913
121,-0.277743,-10.308696,-3.583987,-4.224801,3.710031,11.820800
122,0.438112,-9.544656,-2.480226,1.978087,-0.730412,4.755766
123,-0.310566,-9.318246,-2.397926,6.235418,-4.568114,2.787322
124,0.659649,-9.597015,-2.649848,13.514085,0.604773,1.314803
125,0.167708,-9.114714,-2.449826,19.030306,-0.829597,1.017248
126,-0.399601,-8.717518,-2.560282,17.267860,-3.263448,-5.773120
127,0.707568,-9.038803,-2.752203,17.695120,-8.077743,-7.444008
128,0.227372,-9.638391,-2.377348,13.048676,-8.016706,-6.131713
129,-0.031916,-10.150036,-2.195326,14.551713,-11.991741,-4.659195
130,-0.812884,-9.504920,-1.769634,21.395489,-11.144853,-4.132750
131,-1.103378,-9.300454,-2.035378,20.548599,-19.163591,-4.109862
132,0.740014,-9.368835,-2.674164,15.673268,-19.850258,-6.192750
133,0.125859,-8.423756,-3.359756,4.472975,-12.953074,-8.611342
134,0.001246,-8.523274,-3.634733,-6.406874,-5.361596,-7.268528
135,0.809768,-9.366523,-2.561497,-11.701835,-3.385522,-4.819417
136,-0.176644,-9.880110,-2.958027,-17.164650,-0.974560,-2.683121
137,-1.048400,-9.626200,-2.958138,-18.942352,-7.665743,-6.894676
138,-0.909431,-8.579453,-2.126646,-18.148869,-16.806036,-4.666825
139,2.314802,-9.706011,-3.452444,-19.949463,-14.952037,1.635248
140,1.294903,-10.184845,-1.646088,-16.455093,5.144402,0.002508
141,-1.154162,-9.636717,-2.096007,-10.267465,11.850843,-6.932824
142,0.693105,-9.485804,-2.314706,-2.515764,-0.364190,0.063545
143,0.429816,-9.610900,-3.151630,2.092531,-1.401819,6.007025
144,0.104282,-9.594227,-2.271302,3.175938,6.616920,2.932284
145,-0.363903,-9.897905,-3.167761,4.907864,-3.980633,0.719693
146,0.209077,-9.452568,-3.269617,7.898677,-8.848335,2.917025
147,0.579044,-9.529784,-2.643387,8.203862,-11.266927,0.536581
148,-0.266803,-8.784147,-3.294500,5.213049,-5.407372,-3.636825
149,0.690118,-8.389215,-2.457888,2.939420,-4.842781,-1.851492
150,0.307598,-9.215527,-2.275480,-1.371320,-6.857003,0.063545
151,-0.278574,-9.026839,-2.410997,-6.063540,-0.387079,-1.332677
152,0.394815,-9.177803,-2.643240,1.627124,-9.252706,-0.394233
153,-0.721843,-9.135764,-2.236405,4.442456,-11.091445,-1.210603
154,0.270887,-8.679638,-3.753649,6.716085,-15.623445,-2.751788
155,-0.467038,-9.718387,-2.934487,4.541641,-12.533445,-3.636825
156,0.002030,-8.852282,-2.327656,7.044159,-15.188556,-5.292454
157,0.624035,-8.855582,-3.865425,-1.974060,-16.302481,-4.460824
158,-0.269140,-10.090102,-2.265706,-1.722282,-13.311667,-1.141937
159,0.466309,-9.014099,-1.209464,1.627124,1.756847,-1.973566
160,-0.003492,-9.969243,-4.070825,-6.292429,7.242549,-3.926750
161,0.876728,-8.917779,-2.299067,5.899715,13.666695,-0.104307
162,0.263176,-9.830128,-2.096871,4.320383,17.817213,5.991765
163,-0.781060,-9.368724,-2.996056,1.718679,13.575140,3.565544
164,0.309017,-9.218879,-3.231506,0.459791,14.811140,5.732358
165,0.027615,-10.214353,-1.041689,-0.768579,8.272549,5.648432
166,-0.189309,-8.587723,-3.445656,-0.921172,9.409363,1.055396
167,0.429593,-8.593194,-3.445047,1.405865,9.233882,3.336655
168,-0.346590,-9.285799,-1.976016,-4.072207,2.702920,1.032507
169,0.405621,-9.775262,-2.624243,-13.288798,-0.173449,3.496877
171,-0.062397,-8.764402,-1.959050,-4.262948,1.741587,2.833099
