seq,ax,ay,az,wroll,wpitch,wyaw
1,0.516501,-9.916638,-0.046920,-3.232948,-0.913523,0.712063
2,0.326991,-9.571983,0.022917,-1.119542,-1.562041,1.116433
3,0.377203,-9.995375,-0.236294,-2.332653,-1.516263,0.803618
4,0.493653,-9.675605,-0.132591,0.566607,-1.081375,0.445026
5,0.362656,-9.611767,-0.168100,-2.073245,-1.295004,0.727322
6,0.530451,-9.562445,-0.032910,-2.546283,-1.470486,0.651026
7,0.535591,-9.844690,-0.221902,-1.981689,-0.181079,0.651026
8,0.414287,-9.294790,-0.230271,-4.354504,1.428773,0.658656
9,0.444456,-9.997589,-0.717084,-11.961242,2.153587,1.101174
10,0.224222,-10.117695,-1.073992,-6.277170,3.023365,0.277174
11,0.428554,-9.221004,-0.401268,-2.614949,4.122031,-1.706529
12,0.542315,-9.746966,-0.385692,-11.640798,6.067586,-0.668900
13,0.460700,-10.160346,-0.464257,-12.426650,5.701365,0.597618
14,0.076437,-9.702702,-0.787916,-7.871762,1.184624,-0.203492
15,0.732544,-9.106935,-0.339068,-9.969909,3.336180,0.574730
16,0.867170,-9.776891,-0.166856,-20.391979,6.464327,2.482136
17,0.347239,-9.619714,-0.230419,-25.343609,4.472995,1.711544
18,0.569699,-9.345132,-0.042105,-29.913757,9.088919,3.245099
19,0.759891,-9.977345,0.052882,-32.973236,13.376770,5.556876
20,0.140030,-9.480683,-0.691230,-39.717827,9.966326,5.053321
21,-0.090214,-9.554263,-1.182998,-42.578938,3.816846,4.900728
22,0.329293,-9.594536,-1.611870,-41.587086,0.414032,4.084358
23,0.226817,-9.480313,-1.833658,-47.927307,-0.280264,4.359025
24,0.563267,-9.574613,-2.207349,-50.216194,-1.478115,3.100136
25,0.167660,-9.818317,-2.408216,-49.025974,-1.447597,2.070137
26,-0.005946,-9.456874,-2.599530,-50.536640,-0.631227,3.596062
27,-0.038499,-9.654812,-2.875716,-51.238564,-0.532042,1.597100
28,0.267853,-9.390394,-2.996125,-52.688194,-3.629670,1.566581
29,0.255312,-9.481977,-3.391994,-49.079380,-2.119004,2.436359
30,0.143265,-9.462293,-3.499879,-44.425308,0.703958,1.467396
31,0.101785,-9.382947,-4.046978,-40.747826,4.022846,2.016729
32,0.311871,-9.593524,-4.673823,-31.103977,3.488772,2.382951
33,0.439002,-9.558164,-5.197771,-18.888943,2.435883,3.245099
34,-0.376860,-9.042017,-5.321474,-1.974060,3.748179,1.696285
35,0.054791,-7.786114,-4.803387,6.014159,1.924699,2.627099
36,0.186998,-7.465719,-4.413488,5.129123,2.550328,2.573692
37,0.134043,-8.239658,-4.900591,-1.714653,2.412995,2.123544
38,0.184569,-7.962703,-4.414589,7.540085,0.864180,1.818359
39,-0.207562,-8.370563,-4.606577,6.267142,-0.071829,2.334347
40,0.303270,-8.613455,-4.921888,6.733215,0.697993,2.730106
41,0.168484,-8.611532,-4.454151,5.756622,1.315993,2.356254
42,0.039290,-8.856674,-4.171092,3.612330,-0.158772,1.179462
43,0.101667,-8.835183,-4.408526,-0.324556,0.947523,0.462277
44,-0.050410,-8.788307,-4.113270,1.147962,1.290857,-0.247279
45,-0.022951,-8.825502,-3.803585,1.479301,-2.869223,-0.526972
46,0.145010,-8.879784,-4.085557,-0.649365,-1.823964,-1.404379
47,0.301010,-8.546528,-3.882795,3.268299,-0.989320,-0.170239
48,0.373426,-9.027803,-3.693357,0.369041,1.551346,1.416723
49,-0.014662,-9.488197,-3.715973,3.426814,0.555911,2.447685
50,-0.036003,-9.487827,-3.391259,7.823343,-1.713061,1.614731
51,0.212921,-10.104398,-3.025205,15.758156,-4.268986,-1.406601
52,0.425200,-10.643296,-3.083111,19.366970,-7.397132,-0.620750
53,0.351164,-10.129665,-2.953648,25.646152,-9.411356,-0.178232
54,0.513885,-10.005736,-2.806481,25.211264,-5.558393,-1.017490
55,-0.103943,-9.703243,-3.129570,26.309931,-4.886987,-1.055639
56,0.417116,-8.669111,-2.296227,19.687414,0.392716,1.233249
57,0.567458,-8.047167,-1.690720,1.551789,7.175455,7.085174
58,0.131639,-8.792779,-2.236100,-20.856426,4.901825,9.313025
59,-1.049639,-8.591806,-2.182601,-20.719093,9.616936,5.391396
60,-1.308237,-9.868688,-2.969445,-22.161093,11.791380,8.206729
61,-0.424220,-9.522263,-3.219311,-22.275537,13.363083,7.375100
62,-0.162458,-8.384620,-3.440296,-25.701239,1.918641,10.343024
63,-0.650084,-10.076005,-3.241801,-26.273462,-7.038540,9.282506
64,-0.719838,-8.525217,-3.705828,-20.200277,-11.547650,6.230656
65,-0.160094,-7.059139,-4.067414,-19.628056,-11.524761,3.094878
66,0.765668,-8.886706,-4.722293,-24.213463,-3.719653,0.470287
68,0.270676,-6.379200,-4.551328,-15.309687,-2.125061,-3.184305
69,0.201527,-7.611518,-4.404588,-22.626499,0.133308,0.355842
70,0.641419,-9.180593,-5.394697,-20.001907,2.796050,8.756062
71,-0.456484,-7.789072,-5.009157,-13.570131,6.679529,5.574508
72,-0.244661,-7.830348,-5.243536,-12.997910,6.938936,2.049620
73,-0.726700,-9.246387,-5.327361,-4.391691,2.391678,-0.056158
74,-0.274915,-7.764452,-6.091387,7.020780,-1.516689,-1.736843
75,-0.445874,-8.111290,-5.926392,7.097076,-1.684541,-2.896545
76,-0.484800,-8.152907,-6.354374,9.607224,-2.844245,-0.432176
77,-0.108416,-7.926910,-5.785204,11.903742,-3.744541,0.162935
78,-0.448366,-8.447730,-5.586521,8.821373,-2.432245,-2.904176
79,-0.467127,-7.942448,-5.135417,8.287298,-5.026319,-3.850249
80,0.001569,-8.317489,-5.914702,7.470929,-5.400170,-2.461657
81,0.061866,-8.256956,-4.984437,9.408853,-0.105208,-3.430620
82,0.138450,-8.451622,-5.049937,6.257818,2.214198,-1.698694
83,0.145009,-8.768848,-4.779809,5.563521,7.615974,-0.012547
84,0.001740,-8.752943,-4.887101,6.189152,11.545233,0.826712
85,0.075909,-8.454450,-5.037084,5.143892,14.009601,-0.256695
86,0.947749,-10.289410,-4.890937,0.817893,1.977680,0.880120
87,0.090948,-6.548745,-3.494440,9.248631,11.209528,1.177675
88,-0.967957,-9.444509,-4.058135,-1.013218,7.883011,1.727008
89,-0.496603,-9.472239,-4.155702,6.440928,-0.364616,-4.086768
90,-0.078794,-8.983618,-4.299769,7.325966,6.891160,1.055601
91,0.016394,-8.589633,-4.183816,4.266485,4.243679,-1.759731
92,-0.348542,-8.851020,-3.857214,2.421948,0.990407,-0.299935
93,0.382775,-8.515821,-3.742664,2.932908,-2.370217,-1.677448
94,-0.368295,-8.578180,-3.831859,2.047149,-1.975194,-1.091131
95,-0.565942,-9.317790,-2.985902,-0.363813,-1.364823,-3.029056
96,-0.044027,-8.292949,-4.352267,0.732900,-3.829109,-1.136534
97,0.012797,-9.207704,-4.014320,-0.457321,-3.386590,-1.807941
98,0.028295,-9.126625,-4.052386,0.885981,-2.766379,-1.970055
99,0.266467,-8.938688,-3.707575,-0.990907,-0.050232,-0.894277
100,0.558456,-9.042295,-4.338057,-1.822537,3.482286,-0.947685
101,-0.363498,-8.676223,-4.146467,-1.135870,6.961396,0.952092
102,-0.668993,-8.605103,-3.739691,-1.952240,3.673027,2.470388
103,1.422429,-9.436217,-4.014956,-2.173500,-7.550155,4.484610
104,-1.087325,-8.644773,-4.200990,-1.517352,1.979249,2.424610
105,-0.857982,-8.734415,-3.430952,-2.318462,-0.263861,-0.650129
106,-0.298827,-9.172190,-3.464333,-1.486834,1.223916,-0.261018
107,-0.094217,-8.805563,-3.785881,1.580126,-1.155510,-1.034688
108,-0.641998,-9.082845,-3.895664,0.096700,-1.597295,0.357061
109,0.068910,-9.347079,-3.589893,1.967923,-0.142824,-0.444252
110,-0.588626,-9.281749,-3.678618,6.353244,-4.307559,-0.850318
111,0.129102,-9.195299,-3.707513,10.656354,-7.550150,-3.337577
112,-0.000811,-9.219933,-3.698690,11.091243,-5.352818,-2.895059
113,0.424087,-9.631359,-5.022692,7.718949,-3.224152,-3.429132
114,-0.258226,-9.230586,-4.877111,10.419835,-0.416449,-7.694094
115,0.130183,-9.216852,-4.573129,13.166502,1.124736,-9.342093
116,0.553573,-9.411097,-3.946914,14.371983,5.794067,-6.191058
117,0.124838,-9.891849,-4.678980,15.432501,14.659696,-2.269429
118,-0.101248,-8.144818,-4.007605,23.062128,24.555321,-0.438318
119,0.046543,-7.972748,-3.218003,14.753464,28.949986,0.835829
120,-1.015624,-6.887676,-3.389665,5.697096,21.419544,6.245235
121,-0.277743,-10.308696,-3.583987,-6.212753,4.497031,11.830122
122,0.438112,-9.544656,-2.480226,-0.009865,0.056588,4.765088
123,-0.310566,-9.318246,-2.397926,4.108218,-3.657155,2.704959
124,0.659649,-9.597015,-2.649848,11.386885,1.515732,1.232440
125,0.167708,-9.114714,-2.449826,16.903105,0.081362,0.934885
126,-0.399601,-8.717518,-2.560282,15.140661,-2.352489,-5.855483
127,0.707568,-9.038803,-2.752203,15.567920,-7.166783,-7.526371
128,0.227372,-9.638391,-2.377348,10.921476,-7.105747,-6.214076
129,-0.031916,-10.150036,-2.195326,12.424513,-11.080782,-4.741558
130,-0.812884,-9.504920,-1.769634,19.268288,-10.233893,-4.215113
131,-1.103378,-9.300454,-2.035378,18.421400,-18.252632,-4.192225
132,0.740014,-9.368835,-2.674164,13.546068,-18.939299,-6.275113
133,0.125859,-8.423756,-3.359756,2.345775,-12.042115,-8.693705
134,0.001246,-8.523274,-3.634733,-8.534074,-4.450637,-7.350891
135,0.809768,-9.366523,-2.561497,-13.829035,-2.474563,-4.901780
136,-0.176644,-9.880110,-2.958027,-19.291849,-0.063601,-2.765484
137,-1.048400,-9.626200,-2.958138,-21.069551,-6.754784,-6.977039
138,-0.909431,-8.579453,-2.126646,-20.276070,-15.895077,-4.749188
139,2.314802,-9.706011,-3.452444,-22.076662,-14.041078,1.552885
140,1.294903,-10.184845,-1.646088,-18.582293,6.055361,-0.079855
141,-1.154162,-9.636717,-2.096007,-12.394665,12.761803,-7.015187
142,0.693105,-9.485804,-2.314706,-4.642964,0.546769,-0.018818
143,0.429816,-9.610900,-3.151630,-0.034669,-0.490860,5.924662
144,0.104282,-9.594227,-2.271302,1.048738,7.527879,2.849921
145,-0.363903,-9.897905,-3.167761,2.689502,-2.969038,0.616436
146,0.209077,-9.452568,-3.269617,5.680316,-7.836740,2.813768
147,0.579044,-9.529784,-2.643387,5.985501,-10.255332,0.433324
148,-0.266803,-8.784147,-3.294500,2.994688,-4.395778,-3.740082
149,0.690118,-8.389215,-2.457888,0.721059,-3.831186,-1.954749
150,0.307598,-9.215527,-2.275480,-3.589681,-5.845407,-0.039712
151,-0.278574,-9.026839,-2.410997,-8.281902,0.624516,-1.435934
152,0.394815,-9.177803,-2.643240,-0.591237,-8.241111,-0.497490
153,-0.721843,-9.135764,-2.236405,2.224095,-10.079850,-1.313860
154,0.270887,-8.679638,-3.753649,4.497724,-14.611850,-2.855045
155,-0.467038,-9.718387,-2.934487,2.323280,-11.521851,-3.740082
156,0.002030,-8.852282,-2.327656,4.825798,-14.176961,-5.395711
157,0.624035,-8.855582,-3.865425,-4.192421,-15.290886,-4.564081
158,-0.269140,-10.090102,-2.265706,-3.940644,-12.300073,-1.245194
159,0.466309,-9.014099,-1.209464,-0.591237,2.768442,-2.076823
160,-0.003492,-9.969243,-4.070825,-8.510791,8.254144,-4.030007
161,0.876728,-8.917779,-2.299067,3.681354,14.678289,-0.207564
162,0.263176,-9.830128,-2.096871,2.102021,18.828808,5.888508
163,-0.781060,-9.368724,-2.996056,-0.499682,14.586735,3.462287
164,0.309017,-9.218879,-3.231506,-1.758570,15.822735,5.629101
165,0.027615,-10.214353,-1.041689,-2.986940,9.284143,5.545175
166,-0.189309,-8.587723,-3.445656,-3.139533,10.420958,0.952139
167,0.429593,-8.593194,-3.445047,-0.812496,10.245477,3.233398
168,-0.346590,-9.285799,-1.976016,-6.290569,3.714515,0.929250
169,0.405621,-9.775262,-2.624243,-15.507160,0.838146,3.393620
