seq,ax,ay,az,wroll,wpitch,wyaw
1448,6.910312,0.002295,-6.908201,-0.059023,-0.104782,-0.020381
1449,6.931021,0.018764,-6.915008,-0.097172,-0.097152,-0.005122
1450,6.921380,0.009954,-6.920373,-0.081913,-0.059005,-0.073789
1451,6.920395,-0.006182,-6.909666,-0.165838,-0.028486,-0.058529
1452,6.914810,0.021340,-6.910082,-0.097172,-0.104782,-0.043270
1453,6.894206,0.001328,-6.914366,-0.043764,-0.051375,-0.058529
1455,6.896329,-0.026117,-6.923393,0.101199,-0.097152,-0.005122
1456,6.921286,0.016473,-6.906971,-0.013246,-0.074264,-0.043270
1457,6.906043,0.023884,-6.923173,-0.051394,-0.028486,-0.043270
1458,6.894384,-0.002198,-6.930729,0.047791,-0.097152,-0.043270
1459,6.934210,0.000786,-6.904784,-0.005616,-0.066634,-0.012752
1460,6.895653,-0.015872,-6.949887,-0.165838,0.009662,-0.020381
1462,6.911429,0.019652,-6.927122,-0.097172,-0.066634,0.017767
1463,6.913744,0.001765,-6.939767,-0.036135,-0.081893,-0.066159
1464,6.904320,0.019614,-6.890348,0.078310,-0.074264,-0.043270
1465,6.920659,-0.007309,-6.929569,0.063050,-0.036116,-0.028011
1466,6.903179,-0.011276,-6.926353,0.040162,-0.081893,-0.050900
1467,6.899539,0.012542,-6.898566,0.055421,-0.097152,-0.028011
1469,6.899636,0.009592,-6.908492,-0.188727,0.009662,-0.081418
1470,6.929654,0.024685,-6.896937,-0.120060,0.032551,-0.043270
1471,6.888619,0.008634,-6.935650,-0.135320,0.040181,-0.050900
1472,6.931955,0.034889,-6.922200,-0.074283,-0.013227,0.002508
1473,6.910216,0.007029,-6.896537,-0.074283,-0.036116,-0.043270
1474,6.900681,0.009690,-6.940112,-0.059023,-0.036116,-0.043270
1476,6.899510,0.001982,-6.950010,-0.066653,-0.028486,-0.058529
1477,6.936018,0.003738,-6.902438,-0.081913,-0.020856,-0.035640
1478,6.898193,0.027536,-6.915165,-0.104801,-0.089523,-0.012752
1479,6.874258,-0.004260,-6.950438,0.063050,-0.112412,-0.066159
1480,6.925162,0.027195,-6.915803,0.070680,-0.127671,0.048285
1481,6.907437,-0.012503,-6.932115,0.093569,-0.112412,-0.012752
1483,6.925060,0.000862,-6.893247,-0.059023,-0.036116,-0.020381
1484,6.887161,-0.014600,-6.941279,-0.020875,-0.066634,-0.096677
1485,6.915167,0.018897,-6.895400,-0.074283,-0.074264,0.017767
1486,6.891165,0.000314,-6.954843,-0.066653,-0.059005,-0.058529
1487,6.900479,0.006075,-6.929530,-0.051394,-0.043745,0.010137
