seq,ax,ay,az,wroll,wpitch,wyaw
1093,6.935955,0.307187,-6.833075,-0.594980,0.119685,0.697459
1094,6.971274,0.416180,-6.848902,-0.095807,-0.002311,0.888599
1095,6.919518,0.279465,-6.969957,0.040165,0.056801,2.564131
1096,6.919560,0.166487,-6.830630,-0.175157,0.025421,2.760490
1097,6.970863,0.257103,-6.850677,0.280735,-0.108244,3.466976
1098,6.958473,-0.330100,-6.811777,-0.481178,0.094551,3.139310
1100,6.859389,0.385064,-6.851381,-3.182066,0.147959,-7.229354
1101,6.896468,0.452039,-6.778992,-5.539621,-0.050412,0.819903
1102,6.904761,0.333123,-6.805335,-1.801104,0.071662,-0.034615
1103,6.925994,0.293537,-6.820362,-0.140705,-0.048759,-0.380317
1104,6.945997,0.332391,-6.797564,-0.099195,-0.025022,-0.426885
1105,6.948718,0.311155,-6.841592,0.066406,-0.075858,-0.228402
1107,6.952890,0.317725,-6.833412,-1.027937,-0.021715,-0.124981
1108,6.939219,0.319768,-6.839506,-2.027418,-0.059863,-0.323351
1109,6.934835,0.331257,-6.857131,-1.422248,-0.102177,-0.253714
1110,6.939845,0.337359,-6.781421,-0.630292,-0.061930,-0.297053
1111,6.955080,0.330910,-6.848015,-0.373484,-0.059900,-0.257797
1112,6.917029,0.317758,-6.840494,-0.302204,0.037997,-0.463350
1114,6.925522,0.412213,-6.838683,-2.530055,0.015109,-1.462832
1115,6.936340,0.337315,-6.830374,-2.095166,-0.152743,-1.203424
1116,6.933806,0.387412,-6.813322,-1.652648,-0.106965,-1.035572
1117,6.933842,0.392841,-6.810450,-0.683410,-0.118218,-0.699063
1118,6.911201,0.345618,-6.824509,-0.447000,-0.047927,-0.661386
1119,6.952591,0.373847,-6.798901,-1.111259,-0.120150,-0.897986
1121,6.913340,0.467930,-6.811960,-1.393555,-0.242224,-1.065837
1122,6.909667,0.443853,-6.830481,-0.085975,-0.064555,-0.462674
1123,6.921638,0.406893,-6.823586,0.086572,-0.114095,-0.373710
1124,6.933531,0.411523,-6.812336,0.164908,-0.073457,-0.317182
1125,6.930691,0.425950,-6.851488,0.248056,-0.063669,-0.262506
1126,6.920994,0.399759,-6.785136,0.291580,-0.046823,-0.150587
1128,6.919309,0.411152,-6.824243,0.104913,-0.008391,-0.315379
1129,6.942809,0.420368,-6.823864,0.057197,0.006644,-0.349317
1130,6.919556,0.412921,-6.839965,0.232429,-0.067369,-0.271449
1131,6.920331,0.402707,-6.820090,0.424056,-0.072540,-0.151858
1132,6.926830,0.386298,-6.829742,0.292082,0.033151,-0.213295
1133,6.917280,0.422606,-6.838914,0.098019,0.024685,-0.243199
1135,6.909332,0.414924,-6.835517,0.065288,0.075532,-0.257365
1136,6.935385,0.410273,-6.817531,0.055767,-0.030257,-0.241548
1137,6.911219,0.411950,-6.802287,0.017042,0.007632,-0.263147
1138,6.934837,0.413898,-6.817567,-0.049933,0.036900,-0.225002
1139,6.922872,0.427398,-6.805668,0.032879,0.020931,-0.276662
1140,6.918978,0.420872,-6.791146,0.046560,0.027625,-0.171658
1142,6.938136,0.429492,-6.823436,0.104070,0.056237,-0.188169
1143,6.917637,0.430488,-6.813938,0.144935,-0.019402,-0.182000
1144,6.910347,0.408895,-6.828471,0.066389,-0.026145,-0.257208
