seq,ax,ay,az,wroll,wpitch,wyaw
1093,6.935955,0.307187,-6.833075,-5.775628,3.280740,-0.755333
1094,6.971274,0.416180,-6.848902,-5.279702,3.158666,-0.534074
1095,6.919518,0.279465,-6.969957,-5.142369,3.219703,1.228370
1096,6.919560,0.166487,-6.830630,-5.363628,3.189184,1.518296
1097,6.970863,0.257103,-6.850677,-4.898221,3.051851,2.342296
1098,6.958473,-0.330100,-6.811777,-5.676443,3.257851,2.121036
1100,6.859389,0.385064,-6.851381,-8.377331,3.311258,-8.247627
1101,6.896468,0.452039,-6.778992,-10.734886,3.112888,-0.198370
1102,6.904761,0.333123,-6.805335,-6.996368,3.234962,-1.052889
1103,6.925994,0.293537,-6.820362,-5.340739,3.112888,-1.411481
1104,6.945997,0.332391,-6.797564,-5.302591,3.135777,-1.472518
1105,6.948718,0.311155,-6.841592,-5.134739,3.082370,-1.281777
1107,6.952890,0.317725,-6.833412,-6.263924,3.135777,-1.182592
1108,6.939219,0.319768,-6.839506,-7.263405,3.097629,-1.380963
1109,6.934835,0.331257,-6.857131,-6.706442,3.051851,-1.319926
1110,6.939845,0.337359,-6.781421,-5.935850,3.089999,-1.373333
1111,6.955080,0.330910,-6.848015,-5.691702,3.089999,-1.342814
1112,6.917029,0.317758,-6.840494,-5.630665,3.189184,-1.564074
1114,6.925522,0.412213,-6.838683,-7.858516,3.166295,-2.563555
1115,6.936340,0.337315,-6.830374,-7.423627,2.998444,-2.304147
1116,6.933806,0.387412,-6.813322,-6.981109,3.044221,-2.136296
1117,6.933842,0.392841,-6.810450,-6.035035,3.028962,-1.823481
1118,6.911201,0.345618,-6.824509,-5.813776,3.097629,-1.808222
1119,6.952591,0.373847,-6.798901,-6.515702,3.021333,-2.075259
1121,6.913340,0.467930,-6.811960,-6.797998,2.899258,-2.243110
1122,6.909667,0.443853,-6.830481,-5.493332,3.074740,-1.655629
1123,6.921638,0.406893,-6.823586,-5.317850,3.021333,-1.579333
1124,6.933531,0.411523,-6.812336,-5.233924,3.059481,-1.533555
1125,6.930691,0.425950,-6.851488,-5.142369,3.067110,-1.487777
1126,6.920994,0.399759,-6.785136,-5.088962,3.082370,-1.380963
1128,6.919309,0.411152,-6.824243,-5.272072,3.120517,-1.556444
1129,6.942809,0.420368,-6.823864,-5.317850,3.135777,-1.602222
1130,6.919556,0.412921,-6.839965,-5.134739,3.059481,-1.533555
1131,6.920331,0.402707,-6.820090,-4.928739,3.051851,-1.419111
1132,6.926830,0.386298,-6.829742,-5.050813,3.158666,-1.487777
1133,6.917280,0.422606,-6.838914,-5.241554,3.151036,-1.525926
1135,6.909332,0.414924,-6.835517,-5.272072,3.204443,-1.548814
1136,6.935385,0.410273,-6.817531,-5.279702,3.097629,-1.541185
1137,6.911219,0.411950,-6.802287,-5.317850,3.135777,-1.571703
1138,6.934837,0.413898,-6.817567,-5.386517,3.166295,-1.541185
1139,6.922872,0.427398,-6.805668,-5.302591,3.151036,-1.602222
1140,6.918978,0.420872,-6.791146,-5.287332,3.158666,-1.503037
