seq,ax,ay,az,wroll,wpitch,wyaw
1,-9.793061,0.177425,-0.063950,0.528458,-0.074264,-0.096677
2,-9.778969,0.113407,-0.067060,0.215643,0.017292,0.002508
3,-9.821332,0.161108,-0.073113,0.139347,0.101218,0.040656
4,-9.796962,0.132657,-0.045949,-0.120060,-0.043745,-0.005122
5,-9.803158,0.123172,-0.041278,-0.028505,0.070699,0.055915
6,-9.809496,0.139517,-0.084943,0.185124,0.009662,-0.028011
8,-9.783471,0.131968,-0.068528,0.208014,0.002033,0.002508
9,-9.815374,0.153295,-0.078768,0.116458,0.032551,0.002508
10,-9.815975,0.151518,-0.080517,0.055421,0.040181,0.040656
11,-9.821157,0.149704,-0.054818,0.154606,0.002033,0.040656
12,-9.799689,0.155352,-0.041569,0.093569,0.063070,0.101693
13,-9.810211,0.114971,-0.059489,0.093569,0.040181,0.033026
15,-9.816097,0.120423,-0.061423,-0.013246,0.032551,0.109322
16,-9.802702,0.134576,-0.061904,-0.013246,0.063070,0.094063
17,-9.796556,0.166792,-0.082064,0.017272,0.009662,0.078804
18,-9.816268,0.128261,-0.083779,0.009643,0.040181,0.040656
19,-9.805965,0.166360,-0.095134,0.047791,0.063070,0.063545
20,-9.812601,0.156177,-0.059995,0.032532,0.055440,0.033026
22,-9.815545,0.123972,-0.054421,0.085939,0.032551,-0.005122
23,-9.812526,0.132858,-0.046844,-0.005616,-0.043745,0.055915
24,-9.808443,0.134711,-0.079596,-0.051394,0.040181,0.071174
25,-9.803329,0.138739,-0.055517,0.009643,0.055440,0.094063
26,-9.801356,0.142325,-0.064307,0.040162,0.078329,-0.012752
27,-9.798887,0.141717,-0.070111,0.192754,0.063070,-0.066159
29,-9.810666,0.114864,-0.027271,0.192754,-0.081893,-0.012752
30,-9.817835,0.136067,-0.092100,-0.051394,-0.020856,0.040656
31,-9.798725,0.132688,-0.048328,0.078310,0.223292,0.010137
32,-9.808408,0.132192,-0.042068,0.299569,-0.013227,-0.111937
33,-9.796711,0.150702,-0.087746,0.146976,0.047810,-0.028011
34,-9.811387,0.125842,-0.092445,-0.142950,0.009662,0.071174
36,-9.818851,0.141923,-0.056444,0.032532,0.085958,0.063545
37,-9.803197,0.126135,-0.035453,0.017272,0.047810,0.155100
38,-9.793106,0.130889,-0.066361,0.040162,0.017292,0.071174
39,-9.792693,0.139310,-0.086954,-0.066653,0.078329,0.094063
40,-9.807783,0.147798,-0.070354,0.024902,0.040181,0.086434
41,-9.812523,0.126913,-0.053222,0.101199,0.063070,0.101693
43,-9.793641,0.137452,-0.064101,0.078310,0.017292,0.055915
44,-9.813463,0.128773,-0.069668,-0.013246,0.063070,0.086434
45,-9.803301,0.124476,-0.072350,-0.043764,0.009662,0.078804
46,-9.799761,0.096324,-0.054974,0.047791,-0.013227,0.071174
47,-9.793634,0.102225,-0.058435,0.017272,-0.028486,0.078804
48,-9.784258,0.158241,-0.070594,0.032532,0.047810,0.048285
50,-9.804625,0.142299,-0.045036,-0.020875,0.070699,0.063545
51,-9.804060,0.135891,-0.091827,0.024902,0.047810,0.094063
