seq,ax,ay,az,wroll,wpitch,wyaw
1,-9.806052,0.210348,-0.028449,0.526575,-0.071056,-0.111282
2,-9.791929,0.145609,-0.031791,0.206752,0.019827,-0.011700
3,-9.834323,0.193969,-0.037598,0.126179,0.100352,0.025581
4,-9.809932,0.165264,-0.010739,-0.128860,-0.043149,-0.019535
5,-9.816125,0.155746,-0.006133,-0.036081,0.068959,0.040142
6,-9.822476,0.172035,-0.049438,0.171727,0.007662,-0.042349
8,-9.796442,0.164367,-0.033175,0.188236,0.000031,-0.011442
9,-9.828362,0.186015,-0.043248,0.093511,0.029548,-0.011067
10,-9.828961,0.184214,-0.044992,0.031409,0.035959,0.026193
11,-9.834141,0.182557,-0.019470,0.126313,-0.002117,0.025334
12,-9.812670,0.188222,-0.006300,0.063136,0.056988,0.083540
13,-9.823178,0.147398,-0.024248,0.061066,0.032981,0.014386
15,-9.829068,0.152924,-0.026145,-0.044249,0.024520,0.087709
16,-9.815676,0.167142,-0.026576,-0.042799,0.053235,0.070075
17,-9.809546,0.199526,-0.046480,-0.011877,-0.000167,0.053018
18,-9.829245,0.160712,-0.048321,-0.018867,0.029356,0.014383
19,-9.818958,0.199065,-0.059459,0.018649,0.050532,0.036050
20,-9.825586,0.189019,-0.024593,0.003278,0.041496,0.005350
22,-9.828516,0.156545,-0.019177,0.054827,0.017997,-0.031723
23,-9.825500,0.165545,-0.011619,-0.035524,-0.056388,0.028353
24,-9.821421,0.167207,-0.044145,-0.078636,0.026635,0.042182
25,-9.816305,0.171385,-0.020216,-0.017022,0.040521,0.062938
26,-9.814334,0.174945,-0.028934,0.013054,0.061331,-0.042438
27,-9.811865,0.174285,-0.034703,0.160216,0.044562,-0.092704
29,-9.823628,0.147477,0.007752,0.154963,-0.097110,-0.038008
30,-9.830816,0.168555,-0.056555,-0.086261,-0.034890,0.014895
31,-9.811696,0.165291,-0.013101,0.042018,0.202398,-0.015112
32,-9.821380,0.164878,-0.006880,0.254646,-0.033002,-0.132688
33,-9.809693,0.183246,-0.052186,0.098708,0.027116,-0.047164
34,-9.824363,0.158194,-0.056940,-0.184949,-0.010671,0.050316
36,-9.831830,0.174678,-0.021116,-0.009157,0.063474,0.041287
37,-9.816164,0.158772,-0.000335,-0.023616,0.024496,0.128487
38,-9.806077,0.163342,-0.031022,-0.000703,-0.005825,0.043101
39,-9.805671,0.171726,-0.051445,-0.103993,0.053402,0.063826
40,-9.820765,0.180472,-0.034916,-0.012030,0.014753,0.054354
41,-9.825495,0.159505,-0.017977,0.062160,0.036408,0.067331
43,-9.806615,0.169985,-0.028752,0.037983,-0.009062,0.020847
44,-9.826438,0.161294,-0.034304,-0.051816,0.035512,0.049681
45,-9.816272,0.156886,-0.036989,-0.079635,-0.017309,0.040673
46,-9.812716,0.128538,-0.019840,0.011529,-0.038880,0.031960
47,-9.806592,0.134445,-0.023259,-0.018367,-0.052364,0.038292
48,-9.797240,0.190891,-0.035127,-0.003006,0.023147,0.007519
50,-9.817600,0.175047,-0.009791,-0.054563,0.044527,0.022031
51,-9.817039,0.168306,-0.056292,-0.008498,0.020929,0.050827
52,-9.819398,0.156963,-0.027737,-0.022978,0.005484,0.034402
53,-9.823980,0.166071,-0.033709,-0.014845,-0.002076,0.033274
