seq,ax,ay,az,wroll,wpitch,wyaw
1,-9.806052,0.210348,-0.028449,-4.654073,3.089999,-1.564074
2,-9.791929,0.145609,-0.031791,-4.966887,3.181555,-1.464888
3,-9.834323,0.193969,-0.037598,-5.043184,3.265481,-1.426740
4,-9.809932,0.165264,-0.010739,-5.302591,3.120517,-1.472518
5,-9.816125,0.155746,-0.006133,-5.211035,3.234962,-1.411481
6,-9.822476,0.172035,-0.049438,-4.997406,3.173925,-1.495407
8,-9.796442,0.164367,-0.033175,-4.974517,3.166295,-1.464888
9,-9.828362,0.186015,-0.043248,-5.066072,3.196814,-1.464888
10,-9.828961,0.184214,-0.044992,-5.127110,3.204443,-1.426740
11,-9.834141,0.182557,-0.019470,-5.027925,3.166295,-1.426740
12,-9.812670,0.188222,-0.006300,-5.088962,3.227332,-1.365703
13,-9.823178,0.147398,-0.024248,-5.088962,3.204443,-1.434370
15,-9.829068,0.152924,-0.026145,-5.195776,3.196814,-1.358074
16,-9.815676,0.167142,-0.026576,-5.195776,3.227332,-1.373333
17,-9.809546,0.199526,-0.046480,-5.165258,3.173925,-1.388592
18,-9.829245,0.160712,-0.048321,-5.172887,3.204443,-1.426740
19,-9.818958,0.199065,-0.059459,-5.134739,3.227332,-1.403851
20,-9.825586,0.189019,-0.024593,-5.149999,3.219703,-1.434370
22,-9.828516,0.156545,-0.019177,-5.096591,3.196814,-1.472518
23,-9.825500,0.165545,-0.011619,-5.188147,3.120517,-1.411481
24,-9.821421,0.167207,-0.044145,-5.233924,3.204443,-1.396222
25,-9.816305,0.171385,-0.020216,-5.172887,3.219703,-1.373333
26,-9.814334,0.174945,-0.028934,-5.142369,3.242592,-1.480148
27,-9.811865,0.174285,-0.034703,-4.989776,3.227332,-1.533555
29,-9.823628,0.147477,0.007752,-4.989776,3.082370,-1.480148
30,-9.830816,0.168555,-0.056555,-5.233924,3.143406,-1.426740
31,-9.811696,0.165291,-0.013101,-5.104221,3.387555,-1.457259
32,-9.821380,0.164878,-0.006880,-4.882961,3.151036,-1.579333
33,-9.809693,0.183246,-0.052186,-5.035554,3.212073,-1.495407
34,-9.824363,0.158194,-0.056940,-5.325480,3.173925,-1.396222
36,-9.831830,0.174678,-0.021116,-5.149999,3.250221,-1.403851
37,-9.816164,0.158772,-0.000335,-5.165258,3.212073,-1.312296
38,-9.806077,0.163342,-0.031022,-5.142369,3.181555,-1.396222
39,-9.805671,0.171726,-0.051445,-5.249184,3.242592,-1.373333
40,-9.820765,0.180472,-0.034916,-5.157628,3.204443,-1.380963
41,-9.825495,0.159505,-0.017977,-5.081332,3.227332,-1.365703
43,-9.806615,0.169985,-0.028752,-5.104221,3.181555,-1.411481
44,-9.826438,0.161294,-0.034304,-5.195776,3.227332,-1.380963
45,-9.816272,0.156886,-0.036989,-5.226295,3.173925,-1.388592
46,-9.812716,0.128538,-0.019840,-5.134739,3.151036,-1.396222
47,-9.806592,0.134445,-0.023259,-5.165258,3.135777,-1.388592
48,-9.797240,0.190891,-0.035127,-5.149999,3.212073,-1.419111
50,-9.817600,0.175047,-0.009791,-5.203406,3.234962,-1.403851
51,-9.817039,0.168306,-0.056292,-5.157628,3.212073,-1.373333
52,-9.819398,0.156963,-0.027737,-5.172887,3.196814,-1.388592
53,-9.823980,0.166071,-0.033709,-5.165258,3.189184,-1.388592
54,-9.820363,0.147979,-0.010813,-5.149999,3.242592,-1.426740
55,-9.826343,0.187245,-0.015282,-5.119480,3.219703,-1.342814
57,-9.810146,0.147185,-0.013524,-5.149999,3.196814,-1.396222
58,-9.819618,0.175628,-0.036023,-5.180517,3.212073,-1.373333
59,-9.803279,0.162021,-0.060642,-5.279702,3.189184,-1.396222
60,-9.805668,0.158533,-0.022250,-5.157628,3.204443,-1.403851
61,-9.829067,0.169229,-0.009967,-5.149999,3.227332,-1.388592
62,-9.797234,0.171565,-0.054776,-5.134739,3.212073,-1.388592
64,-9.823236,0.177509,-0.032613,-5.088962,3.212073,-1.380963
65,-9.833995,0.178304,-0.033987,-5.134739,3.196814,-1.388592
66,-9.796643,0.171556,-0.054182,-5.104221,3.151036,-1.411481
67,-9.819144,0.157012,-0.003289,-5.127110,3.189184,-1.350444
68,-9.820924,0.173857,-0.030215,-5.195776,3.288369,-1.365703
69,-9.821037,0.161195,-0.034783,-5.134739,3.227332,-1.380963
71,-9.803044,0.170528,-0.026361,-5.165258,3.189184,-1.442000
72,-9.811550,0.163454,-0.025307,-5.165258,3.234962,-1.373333
73,-9.812357,0.158670,-0.015394,-5.073702,3.189184,-1.411481
74,-9.824844,0.161901,-0.019146,-5.134739,3.219703,-1.426740
75,-9.816922,0.150960,0.003199,-5.149999,3.120517,-1.426740
76,-9.810059,0.159758,-0.049696,-5.104221,3.196814,-1.373333
78,-9.817722,0.161689,-0.056839,-5.149999,3.151036,-1.388592
79,-9.816098,0.159365,-0.004412,-5.096591,3.166295,-1.373333
80,-9.825670,0.151685,-0.013268,-5.172887,3.166295,-1.365703
81,-9.815070,0.163506,-0.030612,-5.096591,3.196814,-1.403851
82,-9.819872,0.179202,-0.057006,-5.172887,3.265481,-1.327555
83,-9.822801,0.163033,-0.035411,-5.127110,3.181555,-1.403851
85,-9.815732,0.154469,-0.035216,-5.188147,3.212073,-1.419111
86,-9.812778,0.155630,-0.031094,-5.157628,3.204443,-1.380963
87,-9.823310,0.179334,-0.025644,-5.096591,3.181555,-1.396222
88,-9.820270,0.169099,0.003587,-5.088962,3.204443,-1.442000
89,-9.810972,0.185697,-0.044080,-5.157628,3.212073,-1.358074
90,-9.808911,0.155611,-0.007741,-5.134739,3.204443,-1.396222
92,-9.818400,0.182246,-0.030810,-5.111850,3.227332,-1.411481
93,-9.804475,0.149454,-0.030892,-5.149999,3.227332,-1.396222
