seq,ax,ay,az,wroll,wpitch,wyaw
5440,-0.078043,6.303371,-7.225590,-0.373721,-0.162611,-2.011059
5441,-0.194441,6.130657,-7.261476,0.191993,-0.231075,-4.380363
5442,-0.071992,6.928696,-7.244515,0.397993,-0.337890,-8.492732
5443,-0.141003,6.445458,-7.252247,1.691117,-0.422746,-1.890077
5444,-0.264664,6.159635,-7.268253,1.067454,-0.128466,-1.842872
5445,-0.099437,6.333510,-7.123781,-4.052026,0.535311,-6.336722
5447,-0.166862,6.538662,-7.280761,-0.044948,-0.102116,0.874164
5448,-0.205444,6.722005,-7.252544,-1.733379,0.218550,1.900774
5449,-0.091395,6.781221,-7.332870,-0.665561,0.049036,2.414060
5450,-0.136636,6.557490,-7.237837,-0.783952,0.054808,0.844259
5451,-0.185283,6.558995,-7.229458,-0.499968,0.023493,0.181944
5452,-0.163510,6.592990,-7.209502,-0.439301,0.030103,0.050528
5454,-0.163602,6.573078,-7.222746,0.135943,-0.066818,-0.002785
5455,-0.164245,6.552657,-7.197586,0.124107,-0.049868,-0.002694
5456,-0.161216,6.553711,-7.241186,0.068382,-0.048233,0.049051
5457,-0.150316,6.574028,-7.228903,-0.037173,-0.024514,0.047443
5458,-0.174696,6.559437,-7.214711,-0.161406,0.035326,0.023749
5459,-0.152236,6.558475,-7.193326,-0.023283,-0.054386,-0.006548
5461,-0.167481,6.547828,-7.227877,0.102931,-0.059982,0.037944
5462,-0.156544,6.558477,-7.227746,0.040521,0.060056,0.073597
5463,-0.187053,6.563249,-7.227194,0.039192,-0.045226,0.026908
5464,-0.167089,6.573822,-7.187316,0.259293,-0.051123,-0.033011
5465,-0.153650,6.537907,-7.240929,0.501695,-0.027308,0.189457
5466,-0.161365,6.551926,-7.232446,0.197447,-0.033793,0.035656
5468,-0.136692,6.543704,-7.205148,0.183594,-0.084341,-0.039308
5469,-0.168462,6.553852,-7.237250,0.066883,-0.029920,0.028396
5470,-0.162973,6.536921,-7.218400,-0.075520,-0.043698,0.049603
5471,-0.147990,6.549237,-7.248469,-0.124701,-0.005368,-0.025818
5472,-0.186844,6.554249,-7.208502,-0.268203,0.046465,-0.039730
5473,-0.150997,6.558956,-7.238120,-0.060164,-0.014095,-0.038428
5475,-0.156524,6.549508,-7.195671,-0.058191,-0.072668,-0.007650
5476,-0.186468,6.552975,-7.236421,-0.189114,0.062545,-0.051676
5477,-0.159876,6.559703,-7.245277,-0.035324,-0.013301,-0.005705
5478,-0.148993,6.562510,-7.249166,0.113424,-0.057141,0.031379
5479,-0.173618,6.550888,-7.257115,0.021151,-0.070027,-0.013926
5480,-0.171173,6.549024,-7.262293,-0.127132,-0.001316,0.023428
5482,-0.166039,6.558031,-7.234906,-0.086067,-0.001273,-0.014238
5483,-0.181023,6.559511,-7.233455,-0.171799,0.043046,-0.028530
5484,-0.168865,6.570040,-7.277532,-0.144029,0.063773,-0.027595
5485,-0.154264,6.572343,-7.205687,-0.205722,0.024785,-0.041449
5486,-0.161104,6.564052,-7.196444,-0.176839,-0.020305,-0.047470
5487,-0.140055,6.548559,-7.216886,-0.097247,-0.049157,0.005743
5489,-0.149109,6.575212,-7.228307,-0.108818,0.070527,-0.053481
5490,-0.146176,6.565507,-7.233419,-0.060973,0.023937,-0.007451
5491,-0.167822,6.555041,-7.238993,-0.199185,-0.043263,-0.081002
5492,-0.167822,6.569535,-7.224547,-0.163137,0.002433,0.002828
5493,-0.151516,6.554215,-7.206086,-0.039716,0.002353,0.010115
5494,-0.181182,6.554708,-7.227022,0.042760,-0.049381,-0.012355
5496,-0.160792,6.581416,-7.243705,-0.025057,-0.025623,0.010189
5497,-0.176431,6.553420,-7.225176,-0.038995,-0.017404,-0.019663
5498,-0.167092,6.568387,-7.192515,-0.030337,0.005305,-0.011639
5499,-0.142363,6.559968,-7.254259,0.118248,0.034649,-0.055535
5500,-0.153048,6.575338,-7.203939,-0.114393,0.026134,0.042219
5501,-0.147496,6.583667,-7.206803,-0.014710,0.017898,-0.032960
5503,-0.153664,6.542137,-7.235722,-0.036366,-0.063864,-0.054018
5504,-0.153608,6.571115,-7.210903,-0.153246,0.019404,0.036307
5505,-0.148527,6.574601,-7.227709,-0.281053,0.004009,0.072015
5506,-0.121158,6.607255,-7.223351,-0.079972,-0.069917,0.615736
5507,-0.187206,6.569826,-7.252270,-0.003555,-0.023348,0.285611
5508,-0.171871,6.579852,-7.224698,-0.217444,-0.007824,0.239350
5510,-0.177163,6.581743,-7.230050,-0.114382,-0.066603,0.098672
5511,-0.154816,6.567514,-7.213810,0.088615,-0.079178,-0.044773
5512,-0.122946,6.593490,-7.195350,0.063571,-0.010167,-0.087582
5513,-0.162171,6.596567,-7.215904,0.009830,-0.031972,-0.069952
5514,-0.151016,6.600628,-7.195352,0.127580,-0.089960,-0.016002
5515,-0.160321,6.570652,-7.202879,0.175054,-0.087011,-0.037616
5517,-0.136231,6.579857,-7.201907,-0.103727,0.004396,-0.051142
5518,-0.172178,6.573772,-7.251432,0.002987,-0.017887,-0.019947
5519,-0.147888,6.586661,-7.218472,-0.034008,0.034356,-0.019293
5520,-0.177383,6.569100,-7.227053,-0.003375,0.011091,-0.026040
5521,-0.146233,6.582426,-7.212591,-0.106578,0.040245,-0.017807
5522,-0.142611,6.588396,-7.208491,0.007609,0.002028,0.034433
5524,-0.169134,6.588203,-7.240420,0.007359,-0.020176,0.040684
5525,-0.142792,6.586011,-7.198001,0.014498,0.024762,-0.027065
5526,-0.138069,6.564196,-7.214633,0.087817,0.009191,-0.033557
5527,-0.145618,6.581204,-7.214898,0.070179,-0.057525,-0.017698
5528,-0.159908,6.561521,-7.241217,0.104776,-0.063019,0.005020
5529,-0.156861,6.565685,-7.240608,0.123479,-0.031435,-0.017283
5531,-0.144616,6.582425,-7.199756,0.060395,0.006493,-0.038855
5532,-0.144532,6.602245,-7.228415,-0.000620,-0.037997,-0.037581
5533,-0.166139,6.587639,-7.198455,0.006779,-0.014613,0.037446
5534,-0.139810,6.576297,-7.206604,0.036075,-0.051031,-0.037576
5535,-0.162509,6.592399,-7.196093,0.064410,-0.027220,-0.028965
5536,-0.145023,6.557132,-7.196090,-0.100050,0.032709,0.001503
5538,-0.156514,6.569946,-7.218515,0.146753,-0.101195,-0.101860
5539,-0.174707,6.569102,-7.204305,0.082906,-0.053600,0.004793
5540,-0.141523,6.596847,-7.192235,-0.045263,0.036711,-0.017503
5541,-0.159091,6.585024,-7.233222,-0.124954,0.050267,-0.039068
5542,-0.163988,6.588847,-7.179799,-0.047062,0.033860,-0.023028
5543,-0.140379,6.588381,-7.196808,0.043035,-0.018907,-0.044411
5545,-0.173768,6.591980,-7.205615,0.063762,0.003851,-0.013437
5546,-0.131844,6.572501,-7.222722,0.061672,0.018484,-0.035135
5547,-0.146698,6.588963,-7.258042,0.162963,-0.026399,-0.011845
5548,-0.182306,6.586119,-7.201078,0.061687,0.048262,-0.011457
5549,-0.142403,6.546783,-7.222156,0.089182,-0.019736,-0.047978
5550,-0.158538,6.576566,-7.238389,0.064120,-0.011709,-0.083303
5552,-0.135296,6.562973,-7.200021,0.047259,-0.003946,-0.065813
5553,-0.159568,6.598997,-7.185609,0.089987,-0.033335,-0.004620
5554,-0.148190,6.574032,-7.209657,0.087037,-0.039621,-0.063504
5555,-0.136015,6.569554,-7.227436,0.165358,-0.089979,-0.031904
5556,-0.153576,6.600700,-7.183761,0.100901,-0.013234,-0.045617
5557,-0.168014,6.579230,-7.201341,-0.035238,-0.012800,0.000155
5559,-0.156970,6.576574,-7.222064,-0.034083,0.002378,-0.051506
5560,-0.139784,6.564817,-7.219908,0.040829,0.009680,0.083013
5561,-0.140429,6.585369,-7.196205,-0.041684,0.061019,0.013876
5562,-0.130146,6.571372,-7.174376,0.026098,-0.007397,-0.008717
5563,-0.162871,6.575459,-7.229733,-0.011655,-0.021913,-0.023190
5564,-0.148000,6.561410,-7.193267,0.010866,0.008323,-0.022430
5566,-0.157199,6.592316,-7.190172,0.025268,-0.014088,-0.014315
5567,-0.122705,6.568688,-7.237072,0.031820,-0.021006,-0.028605
5568,-0.177277,6.583575,-7.220171,0.038156,-0.042456,-0.035047
5569,-0.147358,6.564411,-7.193276,-0.081167,0.025351,0.047277
5570,-0.109419,6.584132,-7.228783,0.046946,-0.027136,0.038347
5571,-0.169597,6.565336,-7.230370,0.060166,-0.063144,-0.014566
5573,-0.159018,6.583200,-7.240192,-0.000843,-0.031556,-0.036227
5574,-0.135776,6.570814,-7.200669,0.146775,-0.067419,0.009237
5575,-0.162734,6.553789,-7.218517,0.112445,-0.020931,0.001555
5576,-0.127456,6.567050,-7.199320,0.034964,0.031411,-0.020634
5577,-0.162189,6.592343,-7.218784,0.026438,0.008243,-0.049476
5578,-0.148337,6.575869,-7.197451,0.025571,-0.014166,-0.018336
5580,-0.147629,6.564365,-7.216561,0.091148,-0.006322,-0.039873
5581,-0.154010,6.571091,-7.224878,0.125057,-0.065151,0.013090
5582,-0.165656,6.570646,-7.249540,0.106199,-0.040876,0.012661
5583,-0.142569,6.558287,-7.198962,-0.007975,0.093295,0.027005
5584,-0.141898,6.569133,-7.193207,-0.125786,0.023821,-0.003398
5585,-0.168099,6.606327,-7.210849,-0.106903,0.037799,0.033611
5586,-0.148402,6.577692,-7.191063,-0.000085,0.021800,0.025129
5587,-0.145551,6.583702,-7.174757,0.036815,-0.060089,-0.027351
5588,-0.152684,6.580709,-7.224340,0.013469,0.015676,0.039961
5589,-0.148372,6.572158,-7.241075,-0.090285,0.066819,0.053410
5590,-0.155435,6.578305,-7.244163,-0.006151,-0.001787,0.022141
5591,-0.147504,6.551152,-7.196094,0.008810,0.049928,-0.030241
5592,-0.149617,6.575905,-7.191656,-0.006238,0.018773,-0.014491
5593,-0.150370,6.580680,-7.218476,0.008725,-0.026119,0.008123
5594,-0.151810,6.573497,-7.208558,0.074855,-0.040022,0.022615
5595,-0.149426,6.580099,-7.200995,0.050262,-0.016571,-0.029783
5596,-0.147521,6.583067,-7.205636,-0.017801,0.006110,-0.036186
5597,-0.148122,6.579361,-7.251598,0.012301,-0.008849,-0.012861
5598,-0.162235,6.582179,-7.183211,-0.017621,-0.001179,-0.005060
5599,-0.172268,6.573882,-7.202547,0.019854,-0.001141,-0.049171
5600,-0.152719,6.576488,-7.226057,0.019204,-0.030621,-0.018041
5601,-0.169204,6.580969,-7.242697,0.018574,-0.029617,-0.032208
5602,-0.146241,6.581823,-7.212586,-0.077968,0.015630,0.005745
5603,-0.146790,6.584241,-7.213778,-0.104930,0.007738,-0.001823
5604,-0.150703,6.571076,-7.204446,0.001823,-0.014654,-0.031281
5605,-0.154194,6.580182,-7.202831,0.016522,-0.021553,0.021401
5606,-0.146087,6.594479,-7.210928,0.045498,-0.057744,-0.023578
5607,-0.157015,6.568221,-7.184757,0.044007,0.003186,-0.000666
5608,-0.150267,6.572302,-7.191642,-0.031231,-0.019057,0.014115
