seq,ax,ay,az,wroll,wpitch,wyaw
1,0.033096,-9.937152,-0.220704,0.526575,-29.612972,-0.637726
2,0.020431,-9.927758,-0.163394,0.106946,-8.860387,-0.378319
3,0.027669,-9.916651,0.014172,-0.221258,0.093622,-0.122392
4,0.015239,-9.924070,-0.173995,-2.601702,0.406437,0.007311
5,-0.002404,-9.926864,0.053833,0.184488,0.289800,0.066108
6,0.007316,-9.947874,-0.103553,-0.101981,0.095811,0.041802
8,0.020713,-9.941415,-0.069590,-0.836587,0.033634,0.151124
9,0.007746,-9.941213,-0.084969,0.098518,0.165363,0.160928
10,0.004771,-9.905949,0.033449,0.995586,0.241116,0.214689
11,0.001584,-9.941585,-0.030957,0.033131,0.225832,0.170753
12,-0.012134,-9.935910,-0.030094,-0.351689,0.107736,0.106119
13,0.000547,-9.930815,-0.074122,-0.620581,-0.058145,0.006706
15,-0.000560,-9.930112,-0.037482,0.292684,-0.225968,0.043384
16,-0.002454,-9.909623,-0.052797,0.504473,-0.100487,0.064100
17,-0.002259,-9.929585,-0.086406,-0.139323,0.043017,-0.019176
18,-0.001370,-9.924723,-0.059652,-0.112617,-0.135501,-0.025927
19,0.009428,-9.911124,-0.089227,0.082942,-0.072023,0.011821
20,0.000060,-9.935655,-0.086900,0.434439,0.070549,0.063090
22,0.009226,-9.921771,-0.000691,1.040074,0.023959,-0.057051
23,0.011140,-9.932789,-0.062267,1.153566,-0.058001,0.092410
24,-0.010035,-9.926657,0.085114,-2.066136,0.201407,-0.205146
25,0.003456,-9.924722,-0.019403,-1.393281,0.047214,-0.139384
26,-0.003348,-9.939339,-0.146302,-0.439926,0.060425,-0.061020
27,0.005505,-9.912115,-0.024693,0.105821,0.087962,0.029535
29,0.011559,-9.915953,-0.075184,-0.015721,0.048181,0.028567
30,0.027223,-9.920383,-0.042845,-0.007826,-0.041953,-0.038786
31,0.008776,-9.933958,-0.065795,-0.110882,-0.011060,0.006763
32,0.001740,-9.907377,-0.092891,0.003445,-0.040215,0.013921
33,0.009803,-9.917645,-0.037375,0.091887,-0.001999,0.013464
34,0.011855,-9.931007,-0.068668,-0.058716,0.012825,-0.016495
36,0.006689,-9.924212,-0.035641,-0.078929,-0.031872,-0.015954
37,-0.005423,-9.922255,-0.067313,0.004833,0.006070,0.036225
38,0.013032,-9.908078,-0.044367,0.071090,-0.045785,0.020279
39,0.015210,-9.949149,-0.069638,-0.012415,-0.022146,0.004855
40,-0.000673,-9.909653,-0.051599,0.083925,-0.043558,0.004696
41,0.012765,-9.932791,-0.050014,0.014758,0.024285,0.034060
43,0.003419,-9.915146,-0.049736,0.073310,0.008730,-0.011334
44,0.013243,-9.897244,-0.048515,-0.025027,-0.006315,0.018556
