seq,ax,ay,az,wroll,wpitch,wyaw
1,0.010235,-0.098902,-9.736350,0.044740,-0.067904,0.008455
2,0.005868,-0.082044,-9.752604,0.014222,-0.067904,0.008455
3,0.015322,-0.118672,-9.731765,0.006592,-0.067904,0.000825
4,-0.018097,-0.078286,-9.746119,-0.016297,-0.106052,0.016084
5,0.000482,-0.099792,-9.768225,-0.016297,-0.106052,0.008455
6,0.003108,-0.098218,-9.739442,-0.046815,-0.060275,0.016084
8,0.030897,-0.118801,-9.733793,0.075259,-0.075534,0.031343
9,0.007934,-0.095276,-9.739986,0.029481,-0.098423,-0.014434
10,0.011318,-0.096595,-9.725807,0.067629,-0.075534,-0.014434
11,0.036685,-0.094924,-9.742932,-0.001038,-0.098423,0.016084
12,0.004607,-0.109945,-9.772646,-0.001038,-0.106052,0.046603
13,0.016609,-0.100842,-9.722684,-0.023926,-0.090793,0.000825
15,-0.000123,-0.108393,-9.730511,0.014222,-0.090793,0.016084
16,0.010466,-0.109466,-9.763144,0.037111,-0.045015,0.016084
17,0.009087,-0.098867,-9.739896,0.029481,-0.037386,0.046603
18,0.017990,-0.120338,-9.753983,-0.001038,-0.090793,0.031343
19,0.002515,-0.087828,-9.775455,-0.031556,-0.083163,0.000825
20,-0.004430,-0.111973,-9.724660,0.014222,-0.090793,-0.052583
22,0.003462,-0.106350,-9.773324,0.021852,-0.022126,-0.014434
23,0.007362,-0.120172,-9.764179,0.037111,-0.045015,0.092380
24,0.001755,-0.098284,-9.727730,-0.023926,-0.060275,0.038973
25,0.039476,-0.108692,-9.740268,0.006592,-0.083163,0.046603
26,0.021079,-0.110233,-9.752350,-0.039186,-0.052645,0.031343
27,0.001517,-0.089204,-9.746688,0.037111,-0.098423,0.061862
29,0.007603,-0.109675,-9.727982,-0.062075,-0.098423,-0.029694
30,-0.006538,-0.104100,-9.738938,-0.039186,-0.029756,0.054232
31,0.001695,-0.116703,-9.739708,-0.039186,-0.022126,-0.006805
32,-0.007018,-0.104037,-9.747754,0.037111,-0.128941,0.046603
33,-0.001025,-0.103492,-9.748230,0.052370,-0.045015,0.000825
34,0.011315,-0.108461,-9.736147,-0.001038,-0.060275,0.008455
36,0.010220,-0.091791,-9.728854,0.014222,-0.052645,0.038973
37,0.020353,-0.116221,-9.748143,0.006592,-0.067904,-0.022064
38,-0.010479,-0.104535,-9.757792,-0.046815,-0.060275,-0.006805
39,0.003145,-0.103539,-9.746971,-0.031556,-0.067904,0.000825
40,0.040855,-0.110987,-9.756043,0.037111,-0.060275,0.069492
41,0.010693,-0.092745,-9.765217,-0.031556,-0.060275,-0.022064
43,0.015835,-0.120793,-9.772214,-0.023926,-0.083163,0.031343
44,0.013756,-0.103415,-9.780214,0.006592,-0.075534,0.000825
45,0.009848,-0.127565,-9.732881,-0.001038,-0.075534,0.061862
46,0.009720,-0.102415,-9.745686,0.067629,-0.037386,0.038973
47,-0.017938,-0.102235,-9.734509,-0.023926,-0.037386,-0.029694
48,0.021054,-0.117068,-9.711722,-0.023926,-0.060275,0.092380
50,-0.001859,-0.095593,-9.768352,-0.054445,-0.045015,0.038973
51,0.018268,-0.115456,-9.770504,-0.031556,-0.098423,0.008455
52,0.000085,-0.103546,-9.741750,0.014222,-0.083163,-0.014434
53,-0.013353,-0.108902,-9.725487,-0.001038,-0.075534,0.046603
54,0.012141,-0.124076,-9.722335,-0.023926,-0.052645,0.000825
55,0.018344,-0.112751,-9.728880,-0.016297,-0.052645,0.038973
57,0.012474,-0.096327,-9.767461,-0.016297,-0.090793,0.016084
58,0.008025,-0.106800,-9.712180,0.021852,-0.045015,-0.037323
59,-0.000477,-0.100557,-9.741818,0.014222,-0.052645,-0.006805
60,-0.001777,-0.083095,-9.763305,-0.008667,-0.106052,0.038973
61,0.004659,-0.084710,-9.709145,-0.008667,-0.060275,0.084751
62,-0.000181,-0.089734,-9.754342,0.029481,-0.045015,0.023714
64,0.014561,-0.113702,-9.760046,-0.008667,-0.060275,-0.006805
65,-0.002963,-0.077148,-9.758746,0.006592,-0.098423,0.016084
66,0.005668,-0.101717,-9.755172,-0.008667,-0.022126,0.054232
67,0.013558,-0.064062,-9.775093,0.105777,-0.159460,0.031343
68,-0.010955,-0.084894,-9.749371,0.021852,-0.067904,0.023714
69,0.015087,-0.097133,-9.739807,0.021852,-0.144200,-0.014434
71,0.003719,-0.088133,-9.731402,-0.031556,-0.067904,0.016084
72,0.005057,-0.096972,-9.749991,-0.023926,-0.060275,0.008455
73,0.010989,-0.082814,-9.733705,0.006592,-0.045015,-0.022064
74,0.004755,-0.094154,-9.724812,-0.023926,-0.045015,0.031343
75,0.008886,-0.095406,-9.721769,-0.001038,-0.052645,0.038973
76,0.004436,-0.096978,-9.748242,-0.031556,-0.052645,-0.006805
78,0.014989,-0.094215,-9.729886,-0.001038,-0.052645,0.008455
79,0.015609,-0.092132,-9.774521,-0.008667,-0.045015,0.016084
80,-0.008431,-0.114810,-9.741122,-0.046815,-0.014497,-0.044953
81,-0.001243,-0.082837,-9.713408,-0.039186,-0.052645,0.046603
82,-0.008769,-0.092135,-9.740384,0.006592,-0.067904,0.023714
83,-0.000800,-0.099823,-9.761794,-0.016297,-0.090793,0.023714
85,0.009607,-0.115520,-9.748960,0.037111,-0.090793,0.000825
86,0.014351,-0.085626,-9.764104,-0.001038,-0.052645,0.016084
87,0.012575,-0.102210,-9.780261,0.029481,-0.052645,-0.029694
88,-0.005252,-0.108220,-9.749400,0.006592,-0.037386,0.023714
89,-0.009290,-0.098322,-9.706821,-0.046815,-0.060275,-0.052583
90,0.016674,-0.102590,-9.729106,0.037111,-0.037386,0.016084
92,0.021406,-0.099693,-9.722609,-0.062075,-0.060275,-0.044953
93,0.011723,-0.107668,-9.766088,0.014222,-0.075534,0.046603
