seq,ax,ay,az,wroll,wpitch,wyaw
1,0.036256,-0.215448,-9.619252,0.091686,-0.002389,0.064200
2,0.031923,-0.198532,-9.635169,0.059162,-0.002311,0.062095
3,0.041309,-0.235415,-9.614940,0.049844,-0.002235,0.052680
4,0.007913,-0.194466,-9.628671,0.026071,-0.039060,0.065712
5,0.026497,-0.216546,-9.650856,0.025216,-0.037779,0.056178
6,0.029116,-0.214722,-9.622302,-0.005129,0.007737,0.061716
8,0.056917,-0.235703,-9.616969,0.113112,-0.007276,0.074451
9,0.033960,-0.211799,-9.622814,0.065126,-0.029176,0.027734
10,0.037340,-0.213034,-9.608773,0.099889,-0.006081,0.026824
11,0.062772,-0.211725,-9.625760,0.030198,-0.028020,0.055463
12,0.030611,-0.226874,-9.655362,0.029208,-0.034481,0.083163
13,0.042631,-0.217341,-9.605732,0.006113,-0.018592,0.036159
15,0.025853,-0.224888,-9.613562,0.042809,-0.017982,0.049733
16,0.036479,-0.226357,-9.645941,0.063545,0.026884,0.048102
17,0.035107,-0.215435,-9.622766,0.054082,0.033383,0.076043
18,0.043991,-0.237320,-9.636991,0.022791,-0.019368,0.058791
19,0.028563,-0.204547,-9.657888,-0.007474,-0.011354,0.027346
20,0.021527,-0.228412,-9.607799,0.037048,-0.018361,-0.025207
22,0.029473,-0.223239,-9.655991,0.043213,0.048656,0.012517
23,0.033347,-0.237149,-9.647087,0.056555,0.024923,0.115420
24,0.027754,-0.214672,-9.610689,-0.004335,0.009347,0.059979
25,0.065539,-0.225630,-9.623280,0.025325,-0.013098,0.065392
26,0.047106,-0.227129,-9.635259,-0.019782,0.016849,0.048489
27,0.027545,-0.205671,-9.629381,0.054661,-0.027980,0.076418
29,0.033591,-0.226228,-9.611077,-0.043064,-0.027063,-0.014641
30,0.019438,-0.220571,-9.621861,-0.019514,0.040240,0.067013
31,0.027662,-0.233377,-9.622779,-0.018874,0.046300,0.005780
32,0.018962,-0.220582,-9.630601,0.055540,-0.058531,0.057247
33,0.024969,-0.220090,-9.631073,0.068478,0.024562,0.011093
34,0.037317,-0.225108,-9.619163,0.014576,0.008998,0.018109
36,0.036251,-0.208200,-9.611739,0.028857,0.016083,0.047033
37,0.046365,-0.233132,-9.631156,0.020532,0.000796,-0.013544
38,0.015499,-0.221144,-9.640556,-0.031798,0.008150,0.001659
39,0.029146,-0.220163,-9.629829,-0.015996,0.000503,0.008984
40,0.066924,-0.228100,-9.638949,0.050944,0.007866,0.075105
41,0.036742,-0.209494,-9.647803,-0.017142,0.007608,-0.015912
43,0.041840,-0.237924,-9.655069,-0.009200,-0.014780,0.036267
44,0.039798,-0.220429,-9.662800,0.020619,-0.006916,0.005560
45,0.035806,-0.244357,-9.616143,0.012564,-0.006689,0.064413
46,0.035737,-0.219074,-9.628549,0.078567,0.030428,0.040163
47,0.008016,-0.218547,-9.617437,-0.012562,0.029430,-0.027569
48,0.047046,-0.233668,-9.595056,-0.012151,0.006327,0.091407
50,0.024161,-0.212285,-9.650931,-0.041270,0.020879,0.036754
51,0.044289,-0.232541,-9.653316,-0.017779,-0.031462,0.006031
52,0.026077,-0.220096,-9.624650,0.027081,-0.015672,-0.016306
53,0.012592,-0.225238,-9.608573,0.011434,-0.007779,0.043265
