seq,ax,ay,az,wroll,wpitch,wyaw
6031,-6.964677,0.074198,6.981235,0.030649,-0.040538,-0.195208
6032,-6.962861,0.048288,6.996588,0.096060,-0.017070,-0.151910
6033,-6.951797,0.049856,6.978745,0.011736,-0.060788,-0.065756
6034,-6.961635,0.055321,6.916827,-0.055064,-0.051415,-0.115256
6035,-6.937787,0.040507,6.953469,-0.200849,-0.027591,-0.148375
6036,-6.925650,0.040263,6.942643,-0.090951,-0.063584,-0.025439
6038,-6.946756,0.040063,6.951556,-0.043692,-0.039361,-0.076262
6039,-6.940862,0.060504,6.978875,-0.079157,-0.126624,-0.029484
6040,-6.960051,0.087936,6.964346,-0.017526,-0.056058,-0.087554
6041,-6.971547,0.056250,6.982980,-0.075988,-0.017323,-0.055166
6042,-6.940149,0.026749,6.979713,0.000298,-0.024134,-0.068116
6043,-6.961097,0.079571,6.987667,-0.051368,-0.038102,-0.080642
6045,-6.928525,0.016328,6.995140,0.001972,-0.036853,-0.107516
6046,-6.933814,0.058493,6.944685,0.031426,-0.035645,-0.081853
6047,-6.940113,0.064091,6.971880,0.015637,-0.004958,-0.049651
6048,-6.949706,0.047450,6.998007,0.000365,-0.071211,-0.077542
6049,-6.961375,0.049331,6.934917,-0.021785,-0.031979,-0.104517
6050,-6.958788,0.084884,6.956826,-0.028450,-0.008792,-0.034676
6052,-6.939613,0.062285,6.977140,0.016759,-0.023263,-0.092575
6053,-6.952657,0.053536,7.000817,0.016209,-0.022500,-0.067401
6054,-6.949733,0.026922,6.979530,0.000919,-0.021763,-0.043053
6055,-6.938357,0.078559,6.989269,0.030407,-0.006290,-0.078539
6056,-6.946277,0.063021,6.982828,-0.022246,-0.028222,-0.024308
6057,-6.938238,0.041096,6.943563,-0.051035,0.053877,-0.067788
6059,-6.944196,0.056296,6.956144,-0.019844,0.015214,-0.102463
6060,-6.949703,0.053999,6.961876,0.039843,0.029474,-0.054827
6061,-6.942542,0.064140,6.974162,-0.072156,-0.023149,-0.067788
6062,-6.963766,0.075341,6.960293,-0.025513,-0.037149,-0.021289
6063,-6.967579,0.030943,7.016410,-0.024677,-0.035931,0.060583
6064,-6.945485,0.053919,6.960211,-0.016488,-0.064271,-0.059475
6066,-6.933265,0.054961,6.987207,-0.001189,-0.025267,-0.042766
6067,-6.954997,0.052965,6.996121,-0.030668,-0.017059,-0.026605
6068,-6.956397,0.075273,6.990115,-0.022283,-0.016500,-0.010974
6069,-6.946774,0.069054,6.981612,0.030104,-0.001200,-0.047511
6070,-6.970698,0.048344,6.957445,-0.000401,-0.015919,-0.016436
6071,-6.936825,0.075459,6.962548,-0.022526,-0.000638,-0.089692
6073,-6.964263,0.050064,6.970359,-0.014408,-0.037515,-0.005577
6074,-6.952728,0.061305,6.971078,-0.021315,-0.058423,-0.027533
6075,-6.954442,0.063739,6.967537,-0.013237,0.046805,-0.041389
6076,-6.963674,0.046431,6.967486,-0.042321,-0.013766,-0.017894
6077,-6.950574,0.067249,6.951871,0.003343,-0.035453,-0.046825
6078,-6.939711,0.064114,6.985855,0.040131,-0.012152,-0.045290
6080,-6.979307,0.064143,6.946111,-0.020220,-0.033892,-0.043805
6081,-6.958561,0.064405,6.962798,-0.012178,0.011496,0.009287
6082,-6.935653,0.055607,6.987157,0.010359,-0.033158,-0.005776
6083,-6.958292,0.061943,6.941287,-0.004739,-0.039450,-0.049864
6084,-6.949592,0.046222,6.988706,-0.019342,-0.001260,-0.026090
6085,-6.954580,0.033661,6.989866,0.010809,-0.030736,-0.039994
6087,-6.972188,0.055664,6.985301,0.039973,-0.022349,-0.023924
6088,-6.949428,0.046194,6.977069,0.016524,0.030040,0.006378
6089,-6.930994,0.051223,6.950029,0.030741,-0.022601,-0.038108
6090,-6.941239,0.061080,6.963732,-0.007164,0.000278,-0.022099
6091,-6.949835,0.051606,6.968875,-0.006929,0.000269,-0.006616
6092,-6.936504,0.045302,6.952295,0.000678,-0.073535,-0.013778
6094,-6.948576,0.060028,6.972912,-0.036242,-0.041606,0.001432
6095,-6.949613,0.069081,6.970500,-0.020295,0.055691,-0.020753
6096,-6.940093,0.056143,6.920139,-0.041768,0.016968,-0.034832
6097,-6.936910,0.070133,7.005653,0.026017,-0.005727,0.047484
6098,-6.951363,0.066689,6.964664,-0.070770,0.001841,-0.027867
6099,-6.968751,0.083312,6.981674,0.020104,-0.005599,-0.041713
6101,-6.949222,0.078769,6.994882,0.004686,0.016723,-0.010827
6102,-6.947177,0.066615,6.965326,0.034051,-0.028102,-0.010472
6103,-6.946289,0.055173,6.975900,0.003416,-0.056699,0.026769
6104,-6.945023,0.091280,6.964607,0.010684,0.018955,-0.018386
6105,-6.937921,0.082710,6.962475,-0.033943,-0.033323,0.011735
6106,-6.950498,0.073275,6.952411,0.004067,0.026805,-0.003409
6108,-6.930634,0.050650,6.966336,-0.032964,0.003788,0.018841
6109,-6.958432,0.043944,6.975751,-0.002365,0.003664,-0.003915
6110,-6.938671,0.076708,6.967160,0.019851,-0.018595,0.010972
6111,-6.942787,0.065901,6.950864,0.041338,-0.047503,0.010613
6112,-6.958438,0.048683,6.938469,0.032604,-0.060705,0.017644
6113,-6.959936,0.071705,6.982507,-0.071778,0.007701,-0.049350
6115,-6.942461,0.045405,6.949854,-0.047286,0.007448,-0.047732
6116,-6.954345,0.045605,6.942642,-0.001459,0.021963,-0.016649
6117,-6.954956,0.069774,6.967484,-0.001411,0.013864,-0.038242
6118,-6.971277,0.070696,6.978226,-0.008745,0.042927,-0.007470
6119,-6.943732,0.049062,6.958533,-0.060114,-0.047034,0.000155
6120,-6.961403,0.074699,6.962088,0.000893,-0.001215,-0.021989
6122,-6.950363,0.046774,6.959006,-0.028655,-0.045452,-0.043407
6123,-6.919370,0.058919,6.983367,0.060838,-0.066101,-0.034604
6124,-6.959075,0.036810,7.014202,-0.022331,0.039379,-0.003952
6125,-6.945803,0.044218,6.930593,0.037438,-0.028327,0.018316
6126,-6.945227,0.061214,6.991591,-0.022826,0.031637,0.032475
6127,-6.962845,0.063289,6.967963,0.029579,-0.021056,-0.005487
6129,-6.956515,0.052949,6.976305,0.043368,0.001772,0.002072
6130,-6.956238,0.065583,6.969235,-0.017089,0.001714,0.002004
6131,-6.928284,0.040348,6.959470,-0.016529,0.016417,0.001939
6132,-6.942213,0.082199,6.968800,-0.001228,-0.028398,-0.027643
6133,-6.982762,0.061862,6.976325,-0.001188,-0.049605,0.017540
6134,-6.941706,0.031570,6.967427,-0.030667,0.018436,0.024345
6136,-6.953335,0.061921,6.972227,-0.014903,-0.026445,0.001408
6137,-6.928359,0.053647,6.977997,0.022483,-0.025578,-0.006018
6138,-6.954761,0.066720,6.950631,0.006987,0.019537,-0.027959
6139,-6.959331,0.083677,6.951587,-0.015380,0.055794,-0.041801
