seq,ax,ay,az,wroll,wpitch,wyaw
66,-6.924670,-0.058857,-6.844681,0.091686,-0.010019,0.758496
67,-6.824171,-0.082396,-6.854247,-1.047762,0.241213,0.586039
68,-6.860451,0.523132,-6.908751,1.303750,-0.165188,-0.628652
69,-6.876657,0.222417,-6.781771,0.006493,-0.263086,0.307015
70,-6.876750,-0.003749,-6.872685,-2.133774,-0.180666,-2.212079
71,-6.887265,0.005552,-6.840360,-0.108254,-0.012394,-0.316822
73,-6.882169,-0.010800,-6.835490,-0.001392,-0.078403,-0.225261
74,-6.901571,0.016066,-6.835469,0.020793,-0.046315,0.040406
75,-6.891449,-0.023965,-6.870491,0.086526,-0.030038,-0.005196
76,-6.908166,-0.041091,-6.849733,0.046792,-0.080709,-0.174754
77,-6.874667,-0.006154,-6.852841,-0.190886,-0.166617,-0.589656
78,-6.876101,-0.019980,-6.849859,-0.192008,-0.109498,-0.511289
80,-6.897379,-0.033436,-6.842018,0.065190,-0.024734,-0.110793
81,-6.887049,-0.051159,-6.869630,-0.512548,-0.016544,-0.299028
82,-6.882970,0.090421,-6.847872,-2.967876,-0.185730,0.146166
83,-6.901481,0.032356,-6.825690,-0.974047,-0.105846,0.207790
84,-6.907855,0.004752,-6.826194,0.150052,0.045214,0.009111
85,-6.901274,-0.011068,-6.841088,0.248446,-0.022684,0.045709
87,-6.888264,0.009256,-6.808396,0.077952,0.051855,0.058970
88,-6.872416,-0.002642,-6.881341,0.282022,-0.001502,0.138211
89,-6.862514,-0.009420,-6.867719,1.342804,0.138758,1.211087
90,-6.929574,-0.117236,-6.852502,2.073629,0.237522,1.658430
91,-6.868506,-0.011633,-6.827659,1.230800,0.037868,0.238853
92,-6.864461,0.003321,-6.844568,0.895269,-0.074066,0.017017
94,-6.884873,-0.003549,-6.848979,0.061554,0.024296,0.016459
95,-6.875446,-0.006205,-6.882537,-0.021639,0.075156,-0.094773
96,-6.872170,-0.005006,-6.858622,0.067624,-0.038001,-0.121184
97,-6.888242,-0.028190,-6.847120,0.117064,-0.066273,-0.131970
98,-6.884529,-0.003516,-6.830931,0.039431,-0.005064,-0.120264
