seq,ax,ay,az,wroll,wpitch,wyaw
5273,-0.083171,-6.986356,6.989538,-0.043764,-0.081893,-0.050900
5274,-0.102629,-6.999259,6.996330,-0.051394,-0.097152,-0.081418
5275,-0.066325,-6.998592,7.014615,-0.020875,-0.043745,-0.043270
5276,-0.086828,-7.002972,6.976761,0.009643,-0.005597,-0.058529
5277,-0.070935,-6.990164,7.010328,0.009643,0.032551,-0.050900
5278,-0.099068,-7.012543,7.027603,-0.028505,-0.059005,-0.058529
5280,-0.082942,-6.994180,7.007793,-0.028505,-0.036116,-0.050900
5281,-0.087852,-6.997119,7.013003,-0.020875,-0.005597,-0.050900
5282,-0.076184,-6.993184,7.039555,-0.051394,-0.036116,-0.073789
5283,-0.092867,-6.992205,6.991170,-0.051394,-0.005597,-0.028011
5284,-0.098233,-6.997036,7.026860,-0.020875,-0.005597,-0.028011
5285,-0.079142,-6.998487,7.031353,-0.043764,-0.043745,-0.058529
5287,-0.076013,-7.006224,7.013923,0.009643,0.002033,-0.035640
5288,-0.070633,-7.008673,7.012299,-0.081913,-0.036116,-0.089048
5289,-0.101121,-6.989244,7.027302,-0.036135,-0.043745,-0.066159
5290,-0.086195,-6.982162,6.995877,-0.066653,-0.074264,-0.119566
5291,-0.085772,-6.999008,7.033572,-0.043764,-0.020856,-0.066159
5292,-0.071587,-7.013357,6.990067,-0.051394,-0.036116,-0.043270
5294,-0.102493,-6.994471,6.991592,0.002013,-0.005597,-0.066159
5295,-0.077814,-7.001445,7.019108,-0.074283,-0.013227,-0.020381
5296,-0.092592,-7.004180,7.001856,-0.043764,-0.020856,-0.043270
5297,-0.078906,-7.002594,7.010310,-0.043764,-0.051375,-0.081418
5298,-0.088853,-6.969707,7.027326,-0.036135,-0.028486,-0.066159
5299,-0.101743,-7.006484,7.011076,-0.051394,-0.020856,-0.081418
5301,-0.101372,-6.997478,6.993991,-0.074283,-0.036116,-0.058529
5302,-0.111341,-7.014094,7.003941,-0.036135,-0.005597,-0.050900
5303,-0.079499,-7.005558,7.006816,-0.081913,-0.036116,-0.058529
5304,-0.111248,-7.002181,7.009670,-0.066653,-0.036116,-0.066159
5305,-0.082071,-7.007947,7.016753,-0.051394,-0.059005,-0.035640
5306,-0.077429,-7.005517,6.987521,-0.081913,-0.020856,-0.073789
5308,-0.074829,-6.993162,7.028449,0.009643,-0.066634,-0.035640
5309,-0.090116,-6.983828,6.974725,-0.081913,0.009662,-0.073789
5310,-0.093100,-6.994044,7.005835,0.017272,-0.051375,-0.035640
5311,-0.087868,-7.009758,7.043612,-0.043764,-0.043745,-0.058529
5312,-0.100979,-7.005857,6.999952,-0.043764,-0.013227,0.002508
5313,-0.077069,-6.979865,6.988414,-0.059023,-0.043745,-0.043270
5315,-0.085535,-7.011438,7.003833,-0.020875,-0.043745,-0.020381
5316,-0.086909,-6.980992,7.005225,-0.051394,-0.028486,-0.005122
5317,-0.104336,-6.990297,6.999126,-0.112431,-0.036116,-0.058529
5318,-0.091203,-6.973827,7.019709,-0.043764,-0.043745,-0.043270
5319,-0.109374,-6.988511,7.018343,-0.036135,-0.020856,-0.043270
5320,-0.087124,-7.000069,7.000745,-0.020875,0.002033,-0.028011
5322,-0.094087,-6.980304,7.005076,-0.020875,-0.051375,-0.012752
5323,-0.082293,-6.993581,7.004870,-0.005616,-0.028486,-0.073789
5324,-0.084801,-6.988820,7.017658,-0.028505,-0.028486,-0.012752
5325,-0.087102,-7.004226,6.994934,-0.043764,-0.059005,-0.066159
5326,-0.074050,-7.018842,7.031681,-0.074283,-0.089523,-0.058529
5327,-0.093596,-6.989850,7.002848,-0.020875,-0.020856,-0.043270
5329,-0.083731,-6.983514,7.032268,-0.028505,-0.020856,-0.020381
5330,-0.075450,-6.999699,7.023237,-0.097172,-0.059005,-0.043270
5331,-0.078233,-7.002584,7.005050,-0.066653,0.017292,-0.058529
