seq,ax,ay,az,wroll,wpitch,wyaw
7258,-0.068569,-7.005331,7.119581,0.122205,-0.017649,-0.027356
7259,-0.074765,-7.023178,7.119793,0.152723,0.035759,-0.065504
7260,-0.068509,-7.032589,7.090752,0.129835,0.012870,-0.080763
7261,-0.060312,-7.003386,7.085082,0.198501,0.051018,-0.080763
7262,-0.073184,-7.015583,7.052770,0.106946,0.058648,-0.080763
7263,-0.079872,-7.020916,7.056257,0.099316,0.081537,-0.080763
7265,-0.073062,-7.019381,7.085126,0.053538,-0.048167,-0.088393
7266,-0.054893,-7.009943,7.076511,0.053538,-0.071056,-0.042615
7267,-0.056207,-7.016515,7.079544,0.045908,0.028129,-0.111282
7268,-0.084600,-7.013430,7.103563,0.068798,0.035759,-0.057874
7269,-0.060627,-7.010066,7.102810,0.038279,0.012870,-0.080763
7270,-0.053972,-7.010089,7.097076,0.038279,0.012870,-0.065504
7272,-0.066599,-7.023651,7.090034,0.106946,-0.040538,-0.103652
7273,-0.063606,-6.997277,7.068465,0.061168,-0.078686,-0.088393
7274,-0.094360,-6.984665,7.098711,0.023020,0.028129,-0.080763
7275,-0.055069,-7.014182,7.085980,0.023020,0.035759,-0.073134
7276,-0.069179,-6.993762,7.085895,0.000131,-0.010019,-0.126541
7277,-0.071966,-7.006391,7.104272,-0.007499,0.020499,-0.111282
7279,-0.060055,-7.000295,7.068594,-0.007499,-0.040538,-0.118911
7280,-0.071477,-7.023059,7.097554,0.000131,0.012870,-0.111282
7281,-0.056110,-7.019433,7.069623,0.000131,-0.071056,-0.065504
7282,-0.062924,-7.010590,7.095144,0.000131,-0.032908,-0.111282
7283,-0.055261,-7.018428,7.096621,0.061168,-0.025278,-0.088393
7284,-0.061213,-7.014207,7.098181,0.007761,-0.048167,-0.118911
7286,-0.064835,-7.002920,7.110807,0.053538,-0.025278,-0.096022
7287,-0.078645,-7.006081,7.067153,0.015390,-0.025278,-0.080763
7288,-0.057288,-7.005770,7.080492,-0.045647,-0.055797,-0.118911
7289,-0.078064,-7.020037,7.100885,-0.045647,-0.010019,-0.111282
7290,-0.064167,-6.987169,7.074719,0.030649,-0.055797,-0.088393
7291,-0.079136,-7.025305,7.086876,-0.030387,-0.040538,-0.111282
7293,-0.079061,-7.014590,7.090784,-0.030387,-0.017649,-0.118911
7294,-0.063055,-7.027858,7.089598,0.000131,-0.032908,-0.111282
7295,-0.065092,-7.005120,7.083257,-0.007499,-0.040538,-0.118911
7296,-0.073814,-7.006696,7.063154,0.007761,-0.025278,-0.073134
7297,-0.071706,-6.999145,7.091228,0.000131,-0.025278,-0.096022
7298,-0.081007,-7.004265,7.066484,-0.038017,-0.010019,-0.096022
7300,-0.068988,-7.010871,7.056288,0.007761,-0.093945,-0.103652
7301,-0.094077,-7.007959,7.101506,-0.007499,-0.002389,-0.111282
7302,-0.083098,-7.012699,7.081275,-0.015129,0.005240,-0.080763
7303,-0.081223,-6.993100,7.092681,0.053538,0.005240,-0.073134
