seq,ax,ay,az,wroll,wpitch,wyaw
7258,-0.066148,-7.037865,7.013498,0.122205,-0.017649,-0.027356
7259,-0.072395,-7.055829,7.013508,0.147716,0.034586,-0.063356
7260,-0.066130,-7.065647,6.984599,0.120735,0.011314,-0.076038
7261,-0.057851,-7.036283,6.979307,0.183193,0.047841,-0.073546
7262,-0.070759,-7.048773,6.947142,0.088633,0.053652,-0.071134
7263,-0.077474,-7.054068,6.950544,0.078348,0.074031,-0.068802
7265,-0.070662,-7.052320,6.979179,0.031502,-0.053847,-0.073926
7266,-0.052431,-7.043028,6.970727,0.030469,-0.074220,-0.027226
7267,-0.053763,-7.049626,6.973660,0.022091,0.024146,-0.092749
7268,-0.082221,-7.046043,6.997539,0.043505,0.030734,-0.038051
7269,-0.058191,-7.042866,6.996807,0.012561,0.007588,-0.058943
7270,-0.051519,-7.043000,6.991114,0.012149,0.007339,-0.042251
7272,-0.064197,-7.056645,6.983988,0.078166,-0.044558,-0.077763
7273,-0.061131,-7.030233,6.962905,0.031327,-0.079994,-0.060455
7274,-0.091939,-7.016953,6.993072,-0.006598,0.025941,-0.051094
7275,-0.052621,-7.047222,6.980067,-0.006381,0.032470,-0.042039
7276,-0.066717,-7.026478,6.980232,-0.028311,-0.012871,-0.092317
7277,-0.069547,-7.039041,6.998311,-0.034762,0.017069,-0.074532
7279,-0.057579,-7.033310,6.962995,-0.033622,-0.042527,-0.079468
7280,-0.069088,-7.055937,6.991457,-0.025141,0.010524,-0.069483
7281,-0.053667,-7.052662,6.963789,-0.024317,-0.070996,-0.022928
7282,-0.060489,-7.043444,6.989202,-0.023519,-0.031771,-0.066453
7283,-0.052829,-7.051413,6.990568,0.036288,-0.023350,-0.042136
7284,-0.058784,-7.047084,6.992170,-0.016558,-0.044723,-0.070273
7286,-0.062397,-7.035542,7.004823,0.028262,-0.021118,-0.045831
7287,-0.076219,-7.039001,6.961518,-0.009563,-0.020426,-0.029569
7288,-0.054825,-7.038758,6.974725,-0.068285,-0.049274,-0.065497
7289,-0.075684,-7.052796,6.994801,-0.066046,-0.003382,-0.055970
7290,-0.061675,-7.019966,6.969223,0.009914,-0.047548,-0.031997
7291,-0.076762,-7.058232,6.980852,-0.049447,-0.031230,-0.053087
7293,-0.076666,-7.047378,6.984849,-0.047826,-0.008068,-0.058726
7294,-0.060654,-7.060928,6.983504,-0.016740,-0.022562,-0.049421
7295,-0.062645,-7.038008,6.977481,-0.023571,-0.029202,-0.055180
7296,-0.071377,-7.039701,6.957541,-0.008039,-0.013486,-0.009094
7297,-0.069264,-7.031844,6.985460,-0.015155,-0.013044,-0.030935
7298,-0.078581,-7.037152,6.960878,-0.051556,0.002143,-0.029920
7300,-0.066546,-7.044021,6.950680,-0.005588,-0.079101,-0.036319
7301,-0.091704,-7.040453,6.995573,-0.020164,0.012046,-0.042508
7302,-0.080703,-7.045517,6.975448,-0.026883,0.019030,-0.011596
7303,-0.078788,-7.025642,6.986981,0.040414,0.018406,-0.003837
7304,-0.075372,-7.052247,6.973269,0.024330,0.003044,0.003669
7305,-0.063796,-7.026520,6.985526,0.001394,-0.011815,-0.055488
7307,-0.065977,-7.055408,6.983946,-0.035549,-0.011428,-0.016771
7308,-0.062661,-7.038005,6.978646,-0.004866,-0.092227,-0.016221
7309,-0.049227,-7.053895,6.987744,-0.004706,-0.008029,-0.023069
7310,-0.055107,-7.029744,6.961270,-0.056208,-0.059422,-0.037072
7311,-0.057473,-7.050748,6.980582,-0.017468,0.023700,-0.028477
7312,-0.085169,-7.032806,6.964796,-0.061173,-0.006595,-0.027543
7314,-0.052499,-7.033354,6.985207,-0.014890,0.008380,-0.011881
7315,-0.081194,-7.027408,6.985784,0.015116,-0.014033,-0.011492
7316,-0.061405,-7.052530,6.960150,-0.014897,0.001186,-0.003735
7317,-0.055565,-7.042950,6.980562,-0.036547,-0.013612,-0.025751
7318,-0.063121,-7.055438,6.993894,-0.027970,-0.005786,-0.061805
7319,-0.068529,-7.021102,6.944076,-0.012294,0.009163,-0.022881
7321,-0.079359,-7.049188,6.961532,-0.041409,-0.072312,0.029526
7322,-0.089534,-7.032700,6.976933,0.011605,-0.010906,-0.015719
7323,-0.075502,-7.049205,6.985466,-0.025673,0.041108,-0.015204
7324,-0.076606,-7.026855,7.000999,-0.046969,-0.048793,0.051710
7325,-0.068792,-7.039079,6.987267,-0.030671,-0.047193,-0.009021
7326,-0.062415,-7.021742,6.977369,0.044130,0.006010,-0.008726
7328,-0.072425,-7.034270,6.952244,-0.023733,-0.038464,-0.037957
7329,-0.050037,-7.064718,6.991881,0.006564,0.036592,-0.014575
7330,-0.071007,-7.053467,7.002460,0.006348,-0.001505,0.000662
7331,-0.076680,-7.041941,6.991212,0.006140,-0.023594,0.015399
7332,-0.072588,-7.033544,7.006943,0.042836,-0.037580,0.044413
7333,-0.075933,-7.026879,6.995774,-0.061881,0.007929,-0.008700
7335,-0.073047,-7.031142,6.999352,-0.045093,-0.014469,-0.023174
7336,-0.075648,-7.046254,6.956343,-0.014097,-0.013995,0.007104
7337,-0.057730,-7.023018,6.983870,-0.087430,-0.087331,-0.007888
7338,-0.064189,-7.056043,6.983984,-0.018148,-0.003294,-0.007629
7339,-0.058282,-7.027846,6.975746,-0.002794,0.011573,-0.014759
7340,-0.053268,-7.028482,7.002035,-0.017461,0.003815,-0.014275
7342,-0.074599,-7.034172,6.978974,-0.002130,0.033207,-0.006427
7343,-0.067288,-7.035438,7.011713,-0.016819,-0.041676,-0.006217
7344,-0.080139,-7.035256,6.988188,-0.060545,-0.047689,0.016126
7345,-0.080682,-7.037067,6.982371,-0.029042,-0.023987,0.008217
7346,-0.080098,-7.034659,6.985857,0.001428,0.065353,0.007948
7347,-0.066323,-7.056649,6.964742,-0.065034,0.004174,-0.043969
7349,-0.063970,-7.030716,6.993701,0.018273,-0.047619,0.001749
7350,-0.076926,-7.026893,6.981205,0.017673,0.035117,-0.042585
7351,-0.065322,-7.025327,6.967446,-0.005045,0.011827,0.039986
7352,-0.062552,-7.033796,6.975125,0.046777,0.004060,-0.020361
7353,-0.062711,-7.023596,6.954097,-0.050689,-0.003453,-0.034453
7354,-0.055433,-7.041161,6.972985,-0.034269,-0.032858,-0.033323
7356,-0.071513,-7.033034,6.973786,-0.025766,-0.009642,-0.010092
7357,-0.066681,-7.034336,6.969813,0.019356,0.005433,-0.009761
7358,-0.052118,-7.027287,7.006704,-0.003417,0.020014,-0.016821
7359,-0.062497,-7.053640,6.993893,-0.025444,-0.047057,-0.038408
7360,-0.088322,-7.020646,6.987928,0.012288,-0.015997,-0.022390
7361,-0.068432,-7.057166,6.986239,0.026644,-0.030231,0.000483
7363,-0.096529,-7.055365,7.025270,-0.040645,0.015037,0.000467
7364,-0.066635,-7.042101,7.001297,-0.039312,-0.044492,0.000452
7365,-0.080497,-7.044856,7.003964,0.021012,-0.020895,0.029955
7366,-0.067625,-7.036076,6.992506,-0.023953,0.038826,-0.007925
7367,-0.067120,-7.045035,7.032737,-0.008409,0.022794,0.029233
7368,-0.061576,-7.034987,6.989702,-0.037651,-0.022230,-0.016003
7370,-0.058081,-7.051340,6.980575,0.022619,0.030155,-0.015478
7371,-0.084299,-7.049585,7.013820,-0.081436,0.029166,0.051445
7372,-0.044723,-7.072049,6.990288,-0.041868,-0.030826,-0.016657
7373,-0.067493,-7.035495,6.983774,-0.033116,0.036600,-0.016111
7374,-0.058953,-7.025918,7.025189,-0.017272,-0.001497,-0.081998
7375,-0.069075,-7.048088,6.998384,-0.016705,0.005931,0.009244
7377,-0.070613,-7.037835,6.990133,0.094535,0.005737,-0.013198
7378,-0.056471,-7.048924,6.996301,-0.004498,0.035067,-0.005386
7379,-0.066985,-7.034981,6.948278,-0.019109,0.048676,-0.012588
7380,-0.065174,-7.042075,7.025187,0.018414,-0.011956,-0.019555
7381,-0.068729,-7.028220,6.993592,-0.004328,-0.004184,-0.048432
7382,-0.063967,-7.025282,6.998899,0.017953,0.069748,0.019571
7384,-0.060408,-7.044062,6.982806,-0.019533,-0.050610,-0.017968
7385,-0.068396,-7.051736,6.989111,-0.026272,0.002705,-0.032138
7386,-0.059862,-7.053122,6.977643,-0.025411,0.032135,0.035331
7387,-0.055760,-7.054994,6.982391,-0.017199,-0.027955,-0.024863
7388,-0.067714,-7.051064,7.026367,-0.001876,-0.019659,0.012849
7389,-0.074006,-7.013045,7.000368,0.012945,-0.004256,0.041946
7391,-0.068642,-7.034275,6.981415,-0.009618,0.025402,-0.003706
7392,-0.047211,-7.059308,7.009355,0.020215,-0.041846,-0.040482
7393,-0.087307,-7.057474,6.964351,-0.017345,-0.047854,-0.017016
7394,-0.077989,-7.050354,6.990665,-0.038915,-0.009388,-0.009079
7395,-0.052737,-7.002003,6.990797,0.028776,-0.001700,-0.001402
7396,-0.075726,-7.037786,6.970248,0.049971,0.042632,0.006024
7398,-0.075046,-7.057042,6.987859,0.018815,0.026476,0.035344
7399,-0.061262,-7.062124,6.982920,-0.033458,-0.033428,0.041565
7400,-0.085581,-7.036357,6.990421,-0.017602,0.019324,-0.004075
7401,-0.056106,-7.041741,6.977633,-0.009645,-0.018207,-0.018700
7402,-0.062592,-7.031977,6.979768,-0.001950,0.004529,0.018810
7403,-0.071778,-7.036611,6.988939,-0.016645,0.019139,0.047712
7404,-0.062853,-7.060315,6.970072,-0.008720,0.018512,-0.012888
7405,-0.088235,-7.044120,7.000903,-0.023193,-0.033752,-0.056743
7406,-0.058202,-7.031994,7.008368,-0.007673,-0.040025,-0.010606
7407,-0.068761,-7.028214,6.995920,-0.000043,0.012944,-0.010258
7408,-0.062042,-7.046380,7.011309,0.007338,-0.002239,-0.017301
7409,-0.061867,-7.057884,6.987534,-0.066697,0.027352,-0.001975
7411,-0.066542,-7.036078,7.000674,-0.034992,-0.039960,0.020228
7412,-0.064826,-7.035492,7.007104,0.010431,0.027765,0.019565
7413,-0.079136,-7.047925,6.989462,-0.012049,-0.039560,-0.017974
7414,-0.073622,-7.048044,6.980838,-0.026413,0.035532,0.012133
7415,-0.067350,-7.060186,6.991520,0.003971,-0.024669,0.033874
7416,-0.077365,-7.034064,7.005110,0.011220,-0.031240,-0.004134
7417,-0.059914,-7.027145,7.007138,0.025611,-0.015457,0.018140
