seq,ax,ay,az,wroll,wpitch,wyaw
3914,0.012187,-6.678892,-7.169659,-6.523331,2.975555,-1.007111
3915,0.021158,-6.693358,-7.097799,-5.539109,3.112888,-1.159703
3916,-0.015930,-6.701056,-7.068184,-6.042665,3.036592,-1.121555
3917,0.037340,-6.679159,-7.083627,-5.554368,3.135777,-1.625111
3918,0.026230,-6.660883,-7.085133,-5.218665,3.181555,-1.525926
3919,0.018555,-6.694581,-7.126940,-5.218665,3.128147,-1.358074
3921,0.022071,-6.672287,-7.099097,-4.936369,3.135777,-2.456740
3922,0.054278,-6.677773,-7.135695,-4.448073,3.143406,-2.960295
3923,0.084050,-6.712519,-7.071444,-4.753258,3.143406,-2.143925
3924,0.048581,-6.698571,-7.050101,-5.478073,3.135777,-1.091037
3925,0.030891,-6.678366,-7.050581,-5.424665,3.089999,-1.075777
3926,0.033455,-6.717089,-7.100888,-5.218665,3.120517,-1.060518
3928,0.035693,-6.704517,-7.119559,-5.081332,3.143406,-1.091037
3929,0.045909,-6.692535,-7.067073,-5.516221,3.059481,-1.083407
3930,0.034212,-6.697198,-7.092287,-5.523850,3.044221,-1.037629
3931,0.072081,-6.687732,-7.132958,-5.325480,3.051851,-1.052889
3932,0.041369,-6.727425,-7.077384,-4.669332,3.181555,-1.121555
3933,0.041943,-6.679910,-7.113216,-5.348369,3.044221,-1.022370
3935,0.043193,-6.738842,-7.048168,-4.356517,3.189184,-1.144444
3936,0.029182,-6.696466,-7.074927,-4.562517,3.212073,-1.098666
3937,0.028335,-6.698921,-7.102280,-4.943998,3.143406,-1.136814
3938,0.052664,-6.707083,-7.050544,-5.203406,3.120517,-1.068148
3939,0.022927,-6.716844,-7.076645,-5.401776,3.105258,-1.037629
3940,0.047456,-6.699260,-7.098423,-5.531480,3.105258,-1.068148
3942,0.038903,-6.736938,-7.039533,-5.035554,3.143406,-1.075777
3943,0.063489,-6.719967,-7.065961,-5.493332,3.067110,-1.060518
3944,0.035152,-6.703912,-7.123066,-5.874813,3.067110,-1.014740
3945,0.041370,-6.694304,-7.086934,-5.874813,3.128147,-1.022370
3946,0.070328,-6.698993,-7.062489,-5.478073,3.112888,-1.068148
3947,0.040938,-6.705099,-7.067077,-5.363628,3.097629,-0.984222
3949,0.050000,-6.683024,-7.092671,-6.851405,2.914518,0.976592
3950,0.019242,-6.684850,-7.081019,-6.012146,3.074740,0.625629
3951,-0.055644,-6.689626,-7.130710,-5.104221,3.120517,0.167852
3952,0.017485,-6.701224,-7.142626,-4.760888,3.189184,-1.030000
3953,0.025140,-6.704872,-7.094150,-4.860073,3.173925,-1.152074
3954,-0.002799,-6.697756,-7.103460,-4.852443,3.158666,-1.106296
3956,0.000476,-6.696558,-7.079545,-5.561998,3.097629,-1.037629
3957,0.019791,-6.686664,-7.079249,-5.561998,3.051851,-1.075777
3958,0.029369,-6.699612,-7.133683,-5.890072,3.028962,-1.014740
3959,0.015227,-6.689637,-7.098521,-5.714591,3.074740,-0.999481
3960,0.014144,-6.705753,-7.037898,-5.050813,3.112888,-0.999481
3961,-0.003284,-6.701295,-7.072598,-5.294961,3.044221,-0.968963
3963,0.031136,-6.678503,-7.110521,-5.531480,3.051851,-0.968963
3964,0.017465,-6.710091,-7.065158,-5.432295,3.089999,-1.007111
3965,0.024054,-6.710814,-7.065610,-5.584887,3.006073,-1.007111
3966,0.031973,-6.646132,-7.179996,-6.088443,2.990814,-0.991852
3967,0.016315,-6.696792,-7.055381,-4.547258,3.189184,-1.144444
3968,0.011593,-6.685941,-7.092215,-4.058962,3.242592,-1.251259
3970,0.026014,-6.680264,-7.131557,-5.272072,3.082370,-1.045259
3971,0.025258,-6.683152,-7.080917,-5.211035,3.051851,-1.037629
3972,0.024351,-6.689918,-7.150725,-5.455184,3.097629,-1.052889
3973,0.011437,-6.685404,-7.123067,-5.378887,3.089999,-1.075777
3974,0.016408,-6.691373,-7.056582,-5.378887,3.067110,-1.060518
3975,0.016033,-6.701065,-7.082127,-5.561998,3.028962,-1.060518
3977,0.030121,-6.689290,-7.091839,-5.272072,3.105258,-1.052889
3978,0.025108,-6.686842,-7.116395,-5.294961,3.074740,-1.060518
3979,0.010442,-6.690155,-7.099771,-5.424665,3.135777,-1.045259
3980,0.019190,-6.674668,-7.109612,-5.874813,3.059481,-1.030000
3981,0.027335,-6.665210,-7.125239,-5.539109,3.097629,-0.953703
3982,0.010172,-6.705205,-7.095594,-5.027925,3.089999,-0.999481
3984,0.036117,-6.678019,-7.123234,-5.485702,3.028962,-1.174963
3985,0.016404,-6.698713,-7.105999,-4.692221,3.227332,-1.159703
3986,-0.039845,-6.673454,-7.044973,-4.768517,3.196814,-1.274148
3987,0.017960,-6.687927,-7.120597,-4.814295,3.051851,-2.945036
3988,0.033866,-6.683946,-7.097044,-4.814295,3.128147,-2.143925
3989,0.046913,-6.703393,-7.064065,-5.272072,3.089999,-1.243629
3991,0.035876,-6.685130,-7.070808,-5.584887,2.960295,-2.098148
3992,0.033736,-6.698417,-7.102181,-5.874813,2.960295,-1.556444
3993,0.062328,-6.678470,-7.112258,-5.447554,3.082370,-1.266518
3994,0.028276,-6.688041,-7.087227,-4.982147,3.173925,-1.106296
3995,0.029200,-6.693543,-7.115687,-4.753258,3.105258,-1.052889
3996,0.055522,-6.702282,-7.035975,-4.760888,3.158666,-1.091037
3998,0.052637,-6.678882,-7.105455,-5.767998,3.044221,-1.075777
3999,0.045395,-6.685385,-7.108455,-5.676443,3.044221,-1.113926
4000,0.038306,-6.682857,-7.113264,-5.142369,3.128147,-1.075777
