seq,ax,ay,az,wroll,wpitch,wyaw
1,0.035799,9.774354,0.124071,6.508203,0.150203,-0.950541
2,-0.008066,9.837838,-0.028278,9.018351,0.653759,-1.370170
3,0.010432,9.765568,0.045072,5.600277,0.699536,-0.729281
4,0.022855,9.778142,0.021608,6.386129,1.111536,-0.805578
5,0.006784,9.763494,0.092580,7.332203,4.483831,-0.645356
6,-0.037804,9.826034,-0.096156,6.988870,23.153530,-0.401208
8,0.000941,9.814939,-0.186138,2.716278,1.859240,-0.134171
9,0.043075,9.820622,-0.291042,-1.304535,12.273682,0.209163
10,0.382396,9.887669,-1.504526,-1.869128,29.303011,0.300718
11,0.086334,9.756841,-0.003703,-8.880755,78.651436,0.766125
12,-0.488941,9.794122,1.461283,0.671538,61.774704,-0.225726
13,-0.017245,9.806677,-0.085395,2.601834,0.295166,-0.111282
15,-0.024915,9.799681,-0.099505,-0.411869,-0.261797,0.247311
16,-0.011289,9.805720,-0.129277,-2.586313,-0.505945,0.239681
17,0.004919,9.764071,0.008598,-4.463202,-0.704315,0.438051
18,0.009823,9.798495,-0.059453,-3.807054,-0.582241,0.453311
19,-0.014800,9.831001,-0.067610,-3.135646,-0.399130,0.377015
20,0.019418,9.754816,0.034306,-2.975424,-0.338093,0.422792
22,0.012690,9.802561,-0.046559,-2.662609,-0.086315,0.399903
23,0.027091,9.812831,0.004016,-1.724165,-0.048167,0.209163
24,0.023415,9.806890,0.005228,-0.427128,-0.032908,0.056570
25,0.014065,9.826661,0.006425,-0.511054,-0.093945,0.041311
26,0.011600,9.746558,0.119998,0.122205,-0.368612,-0.019726
27,0.019715,9.848399,-0.128870,9.766054,-6.563869,-1.255726
29,-0.111915,9.882809,-0.453248,5.134870,-52.791782,-0.820837
30,-0.010324,9.792541,0.055880,-0.625499,-21.319569,-0.256245
31,-0.026669,9.791707,-0.064759,0.114575,0.234129,-0.012097
32,-0.027658,9.811992,-0.152031,0.000131,0.470648,0.346496
33,-0.009900,9.824195,-0.127251,-1.769943,0.249388,0.422792
34,-0.005424,9.786329,-0.092988,-2.983053,0.104425,0.407533
36,-0.014846,9.829793,-0.065241,-3.753646,-0.139723,0.529607
37,-0.007384,9.794271,-0.028613,-5.264312,-0.254167,0.727977
38,0.026692,9.772000,0.042345,-4.043571,-0.002389,0.636422
39,0.007554,9.809846,0.031263,0.099316,0.020499,0.041311
40,0.006837,9.810685,-0.003984,1.426871,0.073907,-0.157059
41,0.011177,9.782542,0.004267,-0.808609,0.020499,0.171015
43,0.005816,9.801883,-0.024968,0.297687,0.043388,0.010792
44,-0.005530,9.804961,-0.023496,0.351094,0.089166,-0.034985
45,-0.012452,9.804261,0.001616,-0.617869,0.020499,0.155755
46,0.016108,9.806298,0.014482,-0.022758,0.020499,0.048941
47,0.000310,9.809284,0.035822,0.106946,0.012870,0.041311
48,0.000800,9.806559,-0.003442,-0.198239,0.028129,0.094718
50,-0.004639,9.817851,0.010908,-0.244017,0.028129,0.117607
51,0.016177,9.808112,0.010927,0.076427,0.043388,0.026052
52,-0.002344,9.811851,0.012829,-0.060906,0.028129,0.041311
53,-0.003704,9.788646,0.004437,-0.121943,-0.002389,0.071829
54,0.008533,9.805875,-0.000924,0.152723,0.066277,0.026052
55,0.001064,9.795119,0.011454,-0.152462,0.012870,0.109977
57,0.010114,9.798635,0.008636,0.007761,0.073907,0.079459
58,0.004364,9.775962,0.015992,-0.167721,0.020499,0.102348
59,0.006967,9.829731,0.003288,0.084057,0.066277,0.041311
60,-0.002582,9.806100,-0.019349,0.000131,0.073907,0.041311
61,-0.007463,9.795120,0.023020,-0.121943,0.028129,0.087089
62,0.010275,9.787739,0.031736,0.114575,0.028129,0.056570
64,-0.017798,9.785641,0.027099,-0.022758,0.035759,0.064200
65,-0.002789,9.800955,0.036504,0.099316,0.020499,0.056570
66,0.009322,9.811596,0.034787,-0.099054,0.020499,0.125237
67,0.001411,9.817237,0.005173,0.045908,0.043388,0.056570
68,-0.002303,9.794962,0.039562,0.030649,0.035759,0.048941
69,0.014857,9.813993,0.025463,-0.030387,0.051018,0.071829
71,-0.003449,9.808346,0.002895,-0.083795,0.035759,0.026052
72,0.003959,9.794453,0.017982,0.068798,-0.032908,0.079459
73,0.014271,9.810447,0.021410,-0.015129,0.028129,0.071829
74,-0.008986,9.799422,0.006473,-0.038017,0.005240,0.033681
75,0.010839,9.797800,0.043296,0.053538,-0.025278,0.079459
76,0.008368,9.798675,0.005078,0.000131,0.043388,0.033681
78,0.000369,9.798043,0.021363,0.068798,-0.002389,0.018422
79,0.027174,9.785287,0.018039,0.030649,0.012870,0.079459
80,-0.001981,9.802832,0.022398,0.038279,-0.010019,0.041311
81,-0.006228,9.802546,-0.018182,0.030649,0.043388,0.026052
82,0.010867,9.815907,0.012433,0.000131,0.058648,0.018422
83,0.009736,9.814171,0.005987,0.045908,0.035759,0.041311
85,0.013129,9.782009,-0.008010,0.061168,0.005240,0.018422
86,0.014890,9.805706,0.015642,0.000131,0.020499,0.064200
87,0.019569,9.806796,0.024521,0.023020,0.012870,0.033681
88,-0.001500,9.809887,0.037535,-0.015129,0.020499,0.071829
89,-0.005304,9.814264,0.012723,0.030649,0.081537,0.064200
90,-0.003363,9.808389,-0.003561,0.038279,0.035759,0.048941
92,0.011033,9.792557,0.024030,0.091686,0.028129,0.094718
93,0.008739,9.812201,0.034177,-0.007499,0.012870,0.071829
94,0.009825,9.789002,0.021725,0.053538,0.005240,0.064200
95,-0.015665,9.823162,0.035236,-0.030387,0.020499,0.071829
96,0.008053,9.798521,0.028553,0.023020,-0.017649,0.048941
97,0.018210,9.797236,0.028196,0.114575,0.012870,0.064200
99,0.000963,9.786172,0.011034,0.015390,0.089166,0.026052
100,0.016485,9.791948,0.018283,0.114575,0.035759,0.071829
101,-0.009202,9.795164,0.018875,0.122205,0.005240,0.102348
102,0.015508,9.808083,0.016197,-0.007499,0.058648,0.155755
103,0.005063,9.784905,0.016424,0.175612,0.035759,0.079459
104,0.011609,9.790761,0.024076,-0.106684,0.051018,0.102348
106,0.002324,9.793360,0.005056,0.183242,-0.025278,0.071829
107,-0.016488,9.796956,0.028672,-0.060906,0.005240,0.094718
108,0.030712,9.787009,0.023360,0.106946,0.043388,0.026052
109,0.011426,9.792749,-0.005313,0.114575,0.066277,0.071829
110,0.013162,9.795372,0.046324,-0.007499,0.012870,0.064200
111,0.006607,9.812944,0.015338,0.099316,-0.025278,0.048941
113,-0.001869,9.801107,0.012455,0.137464,0.051018,-0.004467
114,0.003921,9.823799,0.002165,-0.030387,0.020499,0.071829
115,0.006159,9.819843,0.055110,0.084057,0.005240,0.041311
116,-0.004696,9.804475,0.048138,0.114575,0.066277,0.048941
117,0.005320,9.817062,0.025799,-0.030387,0.035759,0.087089
118,0.023778,9.806175,0.022270,0.152723,0.051018,0.064200
120,-0.006593,9.805035,0.056306,0.084057,0.043388,0.048941
121,-0.004753,9.791102,-0.004435,0.038279,0.058648,0.064200
122,-0.003166,9.800475,0.019484,0.038279,0.005240,0.048941
123,0.008286,9.816431,0.027045,0.053538,0.035759,0.026052
124,0.010496,9.786660,0.014153,0.152723,-0.010019,0.003163
125,0.000104,9.794948,0.038437,0.007761,-0.010019,0.064200
127,0.007129,9.825359,0.032135,0.198501,0.066277,0.048941
128,0.007582,9.812825,0.031794,-0.068536,0.012870,0.064200
129,0.019993,9.784758,0.017903,0.045908,0.081537,0.064200
130,0.024261,9.773190,0.046382,0.160353,0.058648,0.018422
131,-0.010455,9.805231,0.032159,-0.053277,0.028129,0.064200
132,0.004412,9.813063,0.000617,0.015390,0.073907,0.033681
134,0.017349,9.792961,0.044107,-0.045647,0.043388,0.071829
135,0.023507,9.794180,0.031883,0.099316,0.020499,0.003163
136,0.005720,9.803317,0.028415,-0.091424,0.104425,0.018422
