seq,ax,ay,az,wroll,wpitch,wyaw
1,0.077319,9.842169,0.271327,6.508203,0.150203,-0.950541
2,0.033577,9.905301,0.121054,8.722693,0.632326,-1.325251
3,0.051923,9.832816,0.192925,5.130714,0.655873,-0.661926
4,0.064411,9.845193,0.169793,5.722598,1.032863,-0.714020
5,0.048238,9.831179,0.240009,6.668672,4.405159,-0.553798
6,0.003789,9.893039,0.053648,6.325338,23.074858,-0.309650
8,0.042639,9.880687,-0.035736,1.985450,1.722193,-0.041216
9,0.084927,9.885113,-0.139726,-2.035363,12.136635,0.302117
10,0.425734,9.938942,-1.342456,-2.599956,29.165964,0.393673
11,0.127990,9.822893,0.144387,-9.611584,78.514389,0.859080
12,-0.449174,9.878757,1.597928,-0.059290,61.637657,-0.132772
13,0.024344,9.873406,0.064072,1.809667,0.152936,-0.017726
15,0.016651,9.866283,0.050010,-1.164563,-0.390781,0.329691
16,0.030334,9.871996,0.020546,-3.339007,-0.634929,0.322061
17,0.046415,9.831029,0.156750,-5.215895,-0.833300,0.520432
18,0.051438,9.865136,0.089671,-4.559747,-0.711226,0.535691
19,0.026835,9.898106,0.081984,-3.888340,-0.528115,0.459395
20,0.060911,9.821783,0.182117,-3.728118,-0.467078,0.505172
22,0.054312,9.869331,0.102499,-3.415303,-0.215300,0.482284
23,0.068737,9.880026,0.152748,-2.395658,-0.171344,0.281985
24,0.065041,9.874070,0.153884,-1.062604,-0.150968,0.125151
25,0.055712,9.894129,0.155309,-1.108942,-0.205054,0.106289
26,0.053013,9.814281,0.266993,-0.460088,-0.463994,0.043768
27,0.061491,9.914818,0.021411,8.882681,-6.440935,-1.153146
29,-0.070166,9.947834,-0.299673,4.251497,-52.668846,-0.718257
30,0.031175,9.860334,0.203974,-1.508872,-21.196636,-0.153664
31,0.014858,9.858559,0.084369,-0.743593,0.345357,0.087517
32,0.013957,9.878269,-0.001925,-0.829908,0.562799,0.431485
33,0.031763,9.890656,0.022767,-2.599982,0.341540,0.507781
34,0.036151,9.852687,0.056297,-3.813092,0.196577,0.492522
36,0.026786,9.896907,0.084320,-4.583684,-0.047571,0.614596
37,0.034170,9.861300,0.120217,-6.094350,-0.162015,0.812966
38,0.068232,9.839143,0.190279,-4.873610,0.089762,0.721410
39,0.049139,9.877429,0.179748,-0.706767,0.108958,0.122159
40,0.048441,9.877967,0.144812,0.600437,0.157042,-0.073713
41,0.052727,9.849585,0.152663,-1.581441,0.100237,0.246022
43,0.047411,9.868901,0.123905,-0.459568,0.119090,0.082987
44,0.036046,9.872123,0.125413,-0.392845,0.159463,0.035989
45,0.029096,9.871702,0.150310,-1.317162,0.087819,0.219297
46,0.057712,9.873621,0.163060,-0.698380,0.084940,0.108795
47,0.041876,9.876967,0.184270,-0.550033,0.074776,0.097848
48,0.042383,9.873859,0.145308,-0.827180,0.087084,0.146297
50,0.036948,9.885439,0.159672,-0.844339,0.084229,0.163639
51,0.057787,9.875420,0.159557,-0.506720,0.096226,0.069721
52,0.039235,9.879376,0.161505,-0.622938,0.078313,0.082194
53,0.037827,9.855883,0.152917,-0.661552,0.046227,0.109017
54,0.050129,9.873122,0.147788,-0.374202,0.111127,0.061166
55,0.042615,9.862439,0.159945,-0.657114,0.055828,0.140335
57,0.051693,9.865884,0.157182,-0.480602,0.113033,0.106217
58,0.045879,9.843106,0.164219,-0.634574,0.057671,0.124873
59,0.048607,9.897264,0.152242,-0.370247,0.100057,0.061743
60,0.039001,9.873284,0.129534,-0.439283,0.104157,0.059719
61,0.034064,9.862619,0.171421,-0.542954,0.056465,0.102038
62,0.051819,9.855086,0.179960,-0.296389,0.054614,0.069175
64,0.023687,9.853176,0.175366,-0.419503,0.060203,0.074287
65,0.038753,9.868590,0.184853,-0.287678,0.043470,0.064472
66,0.050912,9.879212,0.183261,-0.470114,0.042045,0.128774
67,0.043012,9.884713,0.153972,-0.314492,0.062805,0.058136
68,0.039226,9.862562,0.187815,-0.318940,0.053367,0.048851
69,0.056469,9.881500,0.174038,-0.367520,0.066376,0.069388
71,0.038125,9.875759,0.151616,-0.407128,0.049441,0.022836
72,0.045512,9.861799,0.166406,-0.246191,-0.018595,0.073744
73,0.055876,9.877888,0.169979,-0.319294,0.041050,0.063947
74,0.032556,9.866830,0.155066,-0.330965,0.017566,0.024953
75,0.052399,9.865344,0.191537,-0.231561,-0.012528,0.068412
76,0.049945,9.865908,0.153657,-0.275626,0.054298,0.021892
78,0.041919,9.865486,0.169803,-0.200174,0.008241,0.006415
79,0.068755,9.852338,0.166333,-0.230509,0.022730,0.065241
80,0.039575,9.870352,0.170888,-0.215573,-0.000154,0.026205
81,0.035340,9.869738,0.130654,-0.215885,0.051508,0.010587
82,0.052482,9.883352,0.161145,-0.238325,0.064578,0.002860
83,0.051348,9.881551,0.154735,-0.186235,0.040323,0.024905
85,0.054688,9.848920,0.140483,-0.165371,0.009483,0.001950
86,0.056489,9.873043,0.164205,-0.218985,0.023931,0.046163
87,0.061176,9.874183,0.173016,-0.189667,0.015767,0.015132
88,0.040063,9.877607,0.185977,-0.220347,0.022629,0.051533
89,0.036273,9.881840,0.161431,-0.168846,0.080924,0.042464
90,0.038215,9.875743,0.145216,-0.155931,0.033994,0.026313
92,0.052593,9.859876,0.172374,-0.099163,0.025500,0.069727
93,0.050330,9.879824,0.182664,-0.191845,0.009905,0.045303
94,0.051376,9.856277,0.170049,-0.126520,0.002200,0.036438
95,0.025897,9.891117,0.183866,-0.203546,0.016887,0.042623
96,0.049617,9.865965,0.176930,-0.145217,-0.020564,0.019087
97,0.059792,9.864574,0.176551,-0.051902,0.009628,0.033220
99,0.042496,9.853402,0.159425,-0.146134,0.083108,-0.004766
100,0.058058,9.859160,0.166663,-0.045410,0.028727,0.039667
101,0.032325,9.862642,0.167314,-0.036542,-0.001733,0.067885
102,0.057114,9.875443,0.164782,-0.160795,0.049980,0.117316
103,0.046598,9.852135,0.164750,0.021585,0.026203,0.039674
104,0.053166,9.858057,0.172398,-0.252164,0.040103,0.060512
