seq,ax,ay,az,wroll,wpitch,wyaw
1,0.077319,9.842169,0.271327,1.327555,3.311258,-2.403333
2,0.033577,9.905301,0.121054,3.837703,3.814814,-2.822962
3,0.051923,9.832816,0.192925,0.419630,3.860591,-2.182073
4,0.064411,9.845193,0.169793,1.205481,4.272591,-2.258370
5,0.048238,9.831179,0.240009,2.151555,7.644886,-2.098148
6,0.003789,9.893039,0.053648,1.808222,26.314585,-1.853999
8,0.042639,9.880687,-0.035736,-2.464370,5.020295,-1.586962
9,0.084927,9.885113,-0.139726,-6.485183,15.434736,-1.243629
10,0.425734,9.938942,-1.342456,-7.049776,32.464066,-1.152074
11,0.127990,9.822893,0.144387,-14.061403,81.812492,-0.686666
12,-0.449174,9.878757,1.597928,-4.509110,64.935760,-1.678518
13,0.024344,9.873406,0.064072,-2.578814,3.456221,-1.564074
15,0.016651,9.866283,0.050010,-5.592517,2.899258,-1.205481
16,0.030334,9.871996,0.020546,-7.766961,2.655110,-1.213111
17,0.046415,9.831029,0.156750,-9.643849,2.456740,-1.014740
18,0.051438,9.865136,0.089671,-8.987701,2.578814,-0.999481
19,0.026835,9.898106,0.081984,-8.316294,2.761925,-1.075777
20,0.060911,9.821783,0.182117,-8.156072,2.822962,-1.030000
22,0.054312,9.869331,0.102499,-7.843257,3.074740,-1.052889
23,0.068737,9.880026,0.152748,-6.904813,3.112888,-1.243629
24,0.065041,9.874070,0.153884,-5.607776,3.128147,-1.396222
25,0.055712,9.894129,0.155309,-5.691702,3.067110,-1.411481
26,0.053013,9.814281,0.266993,-5.058443,2.792444,-1.472518
27,0.061491,9.914818,0.021411,4.585406,-3.402814,-2.708518
29,-0.070166,9.947834,-0.299673,-0.045778,-49.630726,-2.273629
30,0.031175,9.860334,0.203974,-5.806147,-18.158514,-1.709037
31,0.014858,9.858559,0.084369,-5.066072,3.395184,-1.464888
32,0.013957,9.878269,-0.001925,-5.180517,3.631703,-1.106296
33,0.031763,9.890656,0.022767,-6.950591,3.410444,-1.030000
34,0.036151,9.852687,0.056297,-8.163701,3.265481,-1.045259
36,0.026786,9.896907,0.084320,-8.934294,3.021333,-0.923185
37,0.034170,9.861300,0.120217,-10.444960,2.906888,-0.724815
38,0.068232,9.839143,0.190279,-9.224219,3.158666,-0.816370
