seq,ax,ay,az,wroll,wpitch,wyaw
1,0.035799,9.774354,0.124071,6.461257,0.084688,-1.006286
2,-0.008066,9.837838,-0.028278,8.677287,0.568959,-1.379168
3,0.010432,9.765568,0.045072,5.086796,0.594583,-0.714076
4,0.022855,9.778142,0.021608,5.680120,0.973583,-0.764461
5,0.006784,9.763494,0.092580,6.626193,4.345879,-0.604239
6,-0.037804,9.826034,-0.096156,6.282860,23.015577,-0.360091
8,0.000941,9.814939,-0.186138,1.944364,1.664856,-0.090003
9,0.043075,9.820622,-0.291042,-2.076449,12.079298,0.253330
10,0.382396,9.887669,-1.504526,-2.641042,29.108627,0.344886
11,0.086334,9.756841,-0.003703,-9.652669,78.457054,0.810293
12,-0.488941,9.794122,1.461283,-0.100376,61.580322,-0.181558
13,-0.017245,9.806677,-0.085395,1.769928,0.097479,-0.064914
15,-0.024915,9.799681,-0.099505,-1.202999,-0.444420,0.284051
16,-0.011289,9.805720,-0.129277,-3.377443,-0.688568,0.276421
17,0.004919,9.764071,0.008598,-5.254332,-0.886939,0.474791
18,0.009823,9.798495,-0.059453,-4.598184,-0.764865,0.490051
19,-0.014800,9.831001,-0.067610,-3.926776,-0.581754,0.413754
20,0.019418,9.754816,0.034306,-3.766554,-0.520717,0.459532
22,0.012690,9.802561,-0.046559,-3.453739,-0.268939,0.436643
23,0.027091,9.812831,0.004016,-2.515295,-0.230791,0.245903
24,0.023415,9.806890,0.005228,-1.178319,-0.208466,0.090251
25,0.014065,9.826661,0.006425,-1.220864,-0.260667,0.072533
26,0.011600,9.746558,0.119998,-0.568341,-0.517784,0.011119
27,0.019715,9.848399,-0.128870,8.777978,-6.492961,-1.184724
29,-0.111915,9.882809,-0.453248,4.146794,-52.720875,-0.749835
30,-0.010324,9.792541,0.055880,-1.613575,-21.248661,-0.185243
31,-0.026669,9.791707,-0.064759,-0.844864,0.295036,0.056974
32,-0.027658,9.811992,-0.152031,-0.927859,0.514128,0.401943
33,-0.009900,9.824195,-0.127251,-2.697932,0.292869,0.478239
34,-0.005424,9.786329,-0.092988,-3.911043,0.147906,0.462980
36,-0.014846,9.829793,-0.065241,-4.681635,-0.096242,0.585054
37,-0.007384,9.794271,-0.028613,-6.192301,-0.210686,0.783424
38,0.026692,9.772000,0.042345,-4.971561,0.041091,0.691869
39,0.007554,9.809846,0.031263,-0.801506,0.061883,0.093586
40,0.006837,9.810685,-0.003984,0.508803,0.111511,-0.101349
41,0.011177,9.782542,0.004267,-1.670071,0.056198,0.219292
43,0.005816,9.801883,-0.024968,-0.545292,0.076494,0.057133
44,-0.005530,9.804961,-0.023496,-0.475759,0.118264,0.010983
45,-0.012452,9.804261,0.001616,-1.397358,0.047971,0.195110
46,0.016108,9.806298,0.014482,-0.775946,0.046398,0.085401
47,0.000310,9.809284,0.035822,-0.625056,0.037498,0.075222
48,0.000800,9.806559,-0.003442,-0.899744,0.051027,0.124412
