seq,ax,ay,az,wroll,wpitch,wyaw
1,0.036695,-9.853316,-1.046237,-0.931852,-1.433608,-0.739249
2,-0.056223,-9.602247,-0.895531,1.601185,-1.471756,-0.098360
3,0.057598,-9.818214,-0.878035,-1.542222,-0.899534,-0.426434
4,0.027793,-10.030261,-1.074814,2.554888,-1.425978,0.008455
5,-0.028640,-9.522375,-0.739764,9.391033,-2.143163,0.565418
6,0.025086,-9.651031,-0.667608,4.508073,-2.295755,-0.098360
7,0.101346,-9.677680,-0.714265,-0.153630,-1.815089,-0.334878
8,-0.153902,-9.758339,-0.885814,-1.832148,-2.700126,-0.151767
9,-0.105131,-9.773162,-0.968464,1.273111,-3.249459,-0.235693
10,0.008405,-9.722023,-0.646086,4.508073,-3.257089,-0.884212
11,0.043983,-9.706766,-0.474867,1.898740,-2.768792,-1.036804
12,-0.053092,-9.860187,-0.418240,-1.221778,-4.577014,-1.692952
13,0.073214,-9.775303,-0.710086,-1.496444,-4.210792,-1.616656
14,0.139191,-9.716218,-0.895875,-0.458815,-2.929015,-0.922360
15,0.054353,-9.382927,-0.829282,-2.991851,-4.210792,-0.815545
16,0.316714,-9.576756,-1.302130,-9.881405,-2.784052,-0.983397
17,0.060164,-9.031951,-1.221268,-8.302073,-2.585681,0.542529
18,-0.056034,-8.806464,-1.231360,-17.694143,-1.410719,-0.289101
19,-0.224826,-7.967777,-1.594325,-21.898067,-5.484940,-2.875545
20,0.051406,-7.977378,-0.699414,-29.611622,-6.446273,-6.270730
21,0.644257,-8.329397,-0.442494,-35.875546,-2.715385,-3.859766
22,-0.490097,-11.597981,-1.221094,-38.606953,-1.685385,-1.250434
23,-0.320934,-13.300124,-0.849083,-3.182592,-8.681753,-2.387249
24,0.294646,-14.812708,-2.167518,-2.335703,-11.825160,-5.164433
25,0.355915,-13.985410,-2.480974,-4.517777,-14.739677,-2.646657
26,0.564777,-9.743300,-3.550445,-38.820583,-15.456862,4.220009
27,-0.071545,-7.837315,-3.870058,-91.281898,-8.452865,6.394453
28,-0.445180,-6.252383,-3.005197,-99.064117,-0.540941,6.081637
29,-0.404880,-5.829613,-1.836766,-85.513901,4.525131,1.892973
30,-0.057830,-5.496317,-1.102902,-59.451092,3.350169,3.220528
31,0.709965,-5.966180,-2.410654,-29.710808,4.784538,4.647268
32,-0.073719,-7.062487,-3.463753,13.243996,4.631948,4.143713
33,-0.939892,-8.510886,-3.847066,48.813316,0.183874,7.325266
34,-1.452955,-11.492632,-3.015026,70.717979,-7.819606,11.719934
35,-0.103344,-16.237354,-3.554052,66.674278,3.289132,-15.105837
36,-0.442984,-10.134908,-5.111270,35.522507,21.211126,-5.706136
37,0.357532,-10.690661,-0.737120,-8.401257,24.621571,-4.218359
38,2.215213,-9.897257,-2.951680,17.775995,21.600237,-3.211248
39,0.183778,-7.574678,-2.150238,23.467695,22.553940,-12.778801
40,0.188187,-8.228867,-2.212494,3.348369,26.094088,-7.872951
41,0.995070,-9.843402,-2.628404,-3.854000,8.172094,-6.263100
42,1.815366,-10.005800,-2.125651,-2.556962,-2.097385,-6.820062
44,0.673483,-8.663181,-1.811868,-6.310739,4.105502,9.316600
45,0.147761,-8.720115,-2.310393,-9.240517,3.250984,16.831783
46,-0.526286,-10.198224,-4.347112,-12.109257,-5.973236,23.172003
47,-0.725170,-10.271101,-5.420247,-3.503036,-12.160864,23.301706
48,-1.672662,-8.802213,-2.705764,2.402295,-20.713676,24.339336
49,-0.345475,-9.084682,-1.436900,7.575183,-38.284706,17.571857
50,-0.167352,-10.023260,-1.504400,18.165106,-32.562485,10.819637
51,-0.685669,-10.370451,-1.426352,3.180517,-6.385236,8.980896
52,-0.723449,-9.908505,-2.846539,1.189185,8.965574,7.203194
53,-1.595591,-8.905511,-1.983949,27.114658,5.570390,2.747491
54,-2.137620,-9.143831,-1.914281,29.464582,3.067873,-1.753989
55,-1.398303,-10.688879,-1.730744,24.879177,15.382092,-0.884212
56,-1.058039,-9.825756,-2.348449,32.089176,28.474531,1.648825
57,-0.854332,-10.116270,-1.916928,23.933104,28.512680,0.008455
58,0.265400,-9.694641,-2.179513,11.039034,24.758904,6.630970
59,-0.207297,-8.743426,-1.897013,0.685629,30.198826,15.206673
60,0.038364,-8.831743,-1.785306,8.795923,43.497269,12.971191
61,-0.046146,-10.456353,-2.235066,16.669699,49.906155,13.055118
62,-0.587521,-9.416341,-1.566533,29.594286,43.825340,14.359784
63,-0.749919,-10.507287,-1.215020,17.188513,32.319862,11.658895
64,-0.878640,-10.699521,-0.927678,26.595842,28.909420,9.545489
65,-1.353079,-11.144338,-1.491877,19.736809,20.982237,6.783564
66,-0.697205,-10.548089,-1.527154,11.214515,15.900906,6.569933
67,-0.268568,-10.226430,-1.226271,1.242592,17.205572,6.913268
68,-0.484243,-10.394316,-1.617808,0.388074,10.102389,4.319194
69,-0.748677,-9.629078,-0.927943,5.278665,7.569352,2.739861
70,-0.936579,-9.475863,-0.917613,-4.960295,8.637501,2.411787
71,-0.963895,-8.548456,-1.450706,-12.887478,7.630389,-0.022064
72,-0.646207,-9.359188,-1.464921,-18.785181,5.448317,-6.949766
73,-0.238411,-7.901067,-0.829405,-8.378368,8.843500,-7.216803
74,0.418466,-8.693283,-1.686229,-16.229256,-0.846126,-9.490431
75,0.958988,-9.382818,-1.932899,4.584369,-9.208197,-12.816949
76,0.646132,-9.633515,-1.388835,17.463181,-0.754571,-13.717245
77,-0.356209,-9.384067,-0.898674,12.442884,6.310464,-12.275246
78,-0.428611,-9.360018,-1.188748,0.838222,-0.434126,-14.571763
79,-0.436104,-9.196689,-1.153798,-6.509110,-10.619678,-14.319985
80,0.313480,-9.825707,-1.640874,-7.218665,-18.729973,-13.839319
81,0.657639,-9.806143,-1.194655,-8.622517,-26.367229,-12.626208
82,0.541807,-8.964757,-0.951537,-10.987701,-31.852932,-12.931393
83,0.461870,-10.023404,-2.091914,-14.115849,-36.842709,-9.864283
84,0.175069,-9.420919,-1.574358,-12.635700,-39.169746,-8.651173
85,-0.119695,-9.556992,-1.702255,-24.537920,-46.524704,-13.145022
86,-0.256481,-10.351953,-1.482492,-27.734734,-52.048557,-18.607836
87,-0.751934,-9.793333,-2.535882,-22.516068,-55.764183,-20.675465
88,0.342412,-8.947176,-2.534001,-21.318216,-49.919891,-17.783836
89,0.330719,-8.814662,-2.525557,-20.242439,-48.020111,-15.388134
90,0.411852,-8.852282,-2.543741,-15.733330,-43.419449,-10.230505
91,0.288134,-9.445746,-2.496480,-27.940735,-34.248634,-8.391765
92,0.469028,-9.334265,-2.462587,-24.812586,-28.213600,-6.186802
93,0.556281,-9.554286,-2.699083,-25.255104,-19.821011,-4.393840
94,-0.683011,-9.913997,-2.430115,-20.570513,-8.796198,-3.577470
95,-0.934088,-8.873941,-2.721631,-8.836145,-8.285013,-0.373027
96,-0.880045,-8.612392,-2.100392,-15.130589,-1.792200,3.632528
97,-0.773250,-9.393577,-2.958086,-13.658072,7.264168,9.766748
98,-0.737255,-9.642152,-3.682189,5.087924,17.457350,14.962524
99,-0.677944,-9.385120,-2.652305,-3.739555,23.522903,19.853115
100,-1.271939,-9.755639,-4.097096,-9.835627,25.155643,25.323559
101,-0.883899,-8.542616,-3.454484,-6.379405,24.888607,19.082523
102,-0.293562,-8.587975,-2.824800,-20.677328,18.746758,13.528154
103,0.076273,-7.803549,-3.039023,-24.080141,16.366312,9.072452
104,0.084481,-9.085583,-3.722732,-28.039917,14.802238,3.029787
105,0.579529,-8.791218,-3.537945,-22.325327,18.609423,1.061343
106,-0.098577,-9.166394,-3.881068,-24.759178,18.746758,0.946899
107,0.143779,-9.314504,-4.382758,-12.139774,10.537277,-4.500656
108,0.449048,-9.758080,-3.226823,4.202887,9.331797,-9.269172
109,0.351586,-10.022675,-3.868845,19.813105,2.793206,-13.129764
110,0.010899,-9.001253,-3.376622,14.624958,-3.890348,-16.563095
111,0.371194,-9.035942,-4.324620,-3.129184,-11.703086,-16.761467
112,0.883594,-8.884109,-4.357482,1.082370,-15.662863,-17.974577
113,0.099092,-7.779099,-3.068942,-15.832514,-12.725456,-21.346872
114,0.141142,-7.464584,-4.866800,-16.931181,-15.624715,-15.166874
115,0.023860,-8.043923,-4.616618,-9.759331,-11.107975,-6.911618
116,0.453558,-9.320590,-4.162117,-8.141850,-6.003754,-0.891841
117,1.036211,-9.198361,-4.601452,-2.625629,-0.556200,6.020601
