seq,ax,ay,az,wroll,wpitch,wyaw
1,0.036695,-9.853316,-1.046237,-0.931852,-1.433608,-0.739249
2,-0.056223,-9.602247,-0.895531,1.548692,-1.423506,-0.095136
3,0.057598,-9.818214,-0.878035,-1.594715,-0.851284,-0.423210
4,0.027793,-10.030261,-1.074814,2.420357,-1.332561,0.011296
5,-0.028640,-9.522375,-0.739764,8.953037,-1.982547,0.549630
6,0.025086,-9.651031,-0.667608,3.936644,-2.065141,-0.110406
7,0.101346,-9.677680,-0.714265,-0.701289,-1.532530,-0.335551
8,-0.153902,-9.758339,-0.885814,-2.379806,-2.417567,-0.152440
9,-0.105131,-9.773162,-0.968464,0.701669,-2.869633,-0.228617
10,0.008405,-9.722023,-0.646086,3.807573,-2.782935,-0.848380
11,0.043983,-9.706766,-0.474867,1.158957,-2.219411,-0.968156
12,-0.053092,-9.860187,-0.418240,-1.961561,-4.027633,-1.624304
13,0.073214,-9.775303,-0.710086,-2.236227,-3.661411,-1.548008
14,0.139191,-9.716218,-0.895875,-1.159303,-2.301620,-0.825724
15,0.054353,-9.382927,-0.829282,-3.692339,-3.583397,-0.718909
16,0.316714,-9.576756,-1.302130,-10.581892,-2.156657,-0.886761
17,0.060164,-9.031951,-1.221268,-9.002560,-1.958286,0.639165
18,-0.056034,-8.806464,-1.231360,-18.394630,-0.783324,-0.192465
19,-0.224826,-7.967777,-1.594325,-22.598555,-4.857545,-2.778908
20,0.051406,-7.977378,-0.699414,-30.312109,-5.818878,-6.174093
21,0.644257,-8.329397,-0.442494,-36.576035,-2.087990,-3.763130
22,-0.490097,-11.597981,-1.221094,-39.307442,-1.057990,-1.153798
23,-0.320934,-13.300124,-0.849083,-3.883080,-8.054358,-2.290612
24,0.294646,-14.812708,-2.167518,-3.036191,-11.197765,-5.067797
25,0.355915,-13.985410,-2.480974,-5.218265,-14.112283,-2.550020
26,0.564777,-9.743300,-3.550445,-39.521072,-14.829468,4.316645
27,-0.071545,-7.837315,-3.870058,-91.982391,-7.825470,6.491089
28,-0.445180,-6.252383,-3.005197,-99.764610,0.086454,6.178274
29,-0.404880,-5.829613,-1.836766,-86.214394,5.152525,1.989609
30,-0.057830,-5.496317,-1.102902,-60.151581,3.977564,3.317164
31,0.709965,-5.966180,-2.410654,-30.411295,5.411933,4.743904
32,-0.073719,-7.062487,-3.463753,12.543509,5.259342,4.240349
33,-0.939892,-8.510886,-3.847066,48.112827,0.811269,7.421903
34,-1.452955,-11.492632,-3.015026,70.017487,-7.192212,11.816569
35,-0.103344,-16.237354,-3.554052,65.973793,3.916527,-15.009201
36,-0.442984,-10.134908,-5.111270,34.822018,21.838522,-5.609500
37,0.357532,-10.690661,-0.737120,-9.101744,25.248966,-4.121723
38,2.215213,-9.897257,-2.951680,17.075508,22.227633,-3.114612
39,0.183778,-7.574678,-2.150238,22.767208,23.181335,-12.682165
40,0.188187,-8.228867,-2.212494,2.647881,26.721483,-7.776315
41,0.995070,-9.843402,-2.628404,-4.554488,8.799489,-6.166463
42,1.815366,-10.005800,-2.125651,-3.257450,-1.469990,-6.723426
44,0.673483,-8.663181,-1.811868,-7.011227,4.732896,9.413236
45,0.147761,-8.720115,-2.310393,-9.941004,3.878379,16.928419
46,-0.526286,-10.198224,-4.347112,-12.809744,-5.345841,23.268639
47,-0.725170,-10.271101,-5.420247,-4.203524,-11.533469,23.398342
48,-1.672662,-8.802213,-2.705764,1.701807,-20.086281,24.435972
49,-0.345475,-9.084682,-1.436900,6.874695,-37.657310,17.668493
50,-0.167352,-10.023260,-1.504400,17.464617,-31.935089,10.916273
51,-0.685669,-10.370451,-1.426352,2.480029,-5.757841,9.077532
52,-0.723449,-9.908505,-2.846539,0.488697,9.592969,7.299830
53,-1.595591,-8.905511,-1.983949,26.414171,6.197784,2.844127
54,-2.137620,-9.143831,-1.914281,28.764095,3.695268,-1.657353
55,-1.398303,-10.688879,-1.730744,24.178690,16.009487,-0.787576
56,-1.058039,-9.825756,-2.348449,31.388689,29.101927,1.745461
57,-0.854332,-10.116270,-1.916928,23.232616,29.140076,0.105091
58,0.265400,-9.694641,-2.179513,10.338546,25.386299,6.727607
59,-0.207297,-8.743426,-1.897013,-0.014859,30.826221,15.303308
60,0.038364,-8.831743,-1.785306,8.095435,44.124664,13.067827
61,-0.046146,-10.456353,-2.235066,15.969212,50.533550,13.151753
62,-0.587521,-9.416341,-1.566533,28.893799,44.452736,14.456420
63,-0.749919,-10.507287,-1.215020,16.488024,32.947258,11.755531
64,-0.878640,-10.699521,-0.927678,25.895355,29.536816,9.642125
65,-1.353079,-11.144338,-1.491877,19.036322,21.609632,6.880200
66,-0.697205,-10.548089,-1.527154,10.514027,16.528301,6.666570
67,-0.268568,-10.226430,-1.226271,0.542104,17.832968,7.009904
68,-0.484243,-10.394316,-1.617808,-0.312414,10.729784,4.415830
69,-0.748677,-9.629078,-0.927943,4.578177,8.196747,2.836497
70,-0.936579,-9.475863,-0.917613,-5.660783,9.264895,2.508423
71,-0.963895,-8.548456,-1.450706,-13.587965,8.257784,0.074572
72,-0.646207,-9.359188,-1.464921,-19.485668,6.075711,-6.853129
73,-0.238411,-7.901067,-0.829405,-9.078856,9.470895,-7.120167
74,0.418466,-8.693283,-1.686229,-16.929743,-0.218731,-9.393795
75,0.958988,-9.382818,-1.932899,3.883881,-8.580802,-12.720313
76,0.646132,-9.633515,-1.388835,16.762693,-0.127176,-13.620609
77,-0.356209,-9.384067,-0.898674,11.742397,6.937859,-12.178610
78,-0.428611,-9.360018,-1.188748,0.137734,0.193269,-14.475127
79,-0.436104,-9.196689,-1.153798,-7.209598,-9.992283,-14.223350
80,0.313480,-9.825707,-1.640874,-7.919153,-18.102577,-13.742683
81,0.657639,-9.806143,-1.194655,-9.323004,-25.739834,-12.529572
82,0.541807,-8.964757,-0.951537,-11.688189,-31.225536,-12.834757
83,0.461870,-10.023404,-2.091914,-14.816336,-36.215313,-9.767647
84,0.175069,-9.420919,-1.574358,-13.336187,-38.542351,-8.554537
85,-0.119695,-9.556992,-1.702255,-25.238407,-45.897308,-13.048387
86,-0.256481,-10.351953,-1.482492,-28.435221,-51.421162,-18.511200
87,-0.751934,-9.793333,-2.535882,-23.216555,-55.136787,-20.578829
88,0.342412,-8.947176,-2.534001,-22.018703,-49.292496,-17.687201
89,0.330719,-8.814662,-2.525557,-20.942926,-47.392715,-15.291498
90,0.411852,-8.852282,-2.543741,-16.433817,-42.792053,-10.133869
91,0.288134,-9.445746,-2.496480,-28.641222,-33.621239,-8.295129
92,0.469028,-9.334265,-2.462587,-25.513073,-27.586205,-6.090166
93,0.556281,-9.554286,-2.699083,-25.955591,-19.193615,-4.297204
94,-0.683011,-9.913997,-2.430115,-21.271000,-8.168803,-3.480834
95,-0.934088,-8.873941,-2.721631,-9.536633,-7.657619,-0.276391
96,-0.880045,-8.612392,-2.100392,-15.831076,-1.164805,3.729164
97,-0.773250,-9.393577,-2.958086,-14.358559,7.891562,9.863384
98,-0.737255,-9.642152,-3.682189,4.387436,18.084745,15.059160
99,-0.677944,-9.385120,-2.652305,-4.440043,24.150299,19.949751
100,-1.271939,-9.755639,-4.097096,-10.536114,25.783039,25.420195
101,-0.883899,-8.542616,-3.454484,-7.079894,25.516003,19.179159
102,-0.293562,-8.587975,-2.824800,-21.377815,19.374153,13.624790
103,0.076273,-7.803549,-3.039023,-24.780628,16.993708,9.169088
104,0.084481,-9.085583,-3.722732,-28.740404,15.429633,3.126423
105,0.579529,-8.791218,-3.537945,-23.025814,19.236818,1.157979
106,-0.098577,-9.166394,-3.881068,-25.459665,19.374153,1.043535
107,0.143779,-9.314504,-4.382758,-12.840261,11.164672,-4.404019
108,0.449048,-9.758080,-3.226823,3.502399,9.959191,-9.172536
109,0.351586,-10.022675,-3.868845,19.112617,3.420601,-13.033128
110,0.010899,-9.001253,-3.376622,13.924471,-3.262953,-16.466459
111,0.371194,-9.035942,-4.324620,-3.829672,-11.075691,-16.664831
112,0.883594,-8.884109,-4.357482,0.381882,-15.035468,-17.877941
113,0.099092,-7.779099,-3.068942,-16.533001,-12.098062,-21.250237
114,0.141142,-7.464584,-4.866800,-17.631668,-14.997320,-15.070238
115,0.023860,-8.043923,-4.616618,-10.459818,-10.480580,-6.814981
116,0.453558,-9.320590,-4.162117,-8.842337,-5.376359,-0.795205
117,1.036211,-9.198361,-4.601452,-3.326117,0.071195,6.117237
118,-0.213290,-9.293803,-4.946189,1.823881,6.556377,12.869457
119,-0.394548,-8.739527,-3.684963,7.820769,8.044155,14.570864
120,-0.211521,-8.885900,-3.457841,13.474323,4.862600,13.357754
121,-0.623184,-9.220033,-3.427744,16.938173,5.709489,14.601382
122,-0.817273,-9.360456,-3.215472,21.142097,6.411414,13.945234
123,-0.104784,-8.825926,-3.290699,20.363876,3.962305,10.511903
124,-0.192090,-9.099189,-3.625423,10.597953,4.626081,7.971237
125,-0.006163,-8.933033,-3.291973,5.173288,0.376380,8.306941
126,-0.858483,-9.723956,-3.230084,-5.294561,-0.249250,6.262200
127,-0.163223,-9.090367,-2.372638,3.203090,-2.019538,3.702841
128,0.568725,-8.894339,-3.447629,-7.844610,-3.438649,1.742027
129,0.385320,-9.314909,-3.658917,-14.932534,1.535868,2.772026
130,0.828072,-8.565248,-3.496587,-1.443353,9.417274,2.520249
131,1.045495,-9.171220,-3.658096,-9.332387,3.817127,-6.864193
132,0.691731,-9.910494,-3.891574,-10.217422,4.854757,-10.785822
133,0.131105,-9.631927,-2.637651,3.561682,8.654311,-9.069156
134,0.519890,-8.703689,-3.517318,4.538275,1.902091,-6.986267
135,0.013020,-7.915121,-4.316418,-0.680390,-0.272353,-8.840267
136,-1.519689,-8.322968,-3.210397,-9.622313,-8.191906,-10.984192
137,-0.359163,-8.484770,-4.003542,-8.752536,-17.553459,-6.993897
138,0.387750,-9.093135,-4.361362,-5.281054,-13.051979,-3.964934
139,0.587225,-8.831419,-4.151482,-2.068983,-9.931462,-2.576342
140,0.790220,-9.208383,-4.821076,-1.004921,-3.554681,1.441393
141,-0.333987,-8.882372,-3.824260,0.850760,1.078109,2.109950
142,0.177517,-9.170789,-3.689316,0.011124,0.659030,4.461253
143,0.052487,-8.879308,-3.650935,4.180177,1.397513,3.274486
144,-0.619658,-8.729879,-3.748423,8.796101,2.259661,3.671227
145,-0.656364,-8.591942,-2.620861,6.049435,6.272844,6.379744
147,-0.081067,-8.674191,-4.351737,0.058205,-1.312302,-2.566734
148,-0.403636,-9.743710,-3.585459,-2.154387,0.633253,-2.742216
149,0.291326,-9.253875,-3.462440,-1.048091,0.129698,-3.497549
150,0.844280,-9.582379,-4.005487,-2.688461,1.060512,-2.711697
151,0.564588,-9.001054,-3.546666,0.332871,7.171844,-3.268660
152,0.057113,-8.789228,-3.199462,-0.826832,6.431770,-5.496511
153,0.589329,-9.305447,-3.386148,-7.563794,1.091031,-5.839845
154,-0.215482,-8.805460,-4.345580,-1.246462,8.041621,-4.336809
155,-0.922979,-8.466975,-2.832858,-1.765276,9.224213,1.400672
156,-0.699477,-8.820599,-3.359862,-8.433571,3.501993,3.407264
157,-0.635068,-9.275079,-3.752081,-5.671646,-4.722745,-3.528067
158,0.529536,-9.227223,-3.766176,3.996949,-4.590054,-2.962255
159,-0.051819,-9.084023,-3.860521,2.729470,-2.196206,1.496144
160,-0.006818,-9.013746,-3.539312,5.126878,2.406806,2.967271
161,-0.177796,-8.737771,-3.073758,3.888772,-2.948441,3.512009
162,-0.091226,-9.095153,-3.381653,-0.695935,-5.028731,2.430156
163,-0.540016,-8.741514,-3.541767,4.499910,-8.184644,1.036936
164,-0.279907,-8.791310,-2.864162,1.638799,-12.060494,2.158491
165,0.153636,-8.785543,-3.168804,-3.289940,-19.377308,-1.984397
166,-0.458396,-9.082211,-2.565437,-4.823495,-19.987677,-7.340395
167,-0.240526,-8.975863,-2.528346,-4.075792,-20.430195,-8.103357
168,0.042986,-9.835252,-2.444933,-8.516234,-14.044198,-5.440618
169,0.669414,-8.685840,-0.898374,3.805613,5.464760,1.868565
170,0.740259,-8.844029,-3.080037,4.156576,8.875203,1.906713
171,0.555809,-8.047307,-2.754153,2.577243,10.813128,0.014566
172,-0.081022,-8.968511,-2.508208,-1.023941,14.879719,1.220047
173,-0.455154,-9.371308,-2.887453,1.524355,-5.369312,-5.051507
174,0.381074,-9.860657,-4.231593,-2.969496,-12.960791,-7.203062
175,1.411260,-9.367773,-3.769624,1.467001,4.156541,-1.380637
176,-0.478978,-9.615783,-3.606986,-0.167685,2.647686,-2.213534
177,0.621008,-10.706026,-4.860019,-0.472870,-5.287127,0.288983
178,0.855496,-9.324226,-3.898564,5.073869,9.262573,3.554464
179,-0.429097,-9.366176,-4.434567,-3.036425,10.223906,1.624168
