seq,ax,ay,az,wroll,wpitch,wyaw
1,-0.395354,-9.979330,-0.982209,4.201850,-4.660177,0.657798
2,-0.487099,-9.729125,-0.841023,6.514091,-4.544296,1.256110
3,-0.376261,-9.945611,-0.817524,3.260180,-3.841854,0.897612
4,-0.406012,-10.155471,-1.007113,7.116089,-4.225089,1.288816
5,-0.460629,-9.650754,-0.689227,13.952234,-4.942273,1.845779
6,-0.409474,-9.779984,-0.614991,8.771948,-4.927836,1.143251
7,-0.333016,-9.806965,-0.658682,3.975495,-4.301374,0.877006
8,-0.586676,-9.883895,-0.830583,2.221673,-5.016380,1.025362
9,-0.537058,-9.898597,-0.910344,5.152294,-5.383248,0.910572
10,-0.427277,-9.850744,-0.592908,8.112289,-5.214143,0.253463
11,-0.393806,-9.836967,-0.424597,5.322548,-4.570915,0.097563
12,-0.493364,-9.989381,-0.368201,2.129839,-6.170004,-0.540272
13,-0.362349,-9.904057,-0.653341,1.794353,-5.613511,-0.448765
14,-0.293298,-9.844571,-0.835250,2.739139,-4.189723,0.237482
15,-0.374872,-9.511929,-0.777898,0.199346,-5.292123,0.333009
16,-0.108966,-9.704577,-1.232533,-6.690208,-3.865383,0.165157
17,-0.359671,-9.159552,-1.168634,-5.110876,-3.667012,1.691083
18,-0.472866,-8.933599,-1.185100,-14.502946,-2.492050,0.859453
19,-0.626531,-8.093549,-1.560030,-18.706871,-6.566271,-1.726990
20,-0.362506,-8.111453,-0.676808,-26.420425,-7.527604,-5.122175
21,0.221987,-8.469588,-0.406256,-32.684349,-3.796716,-2.711212
22,-0.940329,-11.712660,-1.131905,-35.415756,-2.766716,-0.101880
23,-0.796865,-13.413609,-0.732018,0.008605,-9.763084,-1.238694
24,-0.183026,-14.918867,-1.983929,0.855494,-12.906491,-4.015879
25,-0.107699,-14.092638,-2.305411,-1.326580,-15.821009,-1.498102
26,0.166314,-9.858475,-3.428704,-35.629387,-16.538195,5.368563
27,-0.441962,-7.950280,-3.790550,-88.090698,-9.534196,7.543007
28,-0.807316,-6.372232,-2.979749,-95.872917,-1.622272,7.230192
29,-0.777296,-5.958634,-1.841225,-82.322701,3.443800,3.041527
30,-0.436273,-5.634307,-1.120839,-56.259895,2.268838,4.369082
31,0.342078,-6.101501,-2.378590,-26.519611,3.703207,5.795822
32,-0.440091,-7.180395,-3.406668,16.435192,3.550615,5.292267
33,-1.317710,-8.613851,-3.773186,52.004513,-0.897458,8.473822
