seq,ax,ay,az,wroll,wpitch,wyaw
1,0.627982,-9.441318,-1.919785,3.753908,-0.650908,-0.508022
2,0.518888,-9.474253,-1.930788,2.922278,-0.872167,-0.355430
3,0.593337,-9.529652,-1.867203,1.747316,-0.971352,0.033681
4,0.456464,-9.552396,-2.028612,1.121686,-0.849278,0.361755
5,0.451226,-9.537740,-1.981457,2.289019,-0.391500,-0.103652
6,0.482006,-9.477077,-1.903319,1.999093,-0.216019,-0.240985
7,0.455243,-9.557728,-1.941682,1.487908,-0.948463,-0.172319
8,0.516366,-9.560600,-1.953292,1.770204,-0.917945,-0.111282
9,0.586791,-9.604913,-1.936946,2.128797,-0.536463,-0.233356
10,0.574518,-9.443617,-1.949003,2.182204,-2.230240,-0.446985
11,0.447716,-9.589554,-1.809200,2.304279,-5.678832,-0.820837
12,0.448857,-9.680660,-2.021097,3.189315,-11.294237,-2.255207
13,0.552379,-9.054894,-1.870426,3.189315,-17.672606,-3.964244
14,0.758169,-9.192018,-2.176468,-2.288757,-30.276751,-4.757724
15,0.483210,-9.015610,-1.940645,-4.608164,-44.696747,-7.046613
16,0.376166,-9.749568,-2.148059,-2.593942,-56.820225,-7.519650
17,0.621647,-9.188452,-1.891760,7.072796,-67.890816,-8.458094
18,0.207010,-9.121564,-1.774119,-3.829942,-86.491844,-7.344168
19,0.122171,-9.588476,-2.062932,-7.118312,-110.105545,-8.290242
20,-0.496426,-9.253400,-1.884026,-11.696088,-118.383690,-11.479426
21,-0.708715,-9.045642,-2.149273,-13.466161,-119.741760,-15.065351
22,0.174995,-10.408422,-3.303639,-18.288086,-117.376579,-19.192980
23,-0.107473,-9.530702,-3.089832,-11.818162,-106.122879,-24.228535
24,-0.956447,-9.106281,-1.744745,-6.576608,-106.618805,-29.424311
25,-1.034586,-9.701319,-2.067421,-7.171719,-110.441246,-31.652163
26,-0.950448,-9.626006,-2.569459,-10.521125,-102.765839,-32.880531
27,-0.726342,-9.811733,-2.677625,-5.149868,-95.998360,-33.437492
28,-0.763744,-9.503106,-2.647163,4.440574,-89.612366,-33.429863
29,-0.887519,-9.049409,-2.962133,-0.747572,-83.119553,-34.139420
30,-0.520181,-9.003179,-2.974864,-2.181942,-76.664886,-33.086529
31,-0.287503,-9.459110,-3.563741,-11.741866,-68.043411,-30.614534
32,0.299750,-10.291347,-3.315598,-15.396457,-62.374596,-28.050978
33,0.113202,-8.323229,-2.549125,-7.598978,-61.123337,-33.559566
34,1.204705,-9.061672,-3.389865,-17.609051,-62.901039,-27.074385
35,0.499329,-8.251306,-3.230972,-18.501717,-41.431267,-20.634979
36,0.521972,-9.193476,-3.078572,-13.992606,-35.380974,-19.490536
37,1.400422,-9.165158,-3.897447,-9.414828,-37.440971,-20.055128
38,1.253702,-8.591191,-3.594813,-12.886310,-33.618526,-18.857277
39,0.893895,-9.707323,-3.037937,-18.372013,-32.756382,-19.620239
40,1.303140,-9.460968,-3.054712,-13.977347,-38.959267,-25.083054
41,1.652629,-9.383739,-3.675198,-13.916310,-42.522305,-27.143053
42,1.267124,-8.971689,-3.550479,-8.537421,-38.455711,-23.976757
43,1.051360,-8.963116,-3.463493,-9.788680,-38.127640,-20.070387
44,1.661069,-8.497860,-3.203256,-7.759200,-35.716675,-16.942240
45,1.563926,-8.540741,-3.716183,-5.401647,-27.766603,-7.100020
46,1.309268,-9.149347,-4.178946,4.524500,-21.853642,3.238125
47,1.124053,-8.789874,-4.051509,9.338795,-21.273790,4.924272
48,0.799861,-8.745089,-3.784309,3.128278,-23.944160,3.665384
49,0.109377,-8.879538,-4.150362,-0.327943,-27.598751,7.442049
50,-0.160577,-7.622939,-4.043710,-8.316163,-24.585049,12.309752
51,-0.556113,-8.026642,-4.163983,-22.163937,-38.608307,13.538122
52,0.842400,-8.650710,-5.770548,-40.063042,-64.198074,10.570197
53,0.050612,-8.163009,-6.057530,-37.934376,-72.712738,13.858566
