seq,ax,ay,az,wroll,wpitch,wyaw
1,-0.339240,-9.944881,-0.391886,1.989258,-3.736992,1.352094
2,-0.331349,-9.954376,-0.360134,2.790369,-4.179511,1.436020
3,-0.351901,-9.928228,-0.506977,1.737480,-3.523363,1.580983
4,-0.290527,-9.800385,-0.454055,2.851406,-3.981141,1.359723
5,-0.360907,-9.955432,-0.462577,3.087924,-3.820918,1.374983
6,-0.356254,-9.920306,-0.426872,6.139775,-4.812770,1.550464
8,-0.356361,-10.053522,-0.473106,1.592517,-4.194770,1.374983
9,-0.387923,-9.879459,-0.369242,4.941924,-4.667807,0.787501
10,-0.402276,-9.679001,-0.393448,1.417036,-3.012178,0.619650
11,-0.352609,-9.605826,-0.108150,-4.099185,-0.990326,-0.646869
12,-0.633194,-9.913317,-0.526305,-8.715111,-0.067142,-0.059387
13,-0.285507,-9.779193,-0.444288,-6.769556,-1.905882,-0.921535
15,0.622639,-9.424409,-1.472677,-6.677999,11.812187,-1.325906
16,0.213039,-8.835371,-0.795211,-9.722221,17.107149,-1.539535
17,0.164941,-9.880291,-1.012362,-19.297403,15.924557,-3.607164
18,0.557073,-10.421011,-0.483687,-12.018740,15.161594,-0.509535
19,0.034912,-10.684590,-0.080937,-5.396221,10.278633,1.710686
20,-0.107762,-10.561885,-0.827389,-10.073183,0.054933,7.043796
22,0.402466,-9.549616,-1.197101,-9.142370,3.335672,13.673943
23,-1.935790,-10.312186,-1.122477,-9.058443,-5.377362,17.458237
24,-1.224012,-10.858698,-3.511455,1.790888,-10.695212,16.115423
25,0.429067,-9.053076,-1.618684,27.235693,-5.095066,13.559498
26,-0.986542,-9.574700,-1.118367,5.720146,-13.716545,15.695794
27,-1.635309,-9.317479,-2.112330,-9.279703,-23.955505,17.977053
28,-1.643158,-10.087095,-1.404070,-8.310740,-28.640097,15.108313
29,-0.968926,-9.803041,-0.839167,-8.966888,-21.994690,13.796017
30,-0.926809,-10.396348,-0.657535,-13.018221,-21.185949,11.339276
31,-1.312473,-10.414356,-1.182847,13.586292,-16.463211,8.234017
32,-2.179861,-9.127572,-0.899841,31.279396,-9.268473,5.845944
33,-1.909714,-9.513101,-1.526070,12.273996,-10.924102,4.991426
34,-1.160127,-11.267614,-1.282878,8.504959,-5.964844,1.756464
35,-0.774229,-9.864742,-1.733230,19.110142,4.846338,3.145056
36,-1.440785,-8.407797,-1.945819,8.001404,0.009155,2.763575
37,-0.943534,-9.047051,-2.458458,-6.845851,1.710561,1.512316
38,-1.119480,-9.230720,-1.877328,7.429182,5.426189,-0.509535
39,-1.121285,-9.428651,-0.958886,5.681998,2.290413,-1.226720
40,-1.242411,-9.302566,-1.146318,-6.594074,-3.683585,-2.035461
41,-1.041756,-10.389201,-1.959702,-12.262886,-7.582325,-2.783165
42,-0.749477,-9.709801,-2.140929,4.217109,-10.695212,-1.989683
43,-0.248614,-9.517225,-2.057259,2.149480,-2.371289,0.848538
44,-0.718386,-9.049180,-2.340565,-2.962369,0.939969,2.176094
45,-0.317635,-9.484946,-2.107858,4.583331,2.778709,3.419723
46,-0.747492,-9.302969,-1.389470,12.754662,10.095522,4.716759
47,-1.486500,-9.457597,-1.097349,4.774072,16.718039,4.892241
48,-1.249379,-10.113359,-1.665851,-0.421704,21.845148,4.640463
49,-0.389170,-9.732536,-2.266054,8.199775,19.373148,2.878019
50,-0.857267,-9.635682,-1.712342,5.651479,20.792259,0.818020
51,-1.402803,-9.875013,-1.664827,-0.536149,12.788780,-1.776053
52,-0.796705,-9.222460,-1.779505,1.630666,4.861597,-3.858942
53,-1.227083,-10.048300,-2.595756,-9.439924,8.806114,-5.949460
54,-1.167376,-11.009763,-3.192723,0.356518,-9.115880,-10.115235
55,-0.177985,-9.527370,-1.267269,25.862362,-19.209877,-10.611161
56,-1.219530,-9.084120,-1.628992,8.230293,-20.010988,-10.557754
57,0.045521,-9.529874,-2.046710,0.600666,-21.231728,-9.626939
58,-0.013603,-9.450351,-1.511047,7.223182,-15.639212,-7.124422
59,-0.449918,-9.821922,-1.862832,5.300516,-16.020693,-4.476942
60,-0.142752,-9.809321,-1.580471,1.455184,-13.609731,-4.354868
61,-0.227261,-10.193598,-1.642551,-1.344890,-11.206398,-3.294350
62,-0.631298,-9.583887,-1.845076,8.207404,-11.534472,-1.402202
63,-0.628709,-9.543007,-1.571392,8.276071,-13.716545,-1.890498
64,-0.402169,-9.764675,-1.364061,7.421553,-17.409285,-2.897609
65,-0.270473,-9.360074,-1.550062,4.445998,-15.578175,-2.012572
66,-0.421539,-9.338966,-2.117500,-3.816888,-7.856991,-2.683980
67,-0.507784,-9.764920,-2.218375,-7.471481,-1.486252,-2.767905
68,-0.753001,-9.713531,-2.124240,-3.107334,-0.891141,-1.592943
69,-0.383307,-9.581147,-1.103705,-6.601703,-2.752770,-1.692128
70,-0.438017,-10.215411,-2.652220,-27.102512,0.871303,-2.294868
71,-0.833927,-9.357995,-1.647570,-3.229408,-2.722252,-2.622942
72,-0.153658,-9.727998,-2.082958,-5.800592,-3.401289,-0.799461
73,0.144002,-10.324642,-3.987097,-4.434888,14.131594,2.946686
74,-0.961300,-9.256461,-0.754602,25.381695,25.049591,4.907500
75,-0.653165,-9.325271,-1.716365,-9.264442,17.015593,1.848020
76,0.263936,-9.181109,-3.018518,-16.703331,9.416485,0.230539
77,-0.937292,-8.152417,-2.818658,-10.149481,10.003965,1.321575
78,-0.280712,-8.252952,-2.780486,-20.052736,2.099673,0.291576
79,-0.114433,-9.368958,-2.338301,-11.530443,5.204930,-1.455609
80,-0.647863,-12.876934,-1.825888,-5.426740,3.350931,-0.730794
81,-1.413519,-14.602428,-2.611505,10.709922,-11.221657,0.428909
82,0.235254,-14.325539,-4.998935,13.685476,-9.230324,0.962983
83,1.084229,-11.823047,-6.101579,-14.681479,1.466414,-0.196721
84,0.085111,-9.674757,-5.343341,-18.076662,10.469374,-2.561905
85,-0.442483,-6.973225,-2.355520,-34.152287,-4.370252,-6.765830
86,0.766554,-5.333655,-2.150915,-56.941986,-7.826473,-9.886347
87,-1.766178,-4.519338,-0.527643,-68.928123,-8.185065,-16.135012
88,-0.894780,-2.587949,-2.098922,-58.437393,-14.654989,-16.783529
89,-0.096131,-5.425794,-1.516741,-28.376659,-7.025362,-3.256201
90,-0.265005,-6.926178,-2.467575,-0.147038,-11.198769,-3.454572
91,0.325418,-7.482983,-3.751377,44.654133,-11.259806,-0.761313
92,0.186001,-10.279160,-4.064240,54.053833,-6.369214,5.990907
93,0.319752,-9.984836,-3.220397,22.200140,-6.682029,5.227944
94,1.762503,-12.947337,-7.548788,-20.129032,-13.968323,2.107427
95,1.607925,-13.736462,-7.048276,24.427992,-6.994843,3.183204
96,-0.971645,-9.628192,-3.614798,53.969910,0.070191,6.891203
97,0.068450,-8.415352,-2.590601,15.096958,-3.241067,4.274241
98,-0.468698,-8.238173,-3.269742,2.477554,-3.241067,2.610982
99,0.644397,-8.451665,-3.501397,13.754143,-3.546252,2.420242
100,1.348593,-9.251017,-3.846635,15.829401,7.226782,3.137427
101,3.379705,-9.964321,-5.311947,5.041109,7.791374,-2.371165
102,-2.006247,-9.284180,-4.567640,-3.313333,4.052856,-4.820275
103,-0.106064,-9.011020,-2.558582,-6.266000,-5.598621,-5.354349
104,0.642574,-8.307049,-3.194944,-10.668295,-19.240395,-7.750051
105,0.512657,-8.810141,-3.250939,6.788294,-20.033876,-5.850275
106,0.427382,-9.169523,-3.084338,15.508957,-6.613362,-1.013090
107,1.051372,-9.600262,-3.748201,23.275917,-4.568622,4.648093
108,0.903131,-9.979501,-3.391149,33.408062,-4.759362,6.990388
109,0.539659,-9.028179,-2.777789,21.894955,10.263372,2.160834
110,-0.684745,-9.148472,-2.433912,12.418959,5.784782,0.047427
111,1.578535,-8.892511,-6.175491,-5.091035,-5.827510,-1.241979
112,0.240943,-9.403625,-3.337435,15.516586,1.535080,2.382093
113,0.303511,-9.306638,-3.556694,24.138065,-7.933288,1.008761
114,0.249926,-8.911428,-2.838684,29.433027,-9.390547,0.612020
115,0.542361,-9.422231,-3.336155,19.033846,-3.775141,-1.608202
116,0.716289,-9.388655,-3.194030,18.324289,-0.547808,0.818020
117,0.015060,-9.113276,-2.506147,28.074953,-2.371289,0.100835
119,0.406924,-9.552827,-3.349355,0.486221,2.175968,-0.723165
120,0.090475,-9.484694,-2.635386,13.395550,0.566117,1.199501
121,0.134246,-9.216471,-2.293176,8.520219,0.260932,2.404983
122,0.746183,-9.266980,-2.507884,-1.032075,-0.685142,4.091130
123,-0.015028,-9.882463,-2.506145,-4.038148,1.496932,6.044314
124,0.456907,-9.848810,-2.464297,8.436293,0.161747,5.914611
125,0.776129,-9.897531,-2.150376,15.783625,2.496413,4.472611
126,-0.675038,-9.517232,-2.362144,21.551622,0.154118,4.640463
127,0.393942,-9.536206,-2.048607,21.635548,-3.126622,2.069279
128,-0.039028,-9.584326,-2.084896,14.616291,-2.104252,-0.356943
129,-0.190185,-9.346929,-2.369793,15.043550,-9.131139,-0.669757
130,0.302201,-9.420903,-2.182081,11.854366,-9.855954,-0.883387
131,0.191642,-8.968215,-2.253560,10.503922,-7.612844,1.825131
132,-0.214046,-9.362053,-2.362702,16.691549,-11.992249,4.457352
133,0.599067,-8.540071,-1.867069,28.410656,-6.537066,4.037723
134,0.734283,-6.492824,-2.033357,10.267404,-2.256845,5.632315
135,-0.597787,-6.865298,-0.883759,-3.977111,-7.200843,9.027499
136,-0.065430,-9.509367,-0.945725,-2.077333,-8.787806,9.424240
137,-0.641354,-11.367955,-0.586635,34.842434,-6.941436,9.340314
138,-0.757907,-12.525231,-1.069375,52.649982,-14.784694,13.055943
139,-0.127414,-15.477077,-0.937445,47.843319,-12.099064,7.112462
140,0.268441,-16.929613,-1.259633,47.210060,-9.863584,7.478684
141,-0.928658,-13.918056,-1.788916,41.167393,-15.906248,6.364759
142,-0.250679,-12.255281,-3.249682,1.806147,-20.316174,1.016390
143,-0.329277,-9.902792,-3.088361,-29.612659,-20.484024,2.801723
144,-0.889300,-6.739572,-1.917740,-54.469986,-20.033876,9.157203
145,-1.090709,-5.587426,-1.241519,-58.963833,-15.265360,12.621054
146,-0.081379,-4.537570,-0.617633,-66.677383,-6.453140,9.599722
147,-1.283329,-4.217155,-0.121893,-48.000061,-4.171881,6.631796
148,-0.131526,-5.286777,-1.323082,-19.747551,-5.468918,4.953278
149,-0.002279,-6.656858,-1.885249,8.100590,1.977598,2.488908
150,-1.377830,-7.896786,-1.503737,32.492508,-3.813289,-0.715535
151,-0.902705,-9.727917,-2.840511,31.218359,-3.180030,-4.652423
152,0.113507,-12.966466,-5.572763,21.566881,7.150485,-9.054717
153,-0.689194,-13.736926,-2.400209,56.747093,10.782188,-5.552719
154,-1.201177,-13.890490,-3.996028,31.843988,-1.417586,-4.110720
155,-0.226567,-9.509293,-0.732909,21.765251,1.725821,-2.729757
156,0.153277,-8.995671,-0.869875,-0.345408,8.386485,0.108464
157,-0.526525,-8.353333,-1.928443,-7.387554,9.675892,-1.409831
158,-0.948658,-9.056288,-2.075002,-2.138371,7.631152,-2.119387
159,-0.600358,-9.899605,-2.295315,3.057406,4.907375,-3.599535
160,0.396292,-10.296996,-2.760148,-1.428815,4.365671,-3.210423
161,-0.118125,-10.045609,-2.928921,-6.700887,3.160191,-2.165164
162,-0.024123,-9.294741,-2.185515,-7.311258,2.549820,-2.577165
163,-0.103155,-9.328056,-2.254777,-8.661703,3.144931,-2.271979
164,0.345409,-8.981547,-1.913648,0.135259,6.196782,-1.615831
165,-0.197294,-9.610241,-1.801349,-3.603260,5.037079,-1.158054
166,-0.073820,-10.377391,-2.955569,-0.223334,3.885005,-2.134646
167,-0.895154,-9.304611,-2.259808,11.640737,-2.615437,0.085576
168,-0.256232,-9.847405,-2.353106,13.006439,-7.940917,-0.532424
169,0.051352,-9.825732,-2.524025,17.324808,-8.360547,-0.150943
170,-0.486432,-9.253006,-2.051958,24.611103,-14.502398,-0.799461
171,0.151512,-9.442637,-1.909897,15.661551,-14.212471,-1.737905
172,0.418551,-9.920224,-2.189198,11.480515,-9.207436,-1.272498
173,-0.109893,-9.863655,-2.140002,19.773918,-9.718620,-0.631609
174,0.182131,-9.596624,-1.559869,24.916288,-9.588917,-0.005980
175,0.325502,-9.694834,-1.308128,17.935179,-5.621511,0.695946
176,-0.132689,-9.515909,-1.252069,14.219551,-6.727806,1.321575
177,-0.213868,-9.485579,-1.229988,12.083255,-9.421065,1.237649
178,0.062873,-9.844819,-1.343548,11.671255,-8.597065,2.488908
179,-0.023788,-9.794759,-1.188899,15.913328,-8.574176,2.839871
180,-0.124900,-9.799482,-0.877954,15.356365,-11.107213,2.725427
181,0.004203,-9.779427,-1.305187,6.811182,-11.671805,0.726464
182,0.311605,-9.827821,-1.352622,7.528367,-9.573657,0.085576
183,0.273813,-9.773410,-1.322221,8.710959,-9.810176,-0.128054
184,0.442689,-9.801291,-1.380012,6.841701,-4.477066,0.009279
185,0.212661,-9.906780,-1.009454,8.474442,-0.524920,1.825131
186,0.015225,-10.078518,-0.931512,8.504959,2.839746,2.466019
187,-0.014820,-9.852874,-0.861175,7.574145,9.675892,4.777796
188,-0.045227,-10.075974,-1.082525,6.910367,14.886927,6.738611
189,-0.470271,-9.979827,-1.064622,8.550737,17.038483,8.554462
190,-0.391910,-10.003561,-1.042746,14.028811,20.555740,11.133277
191,-0.458182,-9.978814,-0.979569,14.448439,23.813591,13.948609
192,-0.590799,-9.675935,-0.939841,13.807550,24.980925,15.558460
193,-0.608273,-9.687154,-0.922280,11.213478,28.391369,16.954681
194,-0.608424,-9.964710,-1.160518,5.712516,34.823143,18.503496
