seq,ax,ay,az,wroll,wpitch,wyaw
6057,0.020672,-9.802547,-0.164606,0.108829,0.101218,0.033026
6058,0.047594,-9.808843,-0.168105,0.093568,0.040180,-0.012752
6059,0.047752,-9.808212,-0.178654,0.085939,0.085958,-0.089048
6060,-0.136893,-9.728831,-0.729176,-0.104802,-0.036116,-0.264529
6061,-0.181721,-9.788719,-0.671417,-0.905912,1.215143,0.849396
6062,-0.171776,-9.756201,-0.620605,0.169866,0.833662,0.513693
6063,-0.199813,-9.821362,-0.654432,0.780235,-0.234486,-0.180604
6064,-0.172047,-9.792840,-0.724492,0.513198,-0.303153,0.109322
6065,-0.193058,-9.811014,-0.740528,-0.486283,0.673440,1.238507
6066,-0.184418,-9.744164,-0.603996,-0.211616,0.772625,-0.111937
6067,-0.188684,-9.787388,-0.686215,0.208014,0.154625,-0.691788
6068,-0.146026,-9.771703,-0.720690,-0.326061,0.261440,0.422137
6069,-0.173020,-9.648907,-0.761809,0.566607,-0.028486,-0.447640
6070,-0.178856,-9.729041,-0.685481,0.215643,0.589514,-0.523937
6071,-0.148448,-9.807496,-0.713320,-0.310802,0.932847,0.513693
6072,-0.207246,-9.790717,-0.690648,-0.211616,0.726847,0.582359
6073,-0.178097,-9.810758,-0.696297,-1.432357,0.459810,0.597618
6074,-0.142417,-9.716758,-0.749921,-0.768579,0.398773,-0.058530
6075,-0.156351,-9.774271,-0.628305,-1.462874,0.681069,-0.256900
6076,-0.159151,-9.874672,-0.746197,-0.631246,0.734477,0.063545
6077,-0.175091,-9.765770,-0.778157,0.604754,-0.661745,-0.508678
6078,-0.111081,-9.739253,-0.743198,0.314828,-1.035597,-2.400825
6079,-0.185044,-9.710291,-0.737362,0.635273,0.604773,-1.119048
6080,-0.179049,-9.764904,-0.666349,0.429272,0.673440,0.300063
6081,-0.148176,-9.811740,-0.694522,0.841272,-0.532042,0.147470
6082,-0.205982,-9.847796,-0.754445,0.368236,0.169884,0.666285
6083,-0.166291,-9.743475,-0.699136,0.688679,-0.120042,-0.340826
6084,-0.127972,-9.768346,-0.722712,0.665792,-0.913523,-0.974085
6085,-0.101536,-9.767761,-0.641935,0.146976,0.024921,0.269544
6086,-0.121077,-9.715299,-0.731939,0.467421,0.238551,0.399248
6087,-0.178343,-9.651938,-0.727316,0.299570,-0.196338,-0.615492
6088,-0.186474,-9.733661,-0.702572,0.635273,0.436921,0.734952
6089,-0.138560,-9.822557,-0.707688,2.046753,0.223292,0.712063
6090,-0.099372,-9.950359,-0.644012,1.161717,-0.142930,-0.157715
6091,-0.161025,-9.901855,-0.641073,0.337718,0.734477,-0.646011
6092,-0.176750,-9.738651,-0.674791,0.070681,0.536106,-1.485270
6093,-0.153592,-9.550533,-0.635363,-0.303172,0.864180,-1.386085
6094,-0.150978,-9.681014,-0.700682,-1.356060,0.932847,-0.035641
6095,-0.155771,-9.724194,-0.617705,-1.508653,0.703958,0.971470
6096,-0.158750,-9.836671,-0.692704,-0.188727,0.681069,0.902804
6097,-0.122926,-9.837012,-0.726555,-0.242135,0.032551,0.345841
6098,-0.173517,-9.784273,-0.781440,-1.783319,1.207514,0.582359
6099,-0.178075,-9.646218,-0.655315,-0.615987,1.024402,0.521322
