seq,ax,ay,az,wroll,wpitch,wyaw
6057,0.013342,-9.795496,-0.094729,0.106946,0.104426,0.018422
6058,0.040227,-9.801687,-0.098173,0.091686,0.043388,-0.027356
6059,0.040376,-9.801022,-0.108746,0.084057,0.089166,-0.103652
6060,-0.144486,-9.720520,-0.660972,-0.106684,-0.032908,-0.279133
6061,-0.189040,-9.780756,-0.602660,-0.907795,1.218351,0.834792
6062,-0.179163,-9.748362,-0.552005,0.167983,0.836870,0.499089
6063,-0.207004,-9.813520,-0.585397,0.778353,-0.231278,-0.195208
6064,-0.179408,-9.784674,-0.655795,0.511316,-0.299945,0.094718
6065,-0.200345,-9.802873,-0.671728,-0.488165,0.676648,1.223903
6066,-0.191801,-9.736422,-0.535466,-0.213498,0.775833,-0.126541
6067,-0.196003,-9.779403,-0.617499,0.206131,0.157833,-0.706392
6068,-0.153487,-9.763455,-0.652140,-0.327943,0.264648,0.407533
6069,-0.180769,-9.640610,-0.694304,0.564724,-0.025278,-0.462244
6070,-0.186341,-9.721017,-0.617215,0.213761,0.592722,-0.538541
6071,-0.155810,-9.799285,-0.644478,-0.312684,0.936055,0.499089
6072,-0.214525,-9.782783,-0.621922,-0.213498,0.730055,0.567755
6073,-0.185383,-9.802705,-0.627412,-1.434239,0.463018,0.583014
6074,-0.150043,-9.708398,-0.681851,-0.770461,0.401981,-0.073134
6075,-0.163726,-9.766356,-0.559571,-1.464757,0.684277,-0.271504
6076,-0.166344,-9.866400,-0.676894,-0.633128,0.737685,0.048941
6077,-0.182551,-9.757441,-0.709770,0.602872,-0.658537,-0.523282
6078,-0.118705,-9.730807,-0.674926,0.312946,-1.032389,-2.415429
6079,-0.192599,-9.702121,-0.669339,0.633390,0.607981,-1.133652
6080,-0.186430,-9.756946,-0.597768,0.427390,0.676648,0.285459
6081,-0.155515,-9.803588,-0.625612,0.839390,-0.528834,0.132866
6082,-0.213160,-9.839660,-0.685389,0.366353,0.173092,0.651681
6083,-0.173771,-9.735365,-0.630776,0.686797,-0.116834,-0.355430
6084,-0.135477,-9.760028,-0.654183,0.663909,-0.910315,-0.988689
6085,-0.109039,-9.759608,-0.573252,0.145094,0.028129,0.254940
6086,-0.128736,-9.706922,-0.663838,0.465538,0.241759,0.384644
6087,-0.186052,-9.643770,-0.659728,0.297687,-0.193130,-0.630096
6088,-0.193943,-9.725609,-0.634304,0.633390,0.440129,0.720348
6089,-0.145898,-9.814331,-0.638714,2.044871,0.226500,0.697459
6090,-0.106418,-9.942212,-0.573905,1.159835,-0.139722,-0.172319
6091,-0.168077,-9.893928,-0.571368,0.335835,0.737685,-0.660615
6092,-0.184207,-9.730655,-0.606429,0.068798,0.539314,-1.499874
6093,-0.161543,-9.542562,-0.568389,-0.305054,0.867388,-1.400689
6094,-0.158647,-9.672838,-0.632806,-1.357942,0.936055,-0.050245
6095,-0.163267,-9.716305,-0.549343,-1.510535,0.707166,0.956866
6096,-0.166005,-9.828565,-0.623601,-0.190610,0.684277,0.888200
6097,-0.130269,-9.828671,-0.657494,-0.244017,0.035759,0.331237
6098,-0.180935,-9.775929,-0.712915,-1.785202,1.210722,0.567755
6099,-0.185751,-9.638279,-0.587640,-0.617869,1.027610,0.506718
6100,-0.151074,-9.791642,-0.633960,-0.106684,0.241759,1.437533
6101,-0.195649,-9.817189,-0.588032,-0.259276,-0.025278,0.521977
6102,-0.212959,-9.850534,-0.665229,-0.739943,-0.505945,-0.645356
6103,-0.172627,-9.731256,-0.712990,-0.739943,-0.948463,-0.393578
6104,-0.135600,-9.702553,-0.683426,-1.045128,-1.055278,-0.431726
6105,-0.169873,-9.732575,-0.606687,-0.854387,0.089166,0.422792
6106,-0.188542,-9.745519,-0.608588,0.160353,-0.040538,-0.065504
6107,-0.146863,-9.809765,-0.696917,-0.701794,0.211240,-0.179948
6108,-0.198699,-9.766483,-0.672959,-0.671276,0.997092,1.376496
6109,-0.157421,-9.656527,-0.665362,0.824131,-0.261797,-0.729281
6110,-0.176615,-9.754844,-0.659228,0.969093,-0.628019,-1.950022
6111,-0.168386,-9.785542,-0.720696,-0.305054,0.577463,-0.073134
6112,-0.178013,-9.794966,-0.635035,-1.068017,0.234129,0.521977
6113,-0.173877,-9.785538,-0.622802,-1.006980,-0.467796,-0.523282
6114,-0.142722,-9.789955,-0.720676,-0.831498,0.203611,-0.637726
6115,-0.169793,-9.643271,-0.667622,-0.358461,0.508796,-0.523282
6116,-0.155472,-9.692947,-0.664644,0.061168,0.104426,-0.408837
6117,-0.136849,-9.786796,-0.664864,-0.091424,0.096796,0.781385
6118,-0.160488,-9.785554,-0.729924,-0.030387,0.348574,0.201533
6119,-0.194230,-9.714776,-0.648010,0.381612,0.714796,0.239681
6120,-0.146033,-9.715338,-0.629996,1.556575,0.524055,0.636422
6121,-0.171785,-9.769987,-0.631265,1.014871,0.447759,0.453311
6122,-0.200999,-9.657853,-0.493102,0.679168,-0.612760,-0.225726
6123,-0.166774,-9.822417,-0.650140,1.884649,-2.039500,-1.194689
6124,-0.124208,-9.718944,-0.565516,3.181686,-1.459648,-2.644318
6125,-0.105558,-9.832063,-0.629931,1.136945,-0.071056,-0.958170
6126,-0.125757,-9.712585,-0.623178,0.305316,1.546425,-0.530911
6127,-0.174222,-9.702953,-0.568009,0.854649,1.035240,-1.217578
6128,-0.145174,-9.746950,-0.632911,2.006723,0.470648,-2.423059
6129,-0.107259,-9.784837,-0.549858,2.189834,2.187314,-1.019207
6130,-0.053475,-9.869295,-0.666907,0.175613,5.040794,1.719829
6131,-0.190108,-9.820722,-0.603112,-2.960164,8.573311,2.246273
6132,-0.133213,-9.712947,-0.557596,-6.698682,6.429387,1.948718
