seq,ax,ay,az,wroll,wpitch,wyaw
2814,0.212503,-9.731634,0.201061,-1.287394,0.131736,-1.630233
2815,0.176253,-9.784615,0.124758,-0.280282,0.047810,-1.462381
2816,0.270764,-9.724014,0.199204,0.963346,0.002032,-0.562085
2817,0.186721,-9.814983,0.243635,1.199864,0.246181,1.505544
2818,0.043258,-9.783256,-0.131561,0.810753,-0.005597,-0.073789
2819,-0.011149,-9.833958,-0.107484,1.703420,0.070699,-0.012752
2821,0.086951,-9.850147,-0.452766,0.909939,0.131736,-0.104307
2822,0.002159,-9.696211,0.750126,3.282753,-0.036116,-0.089048
2823,0.038408,-9.784805,0.168895,-3.637319,-0.081893,0.017767
2824,0.064660,-9.790844,-0.084773,-0.554950,0.063069,-0.005122
2825,-0.007686,-9.792721,-0.140669,-0.104802,0.047810,-0.020381
2826,0.026616,-9.806797,-0.165613,-0.127691,0.063069,0.002508
2827,0.064676,-9.820570,-0.116671,-0.036135,0.017292,0.010137
2828,0.014142,-9.805567,-0.129552,-0.089541,0.055440,-0.012752
2829,0.024395,-9.799734,-0.128241,-0.066654,0.093588,-0.073789
2830,0.037204,-9.790923,-0.135112,0.047791,0.040180,-0.073789
2831,0.014743,-9.794276,-0.117946,-0.043765,0.055440,-0.050900
2832,0.024286,-9.811651,-0.132800,-0.051394,0.032551,-0.050900
2833,0.056419,-9.816271,-0.121568,-0.043765,0.055440,-0.043270
2834,0.042398,-9.784947,-0.157337,-0.036135,0.108847,-0.035641
2835,0.031669,-9.796238,-0.130478,-0.028504,0.040180,-0.081418
2836,0.062281,-9.776993,-0.114262,0.017272,0.101218,-0.043270
2837,0.070119,-9.817060,-0.116602,-0.028504,0.063069,-0.035641
2838,0.008800,-9.783342,-0.152747,0.040162,0.093588,-0.012752
2839,0.054531,-9.797551,-0.180978,0.032531,0.063069,-0.020381
2840,0.044278,-9.807095,-0.143584,-0.074283,0.101218,0.010137
2841,0.033176,-9.805840,-0.119799,0.047791,0.032551,-0.043270
2842,0.043303,-9.802414,-0.112019,-0.051394,0.017292,-0.005122
2843,0.034241,-9.792661,-0.139253,0.024902,0.085958,-0.028011
2844,0.017094,-9.806803,-0.127723,0.024902,0.024921,-0.005122
2845,0.031677,-9.805750,-0.140919,0.024902,0.108847,-0.058530
2846,0.063624,-9.804469,-0.110422,-0.005617,0.055440,-0.058530
2847,0.026254,-9.795580,-0.128248,-0.013246,0.017292,-0.073789
2848,0.020347,-9.815106,-0.154517,-0.036135,0.055440,-0.111937
2849,0.071819,-9.790799,-0.125055,0.101198,0.063069,-0.119566
2850,0.025337,-9.832058,-0.100923,0.093568,0.032551,-0.104307
2851,0.074448,-9.825550,-0.092404,-0.020875,0.063069,-0.050900
2852,0.049417,-9.801868,-0.120105,-0.104802,0.108847,-0.066159
2853,0.004600,-9.806028,-0.133252,-0.059023,0.139366,-0.028011
2854,0.047862,-9.813231,-0.106539,-0.074283,0.063069,-0.043270
2855,0.051519,-9.826344,-0.124486,-0.081913,0.047810,-0.050900
2856,-0.013252,-9.820186,-0.114119,-0.074283,0.063069,-0.050900
2857,0.059826,-9.797786,-0.131660,-0.066654,0.124106,-0.066159
2858,0.039047,-9.795691,-0.143226,0.024902,0.108847,-0.058530
2859,0.005594,-9.818433,-0.174106,-0.020875,0.093588,-0.081418
2860,0.034432,-9.810147,-0.085748,-0.020875,0.024921,-0.035641
2861,0.054260,-9.790027,-0.111351,0.017272,0.085958,0.010137
2862,0.024297,-9.808674,-0.130489,0.063050,0.124106,0.055915
2863,0.020401,-9.790123,-0.132525,0.047791,0.040180,0.078804
2864,0.055580,-9.802500,-0.132865,0.063050,0.055440,0.063545
2865,0.036867,-9.788622,-0.108782,0.017272,0.063069,0.002508
2866,0.024422,-9.794233,-0.166965,-0.104802,0.063069,-0.043270
2867,0.042151,-9.807146,-0.120192,0.055420,0.047810,-0.073789
2868,0.049636,-9.778035,-0.110986,-0.013246,0.009662,-0.104307
2869,0.036969,-9.817876,-0.103775,0.009644,0.070699,-0.043270
2870,0.035944,-9.786166,-0.125816,-0.013246,0.078329,-0.020381
2871,0.066351,-9.789415,-0.160914,0.002013,0.101218,-0.028011
2872,0.006697,-9.806722,-0.112698,-0.005617,0.032551,-0.050900
2873,0.021310,-9.808635,-0.131135,0.002013,0.078329,-0.073789
2874,0.058899,-9.794878,-0.105348,0.002013,0.093588,-0.066159
2876,0.035543,-9.796222,-0.150319,-0.059023,0.070699,-0.073789
2877,0.064738,-9.796772,-0.096423,0.078310,0.055440,-0.050900
2878,0.030574,-9.800956,-0.142751,-0.036135,0.085958,0.010137
2879,0.039887,-9.817788,-0.140627,0.063050,0.055440,-0.050900
2880,0.035133,-9.782043,-0.106544,-0.028504,0.055440,-0.020381
2881,0.028782,-9.809995,-0.109882,0.002013,0.017292,-0.035641
2882,0.021219,-9.809249,-0.125271,-0.043765,0.101218,-0.043270
2883,0.046598,-9.803718,-0.092021,-0.020875,0.055440,-0.028011
2884,0.045245,-9.816675,-0.137018,0.009644,0.063069,-0.012752
2885,0.017271,-9.803790,-0.137126,0.040162,0.101218,-0.104307
2886,0.058195,-9.800244,-0.103546,-0.013246,0.055440,-0.043270
2887,0.033566,-9.794455,-0.135732,0.040162,0.017292,-0.043270
2888,0.030593,-9.798574,-0.141605,0.032531,0.040180,-0.028011
2889,0.045617,-9.806481,-0.152938,-0.005617,0.101218,-0.058530
2890,0.036980,-9.801082,-0.129734,0.040162,0.093588,-0.058530
2891,0.025383,-9.823580,-0.137921,-0.036135,0.063069,-0.058530
2892,0.039743,-9.802361,-0.114433,0.024902,0.017292,-0.043270
2893,0.020708,-9.803276,-0.125346,-0.020875,0.047810,-0.050900
2894,0.030240,-9.790781,-0.151070,-0.028504,0.055440,-0.050900
2895,0.022329,-9.795609,-0.104893,0.085939,0.078329,-0.066159
2896,0.039485,-9.808818,-0.145418,0.017272,0.085958,-0.073789
2897,0.020876,-9.790751,-0.124307,0.017272,0.093588,-0.005122
2898,0.035560,-9.804542,-0.160188,0.093568,0.055440,-0.035641
2899,0.053850,-9.787454,-0.164698,-0.005617,0.055440,-0.050900
2900,0.018642,-9.808665,-0.111854,0.093568,0.116477,-0.104307
2901,0.042392,-9.781974,-0.153854,-0.066654,0.047810,-0.058530
2902,0.059747,-9.816378,-0.102754,0.024902,0.040180,-0.058530
2903,0.046619,-9.804165,-0.136540,0.024902,0.055440,-0.035641
2904,0.031143,-9.820734,-0.118506,0.024902,0.024921,-0.050900
2905,0.030322,-9.806364,-0.130395,0.002013,0.047810,-0.043270
2906,0.043410,-9.812498,-0.130069,-0.013246,0.040180,0.010137
2907,0.014486,-9.804442,-0.110225,0.032531,0.063069,-0.028011
2908,0.044651,-9.800612,-0.120799,-0.005617,0.078329,-0.005122
2909,0.045563,-9.792226,-0.134347,0.047791,0.078329,-0.050900
2910,0.022052,-9.810538,-0.100635,0.024902,0.116477,-0.066159
2911,0.031238,-9.815955,-0.120313,0.024902,0.101218,-0.066159
2912,0.030344,-9.809331,-0.135049,0.070681,0.085958,-0.058530
2913,0.023804,-9.796013,-0.167544,0.032531,0.047810,-0.043270
2914,0.023884,-9.803869,-0.138751,-0.036135,0.108847,-0.005122
2915,0.069677,-9.797395,-0.107450,0.017272,0.063069,-0.020381
2916,0.023922,-9.798507,-0.135879,-0.074283,0.070699,-0.005122
2917,0.033427,-9.831350,-0.164041,0.040162,0.063069,-0.043270
2918,0.050477,-9.785124,-0.135499,0.032531,0.032551,-0.020381
2919,0.013003,-9.804944,-0.133096,-0.005617,0.070699,-0.043270
2920,0.028843,-9.806414,-0.110505,0.047791,0.040180,-0.066159
