seq,ax,ay,az,wroll,wpitch,wyaw
2814,0.204875,-9.725072,0.271136,-1.336222,0.069429,-1.700582
2815,0.168776,-9.777942,0.195091,-0.318322,-0.014022,-1.482481
2816,0.263006,-9.717240,0.269242,0.894972,-0.057839,-0.563099
2817,0.179380,-9.808656,0.314426,1.094396,0.180202,1.455206
2818,0.035859,-9.776229,-0.061764,0.682162,-0.069230,-0.120058
2819,-0.018302,-9.827205,-0.037272,1.523201,0.006835,-0.057086
2821,0.079428,-9.841947,-0.383011,0.705796,0.065647,-0.143768
2822,-0.004803,-9.692140,0.820825,2.977682,-0.098855,-0.124296
2823,0.031220,-9.778757,0.239248,-3.942390,-0.144632,-0.017481
2824,0.057271,-9.783893,-0.014822,-0.831827,0.000320,-0.039047
2825,-0.014971,-9.785845,-0.070838,-0.369166,-0.014450,-0.052525
2826,0.019285,-9.799722,-0.095702,-0.379202,0.000783,-0.028665
2827,0.057341,-9.813519,-0.046546,-0.278216,-0.043519,-0.020346
2828,0.006855,-9.798651,-0.059591,-0.320750,-0.005195,-0.041818
2829,0.017075,-9.792786,-0.058318,-0.288098,0.031872,-0.099483
2830,0.029833,-9.783907,-0.065265,-0.167959,-0.020829,-0.096221
2831,0.007434,-9.787395,-0.048051,-0.251007,-0.005387,-0.070928
2832,0.016993,-9.804690,-0.062792,-0.250157,-0.027349,-0.068603
2833,0.049085,-9.809233,-0.051489,-0.234577,-0.004314,-0.058974
2834,0.034987,-9.777842,-0.087574,-0.219507,0.047484,-0.049662
2835,0.024324,-9.789257,-0.060583,-0.204931,-0.020489,-0.092310
2836,0.054841,-9.769954,-0.044474,-0.153936,0.039220,-0.052386
2837,0.062765,-9.809990,-0.046502,-0.193166,0.001036,-0.043290
2838,0.001452,-9.776369,-0.083004,-0.120418,0.030520,-0.019732
2839,0.047114,-9.790328,-0.111155,-0.123851,0.000001,-0.026464
2840,0.036930,-9.800028,-0.073623,-0.223102,0.036900,0.003921
2841,0.025861,-9.798888,-0.049809,-0.097716,-0.030726,-0.047864
2842,0.035965,-9.795452,-0.042038,-0.190446,-0.044477,-0.009397
2843,0.026877,-9.785643,-0.069401,-0.110408,0.023396,-0.031228
2844,0.009806,-9.799883,-0.057747,-0.106788,-0.036407,-0.008065
2845,0.024350,-9.798736,-0.070969,-0.103287,0.045961,-0.059458
2846,0.056254,-9.797441,-0.040412,-0.129420,-0.007202,-0.057509
2847,0.018920,-9.788625,-0.058357,-0.132556,-0.043863,-0.070382
2848,0.013056,-9.808090,-0.084524,-0.150349,-0.005528,-0.104972
2849,0.064389,-9.783693,-0.055174,-0.012589,0.002032,-0.108909
2850,0.018115,-9.825197,-0.030698,-0.019556,-0.027552,-0.090580
2851,0.067123,-9.818543,-0.022192,-0.129607,0.002869,-0.035955
2852,0.042061,-9.794859,-0.050140,-0.206532,0.047052,-0.049535
2853,-0.002670,-9.799134,-0.063298,-0.155484,0.075028,-0.011013
2854,0.040547,-9.806273,-0.036460,-0.165146,-0.001227,-0.025411
2855,0.044218,-9.819315,-0.054336,-0.167111,-0.015946,-0.031958
2856,-0.020441,-9.813417,-0.044028,-0.154253,-0.000664,-0.030910
2857,0.052432,-9.790702,-0.061743,-0.141817,0.058393,-0.044655
2858,0.031679,-9.788644,-0.073355,-0.048613,0.041720,-0.035813
2859,-0.001674,-9.811406,-0.104129,-0.091297,0.025594,-0.056776
2860,0.027147,-9.803302,-0.015662,-0.088304,-0.041661,-0.010639
2861,0.046871,-9.783027,-0.041459,-0.048511,0.018741,0.033987
2862,0.016998,-9.801720,-0.060501,-0.002644,0.055023,0.077150
2863,0.013061,-9.783175,-0.062687,-0.017316,-0.027955,0.096760
2864,0.048205,-9.795428,-0.062915,-0.001990,-0.012279,0.078829
2865,0.029508,-9.781691,-0.038905,-0.046201,-0.004497,0.017209
2866,0.017062,-9.787161,-0.097156,-0.162759,-0.004350,-0.027633
2867,0.034821,-9.800162,-0.050189,-0.002454,-0.018966,-0.056245
2868,0.042225,-9.771051,-0.041190,-0.068788,-0.055242,-0.083919
2869,0.029688,-9.810964,-0.033661,-0.044394,0.005605,-0.022132
2870,0.028570,-9.779183,-0.055989,-0.065077,0.012802,0.000732
2871,0.058904,-9.782214,-0.091112,-0.048185,0.034520,-0.006671
2872,-0.000562,-9.799886,-0.042700,-0.053985,-0.033027,-0.028591
2873,0.014017,-9.801689,-0.061149,-0.044836,0.012333,-0.049793
2874,0.051516,-9.787881,-0.035406,-0.043366,0.026687,-0.040780
2876,0.028178,-9.789163,-0.080459,-0.100980,0.003674,-0.046823
2877,0.057356,-9.789784,-0.026448,0.035161,-0.011205,-0.023150
2878,0.023236,-9.793940,-0.072842,-0.076684,0.018679,0.036645
2879,0.032575,-9.810747,-0.070578,0.021764,-0.011450,-0.023592
2880,0.027763,-9.775125,-0.036715,-0.067503,-0.011075,0.006700
2881,0.021492,-9.803091,-0.039844,-0.035773,-0.047609,-0.008280
2882,0.013931,-9.802322,-0.055270,-0.078877,0.035126,-0.015387
2883,0.039271,-9.796807,-0.021991,-0.054153,-0.010303,-0.000124
2884,0.037923,-9.809628,-0.066969,-0.022859,-0.002586,0.014639
2885,0.009968,-9.796840,-0.067191,0.007408,0.034397,-0.074394
2886,0.050829,-9.793257,-0.033559,-0.044491,-0.011008,-0.012919
2887,0.026211,-9.787450,-0.065860,0.008624,-0.047544,-0.012496
2888,0.023249,-9.791562,-0.071713,0.000961,-0.023848,0.002672
2889,0.038258,-9.799381,-0.082997,-0.035968,0.035971,-0.026934
2890,0.029639,-9.794085,-0.059798,0.009489,0.027412,-0.026051
2891,0.018115,-9.816600,-0.067829,-0.064617,-0.003005,-0.025197
2892,0.032410,-9.795403,-0.044458,-0.003463,-0.047183,-0.009611
2893,0.013406,-9.796351,-0.055392,-0.047626,-0.016119,-0.016676
2894,0.022871,-9.783738,-0.081256,-0.053444,-0.008211,-0.016129
2895,0.015018,-9.788742,-0.034961,0.059000,0.014197,-0.030359
2896,0.032148,-9.801763,-0.075449,-0.009350,0.021111,-0.036743
2897,0.013542,-9.783828,-0.054448,-0.009043,0.027798,0.030877
2898,0.028211,-9.797452,-0.090281,0.065048,-0.010010,0.000346
2899,0.046420,-9.780284,-0.094924,-0.033018,-0.009682,-0.014424
2900,0.011366,-9.801791,-0.041834,0.063998,0.049671,-0.065607
2901,0.034976,-9.774879,-0.084108,-0.093070,-0.018373,-0.019180
2902,0.052420,-9.809388,-0.032639,-0.001464,-0.025150,-0.018551
2903,0.039263,-9.797112,-0.066587,-0.001416,-0.009566,0.004196
2904,0.023870,-9.813795,-0.048398,-0.001370,-0.038771,-0.010701
2905,0.023006,-9.799389,-0.060421,-0.023463,-0.015361,-0.002970
2906,0.036085,-9.805478,-0.060041,-0.037453,-0.022238,0.048783
2907,0.007208,-9.797587,-0.040237,0.008051,0.000630,0.010287
2908,0.037300,-9.793617,-0.050847,-0.029110,0.015369,0.032088
2909,0.038180,-9.785183,-0.064484,0.023501,0.014865,-0.013241
2910,0.014782,-9.803688,-0.030579,0.000592,0.051275,-0.027566
2911,0.023952,-9.809010,-0.050246,0.000573,0.034835,-0.026662
2912,0.023032,-9.802341,-0.065061,0.044832,0.018934,-0.018409
2913,0.016450,-9.788940,-0.097722,0.006463,-0.018584,-0.003046
2914,0.016569,-9.796889,-0.068815,-0.060164,0.041061,0.033951
2915,0.062280,-9.790354,-0.037487,-0.006535,-0.004562,0.018080
2916,0.016595,-9.791535,-0.065980,-0.094874,0.002967,0.032246
2917,0.026147,-9.824260,-0.093932,0.018928,-0.004510,-0.005709
2918,0.043066,-9.778059,-0.065691,0.010928,-0.033880,0.016617
2919,0.005714,-9.798020,-0.063147,-0.026328,0.004128,-0.006066
2920,0.021543,-9.799507,-0.040496,0.026192,-0.025526,-0.028006
2921,0.037234,-9.782678,-0.080982,0.040092,0.026968,-0.012329
2922,0.031752,-9.783271,-0.074041,-0.057155,-0.018193,-0.026684
