seq,ax,ay,az,wroll,wpitch,wyaw
2814,0.205802,-9.847841,0.191623,-1.289276,0.134944,-1.644837
2815,0.169559,-9.901587,0.115651,-0.272915,0.049345,-1.428564
2816,0.264071,-9.840467,0.189776,0.938891,0.003450,-0.510949
2817,0.180057,-9.931628,0.233605,1.136874,0.239482,1.505646
2818,0.036507,-9.900971,-0.138861,0.723248,-0.011893,-0.071271
2819,-0.017885,-9.951744,-0.115111,1.562939,0.062292,-0.009899
2821,0.080199,-9.970592,-0.458178,0.744232,0.119286,-0.098128
2822,-0.004532,-9.807806,0.737230,3.014858,-0.046974,-0.080152
2823,0.031693,-9.900791,0.159564,-3.905214,-0.092751,0.026663
2824,0.057923,-9.908482,-0.092430,-0.795869,0.050499,0.003650
2825,-0.014443,-9.910311,-0.147917,-0.334387,0.034085,-0.011228
2826,0.019869,-9.924850,-0.172765,-0.345563,0.047726,0.011279
2827,0.057948,-9.938682,-0.124226,-0.245680,0.001885,0.018288
2828,0.007396,-9.923335,-0.136936,-0.289282,0.038721,-0.004450
2829,0.017649,-9.917492,-0.135617,-0.257660,0.074349,-0.063341
2830,0.030455,-9.908703,-0.142415,-0.138520,0.020254,-0.061264
2831,0.007993,-9.911871,-0.125365,-0.222533,0.034350,-0.037117
2832,0.017544,-9.929552,-0.140190,-0.222617,0.011085,-0.035900
2833,0.049686,-9.934324,-0.129069,-0.207940,0.032860,-0.027343
2834,0.035644,-9.902823,-0.164469,-0.193743,0.083439,-0.019068
2835,0.024921,-9.914014,-0.137829,-0.180011,0.014288,-0.062719
2836,0.055533,-9.894650,-0.121666,-0.129833,0.072856,-0.023766
2837,0.063390,-9.935165,-0.124147,-0.169853,0.033570,-0.015608
2838,0.002040,-9.900997,-0.159887,-0.097870,0.061987,0.007043
2839,0.047782,-9.915751,-0.188006,-0.102041,0.030437,-0.000567
2840,0.037537,-9.925119,-0.150895,-0.202008,0.066337,0.028969
2841,0.026435,-9.923656,-0.127260,-0.077313,-0.002253,-0.023637
2842,0.036563,-9.920207,-0.119525,-0.170712,-0.016938,0.014036
2843,0.027491,-9.910466,-0.146533,-0.091321,0.050032,-0.008563
2844,0.010349,-9.924589,-0.135125,-0.088327,-0.010644,0.013856
2845,0.024933,-9.923678,-0.148236,-0.085431,0.070879,-0.038255
2846,0.056889,-9.922381,-0.117957,-0.112149,0.016899,-0.037001
2847,0.019506,-9.913307,-0.135609,-0.115851,-0.020552,-0.050547
2848,0.013603,-9.933145,-0.161772,-0.134192,0.017019,-0.085787
2849,0.065078,-9.908705,-0.132443,0.003038,0.023840,-0.090353
2850,0.018608,-9.949983,-0.108607,-0.004441,-0.006459,-0.072633
2851,0.067727,-9.943624,-0.100147,-0.114988,0.023270,-0.018595
2852,0.042677,-9.919735,-0.127558,-0.192393,0.066785,-0.032744
2853,-0.002149,-9.923772,-0.140607,-0.141808,0.094114,0.005226
2854,0.041129,-9.931124,-0.114125,-0.151918,0.017233,-0.009704
2855,0.044789,-9.944487,-0.132003,-0.154317,0.001909,-0.016765
2856,-0.019995,-9.937864,-0.121648,-0.141878,0.016605,-0.016216
2857,0.053085,-9.915733,-0.139025,-0.129848,0.075097,-0.030443
2858,0.032299,-9.913574,-0.150493,-0.037037,0.057876,-0.022066
2859,-0.001154,-9.936538,-0.181233,-0.080099,0.041220,-0.043480
2860,0.027696,-9.927819,-0.093456,-0.077473,-0.026547,0.002222
