seq,ax,ay,az,wroll,wpitch,wyaw
0,0.119140,-9.772540,-0.232695,-0.692283,-0.028486,-0.684159
1,0.145344,-9.760589,-0.336584,-0.699912,-0.356560,-0.226381
2,0.137418,-9.816697,-0.299811,-1.104282,0.642921,0.445026
3,0.126679,-9.791435,-0.319631,-0.966949,0.200403,-0.455270
4,0.123709,-9.748440,-0.319570,-0.303172,-0.615968,-1.073270
5,0.123128,-9.833144,-0.323350,-0.921172,-0.097153,0.414507
7,0.145623,-9.781932,-0.378528,-0.341320,-0.203968,-0.386603
8,0.122653,-9.799670,-0.340126,-0.554950,0.238551,-0.600233
9,0.132463,-9.838529,-0.353570,-1.081394,0.452180,0.414507
10,0.162908,-9.731488,-0.362329,-0.333691,-0.028486,0.193248
11,0.095735,-9.755174,-0.339970,0.055420,0.826032,0.422137
12,0.130111,-9.836706,-0.354808,-0.516802,0.490329,0.406878
14,0.124478,-9.775902,-0.317499,-0.211616,0.131736,0.567100
15,0.132303,-9.889394,-0.309669,-0.165839,0.475069,0.574730
16,0.113957,-9.777940,-0.380957,0.536088,0.101218,-0.134826
17,0.104257,-9.739790,-0.333524,0.581865,0.528477,0.063545
18,0.106042,-9.853812,-0.322878,-0.013246,0.253810,0.322952
19,0.106772,-9.807720,-0.369645,0.116458,0.406403,0.605248
21,0.099963,-9.795795,-0.341789,0.566607,0.795514,0.719693
22,0.103844,-9.878258,-0.319728,0.223272,0.131736,0.132211
23,0.089822,-9.825385,-0.375648,0.024902,-0.203968,-0.760455
24,0.130414,-9.691128,-0.353451,0.429272,-0.013227,0.246656
25,0.110581,-9.760151,-0.335521,0.543717,0.833662,1.398729
26,0.094610,-9.833914,-0.341482,0.566607,1.215143,2.085396
27,0.093891,-9.742676,-0.323738,1.794976,0.345366,0.818878
28,0.087714,-9.811163,-0.338935,1.230383,-0.486264,-0.249270
29,0.085885,-9.773094,-0.297204,0.826014,0.291958,1.108803
30,0.027050,-9.879830,-0.272022,0.398755,0.558995,1.589470
31,0.072164,-9.828037,-0.230680,0.169866,-0.753301,0.445026
32,0.060424,-9.858460,-0.364740,-0.203987,-0.661745,0.422137
33,0.083569,-9.752091,-0.323841,-0.142950,0.055440,0.208508
34,0.062264,-9.759773,-0.265596,-0.585468,-0.654116,-0.272159
35,0.058746,-9.926030,-0.315416,-0.959320,-0.799078,0.048285
36,0.046714,-9.719897,-0.354213,-0.371838,0.177514,0.399248
37,0.063414,-9.778233,-0.281190,0.208014,-0.432856,-0.150085
38,0.051453,-9.833965,-0.340579,0.131717,-0.974560,-0.409492
39,0.078803,-9.769266,-0.343667,-0.013246,-0.112412,0.246656
40,0.059226,-9.757817,-0.303171,0.185124,0.719217,0.773100
41,0.000661,-9.806083,-0.279203,-0.402357,0.307217,0.918063
42,0.071923,-9.911191,-0.342264,-0.173469,-1.165301,-0.119566
43,0.084632,-9.817089,-0.338933,-0.158208,-0.768560,-0.546826
44,0.048923,-9.778074,-0.273277,0.017272,-0.280264,-0.646011
45,0.030827,-9.744885,-0.315591,0.208014,-0.028486,-0.661270
46,0.025238,-9.812645,-0.371794,-0.341320,-0.402338,-0.432381
47,0.085010,-9.776428,-0.366314,-0.089541,-0.608338,-0.569715
48,0.089666,-9.818428,-0.314799,0.032531,-0.150560,-0.508678
49,0.039615,-9.804647,-0.320627,0.139347,0.368254,-0.287418
50,0.055641,-9.748259,-0.293972,-0.158208,-0.066634,-0.104307
51,0.079797,-9.800698,-0.404235,-0.348949,-0.524412,0.055915
52,0.068674,-9.814005,-0.308818,-0.036135,-0.562560,-0.584974
53,0.070546,-9.783092,-0.282168,-0.898283,-0.326042,-0.249270
54,0.085008,-9.849398,-0.313969,-0.821987,-0.242116,0.574730
55,0.087748,-9.744868,-0.357815,0.002013,-0.066634,-0.119566
56,0.081416,-9.720206,-0.393358,0.475050,-0.074264,0.147470
57,0.087239,-9.758351,-0.250470,1.245642,0.185143,0.399248
58,0.051259,-9.871017,-0.322605,1.642383,-0.341301,-0.607863
59,0.006335,-9.956496,-0.284489,0.749716,-0.051375,-0.310307
60,0.068948,-9.820769,-0.250156,-0.379467,0.078329,-0.516307
61,0.093665,-9.759518,-0.282552,-0.394728,-0.455745,-1.408973
62,0.050487,-9.803267,-0.240166,-0.867764,0.169884,-0.447640
63,0.064727,-9.778221,-0.289367,-2.019837,0.444551,1.169841
64,0.113258,-9.854635,-0.282889,-2.111393,-1.386560,0.582359
65,0.120935,-9.818798,-0.322963,-0.875393,-1.668856,-0.501048
66,0.098549,-9.798515,-0.414432,-0.509171,-0.455745,-0.317937
67,0.009793,-9.799643,-0.453086,-0.928801,0.116477,-0.577344
68,0.062115,-9.741088,-0.320870,-0.799098,-0.867745,-2.316899
69,0.096808,-9.799360,-0.334196,-0.554950,-1.951152,-3.003566
70,0.143845,-9.760212,-0.442655,-0.944061,-1.394189,-1.126677
71,0.160937,-9.750532,-0.369777,-0.913542,-0.028486,-0.058530
72,0.072651,-9.800884,-0.322357,-0.196357,0.208032,-0.546826
73,0.092141,-9.851143,-0.354232,-0.249764,-0.913523,-0.729937
74,0.142584,-9.867071,-0.421017,-0.837245,-1.409449,-0.951196
75,0.149847,-9.783760,-0.382526,-0.745689,-0.814338,-1.279270
76,0.126228,-9.722589,-0.386586,-0.486283,-0.211597,-0.661270
77,0.078603,-9.725929,-0.454866,-0.631246,-0.173449,0.231396
78,0.106087,-9.775338,-0.415119,-0.699912,-0.188708,0.498433
79,0.119468,-9.824504,-0.394988,-0.615987,-0.203968,1.024878
80,0.121806,-9.853086,-0.420409,-0.089541,0.230921,1.185100
81,0.132480,-9.824114,-0.382432,-0.089541,0.253810,0.040656
82,0.135924,-9.811563,-0.401247,0.352976,-0.211597,-0.882529
83,0.103218,-9.772893,-0.421647,0.513198,0.604773,-0.104307
84,0.118230,-9.751814,-0.359479,0.459791,0.314847,-0.272159
85,0.096917,-9.740184,-0.365886,0.452161,0.093588,0.475544
86,0.109571,-9.834558,-0.383358,0.009644,1.489810,2.192211
87,0.126818,-9.775658,-0.398301,-0.547319,1.276180,1.368211
88,0.113588,-9.841048,-0.420117,0.673420,0.238551,0.292433
89,0.044013,-9.816853,-0.432888,0.574235,1.314328,0.475544
90,0.076582,-9.769197,-0.356015,0.467421,0.703958,0.994359
91,0.120179,-9.820323,-0.398535,0.932828,-0.402338,0.803618
92,0.064631,-9.813323,-0.318865,-0.203987,0.772625,0.773100
93,0.074060,-9.820329,-0.400034,0.597125,0.764995,0.887544
94,0.074041,-9.669927,-0.413382,1.108309,0.757365,0.765470
95,0.027171,-9.851427,-0.378950,0.436903,1.703439,2.497396
96,0.060982,-9.814930,-0.359343,0.391124,1.848402,3.451099
97,0.053246,-9.804118,-0.351998,0.917568,0.787884,2.764433
98,0.004938,-9.833179,-0.398336,-0.219245,-0.615968,1.764951
99,-0.023756,-9.840674,-0.368359,0.314828,-0.821967,1.093544
100,0.048643,-9.649895,-0.418790,0.986236,-0.127671,1.795470
101,0.032433,-9.654740,-0.336455,0.604754,0.269069,4.061469
102,-0.066161,-9.679137,-0.338731,1.466901,-0.440486,5.640802
103,-0.011576,-9.829197,-0.455532,1.321939,-0.959301,6.586876
104,-0.132913,-9.969654,-0.281833,0.208014,-0.165819,7.365098
105,-0.213992,-9.926026,-0.351285,0.101198,0.070699,6.045172
106,-0.209394,-9.811541,-0.346577,0.208014,0.620032,5.877321
107,-0.268431,-9.804042,-0.401725,0.696310,0.864180,5.648432
108,-0.579631,-9.805506,-0.388543,1.886531,-1.790930,13.514577
109,-0.363299,-9.717125,-0.340692,-4.301096,-1.096634,21.029760
110,-0.578265,-9.801916,-0.396758,-6.261910,-1.966412,23.814575
112,-0.674493,-9.774333,-0.428255,-1.058505,-4.819892,24.745388
113,-1.100705,-9.874962,-0.477790,-1.203467,-5.216633,28.468647
114,-1.120616,-9.573904,-0.326789,-0.585468,-1.943523,22.631983
115,-1.262803,-9.682002,-0.469035,-0.974578,-1.226338,18.344131
116,-1.259300,-9.769780,-0.638494,-0.387097,-2.057967,20.266798
117,-1.527603,-9.617111,-0.490805,1.886531,-0.081893,26.034796
118,-1.739779,-9.742252,-0.446199,0.963346,-1.890115,27.652277
119,-1.601425,-9.575610,-0.311694,1.329568,-0.730412,21.762205
120,-1.941631,-9.621809,-0.370074,-0.051394,-0.661745,22.113167
121,-1.980593,-9.544044,-0.458980,1.039642,1.405884,19.809019
122,-2.203882,-9.650694,-0.372028,2.924160,-2.355523,21.663019
123,-2.221434,-9.498915,-0.372851,3.107271,-1.729893,19.145243
124,-2.186378,-9.474888,-0.199008,2.916531,-1.935893,17.443836
125,-2.626763,-9.645017,-0.463073,1.299050,-1.317893,18.412798
126,-2.406495,-9.507397,-0.345963,3.061494,-0.287894,11.126504
127,-2.497302,-9.527896,-0.471738,2.626606,-0.890634,10.676356
128,-2.543302,-9.369408,-0.232417,3.862604,0.352995,11.340134
129,-2.751371,-9.431620,-0.286833,2.603716,1.382995,14.430133
130,-2.598895,-9.250537,-0.417004,1.863642,1.886550,16.680872
131,-2.758649,-9.302687,-0.274902,3.519271,2.840254,23.059240
132,-3.078691,-9.298223,-0.393773,2.435864,1.833143,27.659906
133,-2.963086,-9.072135,-0.284383,2.809716,1.711069,26.607018
134,-3.361608,-9.126109,-0.294624,1.352457,3.687142,31.024572
135,-3.507996,-9.257467,-0.247476,-1.302652,1.260921,31.055090
136,-3.655569,-9.104823,-0.546147,-0.249764,-0.753301,29.597832
137,-3.840977,-9.030879,-0.366670,2.588457,2.000995,26.942722
138,-3.833467,-8.908557,-0.220216,1.672901,3.740550,21.830872
139,-4.200597,-9.059769,-0.177227,1.718679,0.024921,24.730129
140,-4.124255,-8.848454,-0.316264,2.435864,-1.447597,20.343094
141,-4.219845,-8.779396,-0.265011,0.627643,1.718698,20.098946
142,-4.357612,-8.905473,-0.399359,-0.638875,1.543217,17.100502
143,-4.185711,-8.584830,-0.232465,1.909420,0.696328,16.520651
144,-4.468595,-8.709980,-0.273036,3.389567,-1.645967,24.897982
145,-4.727365,-8.612022,-0.391122,2.634235,1.787365,25.447315
146,-4.774899,-8.526423,-0.118234,3.504012,3.351439,23.486500
147,-4.983104,-8.451932,-0.191711,3.023346,3.145439,21.472279
148,-4.989244,-8.515961,-0.290145,0.642901,1.382995,16.360428
149,-4.946306,-8.393640,-0.276561,1.146457,-0.509153,15.368577
150,-5.000119,-8.261979,-0.191180,1.459272,-0.524412,15.429614
151,-5.222558,-8.347196,-0.270237,-0.753320,1.527958,13.026281
152,-5.135176,-8.277877,-0.276287,1.978087,1.238032,13.285688
153,-5.240670,-8.063997,-0.137753,2.191716,2.336698,20.472797
154,-5.567760,-8.116160,-0.069853,0.612383,-2.218189,27.537832
155,-5.648619,-7.949999,-0.028148,2.451123,-6.818855,31.772276
156,-5.766277,-7.882463,-0.326475,0.520828,-2.279226,28.201611
157,-5.761788,-7.821351,-0.241517,3.671865,-1.806189,25.660944
158,-6.119060,-7.888356,-0.258415,1.840753,-2.157152,23.265242
159,-5.964423,-7.639246,-0.045979,2.229864,-1.081375,19.259687
160,-6.135341,-7.693008,-0.091549,1.497420,0.116477,17.825317
161,-6.247200,-7.614580,-0.279741,0.597125,-0.944041,18.283094
162,-6.232481,-7.459357,-0.185642,0.818383,1.001514,17.054724
163,-6.262936,-7.439325,-0.172403,1.306679,1.085439,16.795317
164,-6.350176,-7.346310,-0.178656,-0.158208,3.153068,16.238354
165,-6.458364,-7.307704,-0.072838,0.352976,1.543217,17.710873
166,-6.715164,-7.299207,-0.210419,-1.966431,1.413513,19.725094
167,-6.677345,-7.127999,-0.165830,-0.028504,0.940477,18.321243
168,-6.709038,-7.110482,-0.109822,3.832087,-0.120042,22.364944
169,-6.701511,-6.947602,-0.135460,1.405865,0.993884,20.961094
170,-6.873835,-6.873726,-0.161938,0.368236,-0.142930,22.136057
171,-7.010370,-6.802864,-0.137291,0.467421,-0.257375,22.151316
172,-7.054094,-6.714186,-0.259803,1.329568,-3.591522,20.884798
173,-7.239491,-6.781442,-0.142064,3.084382,-3.950115,22.403093
174,-7.260929,-6.555956,-0.045928,1.474531,-2.241078,20.922945
175,-7.202399,-6.373203,-0.141071,2.626606,-4.423151,21.472279
176,-7.452929,-6.409577,-0.089400,2.435864,-1.310264,22.540426
177,-7.384943,-6.222648,-0.043214,1.535568,0.726847,22.464130
178,-7.546257,-6.177376,0.055035,0.406384,2.184106,21.067909
179,-7.644079,-6.120755,-0.088706,-0.821987,1.833143,22.319168
180,-7.798195,-6.006192,-0.217200,-3.744134,4.717142,20.587242
181,-7.827260,-5.915971,-0.144939,-4.980133,3.572698,20.999241
182,-7.832659,-5.855113,-0.124030,2.145938,-1.684115,18.298353
183,-7.797376,-5.794357,-0.226511,0.658162,-0.287894,16.886871
184,-7.859361,-5.610647,0.025107,0.139347,3.732920,18.176279
185,-7.903264,-5.476986,-0.165853,0.681050,2.000995,20.030279
