seq,ax,ay,az,wroll,wpitch,wyaw
0,0.112387,-9.891134,-0.239313,-5.874813,3.135777,-2.151555
1,0.138578,-9.879800,-0.342470,-5.882442,2.807703,-1.693777
2,0.130679,-9.936207,-0.306154,-6.286813,3.807184,-1.022370
3,0.119925,-9.910753,-0.325738,-6.149480,3.364666,-1.922666
4,0.116936,-9.867319,-0.325513,-5.485702,2.548295,-2.540666
5,0.116391,-9.952874,-0.329589,-6.103702,3.067110,-1.052889
7,0.138862,-9.901594,-0.384212,-5.523850,2.960295,-1.853999
8,0.115899,-9.919165,-0.346124,-5.737480,3.402814,-2.067629
9,0.125727,-9.958534,-0.359631,-6.263924,3.616443,-1.052889
10,0.156130,-9.850655,-0.367940,-5.516221,3.135777,-1.274148
11,0.088957,-9.874087,-0.345785,-5.127110,3.990295,-1.045259
12,0.123373,-9.956689,-0.360853,-5.699332,3.654592,-1.060518
14,0.117718,-9.895043,-0.323560,-5.394146,3.295999,-0.900296
15,0.125595,-10.009647,-0.316221,-5.348369,3.639332,-0.892666
16,0.107188,-9.897408,-0.386592,-4.646443,3.265481,-1.602222
17,0.097475,-9.858561,-0.339328,-4.600665,3.692740,-1.403851
18,0.099311,-9.973651,-0.329190,-5.195776,3.418073,-1.144444
19,0.100016,-9.927378,-0.375467,-5.066072,3.570666,-0.862148
21,0.093203,-9.915140,-0.347749,-4.615924,3.959777,-0.747703
22,0.097124,-9.998307,-0.326153,-4.959258,3.295999,-1.335185
23,0.083069,-9.945160,-0.381487,-5.157628,2.960295,-2.227851
24,0.123613,-9.809674,-0.358950,-4.753258,3.151036,-1.220740
25,0.103808,-9.879167,-0.341393,-4.638813,3.997925,-0.068667
26,0.087866,-9.953603,-0.347587,-4.615924,4.379406,0.618000
27,0.087110,-9.861363,-0.329614,-3.387555,3.509629,-0.648518
28,0.080959,-9.930577,-0.344967,-3.952147,2.677999,-1.716666
29,0.079118,-9.891886,-0.303371,-4.356517,3.456221,-0.358593
30,0.020321,-9.999213,-0.278734,-4.783776,3.723258,0.122074
31,0.065426,-9.946915,-0.237499,-5.012665,2.410962,-1.022370
32,0.053681,-9.978342,-0.370764,-5.386517,2.502518,-1.045259
33,0.076789,-9.870817,-0.329747,-5.325480,3.219703,-1.258888
34,0.055490,-9.878127,-0.271913,-5.767998,2.510147,-1.739555
35,0.052039,-10.046284,-0.322030,-6.141850,2.365185,-1.419111
36,0.039909,-9.838284,-0.359771,-5.554368,3.341777,-1.068148
37,0.056646,-9.896864,-0.287473,-4.974517,2.731407,-1.617481
38,0.044700,-9.953421,-0.346667,-5.050813,2.189703,-1.876888
39,0.072028,-9.888248,-0.349503,-5.195776,3.051851,-1.220740
40,0.052446,-9.876351,-0.309225,-4.997406,3.883480,-0.694296
41,-0.006106,-9.924642,-0.285572,-5.584887,3.471480,-0.549333
42,0.065209,-10.031523,-0.348647,-5.355999,1.998962,-1.586962
43,0.077879,-9.936545,-0.344985,-5.340739,2.395703,-2.014222
44,0.042154,-9.896582,-0.279605,-5.165258,2.883999,-2.113407
45,0.024035,-9.863212,-0.321497,-4.974517,3.135777,-2.128666
46,0.018468,-9.931930,-0.377576,-5.523850,2.761925,-1.899777
47,0.078236,-9.895644,-0.372027,-5.272072,2.555925,-2.037111
48,0.082917,-9.937786,-0.321022,-5.149999,3.013703,-1.976074
49,0.032850,-9.923636,-0.326732,-5.043184,3.532517,-1.754814
50,0.048857,-9.866627,-0.300050,-5.340739,3.097629,-1.571703
51,0.073029,-9.920341,-0.409782,-5.531480,2.639851,-1.411481
52,0.061920,-9.933173,-0.315054,-5.218665,2.601703,-2.052370
53,0.063783,-9.901815,-0.288466,-6.080813,2.838221,-1.716666
54,0.078273,-9.969030,-0.320313,-6.004517,2.922147,-0.892666
55,0.080962,-9.863740,-0.363467,-5.180517,3.097629,-1.586962
56,0.074614,-9.839005,-0.398673,-4.707480,3.089999,-1.319926
57,0.080471,-9.876739,-0.256897,-3.936888,3.349406,-1.068148
58,0.044525,-9.990731,-0.328956,-3.540147,2.822962,-2.075259
59,-0.000366,-10.076592,-0.291399,-4.432814,3.112888,-1.777703
60,0.062204,-9.939670,-0.256813,-5.561998,3.242592,-1.983703
61,0.086896,-9.878134,-0.288770,-5.577258,2.708518,-2.876369
62,0.043733,-9.921839,-0.246814,-6.050294,3.334147,-1.915036
63,0.057959,-9.896906,-0.295595,-7.202368,3.608814,-0.297555
64,0.106534,-9.974292,-0.289479,-7.293924,1.777703,-0.885037
65,0.114191,-9.938373,-0.329149,-6.057924,1.495407,-1.968444
66,0.091781,-9.918295,-0.419912,-5.691702,2.708518,-1.785333
67,0.003004,-9.919183,-0.458262,-6.111331,3.280740,-2.044740
68,0.055327,-9.859574,-0.326743,-5.981628,2.296518,-3.784295
69,0.090050,-9.918680,-0.340220,-5.737480,1.213111,-4.470962
70,0.137066,-9.880018,-0.447823,-6.126591,1.770074,-2.594073
71,0.154166,-9.869918,-0.375409,-6.096072,3.135777,-1.525926
72,0.065890,-9.920022,-0.328453,-5.378887,3.372295,-2.014222
73,0.085403,-9.971062,-0.360315,-5.432295,2.250740,-2.197333
74,0.135854,-9.987797,-0.426738,-6.019776,1.754814,-2.418592
75,0.143087,-9.903486,-0.388192,-5.928220,2.349925,-2.746666
76,0.119436,-9.841611,-0.391979,-5.668813,2.952666,-2.128666
77,0.071795,-9.845121,-0.459785,-5.813776,2.990814,-1.236000
78,0.099310,-9.894935,-0.420510,-5.882442,2.975555,-0.968963
79,0.112718,-9.944539,-0.400709,-5.798517,2.960295,-0.442518
80,0.115066,-9.973560,-0.426069,-5.272072,3.395184,-0.282296
81,0.125735,-9.944143,-0.388244,-5.272072,3.418073,-1.426740
82,0.129171,-9.931596,-0.406885,-4.829554,2.952666,-2.349925
83,0.096439,-9.892488,-0.426983,-4.669332,3.769036,-1.571703
84,0.111452,-9.870926,-0.365162,-4.722739,3.479110,-1.739555
85,0.090130,-9.859104,-0.371470,-4.730369,3.257851,-0.991852
86,0.102825,-9.954573,-0.389191,-5.172887,4.654073,0.724815
87,0.120048,-9.895271,-0.403818,-5.729850,4.440443,-0.099185
88,0.106842,-9.961359,-0.425728,-4.509110,3.402814,-1.174963
89,0.037240,-9.936628,-0.438284,-4.608295,4.478591,-0.991852
90,0.069804,-9.888238,-0.361766,-4.715110,3.868221,-0.473037
91,0.113427,-9.940341,-0.404217,-4.249702,2.761925,-0.663778
92,0.057875,-9.932521,-0.325028,-5.386517,3.936888,-0.694296
93,0.067299,-9.940110,-0.405681,-4.585406,3.929258,-0.579852
94,0.067212,-9.788307,-0.418366,-4.074221,3.921628,-0.701926
95,0.020417,-9.971144,-0.384833,-4.745628,4.867702,1.030000
96,0.054222,-9.934356,-0.365237,-4.791406,5.012665,1.983703
97,0.046480,-9.923354,-0.357896,-4.264962,3.952147,1.297037
98,-0.001830,-9.952708,-0.404006,-5.401776,2.548295,0.297555
99,-0.030523,-9.959953,-0.374245,-4.867702,2.342296,-0.373852
100,0.041800,-9.767973,-0.423647,-4.196295,3.036592,0.328074
101,0.025599,-9.772310,-0.341877,-4.577776,3.433332,2.594073
102,-0.073004,-9.796433,-0.344178,-3.715629,2.723777,4.173406
103,-0.018356,-9.948927,-0.460792,-3.860591,2.204962,5.119480
104,-0.139634,-10.089123,-0.288737,-4.974517,2.998444,5.897702
105,-0.220756,-10.045032,-0.357510,-5.081332,3.234962,4.577776
106,-0.216207,-9.929420,-0.352399,-4.974517,3.784295,4.409925
107,-0.275265,-9.921848,-0.407116,-4.486221,4.028443,4.181036
108,-0.586523,-9.921593,-0.393862,-3.295999,1.373333,12.047181
109,-0.370182,-9.833221,-0.346112,-9.483626,2.067629,19.562365
110,-0.585159,-9.918022,-0.402008,-11.444441,1.197851,22.347179
112,-0.681421,-9.889835,-0.433137,-6.241035,-1.655629,23.277992
113,-1.107677,-9.989465,-0.482494,-6.385998,-2.052370,27.001251
114,-1.127706,-9.684480,-0.331352,-5.767998,1.220740,21.164587
115,-1.269889,-9.793695,-0.472975,-6.157109,1.937925,16.876736
116,-1.266367,-9.883325,-0.641627,-5.569628,1.106296,18.799402
117,-1.534771,-9.726881,-0.494209,-3.295999,3.082370,24.567400
118,-1.746928,-9.851866,-0.450267,-4.219184,1.274148,26.184881
119,-1.608604,-9.683554,-0.316108,-3.852962,2.433851,20.294809
120,-1.948863,-9.728727,-0.374089,-5.233924,2.502518,20.645771
121,-1.987877,-9.650500,-0.462078,-4.142888,4.570147,18.341623
122,-2.211152,-9.756510,-0.376000,-2.258370,0.808740,20.195623
123,-2.228773,-9.603151,-0.376228,-2.075259,1.434370,17.677847
124,-2.193701,-9.578079,-0.203486,-2.265999,1.228370,15.976439
125,-2.634127,-9.749044,-0.466183,-3.883480,1.846370,16.945402
126,-2.413863,-9.610576,-0.349455,-2.121036,2.876369,9.659108
127,-2.504694,-9.631513,-0.474411,-2.555925,2.273629,9.208961
128,-2.550743,-9.469853,-0.236076,-1.319926,3.517258,9.872738
129,-2.758832,-9.531878,-0.290251,-2.578814,4.547258,12.962737
130,-2.606421,-9.350575,-0.418934,-3.318888,5.050813,15.213476
131,-2.766165,-9.401572,-0.277905,-1.663259,6.004517,21.591845
132,-3.086285,-9.396039,-0.395786,-2.746666,4.997406,26.192511
133,-2.970744,-9.167721,-0.286333,-2.372814,4.875332,25.139622
134,-3.369320,-9.220160,-0.296498,-3.830073,6.851405,29.557177
135,-3.515673,-9.351759,-0.250091,-6.485183,4.425184,29.587694
136,-3.663377,-9.198539,-0.546085,-5.432295,2.410962,28.130436
137,-3.848832,-9.121853,-0.367439,-2.594073,5.165258,25.475327
138,-3.841356,-8.997531,-0.221510,-3.509629,6.904813,20.363476
139,-4.208486,-9.148026,-0.179192,-3.463851,3.189184,23.262733
140,-4.132238,-8.935839,-0.316525,-2.746666,1.716666,18.875698
141,-4.227871,-8.865299,-0.265303,-4.554888,4.882961,18.631550
142,-4.365624,-8.992649,-0.399152,-5.821406,4.707480,15.633106
143,-4.193811,-8.668818,-0.232253,-3.273110,3.860591,15.053255
144,-4.476700,-8.793921,-0.272877,-1.792963,1.518296,23.430586
145,-4.735576,-8.694299,-0.389654,-2.548295,4.951628,23.979919
146,-4.783124,-8.606043,-0.118256,-1.678518,6.515702,22.019104
147,-4.991411,-8.530131,-0.190841,-2.159184,6.309702,20.004883
148,-4.997535,-8.595320,-0.288852,-4.539629,4.547258,14.893032
149,-4.954641,-8.471948,-0.274916,-4.036073,2.655110,13.901181
150,-5.008512,-8.338220,-0.189579,-3.723258,2.639851,13.962218
151,-5.230967,-8.423539,-0.268309,-5.935850,4.692221,11.558886
152,-5.143599,-8.354041,-0.274101,-3.204443,4.402295,11.818293
153,-5.249190,-8.136705,-0.135629,-2.990814,5.500961,19.005402
154,-5.576312,-8.187249,-0.068211,-4.570147,0.946074,26.070436
155,-5.657253,-8.018785,-0.026111,-2.731407,-3.654592,30.304880
156,-5.775000,-7.951666,-0.322105,-4.661702,0.885037,26.734215
157,-5.770526,-7.889492,-0.237489,-1.510666,1.358074,24.193548
158,-6.127840,-7.955349,-0.254338,-3.341777,1.007111,21.797846
159,-5.973257,-7.703400,-0.042467,-2.952666,2.082888,17.792292
160,-6.144189,-7.757041,-0.087844,-3.685110,3.280740,16.357922
161,-6.256126,-7.678323,-0.274407,-4.585406,2.220222,16.815699
162,-6.241461,-7.521115,-0.180359,-4.364147,4.165777,15.587328
163,-6.271929,-7.500648,-0.167116,-3.875851,4.249702,15.327921
164,-6.359228,-7.406290,-0.172925,-5.340739,6.317331,14.770958
165,-6.467441,-7.366123,-0.067616,-4.829554,4.707480,16.243477
166,-6.724310,-7.356961,-0.204099,-7.148961,4.577776,18.257698
167,-6.686554,-7.184018,-0.159179,-5.211035,4.104740,16.853848
168,-6.718254,-7.165839,-0.103464,-1.350444,3.044221,20.897549
169,-6.710799,-7.001547,-0.128312,-3.776665,4.158147,19.493698
170,-6.883192,-6.926178,-0.154237,-4.814295,3.021333,20.668661
171,-7.019782,-6.853751,-0.129414,-4.715110,2.906888,20.683920
172,-7.063567,-6.764670,-0.250737,-3.852962,-0.427259,19.417402
173,-7.248957,-6.830925,-0.133950,-2.098148,-0.785852,20.935698
174,-7.270486,-6.602560,-0.037591,-3.707999,0.923185,19.455549
175,-7.212036,-6.418869,-0.131426,-2.555925,-1.258888,20.004883
176,-7.462592,-6.453969,-0.080109,-2.746666,1.853999,21.073030
177,-7.394670,-6.265301,-0.033558,-3.646962,3.891110,20.996735
178,-7.556022,-6.218163,0.064287,-4.776147,5.348369,19.600513
179,-7.653905,-6.161287,-0.078215,-6.004517,4.997406,20.851772
180,-7.808116,-6.045513,-0.205323,-8.926664,7.881405,19.119846
181,-7.837217,-5.953838,-0.133190,-10.162663,6.736961,19.531845
182,-7.842642,-5.892234,-0.112187,-3.036592,1.480148,16.830957
183,-7.807390,-5.831655,-0.213764,-4.524369,2.876369,15.419476
184,-7.869438,-5.644371,0.036891,-5.043184,6.897183,16.708883
185,-7.913430,-5.510256,-0.152247,-4.501480,5.165258,18.562883
186,-7.951650,-5.417582,-0.239737,-1.968444,1.541185,22.652363
187,-8.047569,-5.254690,-0.118746,-2.296518,2.960295,26.070436
188,-8.347293,-5.199008,-0.018367,-3.814814,3.730888,28.244881
189,-8.513158,-5.227016,-0.142381,-3.845332,1.304666,28.283030
190,-8.790549,-5.213536,-0.137300,-5.279702,2.761925,15.747551
191,-8.668208,-5.082299,-0.266212,-6.332591,3.715629,2.632222
192,-8.460310,-4.991252,-0.169761,-7.385479,5.333109,-4.501480
193,-8.235382,-4.927029,-0.075128,-6.256294,4.043703,-6.492813
194,-8.365627,-4.947678,-0.125191,-6.256294,3.128147,-4.783776
195,-8.351208,-4.958411,-0.223184,-5.424665,2.624592,-2.990814
196,-8.399242,-5.030200,-0.118864,-5.165258,3.860591,-1.419111
197,-8.484641,-5.052250,-0.162824,-5.928220,4.219184,-3.517258
198,-8.273487,-4.994619,-0.160349,-4.821925,3.105258,-4.287850
199,-8.359372,-5.053221,-0.121435,-5.066072,1.930296,-3.784295
200,-8.321131,-5.035573,-0.265139,-4.646443,1.701407,-3.631702
201,-8.350382,-5.046742,-0.114907,-4.593036,3.509629,-2.235481
202,-8.389744,-5.073037,-0.070090,-5.066072,3.982666,-3.944517
203,-8.394952,-5.109406,-0.204359,-4.699851,3.067110,-4.165777
