seq,ax,ay,az,wroll,wpitch,wyaw
0,0.111505,-9.764922,-0.163132,-0.741111,-0.090793,-0.754508
1,0.137561,-9.752545,-0.267291,-0.724194,-0.405135,-0.287002
2,0.129815,-9.808805,-0.230016,-1.128564,0.594346,0.384405
3,0.119020,-9.783515,-0.250074,-0.991231,0.151828,-0.515891
4,0.115947,-9.740525,-0.250351,-0.316718,-0.642756,-1.096718
5,0.115579,-9.825229,-0.253475,-0.904075,-0.119878,0.378239
7,0.137866,-9.773755,-0.309143,-0.313593,-0.219261,-0.409008
8,0.115009,-9.791698,-0.270543,-0.509939,0.215938,-0.602226
9,0.124890,-9.830484,-0.283704,-1.036383,0.429567,0.412515
10,0.155001,-9.723298,-0.293302,-0.279216,-0.049423,0.184985
11,0.088029,-9.747293,-0.270747,0.106292,0.778700,0.400306
12,0.122537,-9.828667,-0.284960,-0.450655,0.428474,0.372424
14,0.116786,-9.767995,-0.248060,-0.140700,0.067590,0.515183
15,0.124888,-9.881496,-0.239326,-0.091811,0.397452,0.505674
16,0.106248,-9.769867,-0.311623,0.590113,0.022827,-0.197198
17,0.096500,-9.731898,-0.264406,0.615044,0.435330,0.001134
18,0.098578,-9.845961,-0.252849,0.019280,0.155396,0.252000
19,0.099159,-9.799711,-0.300061,0.144100,0.297892,0.516779
21,0.092351,-9.787898,-0.272250,0.574766,0.664481,0.610530
22,0.096448,-9.870426,-0.249503,0.223845,0.000679,0.022293
23,0.082281,-9.817418,-0.305944,0.024639,-0.324041,-0.841839
24,0.122472,-9.683076,-0.284738,0.414945,-0.128930,0.159854
25,0.102862,-9.752234,-0.266244,0.512034,0.694421,1.268917
26,0.087104,-9.826040,-0.271647,0.517387,1.040630,1.891472
27,0.086168,-9.734853,-0.254585,1.688523,0.165252,0.604465
28,0.080166,-9.803320,-0.269277,1.087084,-0.644532,-0.448481
29,0.078270,-9.765388,-0.227768,0.660332,0.129308,0.879772
30,0.019833,-9.872422,-0.201733,0.225432,0.383351,1.315838
31,0.064758,-9.820597,-0.160701,-0.003344,-0.898491,0.165775
32,0.053029,-9.850636,-0.294772,-0.364830,-0.780480,0.138202
33,0.075888,-9.744305,-0.254619,-0.293833,-0.061220,-0.072954
34,0.054681,-9.752249,-0.196218,-0.712211,-0.745507,-0.535471
35,0.051558,-9.918376,-0.244831,-1.050457,-0.861276,-0.207978
36,0.039001,-9.712140,-0.285314,-0.447797,0.111535,0.138297
37,0.055865,-9.770657,-0.211696,0.127725,-0.482481,-0.397560
38,0.044029,-9.826247,-0.270762,0.049742,-0.990608,-0.635429
39,0.071162,-9.761435,-0.274349,-0.092099,-0.124249,0.020040
40,0.051619,-9.750183,-0.233877,0.102787,0.684190,0.528568
41,-0.006698,-9.798736,-0.209515,-0.468804,0.263266,0.651450
42,0.064655,-9.903403,-0.271838,-0.232050,-1.169608,-0.373519
43,0.077104,-9.809258,-0.269230,-0.209683,-0.747529,-0.774526
44,0.041407,-9.770575,-0.203776,-0.033081,-0.250734,-0.845067
45,0.023232,-9.737309,-0.246434,0.152492,0.001009,-0.832122
46,0.017789,-9.804916,-0.302212,-0.383832,-0.360620,-0.583456
47,0.077361,-9.768503,-0.296979,-0.127724,-0.548044,-0.697160
48,0.082148,-9.810657,-0.245039,-0.005466,-0.087306,-0.615268
