seq,ax,ay,az,wroll,wpitch,wyaw
1,0.867660,-9.882708,-1.083835,-0.831498,-1.154463,1.162866
2,0.848743,-9.861018,-1.102094,0.016015,-1.578309,1.258187
3,0.882571,-9.844851,-1.097583,0.471111,-1.542742,1.098061
4,0.888863,-9.823972,-1.051975,0.831237,-1.413274,0.873258
5,0.897576,-9.862589,-1.060125,0.701226,-1.643240,0.682464
6,0.918516,-9.844906,-1.065317,1.187422,-1.703013,0.437229
7,0.946054,-9.806046,-1.032820,1.288704,-1.310676,0.064251
8,0.954836,-9.804379,-1.024866,0.949800,-1.103882,-0.255174
9,0.960789,-9.828193,-1.062645,0.537879,-1.113445,-0.401778
10,0.984440,-9.820174,-1.057244,0.682595,-0.592847,-0.534720
11,0.975431,-9.854856,-1.014000,0.784192,0.086316,-0.766616
12,0.910045,-9.912686,-0.898004,0.258153,-0.117237,-1.348079
13,0.768567,-9.853948,-0.786825,-0.173876,-2.481414,-1.843539
14,0.710522,-9.766973,-0.630720,-1.862744,-7.097500,-2.083214
15,0.474017,-9.841063,-0.653932,-3.051080,-13.292648,-1.903734
16,0.194094,-9.788701,-0.685595,-2.981499,-23.327591,-2.286455
17,0.255585,-9.895422,-0.808330,-1.220581,-35.362564,-2.819003
18,0.506417,-9.752308,-0.890528,3.810395,-47.888885,-4.323565
19,0.477950,-9.501713,-1.443282,5.388201,-58.698540,-5.611447
20,0.775025,-9.612222,-1.512609,4.115580,-65.961945,-8.011727
21,0.965892,-9.727591,-1.391669,1.971654,-70.686211,-10.824008
22,0.972672,-9.724247,-1.248879,-1.370122,-75.787384,-13.737000
23,1.002707,-9.800270,-1.422470,-9.015009,-80.177467,-16.781221
24,1.200533,-9.830580,-1.098665,-12.666549,-83.825958,-19.762878
25,1.209987,-9.442519,-1.110466,-14.663985,-89.470352,-20.972937
26,1.396464,-9.260945,-1.478013,-17.476267,-94.402145,-20.245071
27,1.497228,-9.131724,-1.812622,-19.194458,-96.822266,-17.670835
28,1.414800,-9.345736,-1.833440,-18.371984,-97.869049,-12.256851
29,1.325690,-9.773775,-2.120125,-15.661941,-98.509941,-6.049387
30,1.147531,-9.756807,-2.534124,-14.491555,-95.731232,-1.315966
31,0.887683,-9.833319,-2.485725,-13.148741,-91.216011,2.263855
32,0.644683,-9.871730,-2.658625,-12.521585,-86.842712,3.206877
33,0.232872,-9.760186,-2.934940,-11.160460,-82.403793,1.616863
34,-0.150775,-9.552291,-2.962323,-9.837482,-77.610863,-1.428885
35,-0.313671,-9.607034,-2.746262,-5.667128,-74.845886,-4.537195
36,-0.368043,-9.561822,-2.849097,-1.672255,-72.532585,-7.820987
37,-0.502866,-9.444510,-2.785910,3.032173,-67.822052,-9.555964
38,-0.323795,-9.273210,-2.707438,5.728483,-60.122231,-10.585964
39,0.008442,-9.148909,-2.834503,6.142009,-51.178783,-11.026957
40,0.250616,-9.058478,-2.890784,4.550469,-42.389450,-10.715668
41,0.294232,-9.238398,-2.813878,2.388232,-34.323410,-9.458304
42,0.143080,-9.832411,-2.980850,-1.896566,-27.725307,-6.636868
43,-0.075086,-10.663429,-3.349276,-7.243410,-23.690760,-1.459404
44,-0.404947,-11.087047,-3.560637,-12.497171,-22.952213,4.583261
45,-0.734791,-10.866089,-3.768754,-23.329716,-25.708035,9.815660
46,-1.164283,-10.186313,-4.103785,-39.622025,-30.893129,14.437689
47,-1.678247,-8.890717,-4.143240,-54.299900,-41.785187,16.226072
48,-1.087091,-7.567580,-3.875351,-64.885246,-54.421371,16.927999
49,-0.541313,-6.685433,-3.320043,-71.147644,-60.663933,13.751022
50,-0.291840,-6.776440,-3.199432,-65.370491,-59.163948,10.723586
51,0.047153,-7.020451,-3.246090,-43.842731,-51.039921,8.892475
52,0.248755,-7.506741,-3.668222,-22.313450,-35.592979,6.797379
53,-0.698753,-8.053827,-4.066389,-5.090328,-17.307814,1.857958
54,-1.350160,-8.714118,-4.560884,7.463461,-1.638086,0.637218
55,-1.777940,-9.409106,-5.068789,13.425251,11.481822,-0.008248
56,-1.955965,-9.788221,-5.478779,11.945104,21.879478,-3.093669
57,-1.593205,-9.703077,-5.107111,12.267074,30.728319,-4.866795
58,-1.357682,-9.406671,-4.733976,12.352526,38.278599,-5.374928
59,-1.470424,-9.198606,-4.802852,11.644496,42.516094,-8.213149
60,-1.412032,-8.616221,-4.504782,12.978155,42.950981,-12.356037
61,-1.265555,-8.291725,-4.147624,12.940007,40.860466,-15.569636
62,-1.097404,-8.479782,-4.162551,9.280838,37.376778,-19.198286
63,-0.557579,-9.013908,-4.483622,6.271713,34.735397,-23.049723
64,0.077788,-9.141158,-4.603978,5.470602,33.258305,-25.451529
65,0.564292,-8.970008,-4.471563,5.824616,31.080807,-25.720093
66,0.938027,-9.052493,-4.432431,4.350572,30.865652,-24.125500
67,1.371721,-9.197951,-4.525325,4.992986,33.108765,-20.704376
68,1.407576,-8.758715,-4.140461,7.400897,33.328495,-15.421621
69,1.363495,-8.674409,-3.728147,7.461934,31.816305,-9.429313
70,1.380739,-9.109251,-3.675595,4.547416,29.910423,-4.528040
71,1.324536,-9.131970,-3.572235,3.204084,23.974186,-1.048999
72,1.205084,-8.901066,-3.355564,2.115582,14.687015,1.656397
74,1.060657,-8.969283,-3.399519,1.202561,3.670971,7.387704
75,0.543092,-9.324714,-3.994108,0.323110,-9.148716,13.366210
76,0.289939,-8.871343,-4.240532,-0.150444,-19.688671,18.891516
77,0.157238,-8.676643,-4.047025,-1.070577,-26.637735,22.634611
78,-0.214294,-9.301060,-4.342411,-7.386383,-32.100548,23.411308
79,-0.527743,-9.664320,-4.535485,-10.580145,-31.140741,19.117353
80,-0.166589,-9.121954,-3.799230,-8.562871,-23.952106,13.202867
81,-0.300809,-9.193233,-3.423296,-6.205316,-17.016775,4.488306
82,-0.434119,-9.282356,-3.612954,-2.135673,-10.894763,-5.244047
83,-0.351968,-9.237190,-3.706429,7.520384,-2.576944,-12.983541
84,0.117240,-9.010648,-3.932251,10.190754,1.613248,-19.206264
85,0.194642,-8.914048,-4.020236,11.243642,1.428611,-23.770308
86,0.616474,-9.051416,-4.249696,10.392176,6.059794,-23.643656
87,0.946151,-8.994883,-4.415681,7.959850,13.014963,-18.627939
88,0.815185,-8.600171,-3.959447,4.772192,17.554590,-11.880297
89,0.450867,-8.844769,-3.632805,3.125718,19.104931,-6.246580
90,0.441420,-9.309323,-3.765373,-0.577703,17.714813,-2.210507
91,0.372751,-9.190618,-3.623305,-0.196222,9.334431,-0.188656
92,0.404697,-9.153653,-3.336184,-0.745555,-1.588144,-0.042167
93,1.014706,-8.990462,-3.485676,-1.679421,-11.401371,-0.136774
94,1.275552,-8.696455,-3.634476,-1.624488,-15.670911,2.263506
95,0.959260,-8.649596,-3.880357,-2.228754,-14.239593,6.443016
96,0.641993,-8.907146,-3.935622,-3.870650,-12.242156,10.985696
97,0.301041,-9.020350,-4.130944,-3.811139,-13.526985,14.321369
98,-0.121205,-9.110439,-4.140720,-3.451020,-15.718214,15.723695
99,-0.301369,-9.405069,-3.992933,-2.707895,-16.035606,15.845769
100,-0.050538,-9.331586,-3.601328,-1.644325,-13.125667,13.852911
101,0.163273,-9.310749,-3.492642,-1.033954,-7.337831,11.298511
102,0.015573,-9.276740,-3.389907,-0.272518,3.581691,8.501490
103,0.051171,-8.979409,-3.297586,0.726964,14.951362,3.548336
104,-0.009314,-9.044483,-3.459250,-2.105154,19.059155,-2.041130
105,-0.231052,-9.215963,-3.894782,-2.468324,15.212296,-5.483617
106,-0.348074,-9.035521,-4.163260,-3.275539,10.666564,-7.253690
107,-0.098616,-9.029191,-4.055190,-4.394042,5.183914,-8.024282
108,-0.224151,-9.347326,-4.157466,-5.566453,-0.839643,-5.876952
109,-0.037421,-8.903462,-4.180346,-4.678864,-2.381557,-3.383236
110,0.193875,-8.831469,-4.011159,-5.561348,0.004261,-2.151460
111,0.337760,-9.091996,-3.873942,-2.607656,2.481635,-2.006143
112,0.491308,-9.116621,-4.092778,-0.392512,4.702653,-1.799789
113,0.522498,-9.129670,-4.175189,0.490999,7.159393,-1.433567
114,0.484380,-9.302452,-4.050200,3.741220,8.613600,-1.703656
115,0.625599,-8.998248,-3.909472,7.713204,9.596296,-2.181271
116,0.575570,-8.834931,-3.973234,5.448731,9.500163,-2.526130
117,0.367284,-9.027954,-3.982403,3.286495,7.957452,-2.799271
118,0.469900,-8.973476,-3.903074,3.788370,6.161210,-2.827169
119,0.527670,-8.844784,-3.816849,2.898527,4.452300,-2.505648
120,0.386457,-9.027740,-3.896846,0.747067,2.616830,-2.136663
121,0.399518,-9.039028,-3.933179,1.578056,1.260367,-1.397975
122,0.548512,-8.880223,-3.969715,2.977130,1.127541,-0.506453
123,0.514508,-8.823967,-4.035460,1.836067,1.779821,0.656924
124,0.423059,-8.916394,-4.179255,0.894762,2.480084,1.602102
125,0.460940,-8.920140,-4.250895,2.195214,2.755945,2.756865
126,0.452640,-8.881374,-4.227345,3.302490,2.546046,3.271603
127,0.343841,-8.971024,-4.141638,3.895274,1.885500,3.378352
128,0.355298,-9.092779,-4.021522,5.281844,1.165435,2.814495
129,0.339166,-9.053991,-3.791429,6.100489,0.398133,2.087589
130,0.317329,-9.032884,-3.590884,4.583989,-0.369104,0.838430
131,0.284178,-9.140173,-3.557145,2.467809,-1.295676,-0.229567
132,0.315360,-9.191856,-3.516274,1.904286,-1.920305,-0.815352
133,0.307906,-9.060342,-3.502774,1.506408,-3.706707,-1.096562
134,0.429834,-9.039290,-3.499891,0.371817,-5.415358,-1.172259
135,0.501438,-8.996756,-3.460410,-1.585266,-6.208415,-0.824056
136,0.517285,-8.932632,-3.330433,-4.775187,-6.693474,-0.774279
137,0.596181,-8.918690,-3.351832,-10.094750,-6.530696,-0.704359
138,0.665612,-9.043483,-3.307866,-15.803425,-5.008318,-0.400971
139,0.638562,-9.142987,-3.350410,-20.071438,-3.630407,-0.072897
140,0.565005,-9.214808,-3.509833,-21.556164,-2.453919,0.084273
141,0.579756,-9.227111,-3.658318,-20.817616,-1.663490,1.198199
142,0.462698,-9.159822,-3.824651,-19.792194,-2.341001,1.967265
143,0.345352,-9.161908,-4.081987,-18.356298,-3.790630,2.129013
144,0.349794,-9.092009,-4.250556,-15.359381,-4.370481,2.026776
145,0.433605,-8.992636,-4.339717,-11.915421,-4.427365,1.939662
146,0.414411,-8.807419,-4.383605,-9.524352,-4.058515,1.406978
147,0.369741,-8.729214,-4.266521,-9.440481,-2.430777,0.874293
148,0.264456,-8.781787,-4.273874,-11.518847,-0.560416,0.716986
149,0.203895,-8.805339,-4.354939,-13.423257,0.827752,0.788568
150,0.077353,-8.766184,-4.412559,-14.489879,1.560196,0.600879
151,0.026434,-8.935567,-4.532006,-14.462916,1.688864,0.296186
152,0.095177,-8.920027,-4.825828,-11.236851,1.470497,0.149064
153,0.243189,-8.608987,-4.904512,-5.009289,1.954056,0.246090
154,0.167081,-8.398043,-4.848413,-1.638260,1.567837,0.308020
155,0.135250,-8.377462,-4.848814,-2.533717,0.729945,0.478291
156,0.178623,-8.227868,-4.851342,-4.611263,0.894095,1.047862
157,0.131891,-8.174686,-4.681055,-8.155988,1.069576,1.710114
158,0.066106,-8.382536,-4.668894,-13.534875,0.128080,2.210618
159,0.100204,-8.505499,-4.735596,-16.197615,0.504984,2.590573
160,0.162101,-8.555468,-4.805178,-16.510429,1.304569,2.752321
161,0.135087,-8.609200,-4.855601,-16.588251,1.589917,2.463921
162,0.096487,-8.558794,-4.881824,-16.467703,1.397650,1.969521
163,0.073337,-8.466489,-4.958666,-16.658443,0.907828,1.183670
164,0.049389,-8.385127,-5.083281,-18.134014,-0.039772,0.567196
165,0.019212,-8.292845,-5.121037,-20.236740,-0.953801,0.014811
166,0.058115,-8.346908,-5.213260,-21.626858,-2.096720,-0.647440
167,0.163092,-8.394725,-5.368738,-20.569391,-2.980230,-1.793411
168,0.246904,-8.252090,-5.457383,-18.700132,-2.375964,-3.313232
169,0.268838,-8.267864,-5.591625,-18.008888,-1.864779,-4.456151
170,0.245461,-8.282226,-5.834861,-15.480430,-2.162334,-5.086358
171,0.246132,-8.082664,-5.980885,-11.019634,-2.178976,-4.989262
172,0.209833,-7.920897,-6.033783,-8.368313,-1.562543,-3.947838
173,0.249089,-7.961903,-6.053118,-6.286200,-1.526415,-2.524719
174,0.280040,-7.914055,-6.015730,-2.278254,-1.653800,-1.695104
175,0.362319,-7.866320,-5.988416,0.729049,-1.630576,-1.015226
177,0.360721,-7.931752,-5.948892,1.949331,-0.576459,-0.497848
178,0.406081,-8.042480,-5.952034,2.688314,0.744183,-0.376738
179,0.404364,-8.054364,-5.842354,3.811868,2.709219,0.119537
180,0.352032,-8.077081,-5.707497,3.543711,4.149353,0.848969
181,0.249874,-8.073414,-5.498475,3.366997,4.863359,0.986266
182,0.238795,-8.073915,-5.283261,3.266918,4.529684,0.828309
183,0.111878,-8.150671,-5.183557,2.516298,2.828457,0.569267
184,-0.002959,-8.315989,-5.297154,1.433143,-0.990917,-0.677345
185,0.061871,-8.442661,-5.319716,1.969140,-3.893995,-2.029202
186,0.110018,-8.529032,-5.190531,2.433168,-6.087275,-3.353319
187,0.076783,-8.615930,-5.249341,1.178311,-8.489744,-5.169771
188,0.236645,-8.578186,-5.182768,1.036711,-9.694871,-6.639717
189,0.408613,-8.393975,-4.894218,1.447377,-8.697923,-7.239591
190,0.486976,-8.423540,-4.819314,-0.295474,-7.152155,-6.234682
191,0.503316,-8.716787,-4.926847,0.265822,-4.359706,-1.715567
192,0.632700,-8.622704,-4.810619,5.479665,0.718579,3.833548
193,0.550751,-8.414536,-4.751121,7.927005,5.801443,8.448796
194,0.318749,-8.496757,-4.660021,8.314346,8.970796,13.379911
195,0.099614,-8.281354,-4.632174,8.408954,8.201729,17.248133
196,-0.053211,-8.189455,-4.702995,4.885591,4.650900,18.043140
197,-0.267294,-8.210773,-5.123818,-0.363592,-0.241217,17.237452
198,-0.303290,-8.215295,-5.431373,-2.669266,-3.354105,17.457184
199,-0.230752,-8.064494,-5.774467,-4.996302,-3.752371,17.245081
200,-0.209221,-8.079590,-5.879509,-6.548168,-1.246801,15.786296
201,-0.135594,-7.739611,-5.857167,-6.995264,3.388960,13.897200
202,-0.158916,-7.585241,-5.622653,-9.172760,8.784633,12.479615
203,-0.206335,-7.604001,-5.458284,-11.309055,12.901579,10.912490
204,-0.233315,-7.733676,-5.467800,-11.026759,15.005831,9.793986
205,-0.273055,-7.686033,-5.602726,-8.585279,17.696037,9.137838
206,-0.321980,-7.649889,-5.675951,-5.583783,19.609547,8.660224
207,-0.219770,-7.728539,-5.691728,-2.396125,19.589710,8.310787
208,-0.265225,-7.849820,-5.810704,0.916659,18.272837,7.912520
209,-0.240819,-7.733472,-5.903678,4.769621,16.754541,7.352506
210,-0.186759,-7.647086,-5.902425,7.053931,15.146215,7.193810
211,-0.251534,-7.680444,-5.932528,7.775694,13.948364,7.201439
212,-0.350598,-7.788065,-5.985238,7.674854,11.542514,6.889848
213,-0.239131,-7.751719,-6.015828,7.356381,9.274787,6.031808
214,-0.227631,-7.801770,-6.048083,6.290011,7.638083,4.383651
215,-0.261987,-7.930279,-5.924724,5.334222,5.341291,2.436987
216,-0.183785,-7.990073,-5.792121,4.723955,2.145016,0.550592
217,-0.107670,-7.979160,-5.687628,4.422971,-0.283794,-0.891702
218,-0.150275,-8.046686,-5.573109,4.815707,-3.200164,-2.433012
219,-0.215950,-8.128765,-5.316479,5.699986,-5.981544,-3.898338
220,-0.191949,-8.256637,-5.292795,6.704099,-8.522464,-5.048373
221,-0.084282,-8.357362,-5.275496,8.708556,-9.042346,-6.130499
222,-0.192770,-8.446105,-5.109137,10.759399,-7.630865,-6.135077
223,-0.171217,-8.455132,-5.039997,11.807711,-5.328243,-4.882292
224,-0.148138,-8.500774,-5.106743,11.204409,-2.830554,-3.141095
225,-0.115798,-8.469936,-5.014862,10.517813,-0.338210,-1.262276
226,-0.209322,-8.608006,-4.904554,9.065463,1.560407,0.014080
227,-0.143069,-8.562862,-4.924897,8.364799,2.381283,0.342303
228,-0.174104,-8.688768,-4.796487,7.269968,3.165141,0.435870
229,-0.334995,-8.705409,-4.709833,6.461932,2.450353,0.123448
230,-0.230825,-8.763328,-4.758884,4.994094,1.085988,-1.608877
231,-0.352243,-8.774302,-4.931977,3.136884,-0.998472,-3.755006
232,-0.345986,-8.919298,-5.052362,1.905900,-3.570791,-7.800379
233,-0.320537,-8.824612,-4.918339,2.520237,-4.926551,-12.419836
234,-0.051962,-8.780385,-4.946215,4.330014,-3.515370,-15.299763
235,-0.202400,-8.599654,-4.834766,6.821850,-1.945193,-15.810947
236,-0.162698,-8.492689,-4.543441,8.919998,0.137695,-14.715333
237,-0.032831,-8.307501,-4.421779,8.601134,2.261296,-10.359200
238,0.090636,-8.522583,-4.694695,5.205202,2.603020,-5.976400
239,-0.071987,-8.619617,-4.319359,2.544766,1.235707,-2.829598
240,-0.220375,-9.097354,-4.210090,0.264285,-2.008494,-0.996618
241,-0.016905,-9.155399,-4.109671,1.316426,-7.273020,-0.750601
242,0.106348,-9.315920,-3.982381,4.265238,-10.672378,-2.506213
243,-0.011152,-9.233809,-3.687021,9.726525,-11.641340,-4.634879
244,0.306228,-9.234658,-3.752409,14.437057,-13.019251,-5.962434
245,0.696095,-8.999376,-3.741574,17.398878,-12.111325,-7.032108
246,0.598329,-8.929019,-3.785591,17.412611,-8.330082,-6.997011
247,0.677380,-8.933204,-3.776604,15.727922,-6.219265,-5.767963
248,0.504984,-8.998086,-3.848349,12.239073,-5.842776,-3.599564
249,0.389246,-9.019144,-3.805725,7.992110,-4.056828,-2.972873
250,0.376855,-9.180304,-3.767727,4.627545,-1.737860,-2.974698
251,0.237161,-9.342375,-3.561191,2.878935,0.948856,-3.679975
252,-0.005984,-9.447442,-3.484694,2.507106,2.022887,-2.692887
253,0.113830,-9.594345,-3.176823,3.108277,1.665506,-1.143372
254,0.159690,-9.686167,-3.077787,5.087087,-0.408046,-0.788132
255,-0.114549,-9.588786,-2.983377,7.266905,-0.248114,-0.974762
256,0.325705,-9.464749,-2.899354,8.198518,-2.328242,-0.110030
257,0.467551,-9.476698,-2.837323,7.397875,-3.217015,-0.622619
258,0.384139,-9.399848,-2.982945,5.889958,-2.690781,-2.555930
259,0.494730,-9.384454,-3.065663,3.668767,-1.826499,-2.179886
260,0.728194,-9.410492,-3.113394,0.802888,-1.387927,-0.866791
261,0.343303,-9.433105,-3.197056,-2.523821,0.210348,0.331859
262,0.453347,-9.202329,-3.264508,-5.491938,1.185760,1.684774
263,0.391137,-9.037127,-3.338176,-10.019248,3.472437,3.045136
264,0.079231,-8.817664,-3.324117,-15.243238,6.332045,2.859106
265,-0.078653,-8.819890,-3.181409,-20.089579,5.170815,2.529506
266,-0.024593,-8.897993,-3.233374,-23.350481,3.057409,1.710084
267,-0.251574,-9.082226,-3.132398,-24.797058,1.983157,0.307758
268,-0.043543,-9.229695,-3.053389,-23.429829,-1.856071,-0.662730
269,0.055611,-9.401859,-2.835585,-20.660275,-5.310767,-1.514197
270,0.073400,-9.387491,-2.943462,-17.310867,-6.902307,-2.075737
271,0.243609,-9.215123,-2.889956,-13.682217,-7.437907,-3.017233
272,0.357296,-9.025854,-2.849283,-10.366381,-7.010647,-3.845811
273,0.531395,-9.029991,-2.907261,-7.640399,-5.414962,-3.606037
274,0.509718,-9.167809,-3.215371,-4.619930,-3.083821,-2.124836
275,0.532394,-9.257589,-3.144840,-1.803626,-0.456938,-1.177941
276,0.445017,-9.270913,-3.337051,-0.182121,1.664864,-0.302764
277,0.294445,-9.377756,-3.612224,0.691679,1.669873,0.315558
278,0.132327,-9.331177,-3.604936,1.840868,2.921854,0.020689
280,0.224378,-9.170548,-3.664917,1.470579,2.242162,-0.729422
281,0.308059,-9.006730,-3.816556,1.242308,2.517521,-0.824731
282,0.369478,-9.151955,-3.760382,1.805993,3.160629,0.407514
283,0.387720,-9.198074,-3.604113,2.197705,5.071114,1.411923
284,0.410486,-9.240381,-3.535187,2.198905,5.974630,1.920889
285,0.296082,-9.256778,-3.446600,2.459184,7.506718,2.313551
286,0.221818,-9.217876,-3.310258,2.290262,7.856680,2.460592
287,0.139819,-9.320745,-3.259443,0.886351,6.725674,1.799049
288,0.140272,-9.294684,-3.138344,0.653103,5.977107,1.318591
289,0.256422,-9.248419,-3.168099,-0.543802,4.207903,1.369531
290,0.268981,-9.368872,-2.997462,-1.677213,2.163205,1.190769
291,0.376793,-9.394673,-3.043290,-1.808191,-0.114183,0.552515
292,0.402575,-9.243681,-2.944679,-3.177583,-0.675709,0.457655
293,0.424355,-9.266456,-2.981698,-5.123434,-1.301477,0.941505
294,0.277179,-9.204505,-2.778010,-4.919985,-2.121244,0.953469
295,0.254843,-9.121386,-3.014915,-5.551186,-1.727512,1.006365
296,0.210401,-9.078330,-2.931916,-6.041903,-1.917460,1.096072
297,0.313513,-9.194071,-2.929615,-6.352684,-5.926701,1.267858
