seq,ax,ay,az,wroll,wpitch,wyaw
7847,0.063053,7.031948,6.803763,0.076427,-0.139723,-0.057874
7848,0.056809,7.034470,6.802753,0.064105,-0.126363,-0.045856
7849,0.050511,7.041630,6.810246,0.074191,-0.140354,-0.051320
7850,0.048954,7.042624,6.815351,0.067391,-0.138590,-0.059076
7851,0.048198,7.044174,6.815267,0.058575,-0.124850,-0.070569
7852,0.041591,7.048041,6.820119,0.047800,-0.097143,-0.072684
7854,0.043862,7.048140,6.829124,0.044757,-0.086578,-0.082108
7855,0.042317,7.048770,6.828857,0.027054,-0.058650,-0.083844
7856,0.043182,7.051890,6.830132,0.008457,-0.039016,-0.073716
7857,0.044580,7.049697,6.830756,-0.006580,-0.030358,-0.068347
7858,0.046515,7.049539,6.829397,-0.009316,-0.044121,-0.070534
7859,0.045593,7.055933,6.824677,-0.020817,-0.048579,-0.068222
7861,0.052088,7.057139,6.824326,-0.015707,-0.051414,-0.063033
7862,0.051983,7.058328,6.815935,-0.004861,-0.057108,-0.075726
7863,0.051626,7.061818,6.810781,0.021864,-0.065567,-0.071767
7864,0.050910,7.064589,6.804812,0.019672,-0.067845,-0.075318
7865,0.050606,7.061446,6.797728,0.024930,-0.071524,-0.071373
7866,0.052903,7.056468,6.799903,0.012306,-0.064752,-0.077889
7868,0.058780,7.055533,6.807238,0.004523,-0.053773,-0.069432
7869,0.056621,7.054142,6.814424,-0.013336,-0.044631,-0.064204
7870,0.060372,7.052155,6.818466,-0.014375,-0.038740,-0.056195
7871,0.060283,7.050721,6.823364,-0.021283,-0.021235,-0.049925
7872,0.053236,7.051570,6.822409,-0.016157,-0.026443,-0.033530
7873,0.051901,7.050268,6.822277,-0.014152,-0.031479,-0.029479
7875,0.053129,7.050603,6.820552,-0.012212,-0.031923,-0.027036
7876,0.050960,7.047384,6.818089,-0.011812,-0.027925,-0.024674
7877,0.048646,7.050432,6.815230,-0.006997,-0.031437,-0.020913
7878,0.052717,7.051929,6.817042,0.000612,-0.025979,-0.026131
7879,0.049393,7.048501,6.819798,-0.000884,-0.023651,-0.025274
7880,0.051388,7.052076,6.817947,0.003573,-0.019924,-0.015590
7882,0.051558,7.053895,6.824689,0.004932,-0.023699,-0.016555
7883,0.051605,7.053544,6.829464,0.004770,-0.031777,-0.021916
