seq,ax,ay,az,wroll,wpitch,wyaw
5440,-0.078043,6.303371,-7.225590,-0.373721,-0.162611,-2.011059
5441,-0.136242,6.217014,-7.243533,-0.090864,-0.196843,-3.195711
5442,-0.114825,6.454241,-7.243860,0.067739,-0.240166,-4.868576
5443,-0.121370,6.452045,-7.245957,0.470429,-0.283133,-4.056627
5444,-0.150029,6.393563,-7.250416,0.587393,-0.250127,-3.561783
5445,-0.154307,6.399591,-7.230054,-0.150710,-0.108470,-4.374822
5447,-0.148792,6.481192,-7.233912,-0.200459,-0.080673,-3.273530
5448,-0.175482,6.439854,-7.235517,-0.626408,0.030338,-1.201780
5449,-0.165560,6.507007,-7.251642,-1.097429,0.124427,-0.347676
5450,-0.139955,6.586577,-7.245559,-1.467405,0.160823,0.183248
5451,-0.157124,6.631674,-7.266694,-0.756619,0.058141,1.478984
5452,-0.156454,6.642540,-7.252442,-0.835127,0.084277,1.306521
5454,-0.148085,6.612755,-7.246482,-0.460912,0.026906,0.918328
5455,-0.162655,6.567042,-7.219426,-0.302639,0.006837,0.427741
5456,-0.167571,6.566286,-7.220096,-0.131844,-0.014049,0.261700
5457,-0.160578,6.569293,-7.219985,-0.038968,-0.023920,0.228030
5458,-0.162815,6.562582,-7.221026,0.016918,-0.023136,0.216127
5459,-0.160542,6.559661,-7.215142,-0.014630,-0.020901,0.209041
5461,-0.161189,6.558696,-7.221200,-0.018578,-0.023168,0.211043
5462,-0.160255,6.559649,-7.218513,-0.023873,-0.001746,0.210028
5463,-0.167602,6.557493,-7.218171,-0.008331,-0.006116,0.200191
5464,-0.166081,6.560370,-7.212692,0.076068,-0.023626,0.183296
5465,-0.166363,6.556257,-7.222212,0.181315,-0.018424,0.217137
5466,-0.165140,6.557076,-7.223126,0.200461,-0.013392,0.211494
5468,-0.161170,6.554121,-7.218606,0.229311,-0.042471,0.183898
5469,-0.157452,6.552242,-7.220618,0.235076,-0.039603,0.179345
5470,-0.156628,6.544862,-7.226835,0.168333,-0.038305,0.191176
5471,-0.155496,6.547128,-7.228343,0.043267,-0.034097,0.143583
5472,-0.160592,6.547593,-7.223554,-0.049657,-0.018220,0.124117
5473,-0.163453,6.550643,-7.230148,-0.098210,-0.004340,0.120048
5475,-0.161066,6.549774,-7.221832,-0.123032,-0.013053,0.108733
5476,-0.165765,6.552985,-7.225437,-0.145565,0.008037,0.084506
5477,-0.168142,6.555078,-7.224798,-0.127510,0.006298,0.084687
5478,-0.160572,6.556730,-7.232931,-0.051010,-0.014571,0.095194
5479,-0.165096,6.555117,-7.236730,-0.034579,-0.025901,0.096501
5480,-0.168026,6.555020,-7.250054,-0.048204,-0.011768,0.099241
5482,-0.163940,6.556031,-7.249752,-0.027437,-0.024666,0.103367
5483,-0.168169,6.555993,-7.247387,-0.054580,-0.013526,0.095550
5484,-0.172144,6.557499,-7.253060,-0.105923,0.010532,0.080611
5485,-0.168273,6.561790,-7.242774,-0.151155,0.029373,0.072064
5486,-0.166259,6.564795,-7.229605,-0.160959,0.025458,0.054943
5487,-0.161062,6.562901,-7.226001,-0.163062,0.015769,0.056093
5489,-0.154679,6.566041,-7.224971,-0.150336,0.021155,0.048351
5490,-0.150142,6.565135,-7.216148,-0.133601,0.013082,0.049717
5491,-0.152853,6.561674,-7.222810,-0.132172,-0.000630,0.039232
5492,-0.154197,6.562771,-7.228430,-0.129315,0.003819,0.046801
5493,-0.156489,6.563902,-7.226270,-0.117696,0.014025,0.045267
5494,-0.162904,6.559801,-7.226014,-0.087271,-0.010049,0.051162
5496,-0.165827,6.562983,-7.228071,-0.079982,-0.020051,0.052437
5497,-0.167549,6.562659,-7.225307,-0.047842,-0.014966,0.062525
5498,-0.167403,6.562429,-7.218901,-0.021184,-0.014476,0.057523
