seq,ax,ay,az,wroll,wpitch,wyaw
6031,-6.964677,0.074198,6.981235,0.030649,-0.040538,-0.195208
6032,-6.963769,0.061243,6.988912,0.063354,-0.028804,-0.173559
6033,-6.959778,0.057447,6.985523,0.046148,-0.039465,-0.137625
6034,-6.960242,0.056916,6.968349,0.020845,-0.042453,-0.132032
6035,-6.955751,0.053634,6.965373,-0.023494,-0.039480,-0.135301
6036,-6.947946,0.046847,6.957654,-0.047814,-0.044090,-0.101347
6038,-6.944725,0.045202,6.948648,-0.075764,-0.048548,-0.086218
6039,-6.942538,0.047332,6.948674,-0.093943,-0.061715,-0.078963
6040,-6.942221,0.053855,6.958178,-0.086435,-0.062644,-0.073423
6041,-6.948973,0.057003,6.964080,-0.061463,-0.060590,-0.054781
6042,-6.951873,0.054300,6.971494,-0.043213,-0.052700,-0.063316
6043,-6.954741,0.062202,6.978716,-0.044748,-0.052448,-0.064192
6045,-6.952274,0.053367,6.981969,-0.028522,-0.034494,-0.079799
6046,-6.947026,0.047478,6.978037,-0.018732,-0.030411,-0.078659
6047,-6.940740,0.049046,6.975817,-0.000407,-0.027938,-0.077556
6048,-6.942651,0.053187,6.979476,-0.000394,-0.037354,-0.079441
6049,-6.942707,0.047139,6.968926,0.005523,-0.036129,-0.084216
6050,-6.948759,0.060850,6.961263,-0.000561,-0.030517,-0.069648
6052,-6.949919,0.061608,6.967754,-0.003495,-0.028041,-0.071792
6053,-6.952428,0.059497,6.973541,-0.003380,-0.031549,-0.075342
6054,-6.952433,0.055392,6.969846,-0.003270,-0.021659,-0.068444
6055,-6.947830,0.061237,6.980716,0.007169,-0.016522,-0.063249
6056,-6.945327,0.056865,6.985917,0.008410,-0.020408,-0.061175
6057,-6.945053,0.052627,6.979201,-0.005149,-0.004980,-0.056218
6059,-6.943360,0.053179,6.970267,-0.012360,0.002563,-0.063230
6060,-6.943354,0.058594,6.966736,-0.004575,0.012811,-0.065585
6061,-6.944191,0.055710,6.963715,-0.025088,0.009439,-0.063435
6062,-6.947689,0.058174,6.959208,-0.025741,0.007653,-0.062831
6063,-6.953557,0.056144,6.973777,-0.020469,-0.010308,-0.037157
6064,-6.953815,0.055668,6.974590,-0.019798,-0.026205,-0.028559
6066,-6.950528,0.055861,6.979657,-0.028005,-0.037153,-0.026147
6067,-6.953019,0.053626,6.984048,-0.019707,-0.035935,-0.017910
6068,-6.951545,0.053612,6.990013,-0.019061,-0.031806,-0.015847
6069,-6.947384,0.061234,6.983053,-0.008105,-0.024859,-0.037466
6070,-6.952426,0.060119,6.982500,-0.004887,-0.015189,-0.028858
6071,-6.953138,0.064219,6.977568,-0.009155,-0.010263,-0.038244
6073,-6.954991,0.063639,6.972416,-0.005903,-0.014354,-0.034038
6074,-6.954257,0.060845,6.968608,-0.005709,-0.022739,-0.037350
6075,-6.955791,0.059782,6.965793,-0.014377,-0.013138,-0.036125
6076,-6.954386,0.059400,6.967802,-0.022761,-0.012707,-0.036417
6077,-6.957136,0.057758,6.965666,-0.017588,-0.019670,-0.027844
6078,-6.952226,0.060568,6.968765,-0.006680,-0.014598,-0.035786
6080,-6.957541,0.061135,6.963772,-0.006461,-0.009692,-0.039041
6081,-6.958365,0.061268,6.962824,-0.006249,-0.016753,-0.028905
6082,-6.952761,0.063104,6.966758,0.004287,-0.020632,-0.026482
6083,-6.954305,0.062042,6.964642,0.002671,-0.021431,-0.027090
6084,-6.956281,0.058464,6.965212,-0.009224,-0.019253,-0.023250
6085,-6.951335,0.052368,6.973963,-0.003018,-0.018622,-0.022487
6087,-6.954061,0.050619,6.978463,0.007412,-0.025391,-0.029130
6088,-6.956816,0.048737,6.976446,0.008645,-0.012751,-0.026699
6089,-6.951356,0.046593,6.978194,0.015741,-0.009381,-0.024348
6090,-6.949686,0.049564,6.973199,0.018177,-0.009074,-0.023549
6091,-6.948737,0.053153,6.969001,0.014629,-0.002873,-0.016874
6092,-6.941600,0.051081,6.962400,0.006770,-0.013110,-0.014845
6094,-6.941430,0.053848,6.961568,-0.003783,-0.027439,-0.015834
6095,-6.945153,0.057419,6.965662,-0.013990,-0.011781,-0.012363
6096,-6.944924,0.056432,6.956944,-0.020911,-0.008443,-0.014909
6097,-6.942339,0.060137,6.964300,-0.014322,-0.009642,-0.004089
6098,-6.945311,0.064415,6.966774,-0.028612,0.005433,-0.006907
6099,-6.949346,0.069072,6.968526,-0.017342,0.012635,-0.015536
6101,-6.949268,0.071009,6.973403,-0.012346,0.004841,-0.013551
6102,-6.950685,0.073104,6.982440,0.002818,-0.004173,-0.008679
6103,-6.952560,0.070112,6.976489,-0.001703,-0.014367,-0.012822
6104,-6.951293,0.075030,6.976478,0.014588,-0.010944,-0.010926
6105,-6.945127,0.074909,6.972638,0.003779,-0.016489,-0.000236
6106,-6.945382,0.073811,6.964144,0.003655,-0.014473,0.001247
6108,-6.942073,0.070618,6.964346,-0.009748,-0.008095,0.007110
6109,-6.944502,0.068372,6.964316,-0.010904,0.003978,0.000973
6110,-6.943231,0.065457,6.964827,-0.009071,-0.003532,0.006845
6111,-6.944204,0.062096,6.962504,0.005985,-0.006368,0.006620
6112,-6.945793,0.057177,6.959716,0.011693,-0.023870,0.010831
6113,-6.951653,0.061388,6.962950,0.003930,-0.023088,-0.002807
6115,-6.948459,0.061680,6.957771,-0.005054,-0.022331,-0.011571
6116,-6.951593,0.055460,6.952867,-0.009316,-0.014219,-0.017095
6117,-6.954027,0.056234,6.956191,-0.017866,-0.001946,-0.026866
6118,-6.956595,0.060637,6.964143,-0.026136,0.018781,-0.031889
6119,-6.953354,0.056108,6.959348,-0.023803,0.007834,-0.021988
6120,-6.957143,0.061967,6.961795,-0.014167,0.006101,-0.016839
6122,-6.956346,0.062201,6.965067,-0.019606,-0.007382,-0.022191
