seq,ax,ay,az,wroll,wpitch,wyaw
66,-1.384934,-0.011771,-1.368936,0.018337,-0.002004,0.151699
67,-2.749768,-0.028251,-2.739786,-0.191215,0.046239,0.268907
68,-4.121859,0.076376,-4.121536,0.069535,0.013201,0.143177
69,-5.497190,0.120859,-5.477890,0.070833,-0.039416,0.204580
70,-6.872540,0.120109,-6.852427,-0.355921,-0.075549,-0.237836
71,-6.865059,0.132991,-6.851563,-0.395909,-0.076024,-0.452900
73,-6.876658,0.147310,-6.847812,-0.186635,-0.139947,-0.615160
74,-6.884882,0.045897,-6.833155,-0.443227,-0.116173,-0.481348
75,-6.887841,-0.003379,-6.850899,-0.427220,-0.069563,-0.543790
76,-6.894124,-0.010848,-6.846309,0.008893,-0.049572,-0.136325
77,-6.891604,-0.013189,-6.848805,-0.007633,-0.080416,-0.190892
78,-6.890391,-0.015025,-6.851678,-0.045757,-0.086635,-0.248098
80,-6.889553,-0.024925,-6.852988,-0.036877,-0.082319,-0.278338
81,-6.888672,-0.030364,-6.852816,-0.156692,-0.079620,-0.337104
82,-6.883633,-0.004062,-6.852444,-0.759626,-0.100625,-0.272920
83,-6.888996,0.003640,-6.847014,-0.916258,-0.088470,-0.113431
84,-6.895347,0.008587,-6.842281,-0.847846,-0.057528,-0.009351
85,-6.896126,0.013060,-6.842094,-0.811195,-0.057118,0.021950
87,-6.896369,0.025143,-6.829848,-0.693095,-0.043438,0.093549
88,-6.894258,0.006531,-6.836542,-0.043115,-0.006593,0.091958
89,-6.886465,-0.001824,-6.844947,0.420255,0.042328,0.292618
90,-6.890809,-0.026222,-6.850209,0.804971,0.080790,0.622481
91,-6.884255,-0.026335,-6.847523,1.001441,0.092900,0.661110
92,-6.879494,-0.027522,-6.854758,1.164905,0.067716,0.652720
94,-6.881986,-0.027703,-6.848285,1.120811,0.072876,0.628369
95,-6.884572,-0.027060,-6.851249,0.847923,0.060155,0.367197
96,-6.873091,-0.004614,-6.852473,0.446722,0.005051,0.011274
97,-6.877038,-0.007926,-6.856365,0.223974,-0.015778,-0.062890
98,-6.881052,-0.009293,-6.853638,0.052807,-0.001977,-0.090346
99,-6.884337,-0.011762,-6.852635,0.079118,-0.013720,-0.122806
101,-6.889246,-0.008050,-6.849379,0.101614,-0.036884,-0.111401
102,-6.888234,-0.011078,-6.847708,0.216355,-0.050434,-0.128411
103,-6.883153,-0.009366,-6.849254,0.206310,-0.041401,-0.133057
