seq,ax,ay,az,wroll,wpitch,wyaw
3914,0.002437,-1.335778,-1.433932,-0.268537,-0.037100,0.089136
3915,0.006669,-2.674450,-2.853492,-0.337879,-0.046418,0.145832
3916,0.003483,-4.014661,-4.267128,-0.502357,-0.070189,0.208049
3917,0.010951,-5.350493,-5.683854,-0.566985,-0.073994,0.170817
3918,0.016197,-6.682670,-7.100881,-0.564555,-0.068819,0.153992
3919,0.017471,-6.685807,-7.092337,-0.293668,-0.037045,0.081052
3921,0.017653,-6.681593,-7.092596,-0.167444,-0.031403,-0.172508
3922,0.031695,-6.676937,-7.106098,0.146508,-0.009711,-0.522545
3923,0.041037,-6.683609,-7.103662,0.296675,-0.007916,-0.605775
3924,0.045507,-6.691146,-7.096655,0.236768,-0.016512,-0.501789
3925,0.047974,-6.687903,-7.081384,0.189157,-0.023350,-0.430730
3926,0.050251,-6.696864,-7.081742,0.128347,-0.025536,-0.146519
3928,0.046534,-6.702212,-7.078515,0.001640,-0.024699,0.219880
3929,0.038906,-6.698215,-7.077640,-0.146004,-0.040124,0.417821
3930,0.036032,-6.697941,-7.086078,-0.150073,-0.056520,0.414455
3931,0.044270,-6.699814,-7.102553,-0.125966,-0.062046,0.405295
3932,0.045853,-6.701881,-7.097852,-0.015572,-0.048205,0.380201
3933,0.047103,-6.696960,-7.096583,-0.066718,-0.065811,0.381019
3935,0.046560,-6.706222,-7.092803,0.159806,-0.038564,0.356721
3936,0.045554,-6.706075,-7.089331,0.340531,-0.004830,0.333219
3937,0.036804,-6.708313,-7.083195,0.403162,0.013039,0.306060
3938,0.039063,-6.704245,-7.077827,0.286632,0.000805,0.306357
3939,0.035260,-6.711631,-7.070513,0.266903,0.012586,0.293362
3940,0.036113,-6.703715,-7.080564,0.030865,-0.004062,0.298503
3942,0.038057,-6.711809,-7.073485,-0.061653,-0.017212,0.293145
3943,0.045088,-6.716019,-7.066221,-0.165897,-0.031406,0.298293
3944,0.041585,-6.715384,-7.080726,-0.290337,-0.040708,0.298845
3945,0.045274,-6.710876,-7.082783,-0.372324,-0.034946,0.292000
3946,0.049848,-6.710823,-7.075597,-0.349787,-0.032324,0.282427
3947,0.050255,-6.704455,-7.081105,-0.401783,-0.040120,0.290879
3949,0.047558,-6.697066,-7.086447,-0.651321,-0.068323,0.675408
3950,0.044376,-6.693254,-7.078038,-0.656535,-0.064607,0.970584
3951,0.024973,-6.692318,-7.086793,-0.485945,-0.063965,1.169005
