seq,ax,ay,az,wroll,wpitch,wyaw
1,0.007541,-1.997525,-0.223170,-0.176981,-0.273619,-0.136701
2,-0.003450,-3.943911,-0.415855,0.141839,-0.545646,-0.144944
3,0.008277,-5.934083,-0.605594,-0.157865,-0.698064,-0.216381
4,0.013964,-7.967377,-0.834837,0.344816,-0.947321,-0.201350
5,0.008517,-9.897403,-0.996455,2.153422,-1.327141,-0.079071
6,0.006235,-9.855853,-0.920904,3.135141,-1.450409,0.047497
7,0.037763,-9.871043,-0.885166,2.692902,-1.469274,0.000187
8,-0.004598,-9.858589,-0.886527,2.548534,-1.769418,0.053313
9,-0.031141,-9.806240,-0.864816,2.217032,-2.064150,0.004336
10,-0.023811,-9.846458,-0.846709,1.199774,-2.211960,-0.276227
11,-0.020067,-9.857403,-0.808622,0.655683,-2.230950,-0.448707
12,-0.051127,-9.893456,-0.750311,0.427561,-2.692086,-0.696706
13,-0.005635,-9.896972,-0.715550,0.478483,-2.896057,-0.957238
14,0.043346,-9.885777,-0.701075,0.127767,-2.739125,-1.058687
15,0.052716,-9.817705,-0.736628,-1.327231,-2.833813,-1.010696
16,0.107517,-9.793414,-0.900428,-3.629438,-2.754909,-0.971947
17,0.130648,-9.627787,-1.057776,-5.003591,-2.300176,-0.507072
18,0.105206,-9.432830,-1.158877,-8.214551,-1.705948,-0.233233
19,0.033060,-9.080329,-1.293263,-12.479907,-2.196040,-0.620132
20,0.033044,-8.796237,-1.264261,-17.803862,-2.643136,-1.711168
21,0.099120,-8.543374,-1.090981,-23.002689,-2.629403,-2.286442
22,-0.012235,-9.060613,-1.096764,-29.063665,-2.449343,-2.645035
23,-0.067249,-9.966965,-1.031291,-26.161356,-3.903550,-3.064664
24,0.034052,-11.351267,-1.160882,-22.248882,-5.171594,-3.522442
25,0.092751,-12.568335,-1.528110,-17.230114,-6.830275,-2.797627
26,0.076561,-12.859294,-2.147662,-17.819122,-9.378571,-1.181672
27,0.162302,-12.105299,-2.664340,-28.354111,-10.732067,0.347305
28,0.140585,-10.685623,-3.075578,-47.530415,-9.103905,2.041082
29,0.004120,-8.869626,-2.989084,-64.166054,-5.833847,3.452563
30,-0.075388,-7.152029,-2.696110,-75.152718,-2.215877,4.626000
31,-0.044829,-6.387448,-2.461391,-73.330765,1.832403,4.711452
32,-0.044983,-6.230238,-2.379031,-52.425583,4.449366,4.261304
33,-0.144987,-6.686975,-2.551090,-22.850098,4.594329,4.510030
34,-0.357283,-7.830881,-2.797610,8.396278,2.125381,6.475422
35,-0.370645,-10.004367,-3.308485,33.621353,2.113174,2.810149
36,-0.603171,-10.849032,-3.853410,46.668015,5.398492,0.739468
37,-0.518553,-11.577642,-3.321198,42.338966,9.396417,-0.932946
38,0.113094,-11.861636,-3.147498,36.131500,13.679689,-3.040249
39,0.442667,-11.071759,-2.967293,26.681444,19.754398,-7.939996
40,0.504307,-9.452541,-2.682814,14.016262,24.315390,-6.493419
41,0.792370,-9.391788,-2.190089,6.140962,21.707582,-6.604812
42,1.084973,-9.258556,-2.464148,7.328726,16.370337,-7.082166
44,0.776387,-9.004550,-2.234957,2.530284,12.877934,-4.533610
45,0.768705,-9.236096,-2.269355,-3.992453,9.023888,1.431493
46,0.624917,-9.636361,-2.697051,-7.065072,2.616968,7.683470
47,0.280277,-9.724669,-3.251302,-6.975974,-1.443079,13.639418
48,-0.418203,-9.476433,-3.362839,-5.984123,-5.166337,19.871298
49,-0.622632,-9.559072,-3.289248,-3.206938,-13.644379,21.522348
50,-0.686417,-9.820244,-3.132369,2.274186,-20.807072,20.319920
51,-0.718742,-9.849518,-2.553553,5.312807,-20.855028,17.419672
52,-0.718519,-9.771690,-2.042355,6.231918,-16.595295,14.137942
53,-0.703193,-9.791398,-1.899475,11.155057,-11.304037,9.757546
54,-1.062336,-9.801008,-1.993907,15.513603,-2.999076,5.830350
55,-1.309289,-9.933647,-2.040076,16.837084,6.624284,3.427554
56,-1.383591,-9.824632,-2.221591,22.618816,13.596237,1.961140
57,-1.410007,-9.864695,-2.037704,27.167601,17.505659,0.522192
58,-1.037351,-10.027722,-2.078690,23.952477,21.343361,1.298888
59,-0.650323,-9.950263,-2.074737,18.196684,26.769552,4.691020
60,-0.361612,-9.577863,-2.081560,14.980034,32.392586,7.462101
61,-0.159092,-9.706811,-2.060741,11.896138,36.678913,9.743360
62,-0.105364,-9.565307,-1.989696,13.028375,39.741444,12.613625
63,-0.309290,-9.725891,-1.800108,14.258270,41.253635,13.619210
64,-0.444758,-10.118002,-1.612274,19.440313,40.995754,12.486973
65,-0.724622,-10.582036,-1.559147,21.628490,36.492748,11.249448
66,-0.855216,-10.598138,-1.418848,20.537453,29.691698,9.952412
67,-0.791670,-10.761696,-1.353313,14.867114,24.367744,8.463108
68,-0.738335,-10.740074,-1.432978,11.507027,19.924252,6.995168
69,-0.711840,-10.524127,-1.430583,7.211134,15.598056,5.614970
70,-0.627730,-10.186888,-1.312937,2.239257,13.070927,4.721543
71,-0.680348,-9.782445,-1.293101,-2.613599,11.358642,3.384071
72,-0.755642,-9.607059,-1.338343,-6.651610,8.949009,0.592393
73,-0.705413,-9.102567,-1.176292,-8.437355,8.639050,-1.733878
74,-0.471030,-8.917013,-1.324735,-12.738939,6.955954,-4.179937
75,-0.090987,-8.903411,-1.526239,-10.830007,3.386814,-7.225684
76,0.231222,-9.125296,-1.516809,-4.759875,1.709822,-9.964721
77,0.289270,-9.129823,-1.404640,1.485738,1.882251,-11.029817
78,0.250578,-9.424767,-1.479230,3.329056,0.026726,-12.500809
79,0.079044,-9.523958,-1.374638,5.273085,-1.927984,-13.466720
80,-0.050541,-9.611731,-1.317621,2.912478,-3.832340,-13.671194
81,-0.048328,-9.646266,-1.279517,-2.304661,-8.954871,-13.452987
82,0.131828,-9.563278,-1.289215,-6.990778,-16.587551,-13.584216
83,0.310110,-9.700450,-1.470027,-9.981592,-23.869267,-12.642720
84,0.432547,-9.747574,-1.554067,-11.206910,-29.579281,-11.508958
85,0.345853,-9.692645,-1.565529,-14.670761,-35.138226,-11.370098
86,0.162453,-9.801761,-1.623680,-18.493204,-40.274494,-12.566423
87,-0.097008,-9.969626,-1.939502,-20.798878,-45.056744,-14.115237
88,-0.120451,-9.752857,-2.024655,-22.239351,-47.672180,-15.699148
89,-0.088902,-9.632400,-2.211907,-23.760698,-49.442253,-17.046539
90,0.018012,-9.492533,-2.377252,-21.999781,-48.821201,-16.463636
91,0.127648,-9.312304,-2.576341,-22.040981,-45.261215,-14.420423
92,0.372529,-9.221636,-2.560997,-22.500284,-39.751099,-11.522691
93,0.415154,-9.344919,-2.595179,-23.287663,-33.731323,-8.844691
94,0.211519,-9.564959,-2.578586,-23.353277,-25.886541,-6.482558
95,-0.058215,-9.567256,-2.613634,-21.973841,-18.859653,-4.511063
96,-0.292026,-9.396172,-2.532925,-19.411812,-12.368367,-2.106204
97,-0.540967,-9.406825,-2.631063,-17.180908,-5.272813,1.084506
98,-0.800140,-9.424027,-2.825948,-11.112303,2.182859,4.955779
99,-0.798880,-9.317625,-2.868787,-7.746111,8.646679,9.641896
100,-0.866812,-9.497546,-3.143507,-7.946007,15.334810,14.781213
101,-0.867412,-9.485869,-3.411859,-6.195771,20.670971,17.871212
102,-0.770953,-9.323791,-3.383665,-7.599622,22.967489,18.623493
103,-0.607209,-8.952777,-3.252044,-13.433235,22.749281,17.445478
104,-0.454170,-8.895555,-3.463772,-18.293308,21.005150,14.080813
105,-0.082767,-8.703082,-3.351045,-20.791248,19.695904,9.228370
