seq,ax,ay,az,wroll,wpitch,wyaw
1,1.861990,-4.415606,-8.372244,1.617612,-1.558833,0.323607
2,1.822885,-4.410792,-8.420741,1.642753,-1.160617,0.421615
3,1.779134,-4.414442,-8.431639,1.517294,-1.039225,0.524861
4,1.787806,-4.416040,-8.424866,1.366701,-0.833636,0.651665
5,1.782669,-4.430675,-8.423700,1.124232,-0.646872,0.713600
6,1.762929,-4.422492,-8.426810,0.815809,-0.296540,0.818609
7,1.737519,-4.454118,-8.441509,0.490932,-0.108234,0.856711
8,1.754052,-4.458041,-8.444774,0.718361,0.057663,0.661848
9,1.732877,-4.507526,-8.488482,0.908816,0.005592,0.585542
10,1.717691,-4.496768,-8.488962,1.569742,-0.307482,0.390714
11,1.687121,-4.555255,-8.538490,1.828219,-0.694418,0.280495
12,1.703509,-4.588784,-8.526890,2.462368,-1.264778,0.304794
13,1.671897,-4.629001,-8.501497,3.919942,-1.956649,0.443417
14,1.601384,-4.599855,-8.436707,5.931899,-2.802946,0.177526
15,1.448188,-4.450278,-8.322188,7.565985,-4.216138,-0.295977
16,1.393106,-4.052327,-8.159903,6.528293,-6.227094,-0.613345
17,1.268428,-3.553087,-7.993826,0.203270,-8.286879,-0.471409
18,1.214200,-3.088139,-7.774493,-11.741653,-9.313951,0.230541
19,1.162084,-2.522641,-7.723402,-27.483101,-10.636928,1.355149
20,1.259103,-2.005068,-7.788655,-47.158382,-11.064187,2.832244
21,1.406250,-1.749069,-7.809950,-70.473000,-9.770202,5.961918
22,1.328802,-1.725674,-7.836963,-93.819656,-7.923832,10.878449
23,1.380965,-1.576337,-8.139353,-112.835747,-8.872958,15.564568
24,1.580475,-1.404475,-8.539637,-127.432747,-8.212232,19.901247
25,1.492265,-1.164811,-8.871052,-141.031799,-8.439595,25.547173
26,1.345622,-0.853121,-9.568121,-143.148254,-10.354631,28.463215
27,1.335276,-0.130380,-10.178944,-134.111725,-12.617579,27.504934
28,1.174314,0.361928,-10.684219,-124.077240,-16.488852,26.137705
29,0.997414,0.868045,-10.972494,-109.905968,-23.825500,23.253706
30,1.007077,1.125243,-11.239430,-89.283081,-31.571098,17.702389
31,0.643694,1.574014,-11.112598,-68.416054,-39.130531,12.349442
32,0.330715,1.800744,-11.142602,-47.086666,-48.171642,8.336258
33,0.198716,2.248285,-11.086755,-23.596569,-53.436085,3.036718
34,-0.234454,2.493209,-10.864188,-6.335300,-54.403522,-0.094481
35,-0.696789,2.453348,-10.523487,8.728636,-52.497639,-1.718066
36,-1.068000,2.289084,-10.112687,22.196455,-47.765743,-2.032406
37,-1.162088,1.906352,-9.611876,30.387623,-38.552208,-1.174836
38,-1.000946,1.589739,-9.207661,36.309738,-26.454670,2.400408
39,-1.171404,1.246984,-8.589991,41.328510,-12.008735,5.682673
40,-1.236980,1.211250,-8.404671,40.600643,1.562846,10.306228
