seq,ax,ay,az,wroll,wpitch,wyaw
1,0.509910,-10.037703,-0.055554,-8.415479,2.250740,-0.755333
2,0.415065,-9.862978,-0.020163,-7.358775,1.926481,-0.553148
3,0.400243,-9.947836,-0.094734,-7.410911,1.833654,-0.590025
4,0.421917,-9.909545,-0.105979,-6.712164,1.895962,-0.698111
5,0.408711,-9.873578,-0.119717,-6.820887,1.890622,-0.706504
6,0.411471,-9.802042,-0.116665,-6.683553,1.779229,-0.718711
7,0.453217,-9.857622,-0.165529,-6.855983,2.055422,-0.811792
8,0.460574,-9.716161,-0.163802,-7.260353,2.644429,-0.840785
9,0.450747,-9.781807,-0.280152,-9.765923,3.291421,-0.709555
10,0.423078,-9.884876,-0.460480,-10.606708,4.155095,-0.799585
11,0.402656,-9.816230,-0.533383,-10.620441,5.273599,-1.271096
12,0.403988,-9.796688,-0.565846,-12.552263,6.523331,-1.535081
13,0.413343,-9.971817,-0.612993,-14.166692,7.377850,-1.547289
14,0.339697,-9.911949,-0.626799,-13.348796,7.184057,-1.808222
15,0.441310,-9.707512,-0.480089,-14.087344,7.246620,-1.748711
16,0.529105,-9.819980,-0.433994,-17.642750,7.715079,-0.910978
17,0.490074,-9.793894,-0.403031,-20.383312,7.396161,-0.434889
18,0.511817,-9.628882,-0.318560,-23.880733,8.073671,0.094607
19,0.648578,-9.684117,-0.151818,-28.901028,10.512101,1.246681
20,0.530077,-9.759373,-0.221997,-34.850613,11.838130,2.142399
21,0.338520,-9.714553,-0.423582,-39.288002,11.308634,2.626118
22,0.334894,-9.711030,-0.697987,-42.536697,10.496841,3.100680
23,0.266274,-9.740017,-1.053946,-46.139408,8.623005,3.323466
24,0.226852,-9.661057,-1.502614,-49.588001,5.652028,2.832118
25,0.232368,-9.731242,-1.843955,-51.449631,3.369243,2.235481
26,0.249182,-9.713284,-2.125284,-53.041168,2.479629,1.974548
27,0.175584,-9.726513,-2.376354,-54.971466,2.290414,1.477096
28,0.183757,-9.709727,-2.607215,-55.923641,1.620533,0.918607
29,0.122118,-9.692046,-2.842441,-55.696281,1.492355,0.785852
30,0.117180,-9.621366,-3.059026,-54.776146,1.922666,0.665304
31,0.138690,-9.608207,-3.346518,-52.818382,2.853481,0.349437
32,0.208729,-9.598260,-3.703704,-48.791466,3.657643,0.506607
33,0.242927,-9.634847,-4.141208,-42.031616,4.870754,0.842311
34,0.116383,-9.547525,-4.524097,-32.610554,6.044190,0.694296
35,0.098507,-9.210395,-4.781751,-22.522659,6.288339,0.926237
36,0.115376,-8.823693,-4.853105,-13.347270,5.993835,1.037629
37,0.079680,-8.550330,-4.897100,-7.469405,5.778680,0.985748
38,0.028663,-8.226936,-4.740276,-2.183599,5.464339,0.700400
39,0.062487,-8.090689,-4.597767,-0.492874,4.699851,0.843837
40,0.112262,-8.258183,-4.621966,-0.260933,4.458754,0.898770
41,0.108658,-8.489622,-4.630916,-0.047304,4.216132,0.889615
42,0.089775,-8.613302,-4.486461,1.130711,3.704947,0.743126
43,0.073268,-8.789416,-4.485914,-0.329600,3.724784,0.514237
44,0.104753,-8.873389,-4.388254,-1.283303,4.000977,0.024415
45,0.039542,-8.914587,-4.166229,-2.299570,3.267006,-0.622578
46,0.034878,-8.968317,-4.093210,-3.546251,2.618488,-1.370281
47,0.087212,-8.905627,-4.035730,-3.582873,2.426221,-1.644948
48,0.141608,-8.944001,-3.893838,-3.411969,2.520829,-1.458785
49,0.148830,-9.084937,-3.815452,-2.900784,2.351451,-0.907926
50,0.146287,-9.218217,-3.734047,-1.533555,2.568132,-0.453200
