seq,ax,ay,az,wroll,wpitch,wyaw
1,0.509910,-10.037703,-0.055554,-3.234831,-0.910315,0.697459
2,0.415065,-9.862978,-0.020163,-2.159746,-1.209021,0.881583
3,0.400243,-9.947836,-0.094734,-2.180644,-1.277355,0.830458
4,0.421917,-9.909545,-0.105979,-1.471825,-1.194775,0.712219
5,0.408711,-9.873578,-0.119717,-1.561488,-1.180342,0.693539
6,0.411471,-9.802042,-0.116665,-1.377465,-1.249387,0.658995
7,0.453217,-9.857622,-0.165529,-1.499083,-0.941289,0.547360
8,0.460574,-9.716161,-0.163802,-1.867708,-0.329963,0.504751
9,0.450747,-9.781807,-0.280152,-4.333094,0.332929,0.624788
10,0.423078,-9.884876,-0.460480,-5.146712,1.204892,0.527761
11,0.402656,-9.816230,-0.533383,-5.148971,2.323173,0.052809
12,0.403988,-9.796688,-0.565846,-7.080792,3.572906,-0.211176
13,0.413343,-9.971817,-0.612993,-8.695222,4.427424,-0.223383
14,0.339697,-9.911949,-0.626799,-7.877326,4.233632,-0.484317
15,0.441310,-9.707512,-0.480089,-8.615873,4.296195,-0.424805
16,0.529105,-9.819980,-0.433994,-12.171280,4.764654,0.412927
17,0.490074,-9.793894,-0.403031,-14.911841,4.445736,0.889016
18,0.511817,-9.628882,-0.318560,-18.409264,5.123247,1.418513
19,0.648578,-9.684117,-0.151818,-23.429558,7.561676,2.570586
20,0.530077,-9.759373,-0.221997,-29.379141,8.887705,3.466305
21,0.338520,-9.714553,-0.423582,-33.816532,8.358209,3.950023
22,0.334894,-9.711030,-0.697987,-37.065228,7.546416,4.424586
23,0.266274,-9.740017,-1.053946,-40.667938,5.672580,4.647371
24,0.226852,-9.661057,-1.502614,-44.116531,2.701603,4.156023
25,0.232368,-9.731242,-1.843955,-45.978161,0.418818,3.559386
26,0.249182,-9.713284,-2.125284,-47.569698,-0.470796,3.298453
27,0.175584,-9.726513,-2.376354,-49.499996,-0.660011,2.801001
28,0.183757,-9.709727,-2.607215,-50.452171,-1.329892,2.242512
29,0.122118,-9.692046,-2.842441,-50.224812,-1.458070,2.109757
30,0.117180,-9.621366,-3.059026,-49.304676,-1.027759,1.989209
31,0.138690,-9.608207,-3.346518,-47.346912,-0.096944,1.673342
32,0.208729,-9.598260,-3.703704,-43.319996,0.707218,1.830512
33,0.242927,-9.634847,-4.141208,-36.560146,1.920329,2.166216
34,0.116383,-9.547525,-4.524097,-27.128035,3.067788,2.008020
35,0.098507,-9.210395,-4.781751,-17.029091,3.285958,2.229779
36,0.115376,-8.823693,-4.853105,-7.842653,2.965476,2.330991
37,0.079680,-8.550330,-4.897100,-1.944753,2.707971,2.256279
38,0.028663,-8.226936,-4.740276,3.361088,2.351280,1.948101
39,0.062487,-8.090689,-4.597767,5.015763,1.570893,2.064754
40,0.112262,-8.258183,-4.621966,5.163540,1.309153,2.076029
41,0.108658,-8.489622,-4.630916,5.252875,1.037245,2.009346
42,0.089775,-8.613302,-4.486461,6.272050,0.514494,1.812019
43,0.073268,-8.789416,-4.485914,4.653992,0.516814,1.531229
44,0.104753,-8.873389,-4.388254,3.578979,0.767008,1.007266
45,0.039542,-8.914587,-4.166229,2.478696,0.031955,0.348462
46,0.034878,-8.968317,-4.093210,1.191625,-0.596350,-0.386152
47,0.087212,-8.905627,-4.035730,1.117138,-0.762763,-0.639155
48,0.141608,-8.944001,-3.893838,1.245814,-0.646251,-0.438141
49,0.148830,-9.084937,-3.815452,1.699398,-0.788889,0.109023
50,0.146287,-9.218217,-3.734047,2.966091,-0.553448,0.545267
51,0.160005,-9.464404,-3.524350,6.241986,-1.050899,0.541695
52,0.185050,-9.887094,-3.367105,9.456990,-2.341189,0.447004
53,0.180711,-10.108761,-3.221000,14.510951,-4.532557,0.131301
54,0.286508,-10.212808,-3.040780,18.867123,-5.754841,-0.560117
55,0.272943,-10.255941,-2.988953,22.564440,-6.389626,-1.094191
56,0.313681,-9.965447,-2.843068,23.350292,-5.457286,-0.566221
57,0.341945,-9.439679,-2.564503,19.787256,-2.542768,0.974963
58,0.297931,-9.168621,-2.420918,10.486740,0.319868,2.873215
59,-0.014942,-8.880676,-2.295738,1.300669,3.354934,4.154992
60,-0.255829,-8.912623,-2.263927,-8.393537,6.690607,6.007465
61,-0.424076,-9.085090,-2.447859,-16.786127,9.284680,7.235835
62,-0.570100,-9.154468,-2.795593,-22.236732,8.233317,7.887405
63,-0.726386,-9.413952,-2.996271,-23.320139,5.845244,7.881301
64,-0.660456,-9.402598,-3.298846,-23.216375,1.612327,8.049154
65,-0.431056,-8.837650,-3.514937,-22.709768,-3.050901,7.026784
66,-0.193124,-8.712279,-3.813147,-23.097353,-6.467448,5.645821
68,-0.106683,-8.308990,-4.032370,-21.019043,-7.276188,2.940355
69,0.063429,-7.813489,-4.261569,-20.289650,-5.841819,1.155023
70,0.335749,-7.949236,-4.597709,-20.249977,-2.973079,1.660104
71,0.276501,-8.097419,-4.785312,-19.038391,0.667779,2.156030
72,0.074292,-7.883592,-4.887943,-16.795280,2.799497,2.471896
73,-0.124989,-8.462487,-5.044184,-14.611681,3.702845,3.097526
74,-0.220323,-8.494798,-5.379333,-8.682920,3.373403,2.680552
75,-0.437930,-8.278287,-5.484023,-3.311024,2.489427,0.372098
76,-0.443595,-8.353278,-5.751525,1.214430,0.615623,-0.803497
77,-0.416345,-8.373546,-5.859216,6.009605,-1.466026,-1.155441
78,-0.360744,-8.212839,-5.910119,8.414598,-2.361064,-1.679879
