seq,ax,ay,az,wroll,wpitch,wyaw
1093,6.935955,0.307187,-6.833075,-5.775628,3.280740,-0.755333
1094,6.953614,0.361683,-6.840989,-5.527665,3.219703,-0.644704
1095,6.942249,0.334277,-6.883978,-5.399233,3.219703,-0.020346
1096,6.936577,0.292330,-6.870641,-5.390332,3.212073,0.364315
1097,6.943434,0.285284,-6.866648,-5.291910,3.180029,0.759911
1098,6.947937,0.157827,-6.862389,-5.272073,3.175451,1.335185
1100,6.925560,0.151604,-6.862885,-5.891598,3.205969,-0.207526
1101,6.920950,0.186119,-6.824691,-7.010102,3.184606,-0.492874
1102,6.917991,0.219446,-6.819633,-7.336650,3.193762,-1.007111
1103,6.909017,0.226733,-6.813570,-7.425153,3.205969,-1.757866
1104,6.906522,0.359231,-6.810727,-7.350383,3.181555,-2.476577
1105,6.924387,0.344449,-6.808769,-6.701865,3.135777,-1.083407
1107,6.935672,0.317586,-6.819653,-5.807672,3.140355,-1.280251
1108,6.942564,0.314915,-6.826487,-5.861080,3.112888,-1.345866
1109,6.944332,0.322459,-6.833841,-6.134220,3.100681,-1.327555
1110,6.943101,0.323453,-6.830613,-6.260872,3.091525,-1.307718
1111,6.944374,0.327404,-6.831897,-6.372264,3.093051,-1.319926
1112,6.937201,0.327410,-6.833313,-6.245613,3.103732,-1.396222
1114,6.934462,0.345899,-6.833149,-6.364635,3.117465,-1.632740
1115,6.934763,0.347111,-6.827797,-6.508072,3.106784,-1.829585
1116,6.933555,0.357122,-6.834177,-6.717124,3.097629,-1.982177
1117,6.929308,0.369508,-6.826664,-6.785790,3.085421,-2.078310
1118,6.928142,0.375080,-6.823468,-6.822412,3.067110,-2.127140
1119,6.933556,0.367407,-6.815511,-6.553850,3.038118,-2.029481
1121,6.928956,0.393530,-6.811829,-6.428724,3.018281,-2.017274
1122,6.924128,0.404818,-6.815260,-6.131168,3.024384,-1.921140
1123,6.921688,0.407628,-6.817887,-5.987731,3.022859,-1.872311
1124,6.926153,0.420809,-6.815453,-5.871761,3.015229,-1.817377
1125,6.921773,0.431230,-6.825970,-5.597095,3.024384,-1.699881
1126,6.923304,0.417596,-6.820605,-5.255287,3.061007,-1.527451
1128,6.925232,0.411055,-6.819358,-5.211035,3.070162,-1.507614
1129,6.929467,0.413750,-6.819414,-5.211035,3.093051,-1.512192
1130,6.926672,0.414030,-6.824939,-5.191198,3.093051,-1.512192
1131,6.924600,0.409381,-6.818660,-5.148472,3.089999,-1.498459
1132,6.925767,0.406689,-6.827581,-5.140842,3.105258,-1.519822
1133,6.925361,0.408980,-6.830515,-5.134739,3.111362,-1.513718
1135,6.918666,0.407891,-6.832846,-5.125583,3.125095,-1.503037
1136,6.921832,0.407362,-6.828359,-5.154576,3.132725,-1.504563
1137,6.920009,0.409210,-6.824798,-5.232398,3.149510,-1.535081
1138,6.921611,0.414730,-6.822363,-5.299539,3.151036,-1.545763
1139,6.922729,0.415689,-6.815714,-5.311747,3.151036,-1.561022
1140,6.924658,0.416878,-6.806840,-5.314798,3.141881,-1.551866
1142,6.925209,0.420722,-6.808021,-5.304117,3.160192,-1.548815
1143,6.926492,0.424430,-6.810351,-5.276650,3.155614,-1.539659
1144,6.921594,0.423429,-6.812532,-5.250710,3.143406,-1.553392
1145,6.924240,0.421085,-6.815491,-5.220191,3.123569,-1.538133
1146,6.927384,0.420419,-6.818104,-5.197302,3.120517,-1.551866
1147,6.926294,0.413696,-6.815516,-5.197302,3.109836,-1.562548
1149,6.927827,0.414396,-6.813047,-5.171361,3.102206,-1.567125
1150,6.927824,0.412827,-6.814317,-5.151525,3.108310,-1.554918
1151,6.925415,0.410940,-6.815396,-5.185095,3.129673,-1.559496
1152,6.921959,0.409792,-6.818014,-5.229346,3.132725,-1.574755
1153,6.922832,0.414583,-6.824085,-5.267495,3.131199,-1.593066
1154,6.919449,0.412335,-6.832979,-5.269021,3.129673,-1.583911
1156,6.924335,0.412130,-6.831139,-5.262917,3.117466,-1.577807
1157,6.926617,0.411122,-6.832485,-5.250710,3.118992,-1.565600
1158,6.933622,0.411609,-6.827234,-5.249184,3.117465,-1.570177
1159,6.929609,0.416624,-6.826648,-5.223243,3.108310,-1.564074
1160,6.933859,0.417402,-6.821219,-5.241554,3.109836,-1.570177
1161,6.928667,0.422436,-6.822052,-5.241554,3.111362,-1.571703
1163,6.927035,0.428980,-6.818871,-5.243080,3.115940,-1.588488
1164,6.922547,0.433502,-6.827602,-5.214087,3.105259,-1.568651
