seq,ax,ay,az,wroll,wpitch,wyaw
7847,0.063053,7.031948,6.803763,-5.104221,3.021333,-1.510666
7848,0.056809,7.034470,6.802753,-5.115665,3.032777,-1.499222
7849,0.050511,7.041630,6.810246,-5.104221,3.016246,-1.505580
7850,0.048954,7.042624,6.815351,-5.109943,3.015610,-1.514481
7851,0.048198,7.044174,6.815267,-5.117954,3.027436,-1.527451
7852,0.041591,7.048041,6.820119,-5.127110,3.051851,-1.532029
7854,0.043862,7.048140,6.829124,-5.128636,3.059481,-1.544237
7855,0.042317,7.048770,6.828857,-5.145421,3.085421,-1.548814
7856,0.043182,7.051890,6.830132,-5.163732,3.103732,-1.541185
7857,0.044580,7.049697,6.830756,-5.178991,3.111362,-1.538133
7858,0.046515,7.049539,6.829397,-5.182043,3.096103,-1.542711
7859,0.045593,7.055933,6.824677,-5.194251,3.089999,-1.542711
7861,0.052088,7.057139,6.824326,-5.189672,3.085421,-1.539659
7862,0.051983,7.058328,6.815935,-5.178991,3.077792,-1.554918
7863,0.051626,7.061818,6.810781,-5.151525,3.067110,-1.553392
7864,0.050910,7.064589,6.804812,-5.153050,3.062532,-1.559496
7865,0.050606,7.061446,6.797728,-5.146947,3.056429,-1.557970
7866,0.052903,7.056468,6.799903,-5.159154,3.061007,-1.567125
7868,0.058780,7.055533,6.807238,-5.166784,3.070162,-1.561022
7869,0.056621,7.054142,6.814424,-5.185095,3.077792,-1.557970
7870,0.060372,7.052155,6.818466,-5.186621,3.082370,-1.551866
7871,0.060283,7.050721,6.823364,-5.194251,3.099155,-1.547288
7872,0.053236,7.051570,6.822409,-5.189672,3.093051,-1.532029
7873,0.051901,7.050268,6.822277,-5.188147,3.086947,-1.528977
7875,0.053129,7.050603,6.820552,-5.186621,3.085421,-1.527451
7876,0.050960,7.047384,6.818089,-5.186621,3.088473,-1.525925
7877,0.048646,7.050432,6.815230,-5.182043,3.083896,-1.522874
7878,0.052717,7.051929,6.817042,-5.174413,3.088473,-1.528977
7879,0.049393,7.048501,6.819798,-5.175939,3.089999,-1.528977
7880,0.051388,7.052076,6.817947,-5.171361,3.093051,-1.519822
7882,0.051558,7.053895,6.824689,-5.169836,3.088473,-1.521348
7883,0.051605,7.053544,6.829464,-5.169836,3.079318,-1.527451
