seq,ax,ay,az,wroll,wpitch,wyaw
1,0.036256,-0.215448,-9.619252,-5.088962,3.158666,-1.388592
2,0.034089,-0.206990,-9.627211,-5.104221,3.158666,-1.388592
3,0.036496,-0.216465,-9.623120,-5.111851,3.158666,-1.391135
4,0.029350,-0.210965,-9.624508,-5.121388,3.149129,-1.388592
5,0.028780,-0.212081,-9.629778,-5.127110,3.143406,-1.388592
6,0.027352,-0.211936,-9.630387,-5.145421,3.144932,-1.387066
8,0.032350,-0.219370,-9.626747,-5.133214,3.143406,-1.382489
9,0.030881,-0.214647,-9.628323,-5.128636,3.137302,-1.385540
10,0.036766,-0.218361,-9.624343,-5.111850,3.143406,-1.391644
11,0.044021,-0.217397,-9.619324,-5.108799,3.144932,-1.390118
12,0.044320,-0.219827,-9.625936,-5.099643,3.135777,-1.384014
13,0.041463,-0.216155,-9.623689,-5.119480,3.132725,-1.390118
15,0.039841,-0.218772,-9.621838,-5.122531,3.134251,-1.384015
16,0.039669,-0.221437,-9.629272,-5.128635,3.140355,-1.377911
17,0.034136,-0.222179,-9.628673,-5.122532,3.152562,-1.371807
18,0.036812,-0.224268,-9.624998,-5.122532,3.155614,-1.374859
19,0.033999,-0.221709,-9.635429,-5.124058,3.157140,-1.374859
20,0.033133,-0.222414,-9.634276,-5.124058,3.157140,-1.388592
22,0.031732,-0.221791,-9.636287,-5.127110,3.161717,-1.394696
23,0.031380,-0.226133,-9.641151,-5.125584,3.160192,-1.385540
24,0.028133,-0.221604,-9.635891,-5.130161,3.166295,-1.384014
25,0.035528,-0.225820,-9.628969,-5.122532,3.166295,-1.374859
26,0.040644,-0.225564,-9.634461,-5.133213,3.173925,-1.358074
27,0.040258,-0.222050,-9.629139,-5.130161,3.158666,-1.342814
29,0.040307,-0.219866,-9.621937,-5.149998,3.147984,-1.367229
30,0.038644,-0.221046,-9.624171,-5.153050,3.154088,-1.364177
31,0.031068,-0.222595,-9.624071,-5.162206,3.166295,-1.374859
32,0.025440,-0.221286,-9.623140,-5.146946,3.151036,-1.371807
33,0.024924,-0.224170,-9.623478,-5.143895,3.161718,-1.384014
34,0.025670,-0.223946,-9.625095,-5.131687,3.169347,-1.376385
36,0.029032,-0.221471,-9.623071,-5.121006,3.164769,-1.379437
37,0.032773,-0.221422,-9.624746,-5.111850,3.155614,-1.382489
38,0.032080,-0.221535,-9.626738,-5.128636,3.169347,-1.393170
39,0.032916,-0.221549,-9.626489,-5.145421,3.164769,-1.393170
40,0.038837,-0.222148,-9.630446,-5.137791,3.164769,-1.380963
41,0.038935,-0.222407,-9.637659,-5.146947,3.163243,-1.393170
43,0.038030,-0.223365,-9.642442,-5.153050,3.160191,-1.382488
44,0.042890,-0.223222,-9.646891,-5.142369,3.157140,-1.380963
45,0.044222,-0.228061,-9.644153,-5.136265,3.155614,-1.368755
46,0.037985,-0.226256,-9.642073,-5.130161,3.160191,-1.374859
47,0.032239,-0.228066,-9.636000,-5.128635,3.164769,-1.376385
48,0.033281,-0.227215,-9.623997,-5.128635,3.169347,-1.364177
50,0.030153,-0.225586,-9.621623,-5.140843,3.175451,-1.356548
51,0.031850,-0.223223,-9.629058,-5.146946,3.170873,-1.367229
52,0.029918,-0.223427,-9.628278,-5.157628,3.161717,-1.377911
53,0.030833,-0.224766,-9.626505,-5.153050,3.154088,-1.362651
54,0.029045,-0.226184,-9.628624,-5.153050,3.155614,-1.380963
55,0.033082,-0.229615,-9.620840,-5.145421,3.154088,-1.380963
57,0.031929,-0.225736,-9.620192,-5.142369,3.155614,-1.379437
58,0.033515,-0.226354,-9.614337,-5.140843,3.163244,-1.384015
59,0.036101,-0.224721,-9.617558,-5.137791,3.167821,-1.394696
60,0.033333,-0.216494,-9.625586,-5.134739,3.157140,-1.387066
