seq,ax,ay,az,wroll,wpitch,wyaw
1,0.036256,-0.215448,-9.619252,0.091686,-0.002389,0.064200
2,0.034089,-0.206990,-9.627211,0.075424,-0.002350,0.063148
3,0.036496,-0.216465,-9.623120,0.066897,-0.002312,0.059658
4,0.029350,-0.210965,-9.624508,0.056691,-0.011499,0.061172
5,0.028780,-0.212081,-9.629778,0.050396,-0.016755,0.060173
6,0.027352,-0.211936,-9.630387,0.031033,-0.014730,0.059676
8,0.032350,-0.219370,-9.626747,0.041823,-0.015723,0.062147
9,0.030881,-0.214647,-9.628323,0.044879,-0.021111,0.057158
10,0.036766,-0.218361,-9.624343,0.059643,-0.014515,0.049381
11,0.044021,-0.217397,-9.619324,0.060639,-0.012563,0.049238
12,0.044320,-0.219827,-9.625936,0.067507,-0.021007,0.053527
13,0.041463,-0.216155,-9.623689,0.046107,-0.023270,0.045869
15,0.039841,-0.218772,-9.621838,0.041643,-0.021031,0.050268
16,0.039669,-0.221437,-9.629272,0.034375,-0.014438,0.054524
17,0.034136,-0.222179,-9.628673,0.039151,-0.002158,0.058640
18,0.036812,-0.224268,-9.624998,0.037868,0.000865,0.053766
19,0.033999,-0.221709,-9.635429,0.035151,0.002313,0.052003
20,0.033133,-0.222414,-9.634276,0.033998,0.002237,0.037015
22,0.031732,-0.221791,-9.636287,0.029932,0.006591,0.029898
23,0.031380,-0.226133,-9.641151,0.030427,0.004899,0.037773
24,0.028133,-0.221604,-9.635891,0.025001,0.010642,0.038011
25,0.035528,-0.225820,-9.628969,0.031561,0.010293,0.045620
26,0.040644,-0.225564,-9.634461,0.020195,0.017335,0.060359
27,0.040258,-0.222050,-9.629139,0.022485,0.002008,0.073140
29,0.040307,-0.219866,-9.621937,0.002561,-0.008389,0.047127
30,0.038644,-0.221046,-9.624171,-0.000475,-0.002210,0.048534
31,0.031068,-0.222595,-9.624071,-0.009315,0.009669,0.036612
32,0.025440,-0.221286,-9.623140,0.005750,-0.005407,0.038363
33,0.024924,-0.224170,-9.623478,0.008513,0.005102,0.025298
34,0.025670,-0.223946,-9.625095,0.020041,0.012314,0.031848
36,0.029032,-0.221471,-9.623071,0.029715,0.007482,0.027852
37,0.032773,-0.221422,-9.624746,0.037597,-0.001618,0.023988
38,0.032080,-0.221535,-9.626738,0.020129,0.011718,0.012870
39,0.032916,-0.221549,-9.626489,0.003234,0.006906,0.012448
40,0.038837,-0.222148,-9.630446,0.010508,0.006680,0.023847
41,0.038935,-0.222407,-9.637659,0.001308,0.004985,0.011258
43,0.038030,-0.223365,-9.642442,-0.004638,0.001869,0.021221
44,0.042890,-0.223222,-9.646891,0.005845,-0.001144,0.022001
45,0.044222,-0.228061,-9.644153,0.011557,-0.002582,0.033087
46,0.037985,-0.226256,-9.642073,0.017082,0.001930,0.026098
47,0.032239,-0.228066,-9.636000,0.017998,0.006295,0.023767
48,0.033281,-0.227215,-9.623997,0.017407,0.010516,0.034795
50,0.030153,-0.225586,-9.621623,0.005030,0.016075,0.041034
