seq,ax,ay,az,wroll,wpitch,wyaw
66,-6.924670,-0.058857,-6.844681,-5.088962,3.151036,-0.694296
67,-6.874421,-0.070626,-6.849464,-5.676443,3.280740,-0.770593
68,-6.869764,0.127293,-6.869226,-5.073702,3.186641,-1.208024
69,-6.871488,0.151074,-6.847363,-5.096591,3.112888,-1.190222
70,-6.872540,0.120109,-6.852427,-5.552843,3.083896,-1.698355
71,-6.865059,0.132991,-6.851563,-5.606250,3.080844,-1.928770
73,-6.876658,0.147310,-6.847812,-5.403302,3.012177,-2.111881
74,-6.884882,0.045897,-6.833155,-5.674917,3.032014,-1.994385
75,-6.887841,-0.003379,-6.850899,-5.673391,3.076266,-2.075259
76,-6.894124,-0.010848,-6.846309,-5.236977,3.094577,-1.672414
77,-6.891604,-0.013189,-6.848805,-5.253761,3.061007,-1.733451
78,-6.890391,-0.015025,-6.851678,-5.293436,3.051851,-1.799066
80,-6.889553,-0.024925,-6.852988,-5.285806,3.053377,-1.838740
81,-6.888672,-0.030364,-6.852816,-5.410932,3.053377,-1.908933
82,-6.883633,-0.004062,-6.852444,-6.039613,3.028962,-1.854000
83,-6.888996,0.003640,-6.847014,-6.227302,3.038118,-1.698355
84,-6.895347,0.008587,-6.842281,-6.187628,3.067110,-1.594592
85,-6.896126,0.013060,-6.842094,-6.178472,3.065584,-1.562548
87,-6.896369,0.025143,-6.829848,-6.083865,3.077792,-1.487777
88,-6.894258,0.006531,-6.836542,-5.435347,3.114414,-1.486251
89,-6.886465,-0.001824,-6.844947,-4.957732,3.164769,-1.275674
90,-6.890809,-0.026222,-6.850209,-4.545732,3.205969,-0.924711
91,-6.884255,-0.026335,-6.847523,-4.315317,3.221229,-0.863674
92,-6.879494,-0.027522,-6.854758,-4.112369,3.198340,-0.849940
94,-6.881986,-0.027703,-6.848285,-4.118473,3.205970,-0.852992
95,-6.884572,-0.027060,-6.851249,-4.362621,3.195288,-1.101718
96,-6.873091,-0.004614,-6.852473,-4.748680,3.140355,-1.457259
97,-6.877038,-0.007926,-6.856365,-4.963835,3.118992,-1.533555
98,-6.881052,-0.009293,-6.853638,-5.133213,3.132725,-1.564074
99,-6.884337,-0.011762,-6.852635,-5.104220,3.120518,-1.600696
101,-6.889246,-0.008050,-6.849379,-5.078280,3.096103,-1.593066
102,-6.888234,-0.011078,-6.847708,-4.956206,3.080844,-1.614429
103,-6.883153,-0.009366,-6.849254,-4.959258,3.088473,-1.623585
104,-6.886819,-0.007495,-6.850966,-4.937895,3.093051,-1.643422
105,-6.886360,-0.011486,-6.853490,-4.937895,3.091525,-1.651051
106,-6.883775,-0.017425,-6.847229,-4.922636,3.085421,-1.683096
108,-6.883000,-0.017187,-6.842444,-5.044710,3.105258,-1.672414
109,-6.890048,-0.015353,-6.833860,-5.053865,3.106784,-1.652577
110,-6.888927,-0.025971,-6.830388,-5.067599,3.086947,-1.638844
111,-6.888969,-0.021393,-6.831352,-5.098117,3.089999,-1.617481
112,-6.889536,-0.018369,-6.830687,-5.098117,3.094577,-1.609852
113,-6.898968,-0.018927,-6.833888,-5.081332,3.085421,-1.622059
115,-6.899561,-0.021956,-6.845866,-4.910428,3.024384,-1.777703
116,-6.906404,-0.023158,-6.846337,-4.864650,3.007599,-1.799066
117,-6.905499,-0.025099,-6.844443,-4.873806,3.006073,-1.799066
118,-6.899060,-0.029075,-6.845922,-4.940947,3.018281,-1.762444
