seq,ax,ay,az,wroll,wpitch,wyaw
1,9.823484,0.005144,-0.073328,-6.370739,3.509629,-1.167333
2,9.825576,0.002738,-0.054066,-5.859554,3.383740,-1.243629
3,9.824777,0.002551,-0.054273,-5.546740,3.290913,-1.297037
4,9.831243,0.010188,-0.044700,-5.392240,3.271203,-1.339000
5,9.833900,0.005737,-0.046363,-5.298014,3.247169,-1.348918
6,9.836516,0.007886,-0.034224,-4.959258,3.163243,-1.406903
8,9.840017,0.008766,-0.043592,-4.748680,3.115940,-1.437422
9,9.844829,0.013749,-0.039812,-4.785302,3.132725,-1.432844
10,9.841754,0.009208,-0.047287,-4.849391,3.138829,-1.417585
11,9.842883,0.012803,-0.047291,-4.928739,3.158666,-1.419111
12,9.838602,0.013702,-0.057273,-5.021821,3.189184,-1.399274
13,9.835912,0.013276,-0.053945,-5.186621,3.227332,-1.374859
15,9.832318,0.010080,-0.057366,-5.252235,3.247169,-1.362652
16,9.830692,0.007705,-0.054936,-5.215613,3.228858,-1.356548
17,9.830723,0.011565,-0.053217,-5.153050,3.224280,-1.355022
18,9.836093,0.005813,-0.048767,-5.133213,3.216651,-1.333659
19,9.838958,0.006850,-0.046858,-5.131687,3.215125,-1.310770
20,9.840422,0.009616,-0.037421,-5.069124,3.204443,-1.300089
22,9.841905,0.008857,-0.041345,-5.056917,3.228858,-1.290933
23,9.838048,0.006757,-0.041985,-5.081332,3.233436,-1.297037
24,9.836150,0.005580,-0.044574,-5.076754,3.234962,-1.304666
25,9.835460,0.001380,-0.042345,-5.061495,3.239540,-1.313822
26,9.838033,-0.003869,-0.051454,-5.052339,3.228858,-1.313822
27,9.835904,-0.006372,-0.056016,-5.130161,3.219703,-1.313822
29,9.837309,-0.012914,-0.060133,-5.076754,3.196814,-1.289407
30,9.835901,-0.006613,-0.056015,-5.066072,3.190710,-1.292459
31,9.836402,-0.003123,-0.054051,-5.061494,3.195288,-1.313822
32,9.832698,-0.005110,-0.056901,-5.029450,3.201392,-1.336711
33,9.836206,-0.002745,-0.048354,-4.924161,3.196814,-1.339763
34,9.837989,-0.003862,-0.048312,-4.991302,3.221229,-1.333659
36,9.841990,-0.009841,-0.049008,-4.963835,3.218177,-1.312296
37,9.840743,-0.012608,-0.056811,-4.934843,3.205969,-1.257363
38,9.842628,-0.015415,-0.057220,-4.940947,3.190710,-1.213111
39,9.840512,-0.014760,-0.051096,-4.957732,3.173925,-1.210059
40,9.839227,-0.011723,-0.050444,-4.943998,3.160191,-1.226844
41,9.837783,-0.007366,-0.054227,-4.997406,3.166295,-1.263466
43,9.837156,-0.009404,-0.054341,-5.008088,3.154088,-1.306192
44,9.842755,-0.004911,-0.047400,-5.009614,3.163243,-1.345866
45,9.848220,-0.009973,-0.057386,-5.008088,3.170873,-1.356548
46,9.845667,-0.009196,-0.054065,-5.000458,3.169347,-1.370281
47,9.843518,-0.009762,-0.055265,-4.991302,3.167821,-1.368755
48,9.845956,-0.009432,-0.049285,-5.020295,3.178503,-1.367229
50,9.838048,-0.016052,-0.056139,-5.041657,3.173925,-1.361126
51,9.832522,-0.011843,-0.051152,-5.078280,3.180029,-1.351970
52,9.830812,-0.013136,-0.050128,-5.122532,3.189184,-1.342815
53,9.831141,-0.015794,-0.050568,-5.203406,3.198340,-1.339763
54,9.829686,-0.014557,-0.048277,-5.275125,3.212073,-1.348918
55,9.836985,-0.012151,-0.044896,-5.291910,3.227332,-1.355022
57,9.838060,-0.011204,-0.043719,-5.265969,3.224280,-1.385540
58,9.837931,-0.012771,-0.044641,-5.194251,3.210547,-1.391644
59,9.841136,-0.013066,-0.042716,-5.105747,3.195288,-1.390118
60,9.842614,-0.014205,-0.055134,-5.053865,3.178503,-1.384014
61,9.838609,-0.010882,-0.056747,-5.067598,3.184607,-1.394696
62,9.833945,-0.012369,-0.059036,-5.111850,3.193762,-1.388592
64,9.835555,-0.015045,-0.056891,-5.134739,3.199866,-1.370281
65,9.830573,-0.016755,-0.053831,-5.153050,3.198340,-1.388592
66,9.827072,-0.013789,-0.049146,-5.162206,3.207495,-1.408429
67,9.827809,-0.016081,-0.044227,-5.172887,3.209021,-1.405378
68,9.835593,-0.017067,-0.044654,-5.160680,3.207495,-1.402326
69,9.842133,-0.013573,-0.045836,-5.178991,3.219703,-1.414533
71,9.843313,-0.012021,-0.043031,-5.165257,3.225806,-1.402326
72,9.843608,-0.013345,-0.039757,-5.137791,3.225806,-1.394696
73,9.837390,-0.012770,-0.048725,-5.105747,3.209021,-1.390118
74,9.832171,-0.017376,-0.048791,-5.119480,3.216651,-1.384015
75,9.827915,-0.017187,-0.052830,-5.125584,3.201392,-1.397748
76,9.831174,-0.016042,-0.053242,-5.157628,3.205969,-1.413007
78,9.831901,-0.017366,-0.046584,-5.177465,3.190710,-1.414533
79,9.841153,-0.018485,-0.040814,-5.189672,3.192236,-1.419111
80,9.844104,-0.016255,-0.043800,-5.162206,3.187658,-1.423689
81,9.843759,-0.017097,-0.045663,-5.142369,3.193762,-1.416059
82,9.844502,-0.018805,-0.049129,-5.111851,3.192236,-1.405377
83,9.846035,-0.017157,-0.054117,-5.076755,3.202917,-1.409955
85,9.840643,-0.015145,-0.060752,-5.063021,3.198340,-1.406903
86,9.839572,-0.012591,-0.058812,-5.055391,3.189184,-1.402325
