seq,ax,ay,az,wroll,wpitch,wyaw
1,9.823484,0.005144,-0.073328,-1.190091,0.348573,0.285459
2,9.825576,0.002738,-0.054066,-0.676157,0.221097,0.206985
3,9.824777,0.002551,-0.054273,-0.365322,0.128386,0.152364
4,9.831243,0.010188,-0.044700,-0.213850,0.108326,0.109942
5,9.833900,0.005737,-0.046363,-0.123069,0.084167,0.099360
6,9.836516,0.007886,-0.034224,0.208616,0.000234,0.040019
8,9.840017,0.008766,-0.043592,0.405450,-0.045527,0.009189
9,9.844829,0.013749,-0.039812,0.356736,-0.027799,0.013315
10,9.841754,0.009208,-0.047287,0.283053,-0.020984,0.027638
11,9.842883,0.012803,-0.047291,0.197027,-0.001110,0.025256
12,9.838602,0.013702,-0.057273,0.100538,0.028444,0.043614
13,9.835912,0.013276,-0.053945,-0.062155,0.064409,0.065799
15,9.832318,0.010080,-0.057366,-0.123581,0.081485,0.075449
16,9.830692,0.007705,-0.054936,-0.084108,0.061102,0.078879
17,9.830723,0.011565,-0.053217,-0.020839,0.054672,0.077769
18,9.836093,0.005813,-0.048767,-0.000969,0.045500,0.095882
19,9.838958,0.006850,-0.046858,0.000539,0.042532,0.114877
20,9.840422,0.009616,-0.037421,0.061033,0.030807,0.121442
22,9.841905,0.008857,-0.041345,0.070839,0.053411,0.126316
23,9.838048,0.006757,-0.041985,0.044903,0.056088,0.116272
24,9.836150,0.005580,-0.044574,0.047858,0.055725,0.105080
25,9.835460,0.001380,-0.042345,0.061048,0.058326,0.092780
26,9.838033,-0.003869,-0.051454,0.067902,0.046082,0.089738
27,9.835904,-0.006372,-0.056016,-0.009595,0.035716,0.086796
29,9.837309,-0.012914,-0.060133,0.042376,0.012406,0.107565
30,9.835901,-0.006613,-0.056015,0.051318,0.006096,0.101087
31,9.836402,-0.003123,-0.054051,0.054064,0.010324,0.077110
32,9.832698,-0.005110,-0.056901,0.083285,0.015889,0.052444
33,9.836206,-0.002745,-0.048354,0.182392,0.010940,0.047773
34,9.837989,-0.003862,-0.048312,0.111472,0.034196,0.052110
36,9.841990,-0.009841,-0.049008,0.134384,0.030123,0.071064
37,9.840743,-0.012608,-0.056811,0.158020,0.017329,0.121867
38,9.842628,-0.015415,-0.057220,0.146936,0.002002,0.160673
39,9.840512,-0.014760,-0.051096,0.125884,-0.014299,0.158357
40,9.839227,-0.011723,-0.050444,0.135041,-0.027113,0.136931
41,9.837783,-0.007366,-0.054227,0.078957,-0.020321,0.097020
43,9.837156,-0.009404,-0.054341,0.066037,-0.031462,0.052514
44,9.842755,-0.004911,-0.047400,0.062396,-0.021575,0.012419
45,9.848220,-0.009973,-0.057386,0.061827,-0.013488,0.001681
46,9.845667,-0.009196,-0.054065,0.067179,-0.014522,-0.011657
47,9.843518,-0.009762,-0.055265,0.073832,-0.015522,-0.009799
48,9.845956,-0.009432,-0.049285,0.043370,-0.004682,-0.008002
50,9.838048,-0.016052,-0.056139,0.021285,-0.008956,-0.001836
51,9.832522,-0.011843,-0.051152,-0.014834,-0.002759,0.007079
52,9.830812,-0.013136,-0.050128,-0.057149,0.006187,0.015703
53,9.831141,-0.015794,-0.050568,-0.133498,0.014840,0.018140
54,9.829686,-0.014557,-0.048277,-0.198489,0.027637,0.008689
55,9.836985,-0.012151,-0.044896,-0.208216,0.041490,0.002501
57,9.838060,-0.011204,-0.043719,-0.176300,0.037178,-0.027099
58,9.837931,-0.012771,-0.044641,-0.101153,0.022676,-0.032114
59,9.841136,-0.013066,-0.042716,-0.012235,0.007173,-0.029586
60,9.842614,-0.014205,-0.055134,0.038347,-0.009297,-0.022712
61,9.838609,-0.010882,-0.056747,0.023807,-0.003088,-0.032299
62,9.833945,-0.012369,-0.059036,-0.019775,0.005868,-0.025336
64,9.835555,-0.015045,-0.056891,-0.041265,0.011579,-0.006795
65,9.830573,-0.016755,-0.053831,-0.057623,0.009724,-0.024283
66,9.827072,-0.013789,-0.049146,-0.064589,0.018260,-0.042673
67,9.827809,-0.016081,-0.044227,-0.072803,0.019138,-0.038323
68,9.835593,-0.017067,-0.044654,-0.058609,0.017034,-0.034115
69,9.842133,-0.013573,-0.045836,-0.074398,0.028283,-0.044803
71,9.843313,-0.012021,-0.043031,-0.058676,0.033260,-0.031527
72,9.843608,-0.013345,-0.039757,-0.030186,0.032169,-0.023114
73,9.837390,-0.012770,-0.048725,0.001797,0.014880,-0.017929
74,9.832171,-0.017376,-0.048791,-0.011545,0.021771,-0.011437
75,9.827915,-0.017187,-0.052830,-0.017070,0.006298,-0.024345
76,9.831174,-0.016042,-0.053242,-0.047504,0.010520,-0.038306
78,9.831901,-0.017366,-0.046584,-0.065134,-0.004584,-0.038526
79,9.841153,-0.018485,-0.040814,-0.074805,-0.002958,-0.041691
80,9.844104,-0.016255,-0.043800,-0.045787,-0.007289,-0.044752
81,9.843759,-0.017097,-0.045663,-0.025099,-0.001146,-0.035905
82,9.844502,-0.018805,-0.049129,0.005242,-0.002584,-0.024397
83,9.846035,-0.017157,-0.054117,0.039016,0.007832,-0.028025
85,9.840643,-0.015145,-0.060752,0.051020,0.003147,-0.024154
86,9.839572,-0.012591,-0.058812,0.056727,-0.005811,-0.018935
87,9.839047,-0.012212,-0.055216,0.044536,-0.013000,-0.015362
88,9.835090,-0.009622,-0.061013,0.019461,-0.015526,-0.013382
89,9.833371,-0.010430,-0.058945,-0.013647,-0.006161,0.001815
90,9.834101,-0.011030,-0.051826,-0.026483,0.002896,-0.008575
92,9.832432,-0.014485,-0.047410,-0.055132,0.002801,-0.003867
93,9.830454,-0.011680,-0.048864,-0.059229,0.015992,0.000688
94,9.832202,-0.014844,-0.048459,-0.066142,0.021371,0.003617
95,9.830174,-0.015413,-0.049774,-0.041835,0.017719,-0.011261
96,9.828572,-0.015879,-0.055621,-0.036036,0.017138,-0.010891
97,9.831274,-0.012436,-0.056759,-0.027475,0.023956,-0.019390
99,9.835361,-0.014909,-0.051542,-0.007388,0.017267,-0.017278
100,9.833671,-0.012219,-0.047985,0.010565,0.012273,-0.013760
101,9.838302,-0.014108,-0.046720,-0.001588,0.005967,-0.008881
102,9.836662,-0.013703,-0.040584,-0.005964,-0.004560,-0.004162
103,9.837998,-0.013851,-0.041955,0.000135,-0.004410,-0.005502
104,9.835238,-0.014887,-0.042698,-0.008725,-0.014597,-0.009749
106,9.839053,-0.014712,-0.041114,-0.011391,-0.021498,-0.028616
107,9.837477,-0.015424,-0.049054,-0.016921,-0.029649,-0.029154
108,9.839540,-0.014740,-0.050184,-0.016366,-0.030153,-0.022295
109,9.836597,-0.019025,-0.049743,-0.021733,-0.035068,-0.017136
110,9.836879,-0.016862,-0.050568,-0.026924,-0.035394,-0.012147
111,9.835819,-0.018054,-0.053140,-0.027517,-0.023902,0.003011
113,9.834914,-0.014162,-0.044572,-0.017760,-0.012787,-0.000040
114,9.834531,-0.016567,-0.045260,-0.003894,-0.007940,0.001437
115,9.841959,-0.015735,-0.044194,-0.006718,0.005603,0.002866
116,9.842731,-0.016705,-0.040448,-0.010926,0.017226,-0.004607
117,9.840010,-0.021595,-0.039300,-0.013520,0.012234,-0.001504
118,9.841405,-0.023685,-0.046825,-0.024884,0.022164,0.001497
