seq,ax,ay,az,wroll,wpitch,wyaw
3914,0.012187,-6.678892,-7.169659,-6.523331,2.975555,-1.007111
3915,0.016672,-6.686125,-7.133729,-6.031220,3.044221,-1.083407
3916,0.005805,-6.691102,-7.111881,-6.035035,3.041678,-1.096123
3917,0.013689,-6.688116,-7.104817,-5.914868,3.065203,-1.228370
3918,0.016197,-6.682670,-7.100881,-5.775628,3.088473,-1.287881
3919,0.017471,-6.685807,-7.092337,-5.514695,3.118992,-1.358074
3921,0.017653,-6.681593,-7.092596,-5.394146,3.123569,-1.617481
3922,0.031695,-6.676937,-7.106098,-5.075228,3.144932,-1.985229
3923,0.041037,-6.683609,-7.103662,-4.915006,3.146458,-2.088992
3924,0.045507,-6.691146,-7.096655,-4.966887,3.137303,-2.002014
3925,0.047974,-6.687903,-7.081384,-5.008088,3.129673,-1.945555
3926,0.050251,-6.696864,-7.081742,-5.064547,3.126621,-1.666310
3928,0.046534,-6.702212,-7.078515,-5.191199,3.126621,-1.292459
3929,0.038906,-6.698215,-7.077640,-5.343791,3.109836,-1.080355
3930,0.036032,-6.697941,-7.086078,-5.352947,3.091525,-1.069674
3931,0.044270,-6.699814,-7.102553,-5.333110,3.083895,-1.065096
3932,0.045853,-6.701881,-7.097852,-5.223243,3.096103,-1.077303
3933,0.047103,-6.696960,-7.096583,-5.276650,3.076266,-1.063570
3935,0.046560,-6.706222,-7.092803,-5.044710,3.102206,-1.075777
3936,0.045554,-6.706075,-7.089331,-4.852443,3.135777,-1.087985
3937,0.036804,-6.708313,-7.083195,-4.776146,3.154088,-1.104770
3938,0.039063,-6.704245,-7.077827,-4.882961,3.141880,-1.094088
3939,0.035260,-6.711631,-7.070513,-4.893643,3.154088,-1.097140
3940,0.036113,-6.703715,-7.080564,-5.128635,3.137302,-1.081881
3942,0.038057,-6.711809,-7.073485,-5.223243,3.123569,-1.077303
3943,0.045088,-6.716019,-7.066221,-5.333109,3.108310,-1.062044
3944,0.041585,-6.715384,-7.080726,-5.467391,3.097628,-1.051362
3945,0.045274,-6.710876,-7.082783,-5.561998,3.102206,-1.048311
3946,0.049848,-6.710823,-7.075597,-5.551317,3.103732,-1.048311
3947,0.050255,-6.704455,-7.081105,-5.616932,3.094577,-1.030000
3949,0.047558,-6.697066,-7.086447,-5.888546,3.064059,-0.622578
3950,0.044376,-6.693254,-7.078038,-5.916013,3.065584,-0.294504
3951,0.024973,-6.692318,-7.086793,-5.761895,3.064059,-0.056459
3952,0.014404,-6.692765,-7.102820,-5.618458,3.079318,-0.048830
3953,0.011245,-6.692719,-7.108235,-5.517746,3.094577,-0.082400
3954,0.000685,-6.695666,-7.110393,-5.117954,3.143406,-0.498978
3956,-0.003068,-6.698007,-7.110098,-5.027925,3.147984,-0.831629
3957,0.012019,-6.697415,-7.099806,-5.119480,3.134251,-1.080355
3958,0.014395,-6.697093,-7.098017,-5.345317,3.102206,-1.077303
3959,0.012413,-6.694046,-7.098892,-5.516221,3.082370,-1.046785
3960,0.015801,-6.695645,-7.085779,-5.555894,3.073214,-1.025422
3961,0.015049,-6.696592,-7.084390,-5.502487,3.062532,-1.011688
3963,0.017318,-6.694960,-7.090644,-5.496383,3.062532,-0.990326
3964,0.014938,-6.697056,-7.076939,-5.404828,3.074740,-0.988800
3965,0.016703,-6.701291,-7.070357,-5.378887,3.061006,-0.990326
3966,0.020269,-6.689367,-7.098776,-5.586413,3.036592,-0.988800
3967,0.024189,-6.688467,-7.095333,-5.436872,3.065584,-1.023896
3968,0.020280,-6.689954,-7.091672,-5.142369,3.103732,-1.080355
3970,0.021990,-6.683989,-7.104952,-5.110324,3.102207,-1.087985
3971,0.022231,-6.678456,-7.108013,-5.035554,3.111362,-1.094089
3972,0.020706,-6.687213,-7.102159,-4.908902,3.132725,-1.106296
3973,0.019731,-6.684936,-7.115696,-5.075228,3.112888,-1.092563
3974,0.020694,-6.686022,-7.108570,-5.339213,3.077792,-1.054414
3975,0.018697,-6.690182,-7.098683,-5.397198,3.067110,-1.057466
3977,0.019670,-6.691410,-7.100868,-5.409406,3.077792,-1.060518
3978,0.019821,-6.690795,-7.094002,-5.377361,3.073214,-1.062044
3979,0.019622,-6.691745,-7.089343,-5.386517,3.082369,-1.055940
3980,0.020179,-6.688404,-7.099949,-5.485702,3.080843,-1.049837
3981,0.022439,-6.681233,-7.108571,-5.481124,3.094577,-1.028474
3982,0.018449,-6.684416,-7.109322,-5.432295,3.091525,-1.017792
3984,0.020651,-6.682652,-7.110690,-5.470443,3.082370,-1.040681
3985,0.021844,-6.684363,-7.111936,-5.323954,3.100681,-1.063570
3986,0.010037,-6.684120,-7.099008,-5.102695,3.128147,-1.112400
3987,0.008162,-6.688663,-7.098079,-4.957732,3.118992,-1.510666
3988,0.012900,-6.684412,-7.098369,-4.915006,3.126621,-1.739555
3989,0.015060,-6.689487,-7.086535,-4.872280,3.138829,-1.753288
3991,0.018954,-6.686770,-7.079497,-5.050813,3.085421,-1.940977
