seq,ax,ay,az,wroll,wpitch,wyaw
1,0.037707,-9.987624,-1.115848,-6.065554,1.792962,-2.136296
2,-0.008625,-9.859776,-1.039637,-4.799036,1.773888,-1.815851
3,0.013796,-9.890138,-1.009323,-5.424665,1.958271,-1.818395
4,0.017455,-9.959222,-1.043546,-4.713202,1.918851,-1.710944
5,0.008517,-9.897403,-0.996455,-2.919096,1.751762,-1.535081
6,0.006235,-9.855853,-0.920904,-1.831111,1.579333,-1.406903
7,0.037763,-9.871043,-0.885166,-2.182074,1.510666,-1.454207
8,-0.004598,-9.858589,-0.886527,-2.240059,1.150548,-1.399273
9,-0.031141,-9.806240,-0.864816,-2.496414,0.785852,-1.448103
10,-0.023811,-9.846458,-0.846709,-3.473006,0.563066,-1.738029
11,-0.020067,-9.857403,-0.808622,-3.994873,0.468459,-1.925718
12,-0.051127,-9.893456,-0.750311,-4.208502,-0.083926,-2.197333
13,-0.005635,-9.896972,-0.715550,-4.141362,-0.386059,-2.490310
14,0.043346,-9.885777,-0.701075,-4.487747,-0.321970,-2.627644
15,0.052716,-9.817705,-0.736628,-5.987731,-0.512711,-2.613910
16,0.107517,-9.793414,-0.900428,-8.343760,-0.515763,-2.603229
17,0.130648,-9.627787,-1.057776,-9.759819,-0.117496,-2.156133
18,0.105206,-9.432830,-1.158877,-12.999359,0.442518,-1.890622
19,0.033060,-9.080329,-1.293263,-17.287209,-0.068667,-2.281259
20,0.033044,-8.796237,-1.264261,-22.611164,-0.515763,-3.372295
21,0.099120,-8.543374,-1.090981,-27.809992,-0.502030,-3.947569
22,-0.012235,-9.060613,-1.096764,-33.870968,-0.321970,-4.306162
23,-0.067249,-9.966965,-1.031291,-30.968657,-1.776177,-4.725791
24,0.034052,-11.351267,-1.160882,-27.056185,-3.044221,-5.183569
25,0.092751,-12.568335,-1.528110,-22.037416,-4.702902,-4.458755
26,0.076561,-12.859294,-2.147662,-22.626423,-7.251197,-2.842799
27,0.162302,-12.105299,-2.664340,-33.161415,-8.604693,-1.313822
28,0.140585,-10.685623,-3.075578,-52.337719,-6.976531,0.379955
29,0.004120,-8.869626,-2.989084,-68.973358,-3.706473,1.791436
30,-0.075388,-7.152029,-2.696110,-79.960022,-0.088504,2.964873
31,-0.044829,-6.387448,-2.461391,-78.138069,3.959776,3.050325
32,-0.044983,-6.230238,-2.379031,-57.232887,6.576739,2.600177
33,-0.144987,-6.686975,-2.551090,-27.657400,6.721702,2.848903
