seq,ax,ay,az,wroll,wpitch,wyaw
6057,0.013921,-9.920522,-0.171745,-5.073702,3.265481,-1.434370
6058,0.027386,-9.923782,-0.173502,-5.081332,3.234962,-1.457259
6059,0.031926,-9.924677,-0.177580,-5.086418,3.240048,-1.490321
6060,-0.011999,-9.905626,-0.316220,-5.136647,3.212073,-1.550722
6061,-0.047314,-9.906177,-0.387971,-5.327006,3.445539,-1.364177
6062,-0.085826,-9.897134,-0.478499,-5.314798,3.592028,-1.268044
6063,-0.135328,-9.899955,-0.575091,-5.177465,3.537095,-1.301614
6064,-0.179310,-9.897241,-0.683487,-5.092013,3.459273,-1.261940
6065,-0.190539,-9.913793,-0.685799,-5.168310,3.601184,-0.961333
6066,-0.191081,-9.904714,-0.672372,-5.029450,3.512681,-1.153600
6067,-0.194462,-9.911070,-0.685427,-5.021821,3.376873,-1.394696
6068,-0.183708,-9.901174,-0.698558,-5.243080,3.476058,-1.274148
6069,-0.183916,-9.872146,-0.705861,-5.232398,3.530992,-1.385540
6070,-0.181081,-9.855542,-0.694864,-5.092013,3.514207,-1.738029
6071,-0.173883,-9.868497,-0.716634,-5.111850,3.546251,-1.612903
6072,-0.177596,-9.869154,-0.717515,-5.195776,3.660695,-1.358074
6073,-0.184007,-9.876980,-0.712696,-5.417035,3.700369,-1.322977
6074,-0.177879,-9.890702,-0.710389,-5.684072,3.785821,-1.245155
6075,-0.173372,-9.899796,-0.699068,-6.019776,3.804132,-1.191748
6076,-0.175508,-9.913388,-0.705649,-6.083865,3.764458,-1.281778
6077,-0.169080,-9.908484,-0.723017,-5.920590,3.486740,-1.499985
6078,-0.155682,-9.894169,-0.732287,-5.571154,3.187658,-2.099674
6079,-0.164209,-9.892803,-0.729782,-5.290383,3.228858,-2.311777
6080,-0.168751,-9.890930,-0.737330,-4.911954,3.227333,-2.200385
6081,-0.166560,-9.878173,-0.727018,-4.617450,2.974029,-2.183599
6082,-0.172732,-9.894679,-0.722367,-4.664754,3.140355,-1.948607
6083,-0.183774,-9.895423,-0.713612,-4.589984,3.323466,-1.536607
6084,-0.172352,-9.907191,-0.710752,-4.583880,3.019806,-1.507615
6085,-0.156846,-9.907824,-0.705912,-4.640339,2.890103,-1.513718
6086,-0.151434,-9.888417,-0.713274,-4.715110,3.044221,-1.463363
6087,-0.145922,-9.848859,-0.707739,-4.728843,2.970977,-1.719718
6088,-0.149960,-9.846859,-0.708412,-4.739524,3.082369,-1.504563
6089,-0.152073,-9.857780,-0.705467,-4.463332,3.309732,-1.167333
6090,-0.151624,-9.894663,-0.706020,-4.260384,3.276162,-1.252785
6091,-0.159597,-9.932194,-0.688107,-4.286325,3.375347,-1.461837
6092,-0.159270,-9.949648,-0.677739,-4.332102,3.521836,-1.635792
6093,-0.152706,-9.912621,-0.664252,-4.519791,3.607288,-2.060000
6094,-0.155203,-9.884013,-0.662751,-5.200354,3.749199,-2.209540
6095,-0.166504,-9.838245,-0.657347,-5.734427,3.918576,-1.983703
6096,-0.166056,-9.825143,-0.667554,-5.839716,3.907895,-1.673940
6097,-0.155281,-9.845124,-0.677917,-5.902279,3.807184,-1.307718
6098,-0.159250,-9.892478,-0.707112,-6.198309,3.875851,-0.914029
6099,-0.164673,-9.885369,-0.698070,-6.050294,3.894162,-0.802637
6100,-0.162252,-9.900757,-0.715026,-5.769525,3.801080,-0.706503
6101,-0.168192,-9.898344,-0.707940,-5.783257,3.659169,-0.779748
6102,-0.184772,-9.902625,-0.709508,-5.882443,3.550828,-0.975067
6103,-0.183088,-9.893619,-0.709421,-5.673391,3.118992,-1.167333
6104,-0.173054,-9.906859,-0.728574,-5.758843,2.702414,-1.355022
6105,-0.176800,-9.894848,-0.723025,-5.908383,2.671895,-1.557970
6106,-0.175343,-9.880424,-0.726938,-5.824458,2.668843,-1.675466
6107,-0.162076,-9.872364,-0.733141,-5.816828,2.812280,-1.582385
6108,-0.167320,-9.879360,-0.725279,-5.803094,3.201391,-1.228370
6109,-0.171676,-9.869994,-0.721586,-5.429243,3.360088,-1.287881
6110,-0.173031,-9.874574,-0.732055,-5.064547,3.216650,-1.762444
6111,-0.168997,-9.882893,-0.754382,-5.157628,3.340251,-1.763970
6112,-0.175240,-9.879738,-0.742070,-5.230873,3.344829,-1.623585
6113,-0.170279,-9.883540,-0.732173,-5.298013,3.051851,-2.003541
6114,-0.167383,-9.910612,-0.743453,-5.629139,3.144933,-1.985229
6115,-0.165968,-9.888106,-0.744861,-5.894650,3.372296,-1.699881
6116,-0.163347,-9.869329,-0.733535,-5.821405,3.277688,-1.767022
6117,-0.155090,-9.867806,-0.739439,-5.626087,3.250221,-1.715140
6118,-0.152396,-9.868025,-0.760684,-5.430768,3.413496,-1.570177
6119,-0.162695,-9.852620,-0.746090,-5.188147,3.515733,-1.394696
6120,-0.157967,-9.867149,-0.738801,-4.805139,3.518784,-1.162755
6121,-0.161272,-9.882619,-0.732356,-4.614398,3.587451,-0.990326
6122,-0.174093,-9.856157,-0.697985,-4.460280,3.445540,-1.191748
6123,-0.175377,-9.863448,-0.682248,-4.077273,2.967925,-1.470992
6124,-0.161354,-9.864267,-0.665914,-3.517258,2.533036,-2.047792
6125,-0.153291,-9.887912,-0.666179,-3.601184,2.414014,-2.366710
6126,-0.144044,-9.876387,-0.664452,-3.743095,2.633747,-2.563555
